STE_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
1,565,1613,5666,12331,26603,55255,75808,54206,20024,252071,57963,39651,39357,38153,32090,29624,25423,13450,4235,279946,693,930,2017,3765,7688,19911,35507,28283,9610,108404,51,62,104,144,441,1358,4357,10421,9144,26082,1125,2379,4824,13051,26780,49493,63184,40063,10739,211638,1276,1227,1933,4624,14146,36874,61406,50760,20224,192470,891,733,1138,1994,3495,6383,10406,10054,4802,39896,821,617,993,1926,4808,12567,20541,17186,6313,65772,15495,33892,40963,40107,42149,39194,26144,12167,4634,254745,215,218,448,1017,2704,6748,11718,11660,5312,40040,34005,21313,23006,29544,38300,49733,44958,24779,10857,276495,593008,359683,413765,381393,309807,232907,135228,53583,12717,2492091,62902,44230,51392,46652,42676,37314,27108,16822,8425,337521,755589,490960,564183,544184,497158,468679,381017,211315,71074,3984159,705,2480,7848,18149,44407,89816,121943,95000,46941,427289,39075,39504,50074,49023,47028,46364,41800,24053,8962,345883,627,833,2460,6481,15447,26313,33437,24088,9881,119567,31,41,74,131,368,1139,4021,12265,18537,36607,1067,2551,5627,11107,21585,38784,48900,34403,13064,177088,1002,1067,1724,2934,7175,18052,32984,35233,24197,124368
2,410,1255,4859,9836,20218,38927,52812,39517,15442,183276,45210,33478,38793,36650,29228,24778,20611,11553,3701,244002,618,758,1719,3080,6378,15458,27387,22150,7814,85362,53,63,87,117,309,886,2905,7107,6706,18233,935,2023,4321,11456,22126,37502,47511,30424,8760,165058,1198,930,1582,3686,11224,28244,46628,37926,15784,147202,783,547,963,1585,2681,4705,7426,7257,3569,29516,613,463,832,1486,3538,8685,14195,12297,4779,46888,12163,27959,39367,36857,35985,31057,20742,10140,4427,218697,253,211,383,890,2427,5337,9308,9305,4393,32507,27334,18338,20709,25502,31520,38470,33582,19321,8915,223691,475292,291879,349558,313704,248948,181249,104260,40527,9947,2015364,46401,32545,40322,35388,32599,27614,20202,12355,5559,252985,600665,397047,483005,452707,402329,361238,289036,159926,55017,3200970,447,2041,6777,14795,35893,69851,94887,73573,37101,335365,29239,33855,48672,45483,41617,38055,34529,19959,7636,299045,478,667,2030,5210,12221,20493,26255,18593,7995,93942,32,50,80,91,265,789,2952,9122,14333,27714,855,1921,4707,9459,17257,29261,37077,26577,11189,138303,895,830,1503,2287,5641,13412,24863,27180,19327,95938
3,404,1381,4712,9881,20754,39198,51603,34625,10611,173169,35044,25087,26878,26959,23485,20217,17066,8914,2275,185925,490,707,1445,2799,6099,14685,25583,19506,5817,77131,50,47,81,142,294,966,3109,6568,5079,16336,768,1784,3163,7579,17604,30019,37924,23035,5217,127093,1002,1031,1545,3312,10499,25662,42005,32896,11398,129350,493,446,736,1208,2285,3957,6381,6125,2696,24327,1011,547,834,1740,4242,10420,16204,13072,3828,51898,13901,26242,31541,31854,32919,28719,20247,9081,2992,197496,172,191,354,791,2054,4740,7980,7600,2879,26761,26883,16092,16703,21305,27713,32832,28733,15760,5908,191929,382552,229569,235431,217613,191625,140505,83206,31603,6525,1518629,44191,32662,38140,34638,33772,27342,18701,10314,4194,243954,496045,323405,344067,334387,328847,299154,245407,131066,38018,2540396,472,2086,6145,14288,34253,62575,81259,57317,24570,282965,24967,28476,37451,38291,37065,34460,30347,16169,5028,252254,421,648,1877,4987,11682,18537,23185,15643,5772,82752,39,40,70,89,260,777,2712,7434,9948,21369,826,1767,3841,7429,14661,23701,27854,18458,6016,104553,861,992,1545,2529,5970,13633,23298,23445,14049,86322
4,122,412,1542,3243,7033,14463,19279,13791,5560,65445,11875,8969,9816,9524,8412,8043,6964,3782,1221,68606,165,195,438,864,1783,4914,9225,7211,2703,27498,3,16,26,43,106,347,1110,2615,2582,6848,283,641,1224,3121,6913,12828,16702,10561,3188,55461,276,302,478,968,3536,9458,15815,12971,5686,49490,218,198,261,409,727,1421,2129,2073,1047,8483,297,172,293,477,1289,3423,5335,4359,1755,17400,3071,8242,11135,10987,11854,11121,7775,3480,1478,69143,50,45,104,207,735,1771,3012,2855,1446,10225,8401,5199,5526,7084,9731,12521,11042,5920,2709,68133,122705,78726,83737,74699,65633,52455,32367,12839,3190,526351,11113,8158,9161,8866,8958,8080,5761,3393,1493,64983,155580,107269,117670,111877,111029,110759,94257,51928,18220,878589,164,685,2156,4785,11914,23723,32454,25150,13139,114170,8143,9618,12747,12908,12437,13068,12159,6953,2647,90680,133,198,488,1408,3514,6389,8615,6113,2652,29510,10,17,20,35,87,294,1154,3392,5478,10487,273,604,1445,2884,5669,9847,12483,8966,3975,46146,261,262,445,750,1918,4672,8409,9174,6939,32830
5,195,643,1977,4289,8631,16410,21718,14842,5142,73847,16781,11561,12507,12902,10832,8929,7157,3724,1110,85503,257,314,672,1305,2744,6635,11355,8653,2850,34785,6,21,25,63,128,390,1226,2892,2439,7190,428,828,1682,4294,9226,15045,18690,11336,2987,64516,377,340,614,1430,4797,11801,18819,14656,5498,58332,280,190,353,617,993,1719,2595,2725,1305,10777,362,210,329,584,1534,3848,6441,5268,1822,20398,5259,11441,14922,14815,14050,11891,7892,3504,1246,85020,59,65,134,364,859,1896,3398,3435,1478,11688,11997,7349,7406,9415,12145,14345,12960,6923,2905,85445,207163,116677,128939,127897,105885,77978,44356,16142,3579,828616,21004,15225,21489,21015,19409,15164,9149,4952,2256,129663,260004,159802,183972,188720,173750,154609,120271,62085,19644,1322857,287,994,2909,6503,15226,27814,36434,26365,12473,129005,11480,12455,16761,17107,15862,14740,12561,6542,2297,109805,215,269,828,2397,5316,8571,10665,7112,2711,38084,13,27,30,39,93,369,1171,3575,5115,10432,378,841,1760,3736,7113,11636,14401,9149,3647,52661,287,316,460,966,2445,5663,9803,9851,6404,36195
6,53,165,570,1238,2938,5874,8087,5143,1626,25694,4161,2867,2863,2756,2603,2657,2450,1244,346,21947,38,66,135,285,614,1727,3197,2380,736,9178,5,9,9,16,40,129,363,745,618,1934,91,216,380,793,1771,3517,4821,3021,762,15372,111,92,130,317,1102,2997,5128,4137,1443,15457,53,57,75,125,267,472,854,826,317,3046,55,47,98,211,613,1395,2151,1629,478,6677,1455,3254,3921,3895,4303,3972,2717,1102,373,24992,9,19,31,69,276,587,1141,1037,426,3595,2620,1689,1751,2106,3082,4093,3603,1804,744,21492,36032,21572,27400,20316,18568,16540,10872,4162,869,156331,4040,2839,3072,2755,2924,2875,2412,1315,511,22743,47521,31330,38367,31893,33340,36370,32657,17239,5062,273779,74,269,858,1969,4882,9513,12455,8589,3767,42376,2945,3259,4113,4220,4274,4352,4187,2194,666,30210,41,64,155,469,1207,2206,3002,2005,778,9927,4,5,12,16,32,89,317,869,1139,2483,93,186,479,790,1688,2857,3636,2437,854,13020,80,85,126,220,624,1477,2654,2739,1716,9721
7,13,48,200,383,719,1162,1161,506,101,4293,1106,613,906,828,791,666,440,155,27,5532,17,18,52,90,224,461,622,323,45,1852,0,0,5,10,13,51,97,146,72,394,39,97,187,501,965,1342,1177,503,87,4898,172,201,172,241,587,989,1115,509,114,4100,50,37,52,113,198,244,240,132,32,1098,73,24,39,87,161,366,388,216,40,1394,302,615,910,930,894,710,387,127,25,4900,3,3,8,37,86,196,224,148,31,736,1073,561,672,872,1040,1138,794,351,96,6597,19873,11625,15062,11744,8674,5747,2706,681,90,76202,2770,2075,3179,2614,2230,1683,918,305,71,15845,25230,15644,20934,17661,15049,12298,7569,2644,499,117528,19,74,223,477,1055,1621,1560,814,258,6101,699,743,1418,1320,1215,1149,692,250,54,7540,7,15,64,141,358,522,469,229,37,1842,0,7,4,8,9,43,111,133,128,443,33,122,342,702,1104,1352,1032,405,107,5199,146,224,257,313,457,633,537,348,141,3056
8,43,118,455,977,1727,2609,3174,2200,842,12145,3258,2649,3094,2931,2106,1615,1293,663,205,17814,35,66,151,274,521,1126,1717,1337,443,5670,6,0,0,12,19,58,183,419,425,1122,51,160,346,810,1480,2189,2535,1474,400,9445,76,91,131,306,772,1611,2614,2103,895,8599,47,41,83,138,226,328,552,457,232,2104,39,44,57,129,263,482,814,739,283,2850,1125,2889,3656,3226,2769,1948,1131,523,187,17454,7,14,29,63,150,269,468,477,247,1724,2308,1558,2053,2528,2877,3015,2544,1353,485,18721,34209,21687,27856,23423,16746,10591,5803,2165,480,142960,2472,2445,2682,2036,1726,1307,894,500,212,14274,42778,30497,38702,34336,27837,21907,16645,8789,2867,224358,41,250,729,1490,2987,4963,6068,4488,1936,22952,2222,2961,4229,3843,3183,2690,2285,1201,410,23024,32,61,190,478,948,1376,1788,1206,438,6517,0,4,0,10,14,44,160,540,728,1500,84,147,361,732,1214,1751,1963,1320,485,8057,49,77,114,201,377,768,1335,1555,1018,5494
9,0,0,5,7,17,33,37,20,8,127,23,8,11,18,18,22,16,8,3,127,0,0,0,7,6,5,16,15,5,54,0,0,0,0,0,0,4,3,0,7,0,0,4,3,15,21,51,14,3,111,0,0,0,0,9,20,48,18,7,102,0,0,0,0,5,6,5,10,6,32,0,0,0,3,0,10,13,4,0,30,0,10,12,18,14,18,10,4,0,86,0,0,0,0,4,0,11,3,0,18,10,4,3,10,26,27,27,13,7,127,343,123,147,172,184,220,140,39,12,1380,66,49,164,104,88,60,52,19,4,606,444,196,339,324,347,382,322,120,31,2505,0,0,0,0,19,30,43,28,8,128,17,20,11,20,28,21,18,13,3,151,0,0,0,3,8,14,15,6,4,50,0,0,0,0,0,0,4,3,6,13,0,0,3,3,10,25,20,10,4,75,4,3,0,0,6,3,21,7,7,51
