STE_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
1,14,82,158,1946,1296,1371,1409,840,195,7309,349,3322,9377,57614,21574,22955,14063,5897,3195,138346,0,13,37,920,819,1573,2164,1828,681,8048,63,590,509,2488,1021,1544,2010,1320,602,10153,451,3880,5125,22976,16396,21608,20000,15221,6032,111690,29,285,802,6779,4210,4063,2399,1107,256,19934,43,290,416,3232,901,636,500,276,156,6445,55,231,490,3430,1688,1863,3738,2775,1221,15488,11,134,280,706,666,1752,3989,5750,2349,15640,192,1199,1849,7995,3496,5527,4251,780,300,25583,1266,7735,6871,58152,9728,6287,4296,1991,746,97081,63,422,2362,9745,3611,2276,1811,751,224,21263,37,465,822,6653,1762,1608,1087,432,174,13048,76,2130,3248,10384,4544,3638,2231,993,378,27614,41,480,491,5657,1801,1533,1294,895,367,12561,23,158,313,2638,1188,3017,5593,5771,3915,22618,91,436,584,4281,2541,1325,560,255,102,10179,98,807,2042,12852,6032,3780,2075,958,324,28957,140,514,923,6855,6326,7576,5195,2278,790,30599,80,573,1496,7348,3272,3109,3154,1169,301,20500
2,18,56,86,1279,881,807,763,403,78,4355,302,3667,10549,43985,14342,12525,7221,2690,1311,96588,3,12,38,809,767,1674,2110,1827,688,7930,26,381,551,1569,638,1039,1447,954,443,7045,327,3090,4285,15183,12061,17148,16545,12237,5240,86114,17,118,363,2576,1454,1210,681,274,82,6768,23,159,237,1781,549,430,371,184,113,3849,37,159,410,2540,1296,1432,3584,2653,1323,13430,20,229,469,1064,1248,3156,6322,8819,3503,24818,113,777,1174,5309,1790,2177,1598,300,115,13354,1106,7255,10680,75258,9478,6887,4766,2026,744,118200,59,330,1718,6100,1804,787,832,251,87,11964,47,742,1120,5745,1220,757,415,183,51,10275,31,1104,1503,5283,2181,1456,810,402,106,12880,29,357,331,3503,982,1016,1032,696,358,8301,15,192,338,1965,1154,4281,9188,9597,6088,32818,59,313,466,3166,1534,510,319,109,64,6534,49,348,840,5089,1467,571,242,87,18,8706,47,196,367,2290,2035,2101,1355,517,167,9067,151,1488,3436,13907,4543,4348,3673,1206,311,33065
3,17,49,82,852,265,228,185,116,23,1812,137,1287,3585,15531,4622,3785,2148,767,353,32212,0,12,15,276,232,415,411,331,135,1836,18,133,154,361,96,129,212,148,71,1313,316,3408,6072,16210,15126,19195,17093,12732,4521,94671,14,143,457,2794,1588,1429,938,372,95,7832,26,145,255,1482,457,467,343,247,99,3512,38,146,414,2556,1339,1599,2538,1805,687,11117,0,22,42,143,100,179,384,456,256,1581,63,431,879,2526,792,1128,740,144,59,6760,295,2059,3059,20758,3008,1780,1248,630,233,33077,34,226,499,2194,1102,529,536,257,104,5476,8,230,367,2161,444,294,201,77,26,3810,47,473,501,922,308,159,115,43,13,2587,22,351,321,2102,907,685,700,521,235,5848,12,103,171,1112,381,633,1320,1307,951,5993,66,368,657,4159,2564,921,399,145,72,9352,62,553,1002,6290,1832,668,264,102,16,10797,7,26,31,174,169,173,110,54,25,769,37,361,880,3290,1503,1544,1076,385,105,9184
4,0,11,14,140,77,95,57,38,9,437,57,569,1872,7508,1864,1422,895,280,115,14584,0,4,11,171,136,283,364,308,153,1426,13,88,63,245,63,67,115,99,45,789,80,942,2083,4601,6307,12603,10638,8014,3666,48933,0,17,38,235,126,143,81,38,18,698,9,48,33,287,132,140,87,64,42,850,17,38,86,591,395,667,1506,1155,679,5130,3,21,62,133,121,451,1134,1565,809,4283,27,115,384,904,197,224,214,32,11,2111,213,1521,2470,12849,1670,827,613,287,131,20586,5,71,147,699,237,116,110,39,21,1443,18,178,352,1242,312,212,125,62,23,2526,3,49,94,328,133,89,34,16,5,748,0,73,75,330,220,259,262,234,145,1609,4,49,80,346,262,925,2429,2603,1825,8526,11,48,90,522,310,97,54,26,18,1180,6,106,290,1154,404,99,26,8,4,2100,10,26,41,229,137,181,157,89,34,907,37,310,682,2005,666,528,520,210,41,5003
5,11,26,54,404,190,181,128,68,16,1075,51,601,1401,7653,2814,2117,1081,328,175,16214,0,18,27,348,228,460,611,366,230,2289,7,121,139,323,91,129,180,125,67,1170,194,2836,6221,18048,16588,21896,16721,11959,4434,98890,0,31,49,275,137,142,64,32,8,734,15,72,138,1182,300,237,145,89,36,2208,11,106,266,1820,871,853,1322,821,258,6329,3,14,33,92,63,126,239,302,226,1094,38,166,374,1503,435,474,382,81,36,3497,259,1715,2272,16259,2874,2334,1898,1192,462,29268,68,392,750,4037,1672,852,695,230,68,8765,12,148,266,1630,407,313,192,73,36,3070,9,117,183,810,320,157,83,29,0,1709,40,446,505,3959,1029,1036,893,587,220,8702,17,104,168,1189,429,879,2335,2110,1516,8747,50,145,212,1511,889,325,168,64,25,3378,32,186,205,2238,533,230,103,28,3,3552,3,25,33,173,101,135,73,28,6,573,72,645,1593,6232,2764,2666,2536,931,259,17694
6,0,4,9,57,31,32,19,6,4,155,16,112,336,2902,180,163,100,28,12,3865,0,0,3,8,8,14,31,31,9,107,7,13,9,27,3,13,10,3,4,90,15,144,201,791,1050,2207,2509,1887,703,9520,0,3,3,46,37,35,19,11,0,154,0,5,4,92,30,35,31,10,14,230,3,11,27,168,106,185,251,225,94,1083,0,0,9,18,10,28,51,88,28,233,11,29,49,256,39,31,27,0,6,454,32,143,242,1786,119,94,61,42,22,2536,5,17,44,169,55,27,35,8,6,365,0,72,55,98,19,12,8,4,0,270,0,13,8,21,7,3,4,0,0,62,0,11,12,64,53,75,82,66,21,386,0,4,0,51,16,49,91,104,66,378,0,15,27,151,77,31,23,3,5,343,4,15,31,265,51,36,11,5,0,419,0,4,7,9,9,12,3,0,0,41,10,32,122,364,99,101,81,19,3,834
7,0,0,3,38,3,3,0,0,0,55,4,23,105,628,145,71,38,19,11,1042,0,0,0,0,0,0,3,3,0,9,0,0,7,9,7,0,4,4,0,27,12,82,117,688,434,570,339,190,60,2489,0,13,25,101,56,35,14,10,0,258,0,6,15,126,15,16,15,10,0,203,3,4,19,187,69,68,56,42,16,469,0,30,36,135,49,79,113,70,12,520,4,14,3,96,20,27,27,0,0,186,29,185,176,1500,193,134,84,20,4,2329,6,43,67,455,203,103,65,10,4,960,0,0,5,26,5,0,0,0,0,40,0,0,0,3,4,0,0,0,0,9,0,20,19,258,24,27,17,15,0,378,0,6,10,84,17,20,34,26,17,214,0,9,8,77,41,13,7,7,0,151,0,9,9,155,20,0,5,0,0,197,0,0,0,12,5,0,0,0,0,14,0,17,19,149,61,76,63,27,7,415
8,4,12,10,122,79,86,88,48,9,445,21,136,880,3714,753,693,410,146,55,6812,0,4,10,55,49,117,246,165,69,715,0,32,23,86,20,25,25,16,8,243,27,268,521,1007,868,1304,1216,887,378,6482,0,17,50,215,100,92,54,37,3,568,3,32,45,162,70,45,28,11,6,391,3,22,52,217,126,139,294,243,102,1198,0,3,11,31,27,66,138,191,72,543,4,46,113,394,117,168,107,16,7,962,48,506,739,5168,712,452,302,123,41,8086,8,50,77,371,137,86,76,21,14,832,0,15,46,305,60,50,39,12,3,533,0,27,30,146,50,44,22,12,3,341,0,33,27,114,61,65,64,49,18,435,0,13,25,117,65,145,236,237,123,953,8,30,53,244,144,63,44,12,6,613,16,57,136,837,197,93,41,18,5,1392,0,8,8,60,43,43,37,7,4,219,3,59,149,577,255,234,188,72,26,1568
9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,12,10,7,0,52,0,0,4,3,7,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,36,36,37,24,9,0,160
