STE_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
1,541,632,1316,2102,3426,5390,8317,9336,6308,37368,600,531,909,2029,5831,14068,21264,17560,7353,70145,12972,62719,72458,61972,61492,55018,34554,18536,11939,391660,134,202,495,1123,2706,4898,7788,9240,6637,33223,21404,24506,37316,43385,51400,62498,54836,33232,21755,350332,585622,316373,395618,371401,306833,237281,145816,58072,16304,2433320,59071,37618,44509,41654,37885,34635,27651,19644,14633,317300,714415,463125,577842,558980,519788,493100,407711,240207,112820,4087988,1272,4090,13513,30481,71006,145070,197755,149206,66969,679362,97040,79153,89435,87174,79113,75987,67225,37503,13200,625830,1321,1761,4477,10248,23139,46227,68944,52373,19489,227979,84,105,182,280,814,2498,8379,22693,27679,62714,2198,4931,10453,24160,48364,88277,112091,74465,23806,388745,2279,2297,3658,7557,21319,54925,94392,85998,44428,316853,1429,1364,2452,4100,6918,11770,18723,19395,11112,77263,1422,1146,1899,3952,10639,26634,41802,34744,13663,135901,28463,96611,113421,102082,103645,94213,60700,30701,16574,646410,346,419,938,2142,5417,11650,19511,20904,11947,73274,55404,45819,60321,72929,89699,112231,99799,58008,32611,626821,1178634,676050,809387,752795,616642,470187,281042,111658,29018,4925413
2,463,520,1098,1680,2669,4133,6009,6639,4712,27923,479,394,781,1586,4402,9677,15113,12375,5573,50380,10940,54335,71535,57757,54270,46425,29637,16102,11449,352450,146,211,452,974,2328,3928,6345,7309,5635,27328,17680,21798,35211,37953,44184,49594,43340,27448,18197,295405,470046,255064,326967,303869,246497,183822,111702,43632,12546,1954145,43928,28441,35234,32058,29580,25934,21153,14116,9282,239726,568788,376493,492492,466025,424557,385315,316522,184873,87455,3302520,858,3293,11637,24624,56107,108774,147703,113084,52545,518625,74452,67333,87461,82130,70847,62836,55144,31506,11336,543045,1096,1432,3755,8297,18603,35952,53641,40743,15812,179331,80,113,164,205,572,1679,5857,16232,21041,45943,1785,3941,9034,20919,39381,66764,84590,56999,19955,303368,2089,1753,3086,5969,16861,41654,71480,65103,35116,243111,1246,1069,2063,3272,5344,8833,13440,13897,8286,57450,1092,854,1619,3076,7940,18364,29306,24675,10352,97278,23107,82294,110898,94621,90254,77478,50386,26240,15871,571149,403,426,841,1869,4757,9268,15652,16613,10026,59855,45011,40141,55917,63450,75706,88069,76926,46775,27113,519108,945340,546938,676524,617573,495448,365070,215966,84155,22486,3969500
3,323,484,944,1455,2211,3478,5075,5801,3642,23413,781,461,796,1744,4942,11948,16996,12837,4594,55099,11688,48795,56387,49863,48603,40801,24408,11778,6850,299173,129,170,403,928,2114,3852,5750,6027,3640,23013,17254,19118,27377,32336,38012,41796,34838,20588,11729,243048,376616,204339,225253,216071,189190,142437,87094,33456,8297,1482753,41243,28035,30791,28365,27133,23539,17914,11541,7058,215619,468277,313839,357651,353426,345286,316136,258059,143929,59126,2615729,880,3466,10858,24179,55007,101775,132867,91935,35178,456145,60012,53565,64334,65255,60551,54677,47416,25080,7299,438189,909,1353,3323,7786,17788,33222,48771,35148,11590,159890,84,83,147,229,552,1745,5816,13996,15023,37675,1592,3549,7008,15008,32264,53719,65778,41494,11233,231645,1859,2029,3086,5843,16467,39300,65303,56343,25444,215674,814,925,1676,2666,4501,7434,11455,11929,6342,47742,1792,1009,1630,3478,9187,22361,33198,25907,8421,106983,25589,75037,87924,81712,81516,69515,44654,20858,9839,496644,307,354,752,1721,4169,8592,13726,13627,6522,49770,44140,35203,44074,53644,65723,74630,63569,36346,17629,434958,759167,433904,460684,433680,380815,282942,170298,65059,14823,3001372
4,154,183,291,448,666,1086,1722,1770,1338,7658,194,138,212,553,1633,3829,5563,4473,2047,18642,2988,15473,19377,16639,16652,15657,10088,5354,3829,106057,41,53,133,266,652,1259,1934,2382,1817,8537,5396,6197,9518,10902,13195,15739,13775,8166,5616,88504,121589,67821,76097,71407,62634,52762,35124,14386,4144,505964,10370,6863,7138,7036,7354,7160,5950,4090,2433,58394,147564,101057,117619,114778,113611,116382,102082,60725,29101,902919,280,1099,3700,8026,18945,38190,51733,38940,18699,179612,20015,18586,22563,22434,20845,21117,19127,10734,3870,159291,300,394,931,2279,5295,11304,17838,13322,5356,57019,18,31,39,77,193,642,2266,6005,8056,17327,557,1239,2674,6003,12576,22678,29187,19530,7166,101610,534,562,923,1725,5447,14132,24226,22145,12622,82316,373,386,557,868,1397,2510,3852,3844,2383,16170,488,307,504,1028,2927,7255,10899,8831,3803,36042,6063,23720,30517,27622,28507,26775,17864,8834,5305,175207,86,95,239,475,1391,3030,4950,5240,3269,18775,13801,11395,15047,17989,22923,28257,24816,14093,8330,156651,244291,146541,159841,146105,128268,105218,67492,27223,7335,1032314
5,178,193,353,625,960,1442,2117,2215,1484,9567,279,184,311,643,1816,4384,6664,5238,2165,21684,4635,22273,27533,24006,21215,17574,10327,4978,3015,135556,61,62,157,403,865,1444,2356,2641,1898,9887,7990,8781,12611,15160,16906,18932,15816,9290,5507,110993,203120,102402,124342,123834,101339,77095,46998,16993,4512,800635,19800,12790,15486,14409,13535,11653,8790,5710,3600,105773,245779,152274,188385,190766,174505,158832,127110,69042,30459,1337152,477,1636,4888,10794,23861,44221,58148,41200,17611,202836,28261,24015,29267,30009,26691,23670,19718,10270,3411,195312,471,578,1496,3708,8055,15208,22020,15769,5565,72870,18,44,57,102,216,755,2398,6469,7557,17616,804,1668,3438,8029,16337,26681,33095,20482,6633,117167,664,660,1076,2395,7242,17464,28625,24505,11903,94534,452,387,703,1238,1959,3163,4712,4939,2792,20345,640,398,642,1224,3356,8232,13103,10504,3986,42085,9891,33714,42457,38821,35264,29471,18218,8480,4267,220583,114,128,292,764,1722,3344,5747,6076,3382,21569,19988,16126,20015,24576,29053,33275,28772,16211,8416,196432,410275,219084,253282,251729,207228,155069,91353,33135,8091,1629246
6,36,64,95,163,285,524,799,856,462,3284,52,25,88,215,718,1629,2394,1697,534,7352,1314,5856,7111,6439,6459,5677,3583,1535,886,38860,8,7,39,130,304,509,817,854,579,3247,1631,2016,2921,3478,4435,5161,4442,2457,1429,27970,35906,18130,24168,19211,18029,16648,11167,4338,1173,148770,3765,2446,2568,2411,2507,2656,2312,1528,720,20913,45113,29762,38291,34058,35868,39020,34338,19414,7928,283792,122,438,1427,3207,7822,15389,20547,13734,5393,68079,7108,6128,6979,6977,6879,7010,6638,3438,1008,52165,80,132,288,756,1819,3929,6198,4381,1514,19097,8,12,15,26,72,214,680,1614,1760,4401,183,407,861,1579,3460,6377,8455,5457,1613,28392,187,179,258,539,1722,4471,7787,6879,3155,25177,93,116,174,289,550,1000,1654,1684,780,6340,107,73,187,430,1329,3022,4546,3323,1018,14035,2772,9108,11029,10334,10761,9652,6305,2638,1259,63858,18,27,66,202,577,1099,1954,1888,1004,6835,4253,3708,4669,5586,7514,9252,8047,4264,2173,49466,71935,39702,51564,39521,36593,33188,22042,8494,2044,305083
7,19,34,81,144,226,275,217,124,50,1170,47,19,34,71,186,350,345,209,60,1321,227,1125,1769,1454,1080,836,399,135,54,7079,7,0,13,40,92,134,130,103,29,548,643,543,1045,1254,1298,1286,901,385,141,7496,19391,10334,15402,11674,8319,5339,2453,606,90,73608,2569,1563,2386,1934,1650,1350,748,265,88,12553,23668,14328,21958,18155,14923,11933,6933,2513,665,115076,28,118,416,861,1769,2781,2717,1319,363,10372,1807,1358,2327,2153,2004,1821,1131,405,83,13089,27,32,111,229,582,985,1093,554,85,3698,0,6,5,20,23,92,211,280,198,835,73,217,525,1205,2064,2696,2213,907,192,10092,323,419,426,553,1042,1623,1653,856,262,7157,68,66,133,257,423,524,453,259,84,2267,123,47,74,160,346,716,730,426,95,2717,534,1738,2679,2392,1977,1550,780,257,77,11984,13,5,18,74,173,329,354,245,58,1269,1719,1105,1715,2125,2337,2425,1691,738,237,14092,39264,21957,30464,23420,16997,11092,5164,1291,184,149833
8,28,35,82,155,238,318,454,512,273,2095,38,39,70,157,295,599,869,765,331,3163,985,5911,6576,5109,4059,2729,1517,771,398,28055,9,8,28,66,141,231,317,425,294,1519,1498,2517,3839,4042,3799,3760,3205,1830,919,25409,33397,18663,25095,21636,15416,10480,6478,2467,600,134232,2325,2161,2172,1784,1471,1185,1037,575,317,13027,40157,30109,39046,35048,28369,23500,19029,10567,4314,230139,88,372,1188,2471,4710,7566,9245,6687,2779,35106,5480,5613,7324,6769,5290,4309,3577,1866,615,40843,65,125,343,753,1466,2505,3505,2544,881,12187,5,7,3,17,31,102,350,961,1154,2630,134,305,711,1541,2696,3936,4492,2795,885,17495,124,163,247,503,1145,2378,3957,3659,1919,14095,74,74,162,292,466,645,1008,968,501,4190,76,78,126,284,557,1077,1680,1496,612,5986,2110,8801,10238,8335,6833,4682,2649,1289,580,45517,18,28,53,134,288,500,784,899,547,3251,3807,4077,5886,6568,6678,6771,5751,3183,1406,44127,67601,40349,52954,45057,32163,21071,12280,4630,1085,277190
9,0,0,0,0,0,4,4,0,0,8,0,0,0,0,0,4,4,8,0,16,7,18,13,21,23,18,9,5,0,114,0,0,0,0,0,7,0,4,3,14,4,8,5,19,25,35,22,11,3,132,295,130,158,196,186,218,126,41,10,1360,62,34,54,58,47,51,29,29,4,368,383,211,240,310,316,384,267,135,34,2280,0,0,4,12,28,64,76,43,20,247,38,31,22,42,43,43,31,21,3,274,3,0,0,8,16,21,31,17,5,101,0,0,0,0,0,0,8,13,4,25,0,0,10,10,28,48,69,25,4,194,0,3,0,0,19,29,66,29,16,162,0,0,0,3,3,15,6,12,6,45,0,0,0,3,0,15,20,8,0,46,9,24,26,38,40,33,17,3,0,190,0,0,0,0,3,8,11,11,3,36,14,18,5,35,47,60,46,28,14,267,634,253,309,363,369,435,263,79,21,2726
