STE_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
1,12434,19590,23235,23176,26837,41031,70635,45181,12820,274951,9296,19628,26664,25524,27813,39231,67298,56951,31657,304059,8959,28354,43177,38566,37289,40864,45668,28105,12936,283910,5797,29541,50554,44286,41059,38761,30888,16284,5305,262476,3210,29609,60024,49999,48420,41661,23610,10495,3717,270742,1464,25076,69701,55529,52126,44102,20337,6661,2118,277113,444,15062,58043,44038,39572,30131,11605,3360,1131,203375,183,6226,49453,40875,36040,25421,9065,3310,1263,171836,86,2322,33593,33092,29337,19429,6050,1759,585,126262,69,1607,44724,62501,52253,30054,7884,2190,735,202029,37,238,6420,13721,11873,6361,2081,744,311,41783,118,377,6663,22163,23822,11964,4413,2052,793,72370,14008,15863,38377,33021,27943,26111,25994,25964,25883,233169,221749,241374,577842,558980,519788,493100,407711,240207,112820,3373575,199582,43494,62490,58295,53746,82974,66756,27883,10815,606043,83092,16602,11552,13254,13751,22436,24591,10829,3614,199715,50347,37809,28691,27196,28364,43146,49569,27983,8844,301947,22214,36392,40481,37020,44333,69365,128828,92001,27232,497863,19824,36015,43521,38896,44588,65162,113873,90095,45297,497263,23341,53396,67751,55428,55369,66139,81958,50156,19255,472795
2,8810,19537,21502,20387,21959,31201,53372,35025,10099,221885,5591,17918,23057,22252,24087,30664,53516,45332,26003,248412,4864,22918,36650,33052,32099,32485,36359,22047,10079,230552,2910,21201,41717,37915,35145,31466,25081,12597,4306,212337,1754,22450,52822,43716,41100,33234,18667,7779,2961,224486,766,18955,61698,46754,43307,34384,15028,4775,1585,227250,202,9762,52264,37583,32396,23927,8725,2563,842,168268,107,3826,43877,35325,30372,20688,6667,2385,936,144198,49,1290,25929,26915,22469,14378,4243,1198,464,96934,47,915,31380,45784,37860,21248,5309,1596,591,144718,30,192,4125,9762,8733,4603,1425,518,225,29604,78,282,3651,14339,16324,8212,3147,1478,626,48139,10579,12219,29928,25300,22209,20112,20678,19076,17764,177863,176690,199803,492492,466025,424557,385315,316522,184873,87455,2733735,163348,38986,55832,51970,45134,66022,52091,20897,8404,502676,77722,18395,11844,12886,12509,17915,18892,8360,2871,181402,42352,38813,27319,24970,24439,33695,38879,21783,7331,259576,15582,35537,37100,31671,35352,51035,95646,70400,21250,393575,12336,33099,37932,33058,37239,48846,88596,70463,37081,398650,13244,43917,58045,46914,46298,50947,64527,39407,15256,378559
3,9365,13234,16208,14907,16830,25772,47489,28464,6673,178941,6807,12919,18302,17249,18953,25227,46686,36230,18031,200399,6996,19396,30891,27432,26304,28128,33132,19628,7575,199486,4533,21617,36737,32446,29949,26513,20103,9903,2966,184780,2604,21840,44272,37154,36008,28842,14701,5787,1798,193011,1137,15846,44245,38645,37647,29467,11300,3327,1047,182659,372,8908,33333,29828,28028,20290,6407,1585,519,129266,157,4166,27763,27331,25484,16570,4820,1653,581,108521,80,1507,16526,20441,20258,12457,3125,779,237,75407,63,1268,18797,31198,30950,16723,3641,954,310,103895,26,177,2453,5462,5550,2927,910,354,119,17979,86,238,2297,7864,9043,4871,2046,975,332,27753,10240,11929,26290,21955,20343,18232,17021,15488,12786,154276,152988,160852,357651,353426,345286,316136,258059,143929,59126,2147455,116098,22028,31979,30646,31234,49474,34586,12401,4183,332627,67187,9522,7963,8950,9145,14471,15051,6100,1832,140223,39514,24364,20693,17992,18689,27388,32179,16324,4474,201611,16660,24206,28387,24043,28153,43452,87471,58722,14381,325481,13432,22789,28628,25569,29588,41352,80225,58922,26263,326763,15767,34083,45936,38024,37935,44144,59807,35215,11518,322430
4,2763,5153,6305,5549,6473,10473,19202,12170,3518,71597,1928,4680,6654,6314,7068,10417,19312,16500,9811,82676,1780,6676,11071,9766,9250,10497,12764,8125,4199,74129,979,6089,11848,11047,10198,9748,8568,4428,1819,64727,510,6146,14234,12583,11758,10521,5852,2550,1035,65189,256,4992,15516,13496,13200,11321,4542,1448,522,65291,80,2659,11282,10016,9717,7666,2546,723,259,44949,47,1060,8880,8650,8290,6123,1951,734,285,36025,29,357,4935,6280,6346,4278,1172,332,113,23836,20,243,4798,8642,9031,5806,1546,453,145,30688,13,52,605,1375,1499,954,374,147,50,5069,14,109,571,1953,2492,1758,825,410,187,8322,2597,2565,5776,5070,5127,5147,5450,5270,4497,41501,48041,53018,117619,114778,113611,116382,102082,60725,29101,755362,39824,9078,11439,9643,9433,16460,11498,3924,1720,113014,21918,4541,3242,3219,3331,5575,6013,2291,651,50776,13555,11283,9029,7382,7682,11550,12540,6414,2054,81493,4920,9708,11258,9503,11599,18185,34726,24328,7382,131617,3906,8719,10885,9821,11734,17637,32438,25771,14150,135058,4424,12334,17174,13807,13705,16722,22962,14217,6167,121526
5,4322,7025,8684,8932,8583,11667,21627,13495,3513,87841,3075,6467,9316,9399,8895,11050,21375,16899,8556,95022,2939,8685,14641,14323,12632,12401,14971,8941,3848,93374,1875,8415,15965,15733,13899,11890,9696,4794,1749,84022,1204,8939,19123,17680,16656,13180,7223,2869,1157,88023,589,7513,21821,19432,18722,15118,5852,1680,571,91305,241,4655,17865,15370,14375,11047,3474,864,285,68178,123,2346,15429,13755,13068,9457,2700,797,345,58028,48,847,9868,10069,9651,6481,1736,400,121,39218,56,893,11685,16752,16225,10106,2378,531,207,58817,11,121,1754,3152,2995,1917,564,217,77,10804,44,122,1506,4700,5194,2940,1148,525,178,16355,4455,5229,12672,10866,9609,8499,7807,6981,6231,72342,74580,77702,188385,190766,174505,158832,127110,69042,30459,1091391,60855,11921,21681,21630,18173,26599,20377,6934,2391,190560,32393,6300,5317,5917,4867,7393,8141,3069,1032,74433,18577,14097,11981,11269,10112,13361,16009,8180,2543,106129,7677,12744,14324,13256,13520,18827,38747,27143,7538,153779,6333,11474,13930,12841,13069,17198,35632,27033,12215,149720,6932,15613,21023,18628,17216,18440,26855,16273,5843,146826
6,803,1445,2241,1780,2192,3776,6904,3922,899,23963,599,1377,2583,2299,2614,3761,6937,5387,2670,28236,516,1936,4113,3285,3257,3729,4314,2515,1098,24769,321,1906,4354,3469,3372,3323,2893,1472,504,21629,183,1931,4705,3743,3579,3391,1919,783,309,20534,78,1474,4689,3937,4012,3664,1437,487,160,19933,24,802,3234,2841,2876,2346,777,207,49,13147,7,305,2360,2405,2633,2048,612,226,85,10690,3,100,1447,1732,2035,1417,360,92,18,7198,7,56,1260,2324,2640,1835,389,113,44,8667,0,12,119,317,404,289,95,39,13,1291,19,24,173,518,680,496,217,112,33,2284,905,898,2065,1668,1704,1971,2123,1950,1395,14680,14544,15216,38291,34058,35868,39020,34338,19414,7928,238684,12191,2102,3756,2445,2611,5007,3178,1129,350,32763,6271,1063,1150,920,1059,1844,1815,693,171,14983,3828,3052,2985,2262,2460,3917,4363,2064,561,25490,1425,2703,4038,3015,3835,6489,12782,8199,1881,44367,1241,2479,4367,3535,4333,6418,11824,8503,3838,46543,1416,3482,6497,4634,4732,5960,7704,4461,1679,40553
7,346,606,1135,970,793,806,921,406,83,6075,226,389,871,775,702,743,1011,546,185,5443,231,514,1277,948,702,649,610,263,73,5269,209,620,1336,1004,687,563,420,185,48,5072,195,764,1849,1262,996,731,460,149,30,6439,130,830,2508,1657,1364,1059,416,81,12,8058,48,627,2215,1502,1205,828,265,45,3,6739,19,303,1932,1532,1252,906,226,44,0,6211,6,120,1341,1105,1027,681,175,21,4,4473,9,69,1443,2179,2054,1362,251,29,4,7397,0,15,141,281,275,197,58,5,0,963,7,8,121,349,398,229,79,21,4,1215,845,793,2229,1765,1409,1164,690,281,100,9278,6857,7473,21958,18155,14923,11933,6933,2513,665,91409,4974,868,1616,1194,955,1431,1035,332,78,12485,2371,723,1039,877,658,527,407,119,44,6751,2049,2184,3528,2577,1989,1447,1033,408,90,15308,653,1075,1955,1676,1446,1453,1748,875,151,11024,425,707,1382,1209,1226,1339,1936,976,277,9485,511,922,1951,1408,1123,1124,1252,523,116,8923
8,758,1317,1000,772,638,1026,1798,1257,359,8921,523,1391,1313,954,827,1129,2270,1882,921,11214,490,1804,2160,1411,1020,1288,1854,1274,538,11841,349,1632,2435,1512,1159,1324,1760,1067,373,11608,310,1834,3399,2202,1602,1671,1723,902,330,13975,166,2056,4382,3052,2193,2037,1666,667,225,16430,65,1867,4842,3157,2169,1902,1155,384,162,15697,17,939,5276,3706,2904,2098,874,288,99,16205,9,258,3482,3393,2761,1815,626,184,55,12584,10,176,4794,7744,6708,3502,767,200,74,23981,4,16,446,1208,1172,629,167,58,19,3722,4,21,361,1656,1976,1061,260,98,46,5480,634,986,1806,1301,973,768,840,702,675,8679,12936,17173,39046,35048,28369,23500,19029,10567,4314,189986,10146,2495,3186,2471,1927,2621,2139,796,216,25989,5846,1134,710,633,564,797,1071,510,146,11408,3448,2344,1306,1009,873,1185,1775,1104,316,13363,1314,2495,1823,1260,1176,1704,2939,2280,672,15655,970,2471,2260,1519,1393,1820,3415,2713,1313,17863,1111,3289,3702,2125,1560,1944,2819,1953,773,19285
9,0,5,9,13,6,16,32,31,6,119,4,6,5,23,19,25,40,34,11,173,3,12,18,27,22,38,29,12,0,165,3,15,20,34,24,28,26,5,0,148,3,21,25,27,44,38,20,4,0,184,4,8,33,26,36,30,12,0,0,138,3,7,14,23,19,23,15,0,0,110,0,0,9,26,20,29,4,0,0,91,0,0,8,12,9,12,3,4,0,59,0,0,14,28,36,21,8,0,0,101,0,0,0,3,5,5,5,0,0,19,0,0,0,0,0,7,0,0,0,11,14,18,55,50,41,52,26,26,3,273,103,104,240,310,316,384,267,135,34,1891,47,10,17,14,20,41,42,19,0,215,47,4,0,9,6,11,30,7,0,124,16,16,6,18,17,31,31,13,3,150,4,4,15,21,13,29,77,53,13,230,14,9,9,25,28,41,74,51,21,267,14,18,26,35,31,63,53,24,7,264
