STE_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,..,27788,40932,10691,9358,12054,8830,3363,917,113938,..,12059,38965,32541,39497,70684,89157,76907,40794,400604,8497,13156,11196,6165,5612,6987,6282,3362,1859,63114,677932,432321,541510,528088,493725,466337,382072,217279,79732,3818985,..,15772,347089,632051,579957,543026,452813,229672,47556,2847938,..,60221,234122,129436,97257,69639,34614,10365,1385,637050,..,7407,39118,73611,94647,59663,28944,20413,13920,337734,1377286,..,..,..,..,..,..,..,..,1377286,..,387582,..,..,..,..,..,..,..,387582,..,245029,165492,52723,35399,19302,3740,147,0,521836,..,38015,33440,13407,15615,29183,32079,21790,12543,196073,..,26127,36426,13799,10107,7925,3985,1296,375,100036,..,59130,99545,28994,22945,26359,19534,7349,1710,265573,..,24263,83425,76308,89566,135018,147273,112180,55683,723718,17482,24291,23024,14234,12586,13078,11280,5521,2561,124057,1394767,887843,1061675,1034561,958080,903198,734269,408747,135739,7518874
2,..,27029,39042,8612,6315,7876,5702,2157,511,97247,..,11583,41670,33633,35994,58614,72551,61416,33217,348673,5519,9507,8891,4645,4066,5104,4426,2368,1160,45690,542782,351832,463826,442405,404196,363515,293452,166304,60758,3089064,..,9728,280372,528872,471724,425185,348290,176967,37109,2278239,..,44091,215316,116226,82687,53575,25012,7111,939,544957,..,4152,26645,57082,79421,48408,21587,14855,9882,262034,1104827,..,..,..,..,..,..,..,..,1104827,..,334023,..,..,..,..,..,..,..,334023,..,182820,132271,38114,26464,13262,2501,83,0,395510,..,30893,30978,10652,11398,20576,21205,13559,7774,147036,..,19157,27475,8432,5568,4059,2021,649,198,67561,..,57711,96742,23804,16011,17002,12271,4646,1001,229187,..,22443,85227,73183,79545,109076,117011,87754,45305,619544,11190,17244,18277,10556,9132,9510,8009,4032,1636,89580,1116013,722262,913294,866929,781952,700651,557905,309656,103844,6072508
3,..,24660,25320,6739,7343,9522,6592,2482,486,83143,..,9897,24087,19595,27704,47126,56517,46091,21499,252522,5873,10095,7321,3923,4498,5835,4840,2213,890,45485,443078,287756,329699,331442,324231,293868,238888,129269,40877,2419106,..,9363,193930,360176,359297,330796,280752,138616,24355,1697286,..,60010,170342,97687,73983,49686,23736,7125,896,483458,..,6718,33085,58306,64987,33085,16158,10876,6811,230030,899881,..,..,..,..,..,..,..,..,899881,..,220406,..,..,..,..,..,..,..,220406,..,149572,70717,25852,18279,9820,1945,80,3,276272,..,27999,19768,8252,9975,17175,18330,12116,6141,119757,..,21396,22432,8343,6631,5028,2835,966,235,67860,..,47856,58102,17604,16985,19810,14360,5474,994,181173,..,19321,52122,47540,61881,88048,94229,68047,29824,461009,11966,18669,15736,9606,9608,10664,8910,3843,1274,90278,911844,581318,636245,633368,621621,564104,461250,247136,70535,4727412
4,..,6628,7304,1878,1975,2569,1820,622,134,22925,..,3184,8511,7311,10519,19834,24835,21657,12009,107859,1998,3188,2518,1424,1442,1854,1588,790,347,15160,141604,94707,111294,109466,108110,109607,94980,54847,19941,844550,..,3098,70454,122854,119393,121991,111866,58676,12106,620445,..,14641,51449,29633,24075,18471,9242,2505,342,150356,..,1746,9659,18745,22994,13673,6063,3959,2739,79584,286950,..,..,..,..,..,..,..,..,286950,..,81209,..,..,..,..,..,..,..,81209,..,52656,31321,9699,6749,3810,670,23,5,104936,..,9093,6955,2486,2833,5125,4919,2980,1771,36159,..,5956,6550,2085,1371,1098,539,116,46,17760,..,14193,18603,5551,4937,5602,3891,1303,270,54354,..,6366,19398,18510,25571,38776,41279,30868,16496,197274,4102,6066,5566,3535,3276,3498,2935,1341,517,30840,291055,195024,219959,213098,211212,212044,181399,101776,34284,1659857
5,..,8313,10548,2936,2720,3144,2126,799,158,30742,..,5002,13882,10964,13650,23602,28990,23245,12075,131397,3141,4359,3710,2223,2191,2845,2436,1183,516,22602,233300,140423,172849,178506,163154,146584,116242,61815,21688,1234560,..,4416,108018,204785,190864,171239,139128,67130,13591,899167,..,23491,84594,49355,35038,23936,10774,2991,428,230618,..,2486,14051,26665,30419,17091,7701,4639,2985,106037,473638,..,..,..,..,..,..,..,..,473638,..,119818,..,..,..,..,..,..,..,119818,..,78138,39632,12385,7826,4080,856,27,0,142942,..,14465,10497,4072,4256,7255,7554,4518,2599,55217,..,7414,8977,3346,2170,1537,763,256,57,24526,..,17430,26282,8382,6769,6943,4681,1713,341,72551,..,9988,31109,28233,32286,45137,48121,33839,16487,245193,6366,8186,7718,5317,4732,5102,4316,2015,751,44497,480003,285841,330881,342540,314350,282322,223897,117126,37245,2414201
6,..,1801,2835,611,619,879,709,255,55,7766,..,887,2466,2106,3560,6938,8768,7184,3444,35355,709,1173,860,502,528,786,687,310,117,5676,42898,27440,35749,31993,33713,36187,31558,17470,5621,262637,..,1089,20954,31487,34112,38918,36392,18178,3265,184392,..,5428,18053,11211,9405,7320,3636,969,107,56124,..,833,3974,6502,7021,3870,1796,1290,705,25989,86668,..,..,..,..,..,..,..,..,86668,..,20613,..,..,..,..,..,..,..,20613,..,16225,7612,2745,2138,1070,199,7,0,29991,..,2299,1695,629,826,1560,1463,940,480,9883,..,2188,4071,871,409,329,204,73,27,8169,..,3607,7142,1604,1406,1797,1445,552,126,17679,..,1727,5520,5147,7933,13199,14641,10430,4764,63364,1397,2235,2002,1208,1185,1460,1283,559,156,11480,88068,56235,71020,61395,64433,69529,61055,32986,9629,514361
7,..,675,1575,441,347,359,186,67,12,3658,..,420,1337,988,1254,1708,1440,722,194,8062,387,454,566,328,326,323,171,51,6,2618,21679,12472,18996,15987,13109,10277,6056,2205,477,101264,..,1604,11933,15981,12771,9976,5958,1973,235,60425,..,2511,8145,5223,3834,2333,879,178,17,23113,..,517,1849,2633,2444,1435,747,325,123,10078,43946,..,..,..,..,..,..,..,..,43946,..,6609,..,..,..,..,..,..,..,6609,..,7375,3235,1188,589,200,25,0,0,12606,..,2720,1828,1057,1174,1337,1051,457,162,9788,..,891,1556,454,312,255,117,40,4,3613,..,1460,3310,1042,855,815,464,147,16,8107,..,912,2877,2268,2861,3497,2880,1227,295,16813,856,877,1093,687,628,570,351,103,19,5180,44803,25479,35819,30532,25467,20423,12461,4452,863,200290
8,..,3498,3394,582,361,455,271,90,40,8686,..,1029,3756,2785,2854,4106,4795,3686,1762,24789,412,870,776,376,305,373,323,184,52,3674,38729,25975,36936,33563,27235,22294,17750,9606,3172,215263,..,955,24038,41139,32867,25887,20776,10148,2046,157859,..,4670,17587,8720,5822,3443,1569,421,57,42290,..,233,1772,4246,5254,2852,1146,707,438,16650,79173,..,..,..,..,..,..,..,..,79173,..,20586,..,..,..,..,..,..,..,20586,..,11304,6220,1881,1167,538,113,4,0,21235,..,2221,2278,679,594,1036,1108,756,354,9034,..,2102,3527,755,349,235,86,26,11,7085,..,6658,8273,1747,1013,993,558,180,65,19485,..,1923,7720,6041,5912,7104,7201,5043,2390,43339,831,1598,1578,899,692,685,561,291,85,7220,80002,52257,72995,66111,53670,42765,33115,17578,5459,423949
9,..,7,5,4,5,10,0,0,0,32,..,6,13,18,21,69,64,43,17,256,8,17,3,9,3,17,9,4,0,73,324,165,171,253,260,322,224,115,28,1859,..,15,127,266,255,333,266,111,18,1390,..,26,83,66,83,79,32,9,0,383,..,4,11,32,51,21,13,9,6,135,696,..,..,..,..,..,..,..,..,696,..,93,..,..,..,..,..,..,..,93,..,106,38,24,11,7,0,0,0,179,..,16,8,9,8,17,15,13,11,111,..,4,8,0,0,0,0,0,0,18,..,7,9,7,10,14,9,0,0,58,..,21,43,39,62,134,113,66,23,497,18,13,6,20,9,32,32,10,6,141,713,310,332,464,488,638,477,217,55,3686
