STE_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1,14739,59736,84180,66379,62547,64938,58707,32568,9685,453482,8385,63192,116762,87701,83887,79808,49857,21951,6644,518187,3970,53831,146785,110991,101744,92939,49537,17009,4054,580866,1234,31603,121697,93169,80957,66804,30195,9017,2245,436915,550,14889,104798,89674,77028,59221,23564,7870,2359,379950,251,6364,73809,75918,65130,46557,15631,4516,1208,289392,206,5529,112951,161133,129344,80375,22525,5985,1545,519595,83,794,19377,41782,34575,20116,6226,1969,592,125517,241,1026,23065,74364,80526,46184,15435,5493,1683,248020,29841,35509,84116,71967,61060,55621,51464,46201,38827,474608,457896,496185,1142026,1103170,1016948,961784,788725,451521,183895,6602157
2,7670,45029,71776,56780,52541,51302,47676,25859,7941,366570,4932,49694,106704,78410,71838,63964,39892,16671,5251,437356,2399,40950,132310,96573,85763,73658,36416,11929,3104,483105,662,21188,109543,81283,67990,53806,22442,6645,1718,365266,329,9517,93279,79480,65742,48230,17288,5627,1795,321293,140,3772,58986,63806,52016,35717,11335,3137,891,229793,140,2969,82626,125210,99011,61065,16387,4247,1199,392855,66,539,13122,31173,26534,15647,4499,1342,432,93350,177,850,13478,49994,56662,32527,10944,3821,1301,169761,22103,27088,65590,54554,47811,42177,40054,34213,26666,360249,363201,410337,975493,918738,826885,746547,605557,344801,142475,5334032
3,10860,40914,58095,46034,43069,42305,38868,20492,5458,306103,6913,45651,83804,63205,60569,53058,31564,12655,3373,360782,3189,34828,93801,77140,72744,62383,28961,9127,2030,384211,1055,19727,72112,62756,57712,44828,16905,4560,1042,280697,489,9698,60945,59566,54716,39244,13011,4046,1164,242883,220,4060,39177,47776,45374,30234,8432,2106,480,177863,164,3938,53042,86710,82997,49415,11408,2705,637,291027,55,521,8704,19466,19330,11441,3020,886,243,63656,193,684,8560,29436,35784,21487,7101,2536,703,106479,21701,26714,59900,50494,47098,40629,34876,28200,19360,328974,313506,323739,701724,687817,674132,615299,503466,274997,97140,4191812
4,2449,12594,19869,16459,15415,16000,16336,9069,3164,111354,1459,13655,28768,22709,21332,20074,12864,5841,2021,128716,746,10973,34348,27962,26393,24121,12002,4146,1086,141776,216,5710,25395,22174,20597,17143,7243,2056,534,101079,132,2489,20061,19876,18216,14412,5330,1753,579,82849,51,1023,11998,15427,14434,10715,3263,927,248,58086,46,780,14296,24812,24651,16710,4538,1242,315,87386,19,136,2014,4789,5071,3446,1148,378,110,17118,52,269,2130,7068,9288,7031,2745,1024,349,29955,5430,5875,13382,11993,11765,11358,10699,9276,6806,86582,99152,109174,235287,226660,224641,227147,196344,112656,47325,1478375
5,4594,16561,24254,21160,18692,18114,18582,9997,3205,135161,3173,18479,34412,27744,25569,22529,15508,6375,2073,155856,1718,16297,44603,36608,33117,29489,14775,4562,1187,182352,705,9968,37530,31933,28103,23215,9367,2453,583,143853,393,5742,33723,31574,28155,22327,7449,2019,686,132068,182,2805,23924,26275,23877,17281,5036,1055,276,100717,184,3544,38296,54801,49824,33602,8062,1529,433,190276,40,546,8292,14790,13600,8704,2227,513,155,48865,109,445,7566,22621,25290,15686,4759,1451,394,78320,9402,12285,31489,28454,25077,20683,15851,12538,9547,165326,153263,158817,372352,379492,348256,313444,247382,131131,50106,2154244
6,849,3810,7448,5266,4991,5470,5615,2996,915,37358,523,4206,9871,6781,6339,6635,4249,1829,591,41024,216,3258,11215,8236,8073,7997,4038,1306,320,44639,63,1661,7435,6362,6181,5439,2165,617,133,30046,28,716,5456,5646,5763,4888,1646,546,170,24860,19,277,3353,4244,4563,3545,1002,217,42,17270,4,177,3549,6340,7074,5037,1243,298,82,23812,3,34,436,1008,1252,930,321,107,30,4127,35,71,551,1614,2224,1734,735,293,84,7346,1943,1934,4566,3655,3707,4084,4315,3389,2152,29755,30065,31024,76661,65959,69206,75393,66998,36649,12995,464930
7,443,1167,2186,1542,1095,1021,854,344,83,8737,432,1572,3563,2162,1709,1409,960,314,61,12176,295,1800,5095,3246,2566,2146,944,224,24,16339,118,1472,4354,3054,2335,1689,648,121,13,13793,35,713,4012,3212,2555,1890,540,111,17,13095,12,298,2714,2523,2187,1505,426,59,5,9734,13,219,3375,4912,4533,3020,675,76,6,16841,5,24,465,924,895,662,180,23,0,3180,13,25,390,1151,1314,942,293,54,8,4183,1830,2021,5267,4160,3393,2637,1575,603,176,21660,14183,15791,42894,35817,29970,24236,14499,5157,1157,183704
8,834,3269,4363,2363,1775,2066,2816,1785,611,19895,744,3923,6625,3793,2738,2814,3161,1757,601,26161,354,4198,9505,5661,4053,3898,3426,1605,475,33173,141,3524,9727,5857,3982,3607,2725,1093,339,30992,54,1844,10228,7033,5169,3994,2352,911,237,31827,16,566,6994,6934,5191,3608,1628,508,140,25579,24,431,10625,16861,14136,7877,2249,637,167,53018,3,54,1265,3376,3188,1877,553,139,45,10493,14,61,1370,5583,6331,3877,1016,269,96,18626,1324,2163,4060,2911,2143,1712,1600,1285,1038,18242,26348,34261,77747,69387,56207,45406,35673,19350,7181,371559
9,13,19,39,46,45,64,46,11,3,286,8,35,52,50,77,82,31,8,5,343,4,17,70,58,76,71,34,4,0,340,3,12,42,50,47,50,24,3,3,225,0,6,26,46,41,57,23,5,0,197,0,3,31,41,36,35,20,3,0,163,0,3,33,68,68,64,20,0,0,261,0,0,7,3,18,20,11,0,0,58,0,0,3,4,9,12,7,3,0,41,35,52,211,155,134,107,74,44,7,817,189,218,583,642,665,772,586,257,66,3965
