STE_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
1,63,1533,215716,217312,4677,22762,199638,227077,144574,114179,249583,508340,305900,66475,126032,498399,286189,49942,121253,457386,273551,36946,120275,430773,237635,19679,89888,347196,133103,6420,49789,189311,32777,921,21594,55296,1418472,318859,1193759,2931091,194,2903,200050,203148,10837,33028,172153,216013,202519,119941,207856,530312,326153,62959,132812,521925,293763,47318,147029,488109,269477,32693,157176,459351,215177,14935,145676,375790,96571,3946,113398,213915,14775,462,62638,77876,1429464,318187,1338786,3086442,252,4439,415766,420460,15519,55790,371789,443091,347089,234122,457444,1038650,632051,129436,258843,1020329,579957,97257,268280,945494,543026,69639,277454,890120,452813,34614,235556,722990,229672,10365,163184,403225,47556,1385,84231,133173,2847938,637050,2532544,6017530
2,49,855,172172,173072,2771,17036,169817,189628,116566,104968,218549,440079,258097,59726,100796,418618,234301,42349,96032,372689,214833,28680,89221,332734,181560,14112,65197,260867,101701,4440,35558,141686,25493,621,16497,42617,1135368,272791,963829,2371988,141,1634,160810,162581,6767,24568,148408,179739,163809,110343,180786,454937,270774,56506,110480,437757,237418,40331,122374,400130,210351,24898,123163,358414,166734,10899,111397,289031,75267,2674,85991,163933,11612,317,47663,59595,1142872,272174,1091071,2506117,189,2483,332978,335646,9541,41607,318223,369373,280372,215316,399334,895017,528872,116226,211273,856370,471724,82687,218407,772819,425185,53575,212386,691144,348290,25012,176591,549898,176967,7111,121550,305624,37109,939,64160,102209,2278239,544957,2054902,4878097
3,59,1806,142899,144769,3095,22576,114548,140217,81561,82372,134195,298129,169601,49152,77491,296241,175338,37425,79514,292281,164716,26085,74606,265404,146802,13486,58013,218293,80690,4374,31168,116232,16785,612,11877,29271,838650,237876,724309,1800841,133,3296,133569,137004,6077,32330,102252,140661,112368,87967,122041,322376,190569,48532,88408,327516,183951,36554,99225,319737,166076,23602,98351,288034,133953,10249,89842,234047,57925,2750,66382,127057,7568,295,32128,39985,858635,245581,832201,1936417,191,5102,276476,281765,9168,54908,216801,280883,193930,170342,256235,620505,360176,97687,165897,623761,359297,73983,178742,612015,330796,49686,172960,553440,280752,23736,147847,452338,138616,7125,97553,243290,24355,896,44004,69254,1697286,483458,1556509,3737256
4,23,363,46868,47247,920,5460,43815,50194,29697,24886,51039,105626,58637,14810,28074,101527,58653,12084,30530,101266,60612,9603,30580,100791,57686,5080,22321,85080,33331,1514,11539,46377,8297,222,5665,14179,307854,74004,270424,652279,54,668,43221,43936,2102,8156,37323,47581,40754,26569,41447,108772,64219,14823,29007,108042,60741,11993,33934,106673,61380,8866,37512,107756,54182,4159,35043,93383,25352,991,27713,54060,3805,122,15658,19590,312593,76347,300856,689792,72,1022,90090,91185,3021,13612,81137,97774,70454,51449,92486,214395,122854,29633,57077,209569,119393,24075,64468,207932,121991,18471,68084,208548,111866,9242,57363,178470,58676,2505,39253,100434,12106,342,21327,33770,620445,150356,571276,1342075
5,46,646,71106,71799,1313,8440,60033,69786,43319,39531,71173,154028,95770,24502,40674,160944,92861,17324,38462,148652,85369,12565,35553,133478,72851,6172,26746,105771,38894,1806,13782,54482,9226,293,5802,15324,439662,111261,363331,914266,90,1209,66460,67757,2960,13197,52152,68306,64697,45065,59374,169136,109015,24861,42408,176283,97996,17717,45250,160966,85873,11381,46488,143735,66281,4604,42933,113810,28237,1191,31211,60635,4361,137,16674,21173,459503,119355,402945,981800,138,1859,137563,139560,4275,21636,112182,138095,108018,84594,130551,323165,204785,49355,83085,337225,190864,35038,83718,309617,171239,23936,82041,277224,139128,10774,69675,219583,67130,2991,44993,115115,13591,428,22476,36495,899167,230618,766278,1896069
6,7,119,13904,14032,340,2077,11287,13703,9139,8645,16349,34131,15010,5617,8069,28700,16329,4710,9029,30071,19076,3859,9728,32664,19001,2072,7833,28910,10497,612,4149,15261,2216,73,1674,3971,91618,27784,82039,201438,10,230,12813,13057,734,3002,9481,13216,11815,9407,13668,34889,16478,5593,9424,31489,17777,4695,10716,33187,19847,3460,12099,35408,17394,1559,11913,30862,7679,355,9131,17166,1050,35,4416,5506,92775,28337,93656,214771,17,352,26720,27084,1067,5075,20767,26913,20954,18053,30018,69023,31487,11211,17494,60190,34112,9405,19742,63259,38918,7320,21833,68073,36392,3636,19750,59770,18178,969,13285,32430,3265,107,6097,9473,184392,56124,175696,416212
7,89,90,6101,6281,530,956,4818,6299,5077,3801,7423,16299,7664,2540,3978,14179,6342,1932,3780,12051,5216,1252,3425,9898,3344,519,2354,6220,1263,111,830,2204,173,11,189,373,29698,11212,32895,73807,139,165,5601,5901,846,1301,3964,6111,6858,4340,7225,18426,8317,2684,4660,15665,6426,1902,4454,12784,4755,1082,4116,9956,2608,355,2917,5886,710,59,1369,2145,58,3,405,473,30724,11899,34723,77350,228,253,11702,12184,1374,2257,8783,12417,11933,8145,14648,34726,15981,5223,8642,29845,12771,3834,8236,24839,9976,2333,7542,19849,5958,879,5274,12105,1973,178,2201,4350,235,17,600,846,60425,23113,67617,151156
8,10,87,11378,11468,276,1807,11994,14077,10210,8659,16387,35253,20130,4489,7407,32027,16690,3006,6345,26046,13218,1853,5091,20165,10881,896,3350,15127,5849,248,1766,7869,1388,31,826,2256,78645,21087,64563,164294,5,155,10549,10708,668,2624,11105,14398,13827,8926,13406,36165,21012,4234,7940,33189,16175,2809,7940,26930,12663,1591,7664,21919,9898,670,6859,17427,4300,172,4953,9421,663,19,2439,3113,79213,21205,72852,173270,12,233,21929,22179,947,4437,23102,28475,24038,17587,29789,71417,41139,8720,15351,65212,32867,5822,14287,52975,25887,3443,12756,42089,20776,1569,10214,32555,10148,421,6718,17287,2046,57,3267,5370,157859,42290,137415,337567
9,0,3,75,76,6,9,50,60,54,35,61,159,121,27,56,203,126,39,57,228,156,48,92,297,151,13,68,235,59,9,33,100,13,0,12,25,693,187,510,1388,0,0,73,79,9,19,45,71,69,46,52,169,142,44,54,242,128,39,82,254,174,34,95,308,114,11,84,212,48,0,63,110,0,0,24,28,694,195,581,1468,0,0,149,155,15,21,101,134,127,83,117,328,266,66,111,443,255,83,142,483,333,79,188,607,266,32,153,451,111,9,95,208,18,0,37,56,1390,383,1088,2854
