STE_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
1,97090,19805,1927,882,101211,15230,236148,81216,39303,5877,2873,106678,18864,254808,144040,146005,31511,14285,183318,45024,564183,118401,176227,55167,25348,130812,38225,544184,112970,166827,50852,21841,113702,30969,497158,101323,147830,48862,23442,119904,27319,468679,64601,105731,48788,26912,112371,22624,381017,31996,47705,24095,15476,74928,17109,211315,9119,10404,4983,3495,32924,10140,71074,760772,859844,272065,134543,975845,225506,3228581,96315,27702,3295,1369,79605,13463,221749,73662,58780,12759,7461,73603,15115,241374,95475,169038,69505,72245,133715,37861,577842,51573,159345,112017,111333,92621,32096,558980,51109,169648,111202,79936,82013,25875,519788,49403,150310,101433,72813,95423,23720,493100,32184,95009,84621,69579,103788,22524,407711,22004,44949,37076,33625,81301,21253,240207,11815,14101,7421,5533,54330,19617,112820,483538,888884,539335,453886,796409,211522,3373575,193403,47511,5221,2246,180814,28697,457896,154875,98087,18637,10330,180279,33972,496185,239514,315044,101020,86529,317034,82883,1142026,169978,335574,167190,136681,223434,70318,1103170,164083,336468,162052,101779,195713,56849,1016948,150727,298143,150292,96258,215326,51039,961784,96789,200735,133406,96491,216153,45152,788725,54004,92655,61175,49095,156230,38361,451521,20939,24503,12410,9025
2,79195,13512,1122,538,81173,10975,186517,70041,31620,4199,1858,88978,13832,210533,130343,127894,24340,9950,155114,35367,483005,105635,150672,42716,17637,107266,28782,452707,99353,137282,36519,14566,91329,23278,402329,84311,115781,33611,14581,93428,19525,361238,52214,81172,34916,18274,85924,16533,289036,24831,36357,17838,10903,57673,12324,159926,7226,8162,3897,2784,26489,6457,55017,653149,702446,199160,91087,787381,167074,2600300,79377,19593,2105,762,64792,10053,176690,65361,47994,9147,4755,61181,11365,199803,88057,151689,56156,55956,110885,29749,492492,46334,137690,92333,89999,75242,24441,466025,42766,143745,90104,62592,65505,19837,424557,39236,121917,79176,54055,73261,17670,385315,24563,74690,65791,53688,80733,17061,316522,16378,34281,29574,26788,62986,14879,184873,8835,11078,6181,4534,45143,11683,87455,410914,742676,430558,353123,639732,156729,2733735,158572,33101,3227,1305,145968,21025,363201,135408,79615,13349,6614,150158,25198,410337,218401,279582,80491,65907,265996,65114,975493,151964,288359,135042,107634,182506,53220,918738,142118,281026,126627,77155,156841,43113,826885,123545,237703,112790,68637,166688,37186,746547,76776,155861,100710,71964,166662,33592,605557,41201,70631,47408,37690,120666,27205,344801,16066,19242,10077,7314
3,69984,13658,1244,645,64049,10938,160521,54798,26771,3563,1697,61777,14281,162887,93265,93033,19334,8490,96758,33187,344067,79271,113091,32624,14046,67298,28068,334387,80462,112546,30542,12980,66887,25422,328847,67908,95065,29687,14394,71387,20718,299154,40859,67757,32630,18508,69607,16047,245407,18405,28927,16221,10895,46038,10576,131066,4777,5338,2802,2129,18053,4918,38018,509730,556190,168653,83786,561850,164152,2044361,69214,18552,2261,949,52127,9876,152988,48684,41870,9063,5625,44115,11488,160852,61305,110697,45220,47031,67456,25945,357651,37662,113703,71410,64620,44606,21430,353426,41984,125390,68373,44153,46390,18996,345286,37370,102748,62254,41866,55115,16794,316136,20399,59740,54099,46516,62647,14654,258059,12652,25767,22619,21764,48733,12395,143929,6022,7081,3814,3046,30044,9116,59126,335284,605541,339124,275576,451231,140706,2147455,139195,32210,3508,1594,116184,20814,313506,103488,68642,12627,7326,105888,25771,323739,154570,203732,64555,55527,164209,59133,701724,116927,226788,104029,78659,111908,49497,687817,122444,237942,98913,57131,113276,44425,674132,105271,197805,91944,56255,126505,37511,615299,61260,127496,86732,65023,132253,30707,503466,31057,54696,38842,32661,94769,22974,274997,10800,12415,6620,5178
4,22741,3775,348,136,21391,2725,51114,20355,9111,1167,521,21919,3086,56156,33906,33165,6745,2751,33648,7456,117670,27167,39302,11172,4601,22860,6774,111877,28113,39296,10611,4076,22655,6278,111029,26667,36826,10857,4735,26090,5585,110759,16802,27908,12596,6692,25579,4685,94257,7731,12411,6755,4081,17688,3266,51928,2264,2821,1470,1070,8970,1637,18220,185744,204624,61710,28654,200802,41486,723017,22427,5416,625,243,16865,2469,48041,18093,13394,2682,1571,14861,2412,53018,20940,37483,15538,15773,22223,5662,117619,11668,37537,24746,21862,14101,4873,114778,13112,42460,24415,14477,14447,4699,113611,13027,40223,24402,14876,19220,4646,116382,7621,24969,23315,18340,23140,4707,102082,5115,11398,10456,9555,20084,4117,60725,2994,3887,2195,1682,15576,2771,29101,114984,216765,128378,98378,160507,36344,755362,45168,9190,974,377,38257,5189,99152,38444,22507,3849,2089,36783,5498,109174,54847,70652,22286,18523,55867,13114,235287,38830,76835,35914,26464,36962,11648,226660,41225,81762,35023,18556,37102,10973,224641,39692,77044,35258,19613,45306,10230,227147,24419,52874,35913,25028,48715,9386,196344,12846,23813,17209,13636,37768,7384,112656,5255,6702,3667,2750
5,34441,6097,551,299,32581,4722,78685,27649,12171,1616,674,32281,6732,81122,51689,46594,8377,3846,54622,18843,183972,47023,59853,15193,6770,42229,17653,188720,44146,56098,13423,5801,39156,15131,173750,37567,47944,12592,5951,38913,11640,154609,21914,34612,14476,7897,33997,7375,120271,9355,14562,7346,4767,21176,4885,62085,2544,3154,1521,1139,8707,2584,19644,276328,281090,75089,37136,303652,89557,1062852,34054,8588,971,420,26210,4344,74580,25891,18528,3683,2415,22141,5037,77702,34231,56034,22275,26727,36506,12613,188385,20025,57917,37079,38670,26277,10801,190766,19956,62110,34982,23949,24334,9173,174505,17862,52366,31146,21768,27799,7883,158832,9875,29951,26631,23488,30328,6838,127110,5878,12817,11212,11041,22254,5841,69042,3255,4136,2305,1785,14528,4445,30459,171027,302446,170294,150273,230378,66977,1091391,68497,14683,1521,711,58787,9057,153263,53537,30703,5295,3095,54423,11765,158817,85919,102625,30650,30570,91124,31461,372352,67048,117772,52273,45440,68507,28455,379492,64097,118208,48405,29751,63486,24307,348256,55433,100312,43741,27720,66714,19524,313444,31785,64563,41108,31385,64321,14219,247382,15236,27373,18564,15808,43433,10720,131131,5794,7291,3827,2924
6,6770,1136,106,49,6411,1056,15523,5542,2706,372,169,6032,984,15806,10744,10451,2218,1054,11393,2503,38367,7955,11080,3320,1421,6121,2002,31893,8260,11840,3187,1388,6730,1934,33340,8356,11722,3714,1837,8734,1996,36370,5323,9167,4428,2631,9075,2030,32657,2326,3862,2065,1640,5982,1358,17239,605,800,387,297,2383,592,5062,55882,62780,19795,10484,62858,14441,226250,6664,1609,206,102,5056,908,14544,4792,3985,871,646,4080,840,15216,6358,11806,5262,5107,7695,2063,38291,3672,11405,7314,6203,3779,1680,34058,4124,13603,7540,4406,4608,1591,35868,4225,13190,8000,5129,6664,1808,39020,2471,8010,7563,6244,8089,1961,34338,1449,3415,2996,3111,6790,1644,19414,813,1040,584,471,4138,889,7928,34575,68074,40349,31416,50894,13385,238684,13431,2743,313,146,11469,1958,30065,10339,6696,1244,812,10111,1820,31024,17105,22261,7484,6162,19082,4564,76661,11622,22485,10635,7632,9906,3680,65959,12385,25448,10728,5788,11335,3520,69206,12582,24921,11719,6968,15397,3805,75393,7791,17177,11989,8874,17166,3995,66998,3777,7280,5068,4748,12768,3003,36649,1418,1842,967,769
7,2706,941,214,114,2496,856,7320,2371,1438,342,167,2784,1222,8321,5159,5040,1229,597,5892,3014,20934,3933,5128,1599,777,3776,2448,17661,3483,4429,1296,625,3160,2055,15049,2774,3467,1027,524,2980,1533,12298,1376,1893,793,440,2189,881,7569,398,560,237,147,963,334,2644,61,75,24,26,254,70,499,22251,22964,6755,3414,24499,12415,92299,2586,1109,288,133,1986,757,6857,2011,1806,590,375,1934,754,7473,4299,6135,2540,2275,4424,2280,21958,2522,5444,3088,2533,2747,1827,18155,2339,5058,2421,1355,2241,1504,14923,1771,3846,1842,1103,2184,1186,11933,819,1743,1165,840,1668,693,6933,279,478,335,281,850,291,2513,89,79,37,25,324,107,665,16725,25699,12319,8914,18357,9399,91409,5286,2050,508,246,4482,1608,14183,4377,3242,932,538,4720,1981,15791,9463,11181,3771,2874,10318,5300,42894,6455,10573,4688,3301,6525,4274,35817,5826,9490,3718,1979,5398,3561,29970,4548,7315,2865,1620,5167,2719,24236,2197,3638,1961,1275,3855,1575,14499,680,1031,577,429,1811,626,5157,146,151,62,54
8,6698,1232,84,36,4679,687,13415,6554,3349,325,139,5585,1132,17084,11418,11967,2078,755,10183,2296,38702,7953,13523,3940,1301,5982,1633,34336,6979,11408,3068,928,4310,1147,27837,5270,8623,2523,914,3680,895,21907,3118,6178,2418,949,3268,712,16645,1545,2657,1239,616,2217,515,8789,465,545,269,153,1164,266,2867,50005,59486,15943,5783,41074,9291,181575,6633,1649,148,53,3815,640,12936,6442,4841,687,272,3927,1000,17173,8043,13951,4475,3398,7338,1843,39046,4305,12860,7478,5138,4011,1252,35048,3769,11955,6167,2740,2807,933,28369,3086,9174,5034,2433,3037,732,23500,1795,5678,4584,2889,3296,792,19029,988,2560,2086,1611,2690,627,10567,550,774,416,283,1814,477,4314,35612,63445,31073,18823,32728,8299,189986,13334,2880,229,81,8495,1322,26348,12999,8190,1012,416,9514,2126,34261,19457,25915,6554,4155,17520,4145,77747,12259,26388,11419,6438,9991,2888,69387,10747,23362,9232,3667,7117,2082,56207,8359,17800,7556,3345,6716,1630,45406,4909,11856,7001,3836,6560,1504,35673,2536,5216,3326,2231,4898,1142,19350,1016,1318,685,433
9,35,9,0,0,27,17,88,26,16,0,0,25,41,108,53,41,12,8,55,162,339,53,75,25,15,58,101,324,61,92,29,23,57,86,347,91,106,41,17,72,55,382,34,89,30,32,83,51,322,14,19,7,10,44,24,120,3,3,7,3,15,3,31,375,454,158,113,442,536,2073,41,14,6,0,28,18,103,17,26,6,6,31,13,104,28,64,29,24,50,51,240,28,98,64,38,42,48,310,42,97,64,36,40,36,316,49,121,63,39,66,47,384,26,59,40,46,63,32,267,10,31,13,24,40,22,135,3,5,3,3,9,3,34,251,503,284,211,373,273,1891,71,22,3,0,56,30,189,47,43,9,6,56,54,218,87,107,40,30,104,215,583,83,171,85,51,99,151,642,105,192,95,58,96,124,665,134,231,108,56,134,111,772,63,142,72,82,152,78,586,30,49,18,34,85,47,257,8,6,10,7
