STE_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1,729253,83809,92529,7366,1580,914537,728017,88418,123617,1691,1056,942804,247401,94280,304461,4841,1878,652863,37257,26096,29167,52,165,92733,8284,8302,11222,83,161,28054,80667,17134,37646,1618,852,137913,15838,3505,5753,2099,618,27819,2280,1009,1785,81,50,5207,391722,150325,390038,8772,3720,944585,28135,12135,14471,643,539,55931,25607,5893,9375,895,852,42613,1902734,340582,630030,19374,7754,2900468
2,642992,80813,40491,3782,660,768730,712802,90623,57633,1004,600,862658,244004,105227,143141,1932,708,495012,21280,14451,13441,20,45,49234,3777,3546,4123,46,61,11554,68258,18362,17252,815,337,105021,10683,2340,1933,1869,197,17020,1974,834,687,65,22,3586,349978,144747,180578,4752,1368,681419,24297,10344,6482,483,146,41752,25356,5725,3943,444,213,35676,1755423,332251,289120,10455,2984,2390232
3,454882,40225,40097,6632,1433,543285,565150,40953,35708,865,789,643459,221534,81291,104714,551,1111,409207,25659,12334,12077,47,119,50230,3956,3361,3626,38,74,11047,70665,15390,20645,514,594,107813,16067,10011,6477,3165,693,36412,1767,972,880,87,26,3729,339655,123364,148411,4401,2610,618442,19380,9561,5284,441,506,35170,18851,4452,4028,1175,606,29107,1397920,218546,233531,13519,5947,1869462
4,198209,20403,6473,1397,422,226902,217214,21898,6563,262,402,246341,54935,22741,18113,171,294,96254,12331,12869,3980,10,74,29263,3738,3839,1740,10,48,9378,31417,8512,5667,201,219,46017,5289,1231,1060,425,132,8135,687,450,252,18,15,1423,108402,49631,30807,837,784,190462,8782,6740,2446,120,126,18214,6392,1969,735,150,143,9389,539001,100639,47026,2766,1881,691313
5,242407,26435,8712,3271,501,281327,344066,29848,11009,388,320,385629,85939,32014,27393,178,194,145715,13684,11327,3100,16,72,28209,3164,2860,1252,39,45,7366,46457,11644,6410,270,177,64961,11390,2352,1088,986,199,16017,875,475,193,15,6,1568,161507,60687,39445,1504,690,263826,11783,6069,2248,318,228,20648,9275,2416,948,376,291,13303,769038,125450,62360,5858,2023,964734
6,76241,2310,1764,586,130,81042,69218,1562,1189,113,73,72157,18559,3414,4147,165,45,26323,5376,2112,1305,0,26,8822,1389,921,492,3,31,2834,13125,1611,1754,136,68,16694,1761,307,292,200,38,2598,304,124,63,3,4,497,40509,8492,8051,506,200,57762,3048,561,338,66,40,4045,2539,473,237,111,43,3403,191561,13402,11575,1389,484,218412
7,8718,757,1028,560,120,11184,17595,1610,2031,75,50,21366,5396,2748,6315,20,50,14531,4935,1547,819,9,27,7337,1760,260,141,16,34,2207,2953,881,1288,75,60,5253,2659,562,509,174,122,4021,151,37,56,0,4,248,17847,6043,9125,295,290,33599,2202,326,214,141,111,2988,848,231,246,103,97,1524,47212,8964,12644,1181,659,70660
8,34873,5832,3999,92,26,44831,48878,9835,9001,4,32,67754,9414,6251,12930,4,44,28635,4400,2711,1429,18,10,8569,387,315,300,0,10,1012,4797,2350,3332,9,27,10516,1663,473,539,31,27,2736,107,54,48,0,0,208,20770,12148,18580,62,124,51681,1020,828,810,4,16,2675,894,270,276,0,9,1456,106433,28921,32669,168,213,168400
9,442,29,28,0,5,494,252,13,6,0,4,280,104,3,4,0,0,111,59,31,49,0,0,139,39,0,3,0,0,42,154,21,22,0,3,198,74,8,17,0,0,104,0,0,0,0,0,0,432,62,94,0,5,600,78,5,8,0,3,94,53,0,10,0,4,65,1259,106,141,5,23,1533
