STE_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
1,80698,25793,29432,32873,34250,9692,2334,4765,310668,54,49,111,28,42,58,66,12,11,1631,2065,71015,61776,102421,32385,36497,40757,42635,12931,3285,8457,412163,55892,26769,20546,3199,2660,2356,2363,1171,520,1971,117458,97062,91924,61731,13639,12575,11360,10307,3768,1526,2797,306700,5039,8810,9149,2467,2881,2412,2720,872,254,842,35438,119,105,98,24,31,19,29,8,10,59,498,102224,100838,70977,16127,15476,13792,13059,4655,1784,3702,342634,82,68,75,7,15,22,7,9,6,1350,1648,158190,127682,91596,19334,18157,16172,15427,5837,2309,7033,461740,96337,16427,7837,1126,893,833,845,548,235,2154,127234,121353,33193,15827,2724,2283,1977,1922,997,371,2124,182771,18431,8341,6854,2050,2451,1832,2124,815,163,1200,44272,206,44,43,21,17,11,20,11,3,62,427,139993,41585,22728,4791,4746,3823,4070,1821,540,3381,227467,96,34,18,6,3,9,7,4,0,926,1103,236429,58039,30583,5916,5646,4660,4919,2367,775,6461,355798,121379,5929,2540,368,328,326,373,308,104,2551,134206,129113,8194,3635,658
2,75365,22326,25068,29252,30283,8416,2236,3931,275579,44,53,105,33,52,40,44,17,5,1118,1507,52351,63500,93538,27290,30560,35374,36867,10622,3063,6724,359895,44609,21407,16155,2317,2134,1823,1739,687,326,1501,92698,70934,91429,55659,10817,10164,9188,8283,2767,1305,2181,262718,3406,7255,7983,2057,2203,2221,2378,831,291,677,29306,83,131,85,15,23,21,28,7,3,53,452,74416,98819,63727,12891,12384,11430,10689,3601,1597,2912,292472,57,72,68,14,20,14,11,0,3,804,1063,119083,120297,79948,15220,14537,13270,12440,4293,1930,5223,386237,68171,13599,6906,844,827,651,643,381,157,1676,93853,79004,31440,15948,2607,2224,1809,1691,752,360,1534,137360,11967,6718,6783,1719,1819,1596,1888,785,189,872,34331,149,57,31,4,8,6,15,4,0,45,322,91120,38214,22759,4327,4052,3412,3601,1534,550,2454,172021,97,30,27,4,0,3,9,3,3,478,655,159391,51835,29694,5172,4877,4066,4245,1915,705,4607,266524,92915,5833,2298,301,309,291,326,210,96,2144,104726,85252,8364,3815,616
3,30167,8982,9814,12228,15655,5124,1262,1976,115861,30,34,52,15,11,25,48,8,10,652,895,37308,34104,45879,12319,13130,15914,19797,7119,1939,4371,191889,42019,23246,14852,2167,1788,1719,1787,842,441,1754,90631,25012,38265,25573,4740,4396,4230,4516,1704,741,1221,110387,977,2968,3005,642,734,863,1066,405,149,282,11079,38,52,46,13,3,9,13,3,14,29,231,26025,41284,28626,5391,5132,5104,5590,2112,895,1534,121702,38,43,35,0,3,8,13,4,4,564,708,68082,64572,43514,7561,6924,6831,7392,2958,1346,3856,213042,74348,20966,9318,1067,986,902,897,467,279,2108,111339,29575,18701,9006,1327,1199,1001,1012,571,235,768,63391,3029,2949,2023,461,473,521,688,263,58,284,10740,53,31,16,12,10,5,5,0,0,38,168,32654,21681,11040,1795,1678,1524,1710,835,293,1089,74294,75,42,23,4,4,0,5,0,0,313,461,107073,42684,20379,2860,2673,2420,2609,1301,568,3519,186095,94609,11575,4187,488,480,459,572,327,212,2289,115195,29493,5744,2347,330
4,13439,4466,5033,5830,6666,2226,408,670,50876,7,10,11,10,6,8,14,6,4,158,226,8577,11556,15880,5078,5625,6547,7484,2669,554,1145,65108,8812,3577,2728,444,406,449,521,281,104,372,17703,8459,15372,10438,2155,2091,2316,2258,918,232,407,44650,434,1197,1593,381,306,370,496,194,59,109,5140,21,33,17,6,3,0,4,3,0,4,85,8914,16604,12048,2528,2404,2688,2760,1115,298,515,49874,10,12,11,0,0,0,4,0,3,128,170,17739,20189,14790,2976,2813,3142,3282,1396,399,1017,67742,17700,4798,2237,235,206,223,208,103,55,520,26287,10093,6852,3381,452,454,386,418,202,72,263,22561,1595,1496,1365,241,247,256,364,161,36,113,5868,23,16,9,0,0,0,7,0,0,10,64,11706,8365,4758,690,701,642,784,367,110,389,28503,16,4,0,0,0,5,0,0,0,108,136,29418,13163,6993,924,908,867,994,467,160,1018,54923,36839,2625,664,76,66,52,85,51,17,937,41423,11451,1727,626,76
5,21835,5814,5483,7010,8711,2944,735,1218,76813,16,26,31,6,6,7,25,11,5,614,751,25191,27534,35362,7762,7264,9089,11323,4074,1189,2926,131723,29976,16855,14364,1239,988,923,925,516,245,1058,67091,17874,29137,23364,3066,2656,2608,2745,1157,410,805,83827,672,2153,2023,413,404,416,462,199,76,182,6996,34,44,45,11,8,7,16,0,3,24,187,18574,31333,25434,3488,3064,3033,3221,1357,494,1006,91003,30,43,31,7,6,3,8,0,0,521,643,48578,48230,39827,4734,4058,3957,4149,1883,737,2584,158743,50154,16988,8912,625,511,472,474,271,140,1266,79825,19341,16508,9138,910,725,611,642,359,130,517,48876,2109,2463,1409,275,225,241,312,169,34,202,7450,46,35,19,4,4,0,6,6,0,19,138,21495,19009,10566,1191,960,858,958,533,164,736,56471,57,20,9,4,0,0,0,3,0,349,452,71713,36022,19490,1822,1471,1325,1435,804,308,2356,136745,76742,9593,3554,289,206,206,317,213,109,1477,92713,20327,5554,2015,199
6,6352,2499,2501,2223,1676,551,97,318,17931,0,0,4,4,3,0,5,0,0,42,63,1305,1837,7096,2755,2709,2467,1929,669,128,452,21345,2125,872,661,115,97,96,84,37,17,85,4181,792,1779,2174,501,465,453,431,148,45,69,6866,15,85,250,73,62,66,71,31,7,10,665,0,3,3,0,0,0,6,0,0,3,22,809,1867,2431,577,526,520,502,183,56,89,7552,0,0,0,0,0,0,0,0,0,16,29,2937,2739,3094,691,623,614,588,220,69,191,11764,4474,763,319,45,42,47,49,19,8,166,5931,1018,734,357,81,77,72,77,24,11,34,2480,56,77,162,47,46,34,34,21,3,11,494,3,0,0,0,0,0,0,0,0,0,8,1081,815,524,126,118,105,115,50,15,47,2987,6,0,0,0,0,0,0,0,0,9,16,5559,1573,839,168,157,153,163,69,29,225,8940,8034,434,174,28,16,22,26,12,5,244,8994,1239,233,78,27
7,2962,1229,1164,1119,1074,363,60,178,9572,3,0,4,7,0,7,3,0,0,37,59,1138,1486,3801,1429,1339,1355,1350,517,125,303,12842,1168,765,658,89,83,82,102,51,44,71,3121,847,2177,2030,461,416,333,351,115,38,93,6868,33,136,129,25,18,26,36,19,3,17,450,8,4,3,0,0,0,0,0,0,3,19,882,2320,2167,489,437,363,388,132,45,117,7342,0,0,3,0,0,0,0,0,0,24,30,2053,3087,2824,581,523,445,497,188,89,209,10493,2132,422,311,41,44,48,61,23,15,97,3197,1287,1096,682,117,75,65,85,27,15,61,3502,140,140,75,11,15,11,34,16,0,17,463,0,8,0,0,0,0,0,0,0,5,8,1429,1246,762,124,89,74,115,45,15,80,3977,0,0,3,0,0,0,0,0,0,14,20,3564,1669,1072,163,135,127,183,69,29,187,7192,2880,263,149,24,22,13,49,30,15,90,3538,1378,368,113,21
8,6876,2328,2963,2783,1987,664,123,355,22879,0,3,0,7,3,8,5,0,0,52,81,4132,3843,7886,2606,3192,3065,2252,789,185,543,28503,3619,1128,870,136,106,113,127,80,47,117,6331,4672,6199,4867,766,758,671,512,257,88,137,18928,121,291,342,76,103,91,89,33,5,35,1183,5,8,10,0,0,0,0,0,0,0,23,4794,6501,5211,845,863,759,604,283,89,173,20132,0,0,4,3,4,0,0,0,0,28,51,8412,7629,6089,980,973,875,734,360,142,319,26514,5375,692,529,52,53,60,53,38,21,127,6993,5281,2212,1266,166,132,113,128,83,32,82,9500,254,283,204,36,93,61,92,42,0,27,1100,5,5,3,0,0,0,0,0,0,3,18,5543,2501,1471,202,232,178,220,128,36,113,10615,5,0,0,0,6,0,0,0,0,15,24,10926,3192,2008,253,287,231,270,165,54,252,17641,6937,301,173,19,22,22,20,25,8,96,7626,5115,566,245,27
9,16,8,5,8,5,4,0,11,75,0,0,0,0,0,0,0,0,0,103,103,22,15,28,9,5,6,3,7,0,117,209,15,11,9,8,0,0,0,6,0,0,44,44,30,17,9,0,0,0,0,0,6,115,5,6,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,52,36,20,7,0,0,3,0,0,15,130,0,0,0,0,0,0,0,0,0,56,56,68,44,30,14,0,0,3,3,0,67,227,55,12,5,0,0,0,0,0,0,0,73,77,13,16,4,0,0,0,0,0,9,122,17,4,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,91,14,19,4,0,0,0,0,0,13,141,0,0,0,0,0,0,0,0,0,24,24,143,23,23,3,0,0,0,0,0,37,241,98,5,11,0,0,0,0,0,0,9,128,46,4,5,0
