STE_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
1,3632,57,116047,5881,38397,2967,35,41394,32,47311,156,4255,4300,11,8571,7,8735,10,36,14,22,66,0,81,6056,42687,7287,66,50038,41,56125,41,31,0,0,32,59,134,118440,46257,7367,78,53703,164,172304,44435,1456,29,7,1494,13,45941,2874,24636,2069,23,26727,11,29611,68,3182,3452,4,6637,5,6704,4,24,12,7,44,0,49,2941,27842,5529,42,33412,12,36369,4,10,4,0,17,18,46,47391,29310,5560,47,34915,45,82357,19700,640,10,0,649,10,20363,1324,13778,1305,12,15096,12,16429,44,2084,2570,3,4652,3,4703,0,4,6,5,14,0,24,1362,15867,3880,24,19769,12,21149,0,9,7,0,12,14,30,21069,16510,3891,28,20431,41,41540,843014,34870,650,91,35616,836,879461,58817,375973,22965,335,399272,408,458495,1282,34947,29083,84,64115,79,65475,101,285,86,136,511,16,630,60200,411209,52132,553,463896,504,524599,788,832,92,15,937,1315,3033,903995,446910,52876,666,500446,2654,1407102
2,2777,57,96377,4578,31393,2087,37,33515,27,38118,118,3735,3973,3,7717,4,7837,13,26,8,9,46,0,61,4707,35154,6067,54,41278,29,46017,34,32,0,0,31,47,114,98287,37914,6117,63,44090,132,142510,42505,1313,18,3,1332,20,43857,2458,20202,1422,16,21642,9,24109,72,2643,3032,0,5680,6,5753,4,10,6,3,20,0,25,2534,22861,4460,18,27339,12,29887,13,10,0,0,8,12,37,45046,24180,4482,21,28686,44,73778,19928,613,6,0,622,4,20555,1203,11274,957,7,12236,4,13441,31,1706,2082,0,3792,0,3822,3,13,0,3,15,0,21,1238,12993,3035,13,16046,6,17286,0,10,8,0,16,19,35,21164,13617,3045,14,16681,32,37880,691322,26853,405,69,27322,677,719329,45480,322311,16807,336,339454,359,385294,987,31834,25681,84,57604,52,58647,111,327,54,125,504,13,628,46579,354476,42547,541,397567,424,444563,738,713,79,23,813,978,2527,738639,382042,43030,634,425702,2076,1166417
3,1672,44,90261,3304,11652,742,3,12397,9,15711,115,1262,1395,5,2658,0,2772,16,14,0,14,33,0,46,3440,12927,2138,26,15086,12,18536,37,17,3,0,20,35,89,92024,14581,2169,27,16776,85,108890,26273,525,8,3,533,11,26818,1131,5505,378,0,5882,6,7022,53,698,804,0,1510,0,1564,4,5,0,0,8,0,9,1190,6211,1180,5,7397,6,8594,4,0,0,0,0,8,15,27472,6738,1191,4,7932,22,35429,9681,187,0,3,188,5,9871,480,2658,212,0,2874,0,3356,10,386,468,0,861,0,868,0,5,3,0,6,0,6,492,3047,682,0,3731,0,4232,0,4,0,0,4,3,12,10173,3239,683,0,3925,7,14108,639926,16595,261,41,16900,647,657474,32039,116594,5668,102,122359,133,154529,849,11039,8797,16,19856,21,20728,84,133,24,135,286,6,374,32970,127762,14485,252,142499,156,175622,765,304,46,14,360,735,1866,673669,144657,14792,314,159763,1535,834965
4,585,10,27535,956,5045,312,9,5364,4,6317,28,764,919,0,1686,5,1713,4,5,0,9,16,0,15,988,5814,1227,13,7058,5,8050,15,5,0,0,8,13,40,27945,6387,1252,13,7651,26,35622,10433,231,0,0,236,0,10668,427,3041,193,0,3234,0,3668,19,520,618,0,1141,3,1168,0,4,0,0,4,0,10,452,3567,811,4,4382,3,4836,8,0,0,0,0,8,9,10886,3800,816,4,4619,14,15514,5267,120,4,0,125,3,5390,225,1662,131,0,1795,0,2025,4,338,464,0,805,0,809,0,0,0,0,0,0,0,229,2001,600,0,2602,4,2829,0,0,0,0,0,6,6,5503,2117,602,0,2721,3,8229,199360,5181,109,12,5301,126,204786,9224,51853,2701,50,54608,29,63858,213,6300,5410,21,11727,17,11964,23,72,3,60,139,5,168,9458,58232,8116,130,66475,52,75988,147,84,28,0,107,282,541,208965,63495,8254,137,71893,457,281315
5,862,24,40190,2070,9600,375,17,9992,5,12066,42,918,882,5,1810,0,1851,10,12,0,3,17,0,29,2121,10532,1265,22,11818,5,13946,24,8,0,0,8,13,48,41459,11388,1275,26,12691,38,54183,13371,324,3,0,331,3,13702,768,5313,240,6,5558,4,6330,29,538,542,0,1077,0,1107,4,7,5,0,12,0,21,801,5856,779,9,6646,0,7449,0,0,0,0,0,4,4,14165,6184,785,9,6984,7,21158,6535,164,5,4,169,0,6704,392,2908,170,0,3083,0,3474,14,394,398,0,796,0,807,0,0,3,3,9,0,9,405,3312,572,10,3888,0,4296,0,5,0,0,5,0,4,6939,3475,578,9,4058,4,11002,303187,9053,101,41,9186,269,312645,20680,93123,3116,98,96333,105,117117,535,8338,5698,38,14073,14,14621,54,116,21,77,212,0,265,21265,101577,8834,215,110618,117,131999,283,196,22,3,225,444,954,324740,110826,8954,260,120038,825,445601
6,110,7,9311,177,437,23,0,463,0,642,9,57,98,0,158,0,160,0,0,0,0,0,0,0,186,498,123,0,621,0,802,9,0,0,0,0,4,17,9396,597,125,0,730,16,10136,2686,29,0,0,29,0,2714,59,156,10,0,167,0,228,0,37,54,0,88,0,86,0,0,0,0,0,0,0,59,187,70,0,255,0,316,4,0,0,0,0,0,4,2748,213,66,0,285,6,3033,921,7,0,0,7,0,930,17,90,8,0,96,0,113,0,13,32,0,48,0,48,0,0,0,0,0,0,0,17,100,40,0,142,0,154,0,0,0,0,0,0,0,938,106,40,0,150,3,1089,67920,929,10,3,937,80,68942,1841,5693,259,5,5964,8,7811,36,561,609,3,1172,0,1215,0,8,0,0,14,3,15,1882,6268,865,11,7147,8,9039,80,17,6,0,15,99,199,69881,7212,883,12,8107,190,78178
7,74,3,2138,174,1143,37,4,1180,5,1362,10,56,76,0,126,0,140,0,3,0,5,11,0,9,188,1197,109,3,1314,6,1507,0,0,0,0,0,4,4,2249,1269,115,3,1387,11,3646,315,11,0,0,11,0,323,40,284,16,0,298,0,340,0,20,31,0,49,0,53,0,0,0,0,0,0,0,38,299,48,3,352,0,388,0,0,0,0,0,3,3,353,311,48,3,362,3,718,112,3,0,0,3,0,118,15,123,12,0,132,0,147,0,10,10,0,19,0,24,0,0,0,0,0,0,0,15,132,20,0,151,0,165,0,0,0,0,0,0,0,126,136,20,0,159,0,282,18894,900,17,7,923,20,19836,1867,13038,398,38,13467,10,15343,71,451,558,12,1020,0,1093,10,30,0,106,138,3,141,1946,13521,953,147,14620,16,16586,24,5,6,0,11,90,124,20860,14428,977,157,15558,120,36537
8,230,0,7127,368,1896,87,0,1986,0,2360,7,112,82,0,196,0,213,6,0,0,3,4,0,9,389,2010,170,4,2192,0,2575,0,0,0,0,0,0,3,7277,2250,177,4,2430,4,9708,2640,72,0,0,73,0,2718,167,1117,39,0,1159,0,1321,3,44,39,0,87,0,90,0,0,0,0,0,0,0,167,1161,81,0,1243,0,1410,0,4,0,0,4,0,5,2809,1240,82,0,1325,0,4129,1226,34,0,0,34,0,1262,79,527,25,0,557,0,635,0,27,41,0,64,0,64,0,0,0,0,0,0,0,81,555,65,0,619,0,703,3,3,0,0,3,0,7,1312,588,65,0,659,0,1966,52030,2247,20,7,2282,28,54339,3755,21490,662,30,22183,14,25945,61,1058,559,9,1625,0,1684,9,12,4,6,26,0,31,3823,22566,1225,41,23832,14,27663,31,37,0,0,37,28,104,55879,24856,1245,49,26151,72,82107
9,4,0,18,4,32,0,0,34,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,35,0,38,0,0,0,0,0,0,0,21,34,0,0,40,0,54,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,40,0,0,40,0,256,44,271,6,0,277,0,324,0,24,13,0,38,0,38,0,0,0,4,4,0,4,44,291,20,4,315,0,359,0,0,0,0,0,9,9,263,330,20,4,350,9,629
