STE_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
1,107393,23819,20911,14631,16199,26773,27732,12320,4233,254006,37447,8095,3426,2834,3747,7148,9930,4684,1512,78818,22547,18112,11180,8788,10525,16658,21079,12529,3958,125371,9779,16803,17247,13847,17497,28334,58189,46818,14416,222917,10530,16381,16856,13366,16775,25926,46578,33142,13641,193202,14383,25041,24571,16859,18083,25280,36294,22054,6326,188887,8941,30201,33626,22097,21486,26178,27818,16286,4378,191007,5181,33577,56741,37701,35465,38147,26248,11460,2925,247443,2507,28761,77088,55461,49616,48835,29203,10346,1934,303752,790,16541,63650,49132,41381,36672,18593,5660,1109,233534,363,8665,55346,48798,40989,33796,14499,4563,1097,208116,166,4041,40213,42825,35790,27124,9580,2759,618,163131,128,3919,68228,98631,77093,50319,14645,3794,808,317565,51,555,12959,28056,22699,13753,4151,1225,279,83736,122,651,16403,52202,56705,34217,11027,3441,889,175647,15832,19645,45744,38945,33116,29507,25467,20240,12953,241448,236148,254808,564183,544184,497158,468679,381017,211315,71074,3228581,92195,19676,41580,43667,37551,56205,39018,15566,6584,352038,45645,8506,8122,10412,10010,15287,14667,6141,2101,120893,27802,19697,17507,18410,17841,26483,28494,15448,4890,176575
2,88386,21186,17702,12908,13821,20775,21425,9115,3158,208473,35243,8674,3296,2511,3317,5483,7602,3604,1214,70951,18874,17995,10118,7462,8460,12660,16514,9796,3257,105134,6776,16001,15597,11279,13399,19834,42275,35377,11154,171693,6742,15180,14878,10807,13156,18181,35077,25132,11084,150237,8376,20999,21398,13863,14199,18459,28166,17365,5179,148011,4755,23827,30059,18866,17399,19834,22599,13262,3635,154239,3180,27244,53883,34692,30739,30730,21229,8893,2293,212866,1637,21997,70613,49818,42457,39275,21385,7157,1519,255862,457,11425,57280,43697,35594,29881,13713,4076,871,196997,222,5690,49398,44152,35367,27539,10622,3241,860,177095,93,2478,33052,36892,29550,21344,7093,1933,423,132858,102,2056,51249,79431,61149,39814,11075,2651,609,248136,41,349,8998,21418,17797,11043,3073,829,200,63746,102,569,9824,35657,40335,24318,7795,2349,677,121617,11525,14866,35660,29251,25599,22057,19377,15142,8899,182382,186517,210533,483005,452707,402329,361238,289036,159926,55017,2600300,74955,17800,38129,39063,31317,45249,30664,11775,5245,294207,42475,9717,8549,10375,9191,12430,11290,4752,1659,110451,23477,20817,17204,17514,15985,21031,22365,11986,4074,154445
3,64347,11860,10616,7977,9532,15952,14652,5724,1577,142240,30314,4506,2122,1846,2521,4608,6355,2755,749,55777,17609,11740,8357,6236,7065,10648,14130,7540,2019,85350,7299,10975,12177,9137,11319,17678,39976,30263,7710,146539,6629,9873,10324,8318,10633,16127,33542,22688,8228,126367,8778,14686,15049,10594,11631,16015,26673,15587,3941,122950,6323,19293,21357,13589,13126,15791,18768,10584,2497,121320,4307,23807,39529,26049,24563,24215,16864,6872,1575,167777,2051,18986,49561,38496,35098,32914,17667,5797,982,201551,691,10820,38776,32924,29679,24538,10497,2980,519,151430,343,5532,33184,32239,29228,22671,8194,2393,584,134363,135,2551,22654,27342,25120,17779,5304,1330,245,102460,105,2679,34245,55515,52046,32696,7767,1750,332,187134,31,346,6248,14002,13782,8512,2102,532,124,45678,110,445,6257,21575,26739,16608,5057,1561,366,78718,11465,14790,33613,28543,26760,22392,17850,12710,6576,174699,160521,162887,344067,334387,328847,299154,245407,131066,38018,2044361,51747,10168,21366,22669,21701,33518,19935,6683,2600,190388,36874,5017,5838,7103,6623,9867,8696,3344,1085,84449,21909,12622,12333,11752,11622,16737,18050,8782,2455,116261
4,22081,5104,3845,2669,3043,5306,4742,1733,641,49165,10158,2252,953,749,1003,1869,2200,856,268,20296,6031,5299,3769,2791,3236,4725,5146,2606,865,34464,2165,4560,4957,3959,5123,7713,15526,12157,3859,60021,1975,4042,4236,3502,4662,7223,13123,9271,4344,52383,2645,5665,6101,4044,4454,6228,10200,6095,1972,47396,1473,6502,8019,5413,5219,6251,7767,4637,1340,46627,947,7513,14530,10124,9571,9549,7013,3290,986,63525,490,5978,18838,14473,13191,12799,7457,2692,565,76483,141,3047,14111,12160,10881,9481,4694,1336,277,56127,86,1429,11178,11230,9929,8287,3377,1017,291,46826,21,669,7063,9154,8088,6442,2092,591,131,34246,25,539,9501,16170,15620,10906,2989,793,167,56705,13,83,1411,3421,3571,2497,775,224,57,12049,34,162,1560,5112,6793,5272,1921,615,160,21630,2831,3309,7606,6923,6640,6213,5249,4007,2312,45077,51114,56156,117670,111877,111029,110759,94257,51928,18220,723017,17740,3974,7591,6971,6393,11159,6759,2183,1074,63847,11756,2288,2290,2472,2323,3704,3816,1437,384,30478,7528,5976,5258,4590,4446,6825,7395,3809,1191,47023
5,33136,6336,5347,3933,4478,7279,7883,3131,876,72397,14745,2930,1183,913,1089,2154,3269,1347,406,28044,8325,6604,4402,3357,3571,4834,6794,3656,1073,42618,3357,5719,5642,4325,4940,7163,17117,13646,4033,65941,3259,5006,4617,3446,4170,6152,14257,10139,3655,54699,3997,6929,6386,4303,4591,6042,11884,7330,1991,53448,2723,8142,8283,5432,4789,6218,8886,5203,1461,51138,1973,9542,15283,10064,8912,9347,8287,3509,919,67836,1126,8783,22781,17177,14398,14367,8920,2878,615,91047,460,5314,19662,16563,13730,12165,5895,1588,301,75678,267,3394,18294,17813,15090,12865,4756,1221,338,74042,136,1960,14058,16206,14225,10795,3307,662,156,61500,135,2650,26616,38051,33601,23497,5682,1003,228,131453,25,426,6539,11636,10608,6784,1667,301,79,38061,67,323,6058,17914,20095,12752,3614,920,216,61967,4949,7059,18816,17592,15467,12188,8046,5558,3312,92982,78685,81122,183972,188720,173750,154609,120271,62085,19644,1062852,27724,5585,16332,17697,13694,19323,12483,3806,1515,118162,17645,3371,4136,5006,3775,5238,4868,1723,628,46392,10252,7492,7581,7911,6546,8526,9214,4518,1473,63508
6,6792,1164,1300,773,885,1625,1331,544,132,14540,2725,550,354,220,341,608,771,303,72,5943,1701,1555,1293,898,1037,1565,1890,933,224,11095,626,1254,1796,1239,1640,2713,5883,4275,983,20403,640,1098,1780,1236,1723,2658,4886,3118,1168,18305,899,1547,2381,1347,1475,2227,3383,1946,580,15782,529,1907,3087,1787,1616,2142,2713,1526,412,15729,344,2269,5166,3039,2767,3246,2340,1047,281,20492,135,1784,6523,4297,4056,4331,2597,819,161,24704,40,862,4203,3515,3308,3098,1388,409,83,16900,20,413,3095,3242,3127,2838,1035,320,80,14165,15,178,1913,2514,2530,2127,643,130,26,10072,0,118,2293,4016,4438,3199,856,182,42,15148,0,24,318,688,849,642,226,69,13,2829,16,42,378,1090,1545,1240,519,177,48,5059,1043,1038,2496,1987,2002,2110,2196,1438,760,15076,15523,15806,38367,31893,33340,36370,32657,17239,5062,226250,5403,933,2453,1674,1726,3383,1848,582,216,18223,3549,511,793,698,715,1242,1045,392,108,9038,2130,1502,1696,1360,1425,2349,2474,1129,336,14396
7,2713,507,506,323,340,518,497,160,39,5604,1100,368,469,348,277,222,185,68,16,3050,998,1092,1636,1136,905,646,455,194,43,7111,310,465,822,700,651,648,826,467,66,4951,201,326,512,432,524,596,929,430,92,4036,280,401,673,458,419,473,642,257,42,3652,228,547,849,540,409,457,435,167,37,3664,240,800,1714,905,706,676,498,165,25,5733,164,968,2589,1586,1201,1093,521,144,19,8284,67,842,2136,1553,1132,860,386,78,8,7057,21,410,2086,1689,1306,987,313,63,11,6882,7,180,1372,1418,1161,825,254,38,3,5262,7,151,1932,2733,2481,1661,415,52,3,9442,0,17,325,645,620,467,121,19,0,2212,9,20,276,800,915,711,210,32,3,2967,981,1232,3039,2397,1981,1472,884,321,79,12387,7320,8321,20934,17661,15049,12298,7569,2644,499,92299,2258,358,1116,864,612,916,539,170,45,6881,1267,355,570,528,379,301,222,55,24,3699,1047,1093,1894,1443,1086,806,575,209,46,8200
8,5602,1413,1088,623,602,745,820,303,91,11287,2735,556,247,157,149,207,306,134,41,4535,1503,1120,509,338,352,392,591,372,116,5296,560,1176,820,487,537,674,1139,1028,314,6734,453,1076,946,560,560,692,1145,832,389,6646,626,1488,1541,720,539,655,968,685,230,7448,485,1638,1929,855,621,748,1060,719,236,8289,428,2092,3238,1589,1138,1138,1440,852,272,12186,188,2140,5118,2608,1865,1866,1762,938,250,16734,80,1659,4888,2697,1814,1707,1563,709,186,15290,37,915,4955,3332,2273,1899,1474,616,134,15620,6,307,3515,3543,2429,1792,1000,324,82,12996,14,257,5831,9112,7426,4377,1483,440,95,29033,0,36,817,2167,2017,1249,379,89,25,6775,9,40,1011,3933,4353,2821,761,169,51,13145,687,1182,2252,1614,1169,946,764,587,366,9562,13415,17084,38702,34336,27837,21907,16645,8789,2867,181575,4542,1083,2092,1845,1323,1876,1322,497,128,14704,3109,577,459,480,416,589,768,379,104,6875,1941,1230,799,675,519,793,1188,729,198,8068
9,21,3,3,3,5,9,15,10,0,74,18,0,3,4,5,0,14,3,0,49,6,8,0,5,7,9,17,9,0,58,0,3,4,7,8,12,41,23,6,108,4,3,0,0,5,12,39,16,6,96,7,5,10,8,8,26,23,14,5,99,10,4,20,16,19,32,22,8,0,131,0,16,21,25,33,43,15,10,5,158,0,15,39,30,41,49,18,5,0,193,0,3,23,23,26,26,17,0,0,116,0,4,17,24,22,26,16,0,0,111,0,4,14,28,17,21,19,0,0,105,0,3,17,47,33,48,12,0,0,158,0,0,5,0,13,10,5,0,0,37,0,0,3,5,10,9,9,0,0,29,16,35,159,104,89,58,48,19,0,539,88,108,339,324,347,382,322,120,31,2073,29,8,12,11,15,32,26,5,0,135,28,4,0,8,4,12,11,4,0,74,11,12,6,9,11,25,18,4,0,92
