STE_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
1,104174,253085,190146,1739425,20717,2307547,1974,11513,6000,236513,3587,259587,532030,10000,17270,18855,3480,581635,32540,5593,3188,13025,408,54754,38186,13277,8373,26815,437,87088,459100,211496,152998,1558612,22787,2404993,130470,4222,13913,3542,646,152793,26265,4204,3312,14634,232,48647,68044,19699,14355,138636,1817,242551,74196,14889,7766,43960,813,141624,15340,3423,1770,5768,143,26444,248126,5128,3959,3320,572,261105,112207,50640,34454,533268,4782,735351,129534,36406,16339,117774,1777,301830,68282,817,2366,744,291,72500,108978,25706,11459,31363,792,178298,29727,3975,2257,7555,259,43773,32067,10008,5538,30869,456,78938,25179,6316,3864,4038,325,39722,25947,11474,8180,6669,325,52595,34476,6084,4608,14253,332,59753,24858,2468,2621,5372,239,35558,26638,4164,1684,1229,349,34064,104794,51605,37357,422971,3632,620359,27054,2945,1895,3955,197,36046,29325,4759,3528,1794,142,39548,38452,2863,2470,6331,310,50426,17714,1328,1045,971,65,21123,114666,2292,4077,2286,706,124027,16775,5237,3390,19288,177,44867,979632,80985,65130,101694,7288,1234729,51658,4270,3210,33281,418883,511302,3181894,509789,369492,3529168,481824,8072167
2,85460,200274,150427,1317858,16708,1770727,1416,3527,1976,54648,961,62528,393750,6311,12107,13149,2158,427475,31877,5191,2735,11076,367,51246,45499,16337,10242,36612,574,109264,360521,170660,126504,1224247,18159,1900091,82014,2060,8840,1895,390,95199,18362,3030,2300,11267,189,35148,57151,18627,13161,122323,1644,212906,104705,17575,9097,48671,1134,181182,14198,3048,1700,5669,186,24801,264201,5299,3632,3079,560,276771,83988,42620,28965,452024,4193,611790,168174,42945,19920,151230,2424,384693,19070,251,862,276,52,20511,31203,7204,3360,7097,250,49114,32908,4640,2577,9012,289,49426,38512,9831,5752,26964,487,81546,18597,3020,2283,1780,207,25887,21919,8210,6110,3764,216,40219,35549,6602,4817,15250,349,62567,19582,1929,1962,3755,163,27391,19883,1776,815,373,238,23085,87418,42929,32372,368383,3355,534457,22829,2511,1525,3030,237,30132,18821,3254,2572,1328,107,26082,20693,1892,1576,4530,163,28854,42711,3192,2202,2509,175,50789,112735,2017,3938,1884,563,121137,11613,3552,2484,14246,138,32033,819441,60480,49639,78623,6188,1014371,44627,3323,2590,26987,301181,378708,2684522,410848,298977,2757268,351877,6503492
3,44832,186623,153371,1323971,15859,1724656,1503,10113,5953,185464,2885,205918,134100,3911,7057,14136,863,160067,9105,2143,1061,4364,108,16781,37200,11958,7727,23527,416,80828,428105,166701,129189,1218807,17077,1959879,58006,1925,10653,2773,451,73808,17387,2940,2250,10377,181,33135,55309,19670,14642,218045,2064,309730,11495,4694,2211,14118,193,32711,8539,1867,930,3019,91,14446,85650,3013,2054,2682,251,93650,89904,37238,26521,410745,3520,567928,46457,17867,8314,78958,978,152574,23684,206,1169,270,56,25385,3750,1335,658,3643,37,9423,2024,409,258,633,15,3339,6452,3050,1712,10770,134,22118,48058,7547,5394,3584,456,65039,37620,13638,10002,5549,449,67258,16292,3393,2632,10313,182,32812,10327,1405,1419,4280,141,17572,29330,3199,1537,835,336,35237,108968,41066,30939,343045,2992,527010,7264,967,562,1250,77,10120,27627,3469,2806,1186,135,35223,17193,1819,1370,5180,142,25704,7422,739,552,816,39,9568,30355,879,1636,836,147,33853,14216,3588,2396,14302,173,34675,369897,43833,42412,104096,4813,565051,22165,2929,2625,29567,296876,354162,1437990,347689,275465,2754865,340134,5156143
4,17822,61092,46851,447061,6003,578829,323,1992,995,35261,790,39361,53445,1015,2066,2094,279,58899,5718,1100,583,2708,74,10183,13241,4462,2928,8780,178,29589,150199,60393,47633,411471,6862,676558,17439,496,2510,670,135,21250,3535,691,550,3355,50,8181,20122,8797,6226,99022,1057,135224,20443,4314,1975,13688,283,40703,3374,813,368,1523,44,6122,41457,824,592,634,94,43601,24869,9733,6740,93713,983,136038,44931,11872,4980,41426,701,103910,4218,92,337,154,16,4817,3047,884,462,1531,27,5951,1028,180,118,482,13,1821,3131,1051,617,3028,49,7876,2177,745,444,506,52,3924,3153,1656,1185,774,37,6805,11290,2079,1311,5577,137,20394,4730,499,508,1129,60,6926,400,130,39,26,6,601,32150,12520,9692,94030,1057,149449,5352,638,374,942,35,7341,4764,660,567,277,21,6289,3842,439,347,1143,28,5799,2929,221,213,156,15,3534,20620,761,818,568,135,22902,5866,1364,980,4538,61,12809,149422,12945,10150,21525,1492,195534,7122,658,570,8229,71001,87580,578217,118741,87906,909147,87514,1781525
5,33432,116877,97314,534868,6781,789272,715,4391,2525,71883,1604,81118,105554,2447,4594,3685,567,116847,10299,3059,1646,8933,177,24114,26383,7461,4972,13752,276,52844,357025,106131,85770,443475,8388,1000789,41712,633,3444,801,190,46780,11458,1321,1166,3281,84,17310,29706,6763,5795,35507,559,78330,6511,2284,1185,6049,86,16115,3513,676,433,1051,36,5709,70741,2542,1790,2073,215,77361,81364,19125,14163,117170,1504,233326,51924,17649,8556,58287,835,137251,7979,128,474,132,19,8732,2080,468,274,588,16,3426,6743,1197,754,2569,67,11330,2264,854,454,1647,27,5246,23996,3345,2306,1100,299,31046,16644,6611,3998,2000,179,29432,13750,2330,1915,5446,131,23572,5029,427,719,989,54,7218,2740,360,128,88,28,3344,84277,22184,17400,107316,1375,232552,6773,620,391,739,43,8566,27486,2648,2316,752,110,33312,8814,750,657,2298,71,12590,5796,519,366,410,28,7119,21604,548,1024,439,85,23700,13786,2542,1789,5612,86,23815,273681,22821,22768,27951,2414,349635,13723,1336,1124,8254,151929,176366,1106195,207167,165635,1008229,172800,2660026
6,2407,17090,12316,190721,2660,225194,82,721,372,25387,362,26924,10812,222,419,828,52,12333,573,222,69,405,11,1280,4791,1724,1191,4081,52,11839,32004,16450,11762,180212,3156,243584,2461,81,692,139,22,3395,1024,197,140,903,20,2284,4594,1710,1041,12359,177,19881,1142,355,126,958,23,2604,520,240,65,295,8,1128,5248,185,169,243,19,5864,5833,3173,2035,45046,529,56616,2608,1245,365,4173,69,8460,799,30,95,48,6,978,200,77,35,142,0,454,72,20,8,38,0,138,294,140,64,340,10,848,588,262,168,243,7,1268,1181,610,403,441,10,2645,1800,577,272,1466,18,4133,621,90,72,252,7,1042,114,51,23,24,0,212,7743,4013,2779,37688,392,52615,276,64,26,94,7,467,1059,166,159,86,7,1477,794,87,70,344,14,1309,618,40,28,46,4,736,1366,36,69,26,6,1503,1370,345,249,1271,14,3249,29409,3510,2750,7011,357,43037,1203,202,152,4218,25185,30960,101972,30769,21714,371533,31575,557563
7,1932,5703,5847,42076,488,56046,97,1013,558,54367,1048,57083,5258,227,393,995,57,6930,146,55,26,137,0,364,1052,412,299,844,20,2627,11498,4719,4305,32735,575,53832,7036,144,761,270,35,8246,628,81,96,280,5,1090,1955,630,562,5143,56,8346,2093,673,306,1155,39,4266,187,52,25,84,3,351,4929,104,75,75,16,5199,3089,1189,1012,11508,122,16920,1428,515,241,2174,36,4394,429,3,44,9,5,490,80,17,12,71,5,185,37,13,3,28,4,85,98,74,33,223,6,434,1145,205,212,164,13,1739,821,333,208,147,20,1529,433,119,83,345,4,984,200,31,42,103,0,376,315,41,18,44,11,429,2841,1168,991,9533,94,14627,86,16,0,33,0,135,535,86,65,37,4,727,658,43,35,141,9,886,643,34,28,38,4,747,1526,41,101,36,13,1717,375,101,97,416,6,995,22097,1703,2058,4482,286,30626,969,78,73,1057,21149,23326,61900,11261,10542,125271,23628,232602
8,4907,18202,15319,104300,622,143350,130,517,307,7603,68,8625,22727,671,1368,1174,108,26048,3181,548,285,1579,33,5626,2834,1279,837,2852,24,7826,25940,15646,12300,90752,654,145292,6061,187,792,232,28,7300,1479,354,276,994,10,3113,5002,1840,1424,10748,81,19095,2546,631,342,1988,23,5530,942,281,193,596,5,2017,19340,402,347,277,26,20392,5873,3975,3049,39564,210,52671,5416,1875,975,6892,68,15226,3103,58,255,62,3,3481,815,268,106,430,0,1619,904,176,85,289,8,1462,634,263,206,849,14,1966,752,247,185,198,8,1390,1275,704,523,372,11,2885,2559,529,491,1442,17,5038,1213,166,190,422,13,2004,762,169,71,39,13,1054,7018,4254,3416,30602,163,45453,1497,246,136,300,12,2191,1377,244,234,123,6,1984,2125,262,219,482,27,3115,1908,138,153,126,8,2333,5308,152,330,141,26,5957,1181,472,311,1661,5,3630,57782,5487,5458,7177,324,76228,2263,168,129,1339,16944,20843,167616,33830,27843,206266,18941,454496
9,40,141,121,813,4,1119,3,0,4,146,0,153,350,13,10,22,0,395,3,3,0,9,0,15,26,5,9,10,0,50,310,86,88,412,18,914,62,0,9,0,4,75,11,4,4,8,0,27,25,11,8,44,0,88,0,0,0,0,0,0,6,0,0,0,0,6,30,0,4,0,0,34,61,29,16,121,4,231,13,6,3,11,0,33,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,9,32,10,6,5,0,53,85,24,37,5,0,151,4,5,0,0,0,9,4,0,3,0,0,7,6,0,0,0,0,6,93,14,16,137,6,266,3,0,0,0,0,3,16,0,0,0,0,16,12,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,9,0,19,409,229,223,705,21,1587,17,7,6,22,853,905,1307,375,371,1834,899,4786
