STE_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1,4168,25237,166084,757092,696370,186496,42973,24304,1902734,1035,12626,66079,55966,8323,1232,343,3027,148636,704,11699,45506,95271,30946,4384,856,2580,191942,1739,24324,111582,151239,39267,5615,1201,5604,340582,3059,29403,72697,21921,2455,490,316,2928,133273,2738,24806,111555,22894,1044,136,133,2436,165740,4057,42636,116738,29781,1120,149,93,2587,197166,3391,35366,65494,16634,671,56,52,1636,123297,195,1751,4171,2097,1274,573,225,271,10553,13451,133954,370658,93320,6568,1404,817,9853,630030,1285,5640,7150,3044,868,252,139,984,19374,408,1634,2098,1423,838,300,191,868,7754,21051,190792,657578,1006121,743910,194074,45329,41623,2900468
2,2063,13985,153100,826580,611693,106826,18613,22575,1755423,550,17938,101929,62165,11678,1158,289,3752,199466,224,3967,37472,66703,20276,2341,371,1438,132782,768,21903,139402,128862,31955,3500,664,5189,332251,1047,21696,52672,17651,1979,217,142,1686,97090,869,16069,30534,4765,282,57,36,681,53293,1017,20432,35627,4996,253,24,26,697,63084,1302,24183,40429,7301,264,24,44,937,74477,24,342,347,201,142,53,22,37,1178,4262,82726,159610,34912,2922,378,275,4041,289120,604,3438,3767,1542,488,94,58,463,10455,105,538,744,761,432,80,89,227,2984,7798,122594,456624,992656,647484,110879,19704,32490,2390232
3,3137,17231,99874,553115,560976,117963,27073,18552,1397920,615,8967,45523,30378,3268,275,133,2254,91413,410,6556,34686,73754,8922,553,216,2045,127140,1024,15517,80207,104130,12192,834,349,4297,218546,1212,16124,38419,13158,1398,227,159,1831,72531,570,8086,39444,8814,467,62,64,967,58479,596,9069,28570,10143,578,46,31,703,49746,710,13588,26210,8467,494,33,17,656,50171,70,618,1026,400,224,136,74,70,2598,3148,47486,133670,40982,3165,502,349,4223,233531,1901,5711,2642,1160,579,109,104,1315,13519,354,1367,1347,1285,665,166,150,614,5947,9560,87315,317737,700672,577576,119570,28022,28998,1869462
4,624,5217,50243,306024,143925,22975,4220,5777,539001,213,6435,35228,29704,2808,338,141,1509,76382,31,923,7340,13376,2050,253,44,240,24256,244,7359,42567,43080,4858,591,184,1752,100639,197,6026,22103,3753,210,37,28,554,32909,60,633,3148,527,26,0,5,57,4459,74,1099,3622,738,37,0,0,63,5635,65,1145,1943,469,10,10,0,37,3689,11,80,94,93,33,19,5,9,340,405,8985,30912,5578,323,62,39,719,47026,284,992,621,482,164,40,22,170,2766,82,341,431,568,237,33,44,147,1881,1644,22895,124773,355736,149497,23704,4502,8562,691313
5,855,6548,43909,288489,360888,50277,9132,8938,769038,181,7476,31959,45645,4499,379,177,1867,92186,95,2370,9718,16561,3597,385,116,421,33264,281,9844,41675,62208,8092,768,288,2283,125450,143,4719,11829,3530,288,31,49,452,21041,194,4101,8236,1842,72,8,6,218,14668,222,5005,8298,2429,92,4,10,198,16268,127,2268,5275,1624,63,3,6,97,9472,26,227,299,134,124,46,36,27,912,711,16320,33933,9567,634,93,109,993,62360,639,2174,1549,623,341,71,43,415,5858,75,343,384,445,324,73,88,288,2023,2557,35236,121450,361327,370284,51288,9670,12919,964734
6,524,3857,30724,104487,39677,7979,1848,2463,191561,64,2385,5326,1079,142,32,10,425,9471,22,398,1959,1139,278,75,19,48,3929,88,2782,7284,2212,422,112,34,469,13402,127,2514,5175,1107,178,44,26,219,9391,61,375,590,113,20,7,3,22,1183,16,151,399,76,6,0,0,11,667,0,0,21,14,0,0,0,0,37,3,116,90,46,26,9,0,0,293,210,3153,6280,1363,235,61,26,258,11575,160,477,307,233,58,13,11,119,1389,28,93,115,112,63,9,26,45,484,1010,10361,44713,108405,40452,8171,1943,3355,218412
7,234,1316,4042,23818,13506,2682,765,846,47212,51,1019,3024,1360,125,8,6,161,5757,12,237,1811,963,118,4,3,66,3207,68,1256,4833,2322,245,16,8,223,8964,65,808,2555,1107,103,11,11,132,4794,52,298,1186,361,5,0,0,46,1947,14,311,1851,1005,24,0,6,47,3268,38,467,1071,935,44,5,0,31,2592,5,18,5,0,3,3,0,3,42,182,1910,6675,3405,182,20,18,260,12644,289,496,112,95,53,10,8,120,1181,52,202,147,89,48,13,16,98,659,819,5172,15812,29719,14031,2742,812,1553,70660
8,67,807,4037,43261,45726,9966,1717,851,106433,33,841,4913,7029,726,55,18,147,13757,34,1140,4264,7882,1618,102,22,107,15164,67,1975,9176,14913,2347,154,38,256,28921,58,1487,2727,1136,141,8,5,75,5628,69,2476,4147,894,82,0,0,75,7745,68,4731,6144,1528,68,4,0,94,12642,49,2439,2961,675,21,0,0,56,6206,14,165,162,65,17,7,0,3,442,262,11301,16139,4292,339,24,10,306,32669,5,56,75,24,3,0,0,4,168,6,52,54,44,33,6,5,9,213,415,14185,29482,62527,48442,10147,1778,1429,168400
9,0,75,260,546,266,51,14,50,1259,0,3,43,37,3,4,0,3,95,0,0,4,6,0,0,0,0,14,0,7,49,40,3,4,0,3,106,0,32,29,14,0,0,0,3,78,0,0,13,25,3,0,0,0,51,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,0,42,49,42,7,0,0,5,141,0,0,0,3,0,0,0,0,5,0,8,5,5,0,0,0,7,23,4,130,354,640,275,59,17,65,1533
