STE_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
1,70,2222,3299,9977,4955,3985,2099,902,235,27739,31,466,465,6740,2387,1700,1406,985,258,14443,35,187,334,4126,1674,3262,5888,5687,3381,24579,99,465,541,1632,959,516,355,116,28,4712,115,943,2042,10394,4534,3137,1724,961,232,24086,141,569,996,7790,6760,7173,5611,2974,676,32691,103,616,1719,7743,2904,2480,2284,1012,197,19054,0,13,21,208,252,943,2701,2025,580,6748,0,17,96,684,379,610,597,285,80,2748,6,71,316,1766,673,536,365,170,60,3962,63,435,10751,22578,1532,312,160,38,3,35871,28,174,199,991,768,939,2240,1878,654,7865,366,2939,5800,18891,11438,10360,7013,2777,601,60183,6,47,107,1089,1178,1963,2459,1261,349,8465,265,1825,2474,10973,2154,1313,574,130,27,19736,3,42,112,482,822,585,312,100,42,2504,271,2290,3985,18295,7131,5595,3672,923,166,42326,11,81,81,1636,804,921,1548,550,290,5914,15,222,493,1466,1027,1101,554,150,19,5049,25,259,391,2265,2111,2997,3174,2250,649,14116
2,31,1244,1566,4931,2503,1749,822,280,75,13201,41,339,368,4082,1264,1090,1004,686,287,9157,12,191,347,3124,1551,4652,9043,8254,4811,31976,63,312,422,993,484,222,174,42,9,2718,49,363,788,3682,1107,446,180,86,16,6723,58,204,368,2718,1968,2000,1477,687,141,9625,140,1494,3706,13261,3773,3186,2800,1046,197,29600,0,21,49,270,376,1337,3332,2306,619,8302,0,77,394,2142,745,1124,925,435,145,5983,18,224,1104,3701,1145,543,302,124,53,7209,29,182,2952,7230,429,122,71,15,4,11034,22,131,206,831,709,979,3074,2461,848,9268,515,4207,5880,18296,8279,6725,3904,1528,313,49638,8,68,143,1549,1396,1997,2667,1181,313,9319,253,1934,2566,10859,1594,658,323,78,15,18279,5,37,74,281,463,216,72,19,7,1172,187,1768,3391,12334,4596,2806,1565,364,68,27068,11,39,75,1180,729,1126,1755,717,378,6006,14,224,441,1317,790,711,306,70,5,3873,15,217,394,2177,1777,2665,2863,1990,567,12659
3,47,556,462,834,450,238,115,35,11,2750,30,394,356,2661,1057,806,738,548,162,6765,12,129,200,1594,549,765,1588,1469,923,7226,69,431,633,1261,761,354,261,89,21,3882,60,646,919,4983,1354,562,222,98,20,8859,3,24,33,233,169,197,135,81,14,892,53,351,813,2744,1186,1151,742,337,69,7439,0,6,15,44,51,215,463,384,99,1283,0,19,55,267,106,164,172,81,12,884,0,65,261,1121,322,199,132,65,20,2189,20,186,1140,3820,208,77,32,6,0,5490,16,116,165,664,703,913,2225,1688,530,7022,714,6025,11101,31362,19093,16638,12466,5093,982,103470,0,3,14,132,86,119,116,59,16,543,42,402,448,1981,387,215,88,23,7,3592,18,371,924,1776,1932,1402,686,177,58,7332,164,1650,2697,7255,3086,1414,586,141,55,17054,3,44,55,679,332,383,573,235,98,2406,12,194,364,1467,873,905,539,164,24,4531,27,304,502,1783,1759,2398,2467,1651,460,11355
4,0,53,105,353,191,113,48,18,0,884,6,99,78,422,247,269,267,205,99,1692,5,52,66,486,338,1009,2432,2353,1381,8122,5,66,76,154,88,23,37,10,0,459,20,134,331,844,288,100,19,12,4,1738,3,42,50,206,167,186,151,78,30,914,30,313,621,1603,540,352,401,194,38,4093,0,6,0,19,22,102,273,170,60,643,0,6,12,46,27,16,13,8,5,133,10,66,224,629,171,68,34,10,4,1212,9,221,790,2509,119,24,27,3,0,3700,3,21,53,167,188,351,1203,809,207,3005,45,288,489,1821,1365,1316,1044,395,67,6825,0,0,5,25,22,33,51,24,14,169,51,515,557,1680,253,95,37,20,4,3212,8,17,31,106,196,96,42,13,3,509,32,506,961,2393,959,466,172,42,12,5545,5,18,34,440,287,410,584,192,118,2079,0,3,10,55,18,6,7,0,0,103,7,90,181,577,662,1454,1387,878,274,5507
5,9,136,195,766,414,276,92,28,10,1927,26,486,498,4766,1107,930,904,539,172,9445,6,118,189,1590,623,1075,2494,2144,1192,9425,55,179,156,491,238,96,80,34,12,1338,25,181,253,1728,377,194,71,21,6,2873,3,27,38,178,147,114,118,46,3,667,54,683,1596,5336,2032,1799,1981,910,190,14580,0,3,6,32,29,81,167,121,24,464,0,64,252,1119,315,364,267,120,44,2548,8,84,288,1453,762,771,624,284,113,4379,8,64,365,1683,126,34,10,0,0,2290,14,91,153,516,472,502,1313,992,308,4361,273,2306,3378,13226,7320,7303,4329,1244,179,39560,0,21,33,380,277,319,404,176,75,1684,69,430,822,2687,363,173,104,31,15,4685,6,48,127,247,323,138,44,0,4,930,87,1856,3194,5919,3293,1089,271,66,5,15784,6,44,57,631,321,397,630,187,94,2368,0,6,30,135,77,50,29,14,6,340,25,425,879,2585,2210,2793,2285,1417,373,12983
6,0,3,0,28,6,8,0,5,0,55,0,13,18,89,53,54,80,48,14,365,0,13,7,73,25,57,129,107,79,493,4,18,24,35,14,3,14,0,0,120,4,33,31,209,30,34,4,3,0,356,0,0,0,25,8,11,6,5,0,62,7,24,118,270,61,50,53,23,11,610,0,0,0,3,7,19,21,18,6,75,0,0,4,21,0,4,3,5,0,43,0,12,33,53,28,12,7,0,0,158,15,137,394,2758,34,10,0,0,0,3348,0,9,14,86,75,114,361,327,87,1064,16,92,128,618,540,601,497,189,36,2720,0,0,0,4,3,4,5,0,0,17,19,46,47,896,28,6,6,0,0,1055,0,0,5,36,58,33,14,3,0,151,18,91,104,300,90,33,31,6,0,659,0,3,7,45,21,43,64,38,16,234,0,0,5,18,6,6,3,0,0,46,0,18,24,106,150,246,323,223,81,1159
7,0,0,3,12,11,5,0,0,0,27,0,17,18,224,36,24,42,18,3,381,0,3,3,106,17,33,55,49,17,294,0,12,4,36,6,9,0,0,0,72,5,14,10,108,12,4,3,0,0,165,0,0,0,21,3,9,3,0,0,30,3,17,24,135,58,40,38,26,3,341,0,0,0,0,0,8,11,0,4,21,0,3,0,36,9,5,0,0,0,53,0,4,4,38,26,11,11,9,0,94,6,37,240,1289,36,8,3,0,0,1623,0,0,0,30,12,21,53,38,9,165,15,104,143,587,372,471,311,88,7,2095,0,0,0,3,0,0,0,0,0,11,11,27,30,347,23,15,3,0,0,450,0,14,9,77,80,41,13,4,3,238,25,254,464,1046,486,212,77,18,4,2591,0,0,0,22,6,15,9,0,0,60,0,0,6,15,9,4,4,0,0,43,0,7,14,64,47,69,56,37,4,292
8,0,28,60,160,69,48,27,9,0,391,0,39,25,162,57,54,58,55,17,463,4,10,20,132,83,140,265,207,107,955,7,45,57,61,32,12,21,0,0,236,13,50,121,727,143,66,32,11,4,1162,0,8,15,79,60,29,38,18,3,248,9,56,158,466,200,202,124,56,17,1282,0,0,0,8,8,18,51,34,4,124,0,9,19,81,20,26,8,3,3,169,0,0,25,128,75,40,28,22,4,322,3,38,470,2451,61,8,15,5,0,3055,8,17,15,52,52,59,136,89,50,473,18,146,307,859,483,424,260,132,33,2664,0,0,11,63,28,47,60,17,6,224,24,140,161,1053,184,77,26,10,0,1671,0,5,13,61,150,68,19,6,0,328,10,155,252,978,338,151,70,19,3,1985,0,6,7,105,66,68,118,45,12,430,0,15,23,44,20,28,8,9,0,149,0,15,42,146,131,203,199,142,50,923
9,0,0,0,13,4,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,4,8,4,43,31,18,62,14,4,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,6,29,28,47,19,13,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,11,0,3,3,6,10,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
