STE_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
1,0,0,7,94,923,2858,4427,3456,566,539,500,557,223,182,287,14623,0,0,17,181,831,4136,11421,6202,1331,1535,1380,1317,597,241,418,29600,61,184,972,1675,1695,2077,3417,2148,471,481,569,677,412,120,254,15214,467,1354,1563,3134,27726,38818,76654,42797,10510,11738,10270,12105,4047,721,5697,247595,112,1471,6686,2138,890,2439,843,226,41,36,43,25,14,8,500,15483,474,1376,3169,2000,2810,2657,3234,2386,525,604,517,479,210,90,604,21142,85,227,554,2293,9514,9140,7980,3004,651,593,788,913,483,238,903,37370,3928,5636,3323,2098,2633,2254,3852,1970,428,454,453,586,291,86,920,28921,411,5850,14312,3408,1009,628,506,1203,170,135,102,93,51,23,1487,29399,118,377,1107,4401,12559,13134,5968,3646,1099,1163,1018,1154,1128,442,811,48129,350,361,2148,3238,6810,17100,58794,41860,13636,14974,18027,19731,7013,1829,3103,208962,114,359,416,1785,4320,7731,9217,5207,1486,1536,1743,2163,929,104,817,37907,12,14,300,1054,3562,3507,5867,7865
2,0,0,3,29,551,2517,7437,8054,1291,1457,1055,1513,581,491,456,25432,0,3,16,103,261,954,3980,2437,506,578,532,508,258,58,98,10295,25,127,528,1081,1124,1347,2338,1712,384,371,434,495,221,87,159,10438,157,458,852,1113,11689,17444,53695,36477,9507,10354,9993,12034,3884,802,2990,171447,88,1436,6821,2313,926,2167,724,209,34,17,16,33,7,5,455,15260,255,1457,2352,1087,1483,1425,2485,1759,267,300,378,261,138,68,362,14085,29,66,167,606,2827,2470,3174,1408,270,290,305,384,172,51,208,12435,3755,6522,3078,1626,2087,1683,2782,1457,310,333,318,396,190,80,747,25365,445,8288,24115,5998,1695,754,601,2121,268,223,155,169,59,18,1727,46623,51,166,500,1616,5445,5471,4337,2846,762,806,879,954,761,277,452,25324,317,251,2624,3662,6381,12388,85762,51846,14957,16964,22643,26065,8542,1831,3948,258193,68,211,241,539,1395,3986,5816,2852,834,1018,1063,1383,793,91,350,20643,11,15,80,247,1450,1275,4254,9253
3,0,0,0,18,102,345,1178,1806,263,257,170,214,144,129,111,4733,0,0,5,37,61,282,1308,734,150,178,208,177,83,37,34,3304,30,129,665,1299,1407,1540,2987,2114,390,462,551,574,362,161,204,12883,138,404,383,419,2627,3979,17407,11361,3300,3702,3766,5191,1768,264,1058,55762,42,372,1309,443,219,757,225,87,23,10,8,12,7,4,119,3633,101,273,339,165,201,200,596,381,91,98,102,190,83,37,97,2955,39,120,360,830,3031,2986,3685,1586,264,297,308,361,185,78,343,14465,2013,3556,2366,1701,2868,1751,3229,1330,265,271,310,448,223,81,559,20981,148,845,1084,357,191,133,119,184,24,26,25,22,6,11,189,3354,49,103,283,695,2083,2608,2183,1688,489,410,529,694,535,201,275,12829,194,191,881,911,1433,2679,24558,16414,3925,4190,5507,6636,2422,598,1280,71819,105,394,328,407,723,1293,2108,1183,318,332,409,529,317,47,198,8696,3,21,40,124,548,520,1925,2937
4,0,0,0,0,31,370,2544,3023,425,421,379,570,157,161,127,8214,0,0,4,3,18,58,697,731,105,156,207,141,100,14,22,2246,3,33,175,305,369,342,590,302,67,90,82,118,72,29,43,2623,30,141,137,265,871,1201,7764,6092,1806,1988,1794,2447,705,84,395,25709,37,432,946,331,148,589,214,29,7,11,3,4,3,0,76,2829,36,225,141,49,105,102,348,245,53,91,72,130,62,12,30,1688,9,27,45,92,262,219,329,124,26,29,42,44,25,3,27,1314,1516,2991,1364,669,791,444,750,351,36,67,58,96,64,8,276,9489,103,2724,3478,718,257,126,124,229,25,17,4,27,10,3,296,8145,14,16,83,179,532,550,714,615,240,260,249,330,315,71,94,4252,95,102,450,432,449,936,13774,8862,2733,3100,4851,5886,2375,252,576,44881,20,102,54,102,163,272,514,429,127,106,152,182,104,10,51,2378,3,8,13,31,400,527,1093,1797
5,0,0,0,17,159,657,1925,1651,199,218,169,320,147,119,139,5724,0,6,13,94,78,157,1066,773,102,113,130,138,95,6,40,2816,9,49,367,698,726,865,1546,941,181,173,194,239,136,55,95,6285,37,41,77,234,1411,2261,10517,6529,1346,1376,1234,2033,670,94,565,28415,92,557,1382,464,305,917,444,127,16,17,5,10,6,0,158,4502,89,156,268,146,180,227,508,512,85,76,69,75,39,26,69,2530,12,36,58,111,261,167,303,242,22,38,52,57,28,50,50,1480,1310,1236,964,859,1702,978,2105,1051,147,146,200,263,122,35,244,11366,118,558,687,257,112,51,76,152,18,17,8,20,12,6,60,2142,15,23,174,496,1049,1037,1350,1012,227,202,243,283,210,61,143,6535,421,304,2419,2076,1969,2781,19770,14797,3076,2526,3679,4400,1543,316,1022,61088,56,159,111,295,1176,2946,4114,2086,482,491,525,632,622,77,291,14062,8,4,8,67,709,697,1528,2216
6,0,0,0,0,0,4,15,129,57,28,13,30,3,3,0,290,0,0,0,4,0,0,99,207,43,69,75,64,20,0,16,595,3,10,92,162,137,138,220,113,19,30,33,45,6,0,11,1022,16,27,31,21,80,135,1058,2073,911,825,747,625,146,14,129,6830,5,54,94,25,6,15,10,7,0,0,0,0,0,0,8,227,3,16,21,5,13,12,22,23,15,13,18,29,6,0,3,201,0,6,27,30,64,54,29,23,4,4,4,3,0,0,10,270,214,477,301,168,292,125,249,95,19,10,15,38,12,5,61,2087,5,97,206,50,27,9,16,20,4,3,5,3,0,0,16,462,3,3,29,40,77,50,124,201,46,57,60,98,58,12,5,858,31,21,94,58,60,120,835,1793,622,666,719,680,242,68,123,6137,13,40,11,16,30,50,137,127,41,34,22,49,22,0,16,601,0,0,4,3,29,24,52,185
7,0,0,0,0,0,0,17,6,0,0,0,0,3,0,5,37,0,0,0,5,12,17,122,218,59,88,76,67,28,3,9,701,0,6,27,47,38,33,74,68,10,12,7,12,4,3,5,357,4,16,13,7,49,53,419,382,134,147,168,190,53,0,52,1705,0,4,15,0,5,0,0,0,0,0,0,0,0,0,3,31,0,3,6,8,0,11,22,5,5,0,4,0,7,0,4,72,0,3,9,18,76,59,108,100,17,28,40,32,17,0,22,526,38,108,92,48,75,75,157,110,10,15,22,30,8,9,28,824,0,83,270,188,96,111,119,203,21,11,0,5,4,0,57,1180,0,7,12,30,59,54,38,64,17,7,14,20,11,4,10,329,9,10,38,43,82,108,1259,1402,420,431,448,484,168,50,86,5045,8,7,8,85,110,217,296,254,78,83,102,105,54,7,34,1439,4,0,0,0,7,12,29,34
8,0,0,0,6,35,107,196,260,23,29,32,18,8,11,4,745,0,0,6,16,65,284,770,387,86,104,79,56,61,11,25,1938,0,20,84,195,164,214,281,191,23,48,43,52,46,12,16,1386,17,40,47,99,585,1124,3297,2794,901,1011,881,813,274,33,232,12149,7,137,623,235,113,127,38,33,4,0,6,0,0,0,27,1347,17,13,47,32,37,40,120,112,22,31,33,23,7,5,9,541,4,10,21,56,226,213,289,110,17,21,17,17,19,13,30,1059,378,470,242,154,190,197,280,123,32,28,23,38,12,3,45,2210,27,216,399,156,37,21,23,50,3,5,7,4,5,0,41,1000,10,22,70,184,387,348,335,244,49,51,39,48,50,16,38,1899,28,27,130,218,439,1111,5555,4232,1001,1160,1283,1186,461,95,270,17203,9,31,35,69,121,163,299,203,45,75,85,90,68,15,13,1325,0,0,6,22,123,122,219,334
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,4,0,0,3,0,0,8,42,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,7,0,0,0,0,0,0,0,9,26,0,0,0,0,0,6,6,4,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0
