STE_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1,1739,1969,8602,12798,19160,36790,62206,56505,33003,232770,363,1432,7032,7574,9876,14051,14144,11817,7478,73758,22759,30733,76791,65877,54806,52806,52404,47336,34429,437933,198791,494939,1140848,1102195,1015874,960700,787801,451055,183724,6335929
2,2118,2493,9373,12889,16435,26881,52140,65268,37897,225492,413,1718,7258,8333,9668,11512,11239,10652,6537,67341,16096,21992,57185,47836,40997,38678,39254,34374,23451,319857,140186,409377,974630,917939,826127,745862,605002,344544,142374,5106044
3,1600,1428,4837,6968,10210,17159,38078,49623,24485,154385,303,769,3239,3452,3920,4117,3623,2677,1606,23716,16361,22325,52026,44656,42058,38090,34015,28119,17778,295426,141418,323275,701291,687442,673759,614962,503163,274816,97078,4017211
4,429,527,2141,3062,3446,5969,13891,19003,12433,60898,87,298,1402,2035,2549,2460,2128,1974,1469,14399,3850,4875,11578,10615,10548,10834,11034,9810,6142,79282,40007,108639,235036,226485,224504,227029,196244,112588,47295,1417830
5,731,676,2260,3353,4467,6705,12393,15210,9160,54960,142,306,1577,2169,2517,2550,2231,1873,1353,14709,7151,10102,27613,25541,23035,19824,16417,13593,9161,152434,69756,158543,372097,379247,348031,313235,247214,131015,50061,2069214
6,178,184,572,629,866,1807,3503,4008,3201,14954,29,68,339,322,416,372,320,225,131,2230,1422,1653,4239,3505,3586,4200,4745,3926,1993,29276,12964,30981,76616,65920,69171,75365,66963,36628,12993,447596
7,550,495,1113,1198,1353,1388,1502,837,258,8692,70,113,243,300,379,431,467,250,107,2364,1254,1703,4630,3708,3374,2755,1731,697,220,20074,7638,15734,42845,35791,29946,24210,14485,5152,1162,176956
8,78,73,300,396,478,844,1550,1690,991,6407,18,50,274,234,261,289,269,286,155,1838,1142,1895,3732,2620,1975,1603,1691,1338,813,16810,11779,34209,77699,69351,56183,45385,35656,19342,7180,356782
9,0,0,3,5,15,33,67,21,3,146,0,0,0,0,9,30,43,26,9,119,23,56,211,153,135,128,84,52,5,860,85,218,578,636,655,767,586,257,66,3851
