STE_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
1,47069,44443,91509,47785,45457,93238,48413,45172,93583,48218,45414,93627,49228,46860,96089,240712,227347,468056,50931,48209,99138,50695,47730,98424,51130,48732,99869,52291,49107,101396,52384,49606,101990,257439,243381,500810,51683,48733,100410,52031,49435,101468,51390,48683,100073,51167,48761,99931,51171,48082,99256,257440,243693,501135,49266,46415,95677,48078,44841,92918,46821,43797,90621,46225,43497,89717,45766,43203,88965,236148,221749,457896,48789,45315,94113,51023,47724,98754,50847,48082,98930,51272,49214,100484,52878,51031,103908,254808,241374,496185,53863,52415,106275,55473,54677,110143,55729,55662,111391,56436,56836,113275,56643,58243,114884,278145,277829,555967,57664,60243,117902,58250,60502,118750,57560,59998,117558,56304,59574,115879,56268,59703,115966,286043,300011,586057,57342,59379,116722,57330,59415,116750,57029,59274,116300,57442,59388,116834,56181,57394,113578,285334,294854,580185,55449,56194,111647,52879,53205,106089,51375,52683,104059,49725,51297,101025,49427,50746,100170,258854,264127,522984,49240,50715,99953,49572,50995,100565,50340,52304,102648,51259,53602,104859,53184,55705,108891,253591,263323,516915,53467,56529,109997,49130,51538,100667,48590,51316,99908,46355,49086,95435,46032,47988,94023,243567,256461,500027,46275,47568
2,37231,35848,73078,38213,36083,74289,38211,36662,74874,39161,36800,75963,39870,37831,77699,192679,183222,375900,41504,39100,80605,40966,38925,79890,41368,38922,80286,41819,39472,81297,41092,39004,80094,206739,195427,402168,40121,37897,78020,40503,38880,79384,40180,37738,77920,40163,37784,77951,40281,37841,78121,201248,190141,391388,38559,36572,75127,37290,34963,72251,36998,34938,71937,36686,34815,71508,36984,35402,72381,186517,176690,363201,39734,37355,77087,41299,39587,80888,41702,39649,81344,42677,40456,83133,45123,42757,87877,210533,199803,410337,47108,44374,91481,48564,46457,95022,48385,47257,95647,47893,48528,96423,47538,49427,96971,239492,236041,475532,48813,50935,99747,48879,52093,100974,48483,51273,99752,48537,51465,100003,48800,50684,99485,243510,256446,499959,48780,51260,100039,48663,51140,99805,47957,49686,97644,48259,49543,97801,46621,48019,94638,240280,249649,489927,45618,46430,92051,43276,44024,87302,42124,42919,85041,41134,41736,82867,40273,41277,81549,212433,216377,428808,40144,40888,81035,40130,41895,82025,40279,42735,83018,40700,42750,83451,42032,44969,87002,203297,213232,416524,42781,46336,89119,40445,42756,83211,40080,42660,82736,38648,40516,79165,37073,39056,76128,199037,211322,410360,36877,38971
3,28736,27147,55887,29803,28022,57822,30238,28307,58538,30479,28826,59308,31446,29449,60898,150708,141746,292452,32741,31393,64136,33272,31285,64560,33997,32215,66216,34523,32457,66979,34478,32946,67420,169015,160289,329311,34454,33081,67540,35173,33643,68815,35548,33481,69031,35650,33292,68947,35495,32736,68230,176322,166240,342560,34153,32117,66267,33040,30939,63972,31746,30279,62030,30532,29511,60048,31049,30141,61190,160521,152988,313506,32238,31443,63685,32573,31721,64289,32208,31953,64163,32787,32564,65347,33084,33170,66251,162887,160852,323739,33944,33762,67706,34528,34946,69469,34687,34986,69671,34583,35482,70063,34314,36465,70782,172049,175639,347687,34951,36886,71838,35193,36715,71904,34047,36335,70387,33917,36065,69986,33915,36008,69919,172022,182016,354033,34658,36810,71464,34406,37022,71431,34377,36724,71095,35221,37642,72869,34476,35785,70264,173137,183981,357120,34131,35485,69621,32481,34180,66659,32095,33657,65752,31171,32962,64133,31368,33165,64532,161248,169446,330692,31744,33374,65113,32040,33848,65891,33183,34411,67594,34136,35842,69978,34865,36848,71712,165968,174326,340287,35809,37546,73354,33133,34856,67987,32297,34042,66341,30942,32488,63434,30691,32037,62731,162879,170965,333843,29916,31476
4,9461,8972,18435,9488,9044,18533,9557,9156,18711,9885,9226,19108,9967,9468,19437,48352,45872,94232,10446,9981,20435,10420,9867,20284,10713,10072,20781,10772,10187,20957,10950,10350,21300,53299,50452,103750,10636,10101,20734,10992,10131,21118,10794,10276,21075,10761,10428,21190,10741,10305,21044,53923,51237,105159,10578,9802,20377,10106,9635,19743,10287,9534,19820,9975,9469,19438,10175,9605,19776,51114,48041,99152,10620,10095,20713,11227,10454,21687,11241,10597,21833,11384,10755,22147,11678,11111,22795,56156,53018,109174,12039,11301,23339,12295,11550,23853,11643,11535,23176,11831,11692,23519,11548,11766,23310,59349,57839,117195,11790,11875,23664,11696,11993,23689,11790,11806,23588,11523,12030,23553,11516,12079,23599,58318,59780,118095,11728,12297,24027,11835,12168,24009,11858,12266,24123,11828,12022,23845,11306,11693,22996,58550,60441,118993,11219,11472,22692,10737,10924,21653,10613,10674,21286,10277,10556,20831,10481,10715,21196,53324,54335,107667,10446,10515,20960,10630,10665,21292,10696,10940,21639,10966,11331,22298,11511,12007,23523,54259,55457,109716,12025,12257,24286,11439,11756,23197,11405,11642,23048,11159,11393,22552,10742,11103,21843,56769,58152,114921,10859,11280
5,15832,15012,30846,16342,15500,31834,16673,15619,32290,16943,15992,32934,17469,16381,33849,83249,78503,161753,18009,16846,34850,17727,16576,34300,17583,16895,34478,17780,16872,34659,17516,16846,34363,88612,84042,172654,17718,16818,34541,17688,16826,34513,17513,16281,33793,17642,16790,34436,17579,16524,34096,88139,83238,171377,16744,15971,32715,16090,15039,31122,15829,14730,30554,15004,14531,29533,15017,14313,29332,78685,74580,153263,15758,14803,30557,16007,15387,31397,16393,15607,31998,16360,15706,32066,16599,16200,32805,81122,77702,158817,17258,16511,33766,17753,17282,35043,17691,17766,35455,17393,18148,35545,17967,18272,36239,88058,87980,176045,18612,19512,38120,19061,19839,38897,19180,20264,39446,19392,20262,39652,19665,20524,40198,95911,100399,196312,20082,20688,40766,20028,20600,40627,19946,20412,40354,20039,20212,40253,19434,19463,38900,99534,101372,200904,19174,19178,38349,18091,18154,36245,17639,17918,35558,17357,17133,34495,16930,17008,33938,89191,89399,178589,17204,17051,34250,16909,17352,34262,17016,17251,34262,17549,17454,35004,18394,18467,36858,87066,87572,174632,18791,18887,37681,17559,17531,35087,17479,17538,35019,16649,16732,33385,16207,16249,32458,86687,86940,173622,16119,16246
6,2819,2670,5487,2886,2760,5651,2933,2730,5659,2911,2715,5626,2973,2878,5852,14520,13756,28277,3189,2950,6136,3121,2979,6104,3176,3115,6292,3221,3122,6345,3170,3100,6270,15881,15274,31150,3391,3174,6568,3338,3084,6422,3471,3346,6821,3441,3240,6682,3480,3246,6725,17123,16088,33212,3356,3127,6484,3238,3011,6253,3047,2886,5935,2944,2792,5739,2936,2721,5659,15523,14544,30065,3017,2881,5898,3136,2863,6003,3096,3125,6219,3184,3040,6226,3364,3316,6676,15806,15216,31024,3585,3545,7131,4011,3771,7783,4071,3918,7991,3986,3944,7930,3928,3993,7919,19582,19166,38756,3965,4050,8024,3927,3950,7878,3762,3783,7548,3564,3738,7302,3562,3595,7158,18784,19123,37908,3526,3649,7170,3434,3715,7147,3333,3589,6924,3277,3411,6693,3290,3485,6774,16860,17851,34708,3089,3444,6529,2992,3239,6227,3078,3231,6306,2958,3205,6159,2917,3101,6015,15034,16213,31246,3082,3201,6285,3093,3276,6365,3208,3332,6550,3232,3587,6819,3481,3734,7216,16092,17136,33228,3625,3993,7624,3484,3722,7205,3512,3763,7278,3378,3621,6999,3239,3639,6874,17244,18731,35976,3163,3508
7,1566,1492,3055,1758,1583,3339,1665,1572,3236,1716,1528,3244,1746,1601,3344,8445,7774,16224,1694,1668,3362,1820,1667,3485,1723,1579,3301,1633,1662,3291,1692,1706,3398,8565,8276,16842,1708,1589,3292,1728,1560,3286,1614,1525,3139,1606,1479,3089,1561,1464,3031,8218,7616,15836,1482,1440,2928,1462,1363,2827,1464,1316,2786,1468,1383,2849,1438,1356,2792,7320,6857,14183,1619,1361,2981,1538,1364,2900,1646,1470,3113,1755,1585,3338,1769,1690,3458,8321,7473,15791,1945,1999,3945,2057,2037,4099,2054,2164,4220,2111,2222,4333,2090,2248,4339,10262,10674,20936,2261,2456,4711,2212,2297,4507,2120,2198,4323,2062,2190,4252,2013,2146,4161,10671,11289,21952,2095,2101,4187,1844,2143,3982,1961,1983,3945,1881,1890,3771,1724,1786,3506,9496,9900,19396,1890,1887,3779,1596,1688,3287,1670,1640,3309,1438,1617,3055,1562,1432,2994,8162,8259,16421,1539,1560,3102,1488,1395,2881,1485,1488,2976,1527,1514,3042,1551,1503,3059,7594,7460,15056,1710,1672,3375,1551,1523,3077,1468,1471,2942,1336,1447,2781,1388,1352,2741,7451,7459,14911,1390,1358
8,2719,2399,5121,2695,2610,5306,2724,2597,5322,2683,2582,5262,2938,2719,5664,13766,12918,26680,3005,2816,5824,3066,2829,5894,3040,2834,5869,2987,2900,5888,2914,2770,5686,15002,14158,29162,2907,2729,5635,2950,2778,5724,2788,2575,5364,2671,2526,5200,2701,2479,5170,14012,13086,27097,2666,2411,5081,2456,2272,4730,2414,2294,4708,2867,2847,5712,3012,3103,6119,13415,12936,26348,3199,3114,6315,3395,3313,6709,3477,3397,6878,3490,3640,7132,3528,3701,7230,17084,17173,34261,3711,3678,7385,3977,3862,7845,4010,3976,7984,4067,4019,8090,3966,4007,7971,19738,19543,39282,3923,4008,7933,3960,3987,7939,3730,3889,7619,3653,3807,7456,3698,3815,7512,18969,19497,38468,3742,3795,7534,3646,3934,7574,3675,3830,7501,3673,3649,7326,3589,3709,7299,18318,18918,37236,3519,3542,7069,3170,3414,6587,3223,3207,6434,3101,2943,6044,2994,3016,6012,16018,16129,32148,2893,2832,5725,2978,2987,5972,2852,2912,5763,2857,3042,5894,2911,3027,5936,14486,14795,29284,3024,3028,6055,2751,2808,5557,2609,2749,5353,2560,2544,5102,2416,2440,4856,13353,13570,26925,2327,2543
9,24,17,43,28,18,38,24,24,54,26,25,50,26,27,51,132,109,243,19,35,59,25,31,59,40,26,71,28,15,50,36,27,65,150,141,292,39,21,62,25,30,56,48,18,66,24,29,58,30,26,53,167,130,295,27,20,49,20,22,43,16,23,39,11,20,33,18,14,25,88,103,189,12,21,29,20,14,31,16,18,34,21,34,60,32,28,63,108,104,218,23,20,44,36,16,51,40,22,62,33,29,56,35,31,67,163,113,277,37,18,57,30,23,54,22,32,52,52,29,77,38,26,67,176,126,301,33,28,62,33,28,57,34,41,81,46,31,82,27,41,69,176,166,350,32,24,61,34,26,62,27,33,63,29,30,58,25,20,46,145,140,288,27,24,51,22,25,47,39,29,73,37,32,68,38,37,70,165,140,310,42,38,78,44,36,74,37,39,76,30,31,65,34,26,61,180,171,354,39,42
