STE_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
1,..,4744,144574,305900,286189,273551,237635,133103,32777,1418472,..,24295,114179,66475,49942,36946,19679,6420,921,318859,..,663,3907,11540,19454,14503,7151,4206,2850,64272,707859,..,..,..,..,..,..,..,..,707859,..,190082,..,..,..,..,..,..,..,190082,..,146843,100981,35091,23216,11139,1816,54,0,319139,..,20845,20017,8446,8268,10924,9591,5477,2903,86467,..,13377,21597,8885,6659,5073,2507,789,167,59049,..,31344,58609,18302,13582,14306,10708,3987,793,151635,..,12206,44464,43772,50069,64327,58119,35273,14886,323110,8984,11140,11831,8075,6971,6089,4996,2155,706,60940,716839,455528,520167,506477,464356,436859,352197,191464,56000,3699885,..,11029,202519,326153,293763,269477,215177,96571,14775,1429464,..,35928,119941,62959,47318,32693,14935,3946,462,318187,..,6742,35204,62076,75193,45166,21791,16212,11077,273459,669431,..,..,..,..,..,..,..,..,669431,..,197499,..,..,..,..,..,..,..,197499,..,98187,64510,17633,12183,8158,1931,90,0,202699,..,17172,13421,4960,7345,18257,22487,16315,9643,109606,..,12753,14827,4911,3448,2850,1479,506,206,40983
2,..,2819,116566,258097,234301,214833,181560,101701,25493,1135368,..,17890,104968,59726,42349,28680,14112,4440,621,272791,..,493,2714,8682,15781,11917,5428,2981,2031,50021,567564,..,..,..,..,..,..,..,..,567564,..,163649,..,..,..,..,..,..,..,163649,..,109560,79264,25175,17261,7645,1227,31,0,240153,..,16647,18581,6620,6039,7415,6248,3313,1804,66660,..,10092,16732,5573,3713,2660,1264,403,93,40525,..,30683,57699,15194,9686,9127,6571,2486,491,131938,..,10863,43557,39550,43555,50465,44461,26341,12080,270872,5666,7733,9389,5910,5065,4404,3582,1663,473,43890,573233,370433,449470,424521,377754,337134,264451,143353,43085,2983442,..,6908,163809,270774,237418,210351,166734,75267,11612,1142872,..,26200,110343,56506,40331,24898,10899,2674,317,272174,..,3660,23928,48407,63638,36497,16160,11879,7854,212011,537263,..,..,..,..,..,..,..,..,537263,..,170373,..,..,..,..,..,..,..,170373,..,73262,53001,12938,9209,5620,1272,53,0,155356,..,14248,12402,4034,5363,13167,14957,10250,5965,80379,..,9065,10748,2860,1860,1401,757,240,108,27037
3,..,3151,81561,169601,175338,164716,146802,80690,16785,838650,..,24381,82372,49152,37425,26085,13486,4374,612,237876,..,690,3779,10332,14435,8711,4202,2347,1424,45920,462672,..,..,..,..,..,..,..,..,462672,..,108324,..,..,..,..,..,..,..,108324,..,90142,44493,17645,11833,5359,858,28,0,170357,..,14976,11826,5278,5079,6292,5725,3253,1492,53922,..,10700,13279,5421,4359,3042,1751,583,136,39267,..,23195,32783,10865,9638,10285,7764,2992,506,98031,..,9429,28039,27945,34174,40916,37707,21956,8321,208483,6093,8574,8417,5679,5109,4829,4074,1632,388,44795,468768,293555,306545,301927,297387,270235,222367,117865,29660,2308304,..,6208,112368,190569,183951,166076,133953,57925,7568,858635,..,35624,87967,48532,36554,23602,10249,2750,295,245581,..,6031,29308,47966,50553,24375,11954,8526,5392,184111,437205,..,..,..,..,..,..,..,..,437205,..,112080,..,..,..,..,..,..,..,112080,..,59436,26228,8210,6447,4458,1089,46,0,105915,..,13027,7945,2978,4901,10884,12600,8861,4644,65833,..,10700,9157,2926,2271,1986,1086,381,101,28598
4,..,945,29697,58637,58653,60612,57686,33331,8297,307854,..,5817,24886,14810,12084,9603,5080,1514,222,74004,..,206,1132,3383,5395,3656,1571,809,589,16742,147344,..,..,..,..,..,..,..,..,147344,..,39922,..,..,..,..,..,..,..,39922,..,31845,19672,6774,4658,2266,306,11,0,65531,..,4917,4220,1658,1515,1919,1567,759,431,16989,..,3045,3824,1382,939,764,357,67,25,10409,..,7567,11296,3667,2967,3031,2074,681,141,31429,..,3184,10887,11201,15055,18944,16442,9211,4482,89409,2102,2873,3045,2111,1832,1649,1343,553,165,15678,149449,100318,108666,103632,103099,102441,86417,46929,14352,815308,..,2159,40754,64219,60741,61380,54182,25352,3805,312593,..,8822,26569,14823,11993,8866,4159,991,122,76347,..,1545,8522,15362,17603,10022,4491,3147,2153,62844,139604,..,..,..,..,..,..,..,..,139604,..,41288,..,..,..,..,..,..,..,41288,..,20818,11652,2926,2088,1544,367,18,0,39410,..,4173,2734,828,1316,3205,3351,2225,1341,19177,..,2904,2728,702,433,337,180,49,17,7351
5,..,1366,43319,95770,92861,85369,72851,38894,9226,439662,..,9088,39531,24502,17324,12565,6172,1806,293,111261,..,257,1479,4564,6894,4439,2045,977,599,21263,243483,..,..,..,..,..,..,..,..,243483,..,58990,..,..,..,..,..,..,..,58990,..,46314,24862,8558,5274,2280,399,10,0,87698,..,7688,6425,2585,2134,2538,2115,1126,580,25186,..,3784,5450,2247,1469,961,502,168,29,14603,..,9125,15733,5451,4053,3799,2553,914,184,41810,..,4983,17225,17273,18640,21537,19133,10593,4414,113793,3223,3823,4004,3094,2540,2262,1888,832,234,21893,246700,145418,158035,164039,151190,135737,107655,55315,15553,1179643,..,3051,64697,109015,97996,85873,66281,28237,4361,459503,..,14409,45065,24861,17717,11381,4604,1191,137,119355,..,2234,12572,22097,23517,12648,5657,3666,2381,84771,230160,..,..,..,..,..,..,..,..,230160,..,60827,..,..,..,..,..,..,..,60827,..,31822,14773,3827,2548,1803,455,16,0,55248,..,6781,4069,1486,2124,4720,5437,3391,2024,30030,..,3633,3530,1099,701,578,269,89,34,9929
6,..,343,9139,15010,16329,19076,19001,10497,2216,91618,..,2194,8645,5617,4710,3859,2072,612,73,27784,..,86,488,1215,1685,1138,475,295,153,5524,44480,..,..,..,..,..,..,..,..,44480,..,10168,..,..,..,..,..,..,..,10168,..,9901,4985,1892,1453,602,101,0,0,18937,..,1280,1098,408,440,603,517,275,127,4749,..,1100,2422,537,284,206,130,45,15,4730,..,1812,4307,986,785,923,732,292,74,9915,..,842,3059,3037,4377,6263,5876,3241,1316,28013,687,1059,1140,703,652,670,591,250,45,5805,45169,28793,35272,29400,30724,33338,29501,15510,4008,251722,..,743,11815,16478,17777,19847,17394,7679,1050,92775,..,3231,9407,5593,4695,3460,1559,355,35,28337,..,746,3485,5284,5333,2735,1325,993,552,20461,42192,..,..,..,..,..,..,..,..,42192,..,10444,..,..,..,..,..,..,..,10444,..,6321,2629,854,687,465,94,7,0,11050,..,1012,595,228,390,954,942,662,353,5138,..,1086,1648,339,131,121,79,33,15,3438
7,..,618,5077,7664,6342,5216,3344,1263,173,29698,..,1044,3801,2540,1932,1252,519,111,11,11212,..,67,225,472,581,422,238,77,29,2109,22653,..,..,..,..,..,..,..,..,22653,..,3286,..,..,..,..,..,..,..,3286,..,4319,1990,745,346,109,4,0,0,7516,..,1518,1054,614,552,492,317,145,44,4737,..,456,874,264,186,161,80,16,4,2044,..,788,1738,599,511,452,276,83,8,4448,..,494,1540,1280,1604,1789,1437,503,100,8748,467,421,526,359,302,249,177,52,10,2556,23122,13003,16822,14536,12355,10143,6400,2255,386,99026,..,988,6858,8317,6426,4755,2608,710,58,30724,..,1465,4340,2684,1902,1082,355,59,3,11899,..,450,1623,2155,1868,1012,511,250,89,7961,21294,..,..,..,..,..,..,..,..,21294,..,3320,..,..,..,..,..,..,..,3320,..,3058,1243,438,248,88,18,0,0,5091,..,1206,769,443,618,849,737,315,114,5048,..,433,680,192,121,98,37,18,0,1575
8,..,283,10210,20130,16690,13218,10881,5849,1388,78645,..,1896,8659,4489,3006,1853,896,248,31,21087,..,22,244,886,1310,740,280,143,88,3718,40853,..,..,..,..,..,..,..,..,40853,..,10396,..,..,..,..,..,..,..,10396,..,6593,3858,1228,780,323,55,0,0,12842,..,1198,1309,389,310,341,272,150,87,4057,..,1103,2132,493,231,161,47,21,3,4197,..,3156,4882,1166,654,533,289,98,22,10798,..,899,3965,3253,3060,2998,2409,1356,628,18550,422,729,805,525,386,310,239,102,32,3543,41270,26278,36055,32551,26432,20477,15361,7972,2290,208687,..,679,13827,21012,16175,12663,9898,4300,663,79213,..,2776,8926,4234,2809,1591,670,172,19,21205,..,210,1532,3362,3940,2113,865,560,356,12933,38318,..,..,..,..,..,..,..,..,38318,..,10185,..,..,..,..,..,..,..,10185,..,4710,2363,660,388,211,65,0,0,8393,..,1024,967,298,282,698,830,605,270,4975,..,993,1393,257,116,76,36,10,7,2892
9,..,6,54,121,126,156,151,59,13,693,..,12,35,27,39,48,13,9,0,187,..,0,0,9,11,9,6,3,0,35,374,..,..,..,..,..,..,..,..,374,..,41,..,..,..,..,..,..,..,41,..,60,25,15,3,0,0,0,0,103,..,11,4,8,4,8,4,3,7,51,..,0,3,0,0,0,0,0,0,7,..,5,0,4,0,12,3,0,0,24,..,11,22,23,37,72,52,21,4,239,6,5,0,6,6,16,14,0,6,59,387,144,160,212,233,310,250,98,32,1828,..,9,69,142,128,174,114,48,0,694,..,16,46,44,39,34,11,0,0,195,..,4,12,23,37,14,11,6,4,105,318,..,..,..,..,..,..,..,..,318,..,57,..,..,..,..,..,..,..,57,..,42,11,9,9,4,0,0,0,71,..,11,7,3,5,9,6,11,3,54,..,3,4,0,0,0,0,0,0,9
