STE_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
1,15576,14664,30241,214484,202440,416924,10648,10236,20890,240712,227347,468056,16250,14865,31114,228254,216269,444523,12930,12246,25176,257439,243381,500810,15932,15281,31215,228953,216695,445650,12561,11716,24272,257440,243693,501135,14115,13399,27517,210605,198091,408698,11421,10260,21683,236148,221749,457896,12094,11893,23983,229100,217551,446647,13622,11933,25555,254808,241374,496185,10492,10577,21068,252055,252473,504530,15588,14784,30374,278145,277829,555967,8610,8941,17545,262226,276397,538624,15208,14682,29891,286043,300011,586057,7279,7781,15057,263562,272975,536530,14494,14101,28599,285334,294854,580185,6270,6840,13111,239773,245268,485043,12810,12024,24829,258854,264127,522984,6563,7363,13929,234911,244656,479566,12115,11305,23419,253591,263323,516915,6304,7195,13498,225800,239177,464974,11464,10092,21561,243567,256461,500027,5515,6241,11747,223450,233346,456800,11385,10226,21602,240344,249809,490155,4779,5273,10046,213319,228710,442029,10242,9310,19555,228335,243291,471628,8408,9561,17973,621998,711954,1333955,33003,39223,72220,663408,760737,1424145,138179,139862,278043,3648494,3756002,7404499,197499,192121,389616,3984166,4087995,8072163
2,3560,3460,7014,181440,172430,353868,7677,7332,15012,192679,183222,375900,3616,3451,7067,193885,183254,377136,9245,8718,17964,206739,195427,402168,3569,3414,6986,188707,178318,367025,8970,8407,17376,201248,190141,391388,3062,2963,6020,175504,166242,341743,7951,7490,15437,186517,176690,363201,2973,2963,5940,197546,188058,385605,10013,8778,18787,210533,199803,410337,2813,2669,5481,224081,221757,445843,12590,11617,24206,239492,236041,475532,2308,2322,4626,229574,242703,472273,11630,11425,23055,243510,256446,499959,1890,1850,3741,227317,236908,464226,11069,10887,21957,240280,249649,489927,1587,1676,3266,201080,205787,406864,9764,8916,18681,212433,216377,428808,1600,1669,3266,192476,203028,395501,9220,8534,17758,203297,213232,416524,1632,1678,3309,188508,201698,390205,8895,7947,16844,199037,211322,410360,1302,1434,2736,177008,188427,365442,8315,7419,15736,186632,197285,383916,1086,1135,2224,166032,179852,345877,7484,7046,14529,174604,188031,362634,1864,2089,3955,477673,558894,1036561,24444,27873,52321,503975,588854,1092838,32862,32782,65646,3020829,3127350,6148188,147273,142391,289665,3200963,3302528,6503491
3,13189,12549,25731,130358,122527,252887,7169,6671,13833,150708,141746,292452,13728,13151,26873,146576,138899,285471,8713,8252,16969,169015,160289,329311,14111,13448,27564,153160,144529,297682,9047,8260,17303,176322,166240,342560,11943,11719,23665,140438,133685,274126,8141,7579,15719,160521,152988,313506,10214,10326,20541,142076,141268,283336,10601,9260,19862,162887,160852,323739,9065,9212,18280,150689,155449,306135,12293,10979,23270,172049,175639,347687,7475,7856,15330,152680,163945,316625,11868,10214,22080,172022,182016,354033,6387,6974,13360,155466,167317,322782,11291,9692,20976,173137,183981,357120,5643,6214,11856,145488,154987,300479,10118,8243,18357,161248,169446,330692,5750,6420,12173,149603,159499,309100,10611,8396,19013,165968,174326,340287,5434,6072,11504,147145,156959,304105,10301,7935,18236,162879,170965,333843,4517,5059,9574,140037,149707,289741,9447,7615,17065,153996,162382,316378,3706,4074,7782,133143,142942,276084,8303,6745,15053,145164,153762,298919,5934,7128,13065,386112,430382,816492,22441,23601,46042,414486,461111,875598,117102,120203,237303,2272966,2362078,4635042,150339,133453,283793,2540404,2615736,5156138
4,2363,2175,4544,44386,42084,86465,1608,1614,3221,48352,45872,94232,2381,2266,4647,48917,46259,95177,1994,1932,3930,53299,50452,103750,2395,2329,4724,49443,46991,96432,2091,1917,4003,53923,51237,105159,2119,1973,4090,47055,44271,91331,1935,1799,3735,51114,48041,99152,1844,1832,3673,52074,49232,101308,2235,1954,4189,56156,53018,109174,1685,1690,3379,55077,53923,109002,2589,2227,4817,59349,57839,117195,1439,1538,2978,54371,56044,110412,2501,2201,4707,58318,59780,118095,1237,1270,2508,54809,56997,111806,2510,2178,4686,58550,60441,118993,985,1060,2042,50005,51363,101365,2338,1917,4258,53324,54335,107667,985,1143,2126,50857,52273,103135,2417,2044,4459,54259,55457,109716,1020,1157,2175,53251,55044,108291,2503,1951,4456,56769,58152,114921,814,952,1765,52776,55326,108106,2455,1978,4430,56042,58255,114300,732,786,1522,51742,55347,107090,2244,1989,4238,54719,58125,112846,1140,1249,2392,156495,182914,339411,6773,7744,14518,164412,191906,356321,21140,21420,42562,821254,848056,1669314,36197,33445,69646,878592,902924,1781516
5,4859,4406,9264,74958,70958,145920,3432,3140,6571,83249,78503,161753,4997,4537,9532,79603,75598,155204,4017,3900,7918,88612,84042,172654,4819,4818,9632,79361,74725,154086,3964,3690,7657,88139,83238,171377,4349,4179,8530,70937,67274,138215,3387,3122,6514,78685,74580,153263,3877,3593,7469,72446,70236,142679,4794,3871,8662,81122,77702,158817,3588,3454,7047,78023,79528,157552,6449,4998,11444,88058,87980,176045,3347,3119,6468,85501,92239,177738,7056,5048,12107,95911,100399,196312,2826,2751,5579,89772,93738,183515,6934,4881,11817,99534,101372,200904,2459,2407,4867,80456,83139,163601,6272,3849,10116,89191,89399,178589,2323,2297,4622,78678,81386,160060,6067,3886,9953,87066,87572,174632,2021,2319,4335,78621,80871,159491,6045,3754,9801,86687,86940,173622,1764,1941,3707,73697,76457,150159,5349,3565,8912,80808,81965,162778,1401,1523,2924,67968,72217,140190,4425,3124,7551,73796,76868,150667,2080,2631,4716,189600,213197,402802,10324,10777,21104,202002,226613,428615,44716,43985,88693,1199627,1231581,2431204,78514,61613,140128,1322855,1337171,2660026
6,1517,1360,2875,12395,11808,24200,612,589,1196,14520,13756,28277,1599,1558,3162,13533,13008,26543,743,703,1449,15881,15274,31150,1771,1709,3476,14565,13662,28226,792,720,1510,17123,16088,33212,1510,1372,2878,13255,12520,25776,760,651,1406,15523,14544,30065,1237,1207,2443,13811,13298,27109,760,715,1470,15806,15216,31024,984,1091,2076,17723,17228,34952,875,854,1728,19582,19166,38756,899,1042,1942,16974,17246,34219,910,830,1743,18784,19123,37908,797,979,1784,15248,16060,31307,818,806,1619,16860,17851,34708,656,826,1485,13650,14718,28367,724,668,1391,15034,16213,31246,691,783,1476,14589,15687,30280,812,660,1473,16092,17136,33228,750,876,1624,15650,17043,32693,846,813,1654,17244,18731,35976,602,770,1373,16389,17546,33934,893,791,1690,17883,19109,36993,619,672,1290,17001,18407,35405,868,834,1703,18485,19911,38395,1127,1175,2304,50971,57545,108513,2853,2968,5818,54953,61683,116639,14761,15425,30186,245743,255785,501521,13265,12591,25851,273765,283804,557571
7,2794,2572,5365,5124,4729,9848,528,475,1009,8445,7774,16224,3012,2776,5791,4973,4866,9838,583,630,1215,8565,8276,16842,3103,2913,6020,4535,4195,8735,574,507,1087,8218,7616,15836,3049,2840,5891,3780,3540,7322,493,473,967,7320,6857,14183,2871,2668,5538,4713,4229,8942,741,568,1311,8321,7473,15791,2655,2604,5256,6640,7205,13841,969,865,1837,10262,10674,20936,2425,2498,4922,7252,7942,15196,991,849,1836,10671,11289,21952,2078,2264,4342,6578,6895,13471,847,736,1584,9496,9900,19396,1905,1922,3828,5520,5683,11204,734,657,1389,8162,8259,16421,1701,1825,3520,5137,5045,10183,763,592,1355,7594,7460,15056,1527,1808,3333,5215,5087,10303,713,558,1268,7451,7459,14911,1159,1334,2498,4835,4531,9368,678,537,1220,6673,6402,13078,843,1113,1956,4250,4005,8252,530,411,942,5621,5528,11150,1178,1662,2846,8558,7646,16207,970,802,1770,10711,10111,20822,30310,30809,61115,77110,75597,152705,10109,8671,18775,117526,115075,232605
8,464,430,893,12923,12111,25032,378,378,758,13766,12918,26680,492,450,944,14065,13277,27344,446,431,877,15002,14158,29162,477,360,840,13131,12330,25457,404,392,800,14012,13086,27097,442,451,895,12417,11940,24355,551,546,1099,13415,12936,26348,469,469,942,15765,15909,31676,854,794,1644,17084,17173,34261,443,396,844,18446,18395,36837,847,757,1600,19738,19543,39282,339,367,700,17837,18440,36279,791,698,1481,18969,19497,38468,286,278,564,17389,18017,35405,645,625,1270,18318,18918,37236,228,276,510,15209,15386,30601,577,464,1036,16018,16129,32148,226,217,444,13756,14171,27931,501,408,911,14486,14795,29284,199,214,411,12697,12977,25675,456,383,841,13353,13570,26925,174,155,330,11042,11782,22824,441,328,774,11663,12263,23926,103,145,250,9793,10788,20579,348,307,654,10246,11239,21481,191,198,388,27030,32494,59526,1070,1213,2288,28301,33907,62208,4542,4407,8949,211505,218019,429520,8313,7717,16033,224361,230140,454499
9,4,7,13,110,87,202,16,13,30,132,109,243,5,12,14,133,120,252,11,13,27,150,141,292,8,14,19,128,99,231,27,18,42,167,130,295,9,4,14,72,80,153,14,14,29,88,103,189,5,11,16,87,80,169,15,18,34,108,104,218,6,5,16,133,90,223,22,20,41,163,113,277,6,5,6,144,91,239,28,29,57,176,126,301,7,0,7,145,148,292,24,24,50,176,166,350,3,3,9,130,112,242,14,21,42,145,140,288,4,10,19,137,119,257,23,15,33,165,140,310,6,10,18,142,138,282,31,21,52,180,171,354,13,5,14,167,165,330,18,27,46,190,193,391,7,13,17,157,169,322,20,20,41,192,193,383,21,26,45,404,366,768,61,44,97,478,429,910,99,117,224,2086,1865,3958,329,278,607,2520,2268,4788
