STE_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
1,42,359,893,4398,1187,762,415,135,28,8213,223488,441019,376437,623004,299563,277806,223544,117312,37925,2620108,74,736,1245,9461,2403,1366,589,79,3,15960,0,23,47,1199,591,872,571,317,78,3692,39,269,560,7573,771,338,124,45,14,9734,16,127,341,1686,1321,1256,901,331,86,6057,117,373,428,2473,1464,1029,637,300,60,6882,19,95,168,1976,1292,1182,1180,758,88,6763,338,3659,9538,44470,13714,18113,12175,4783,2454,109246,7,31,35,807,691,1559,1700,1950,655,7437,56,615,550,2921,1153,1743,2051,1426,474,10984,539,4319,5395,25005,19815,23468,21153,15430,4571,119691,25,316,873,6159,3646,3412,2041,792,173,17436,46,283,390,3530,1034,708,503,262,77,6826,50,270,414,2377,1603,1776,3302,2886,755,13431,16,153,276,858,771,1857,3191,4401,2228,13759,177,1221,1885,7410,2915,4242,3661,805,225,22547,1300,7710,9753,67005,12901,6468,4160,1996,597,111887,86,391,2204,7773,2361,1461,1587,620,170,16646,37,567,867,7494,2110,1654,1104,484,149,14469
2,67,936,2172,7583,2065,1037,404,101,23,14383,179421,344544,291146,523545,253540,222402,166148,82718,26695,2090149,26,318,515,3202,790,325,200,37,4,5415,0,20,84,1520,660,1037,616,373,78,4391,18,124,156,1861,282,115,47,19,3,2627,26,222,811,2451,1494,1240,885,303,73,7513,80,323,316,1764,934,651,389,149,20,4635,12,80,102,1178,850,666,616,390,49,3942,306,3902,10425,32505,8680,9349,6499,2181,1017,74856,0,21,40,817,739,1633,1682,1844,540,7330,43,360,620,1671,622,1084,1375,985,282,7040,371,3175,4591,17463,14057,17634,16103,11540,3508,88438,7,120,348,2179,1169,1021,555,203,45,5661,34,170,279,2037,608,469,383,179,71,4223,50,199,381,1893,1300,1363,3199,2720,827,11933,14,222,436,1212,1388,3536,4990,7018,2991,21808,119,898,1274,4692,1445,1658,1427,364,94,11973,1155,7621,15884,89597,12755,6123,4532,1862,473,139992,51,331,1411,4244,1185,518,602,271,68,8682,49,807,1238,6347,1691,845,452,180,46,11651
3,17,194,383,1535,338,146,54,17,3,2680,140016,297508,250509,442555,219840,200458,164056,82991,23439,1821362,25,130,151,912,292,136,52,12,4,1711,0,10,27,628,288,393,270,107,22,1757,27,193,454,4454,488,133,54,24,0,5830,12,73,99,245,220,189,127,40,10,1007,106,445,388,2066,1061,780,631,314,59,5853,13,55,82,720,277,185,151,100,10,1596,127,1419,3540,10744,2503,2402,1878,682,260,23549,0,10,8,264,149,378,415,448,121,1798,23,179,164,429,158,174,269,194,57,1637,361,3648,6352,16401,15876,20084,17630,13156,3546,97057,13,161,431,2419,1311,1179,731,309,69,6635,23,150,230,1567,489,490,367,205,53,3572,28,155,318,1712,1201,1459,2406,2060,518,9862,4,33,54,148,130,260,431,468,248,1776,81,482,914,2300,626,807,650,169,49,6071,318,2202,4129,24159,4138,1757,1162,682,191,38742,50,222,420,1217,375,233,431,188,87,3221,17,251,382,2224,700,298,212,99,17,4205
4,27,349,821,2285,697,360,125,24,4,4684,45687,93169,82949,155118,78863,75129,60960,30219,9313,631392,22,130,126,668,184,38,20,6,3,1185,0,7,17,361,179,236,164,64,20,1046,6,54,43,743,69,21,16,0,6,947,19,51,118,479,386,312,214,76,15,1676,21,79,98,367,242,205,147,43,9,1213,3,7,16,128,72,63,56,30,3,383,51,582,2007,5487,1080,846,742,245,88,11124,0,4,3,193,133,257,317,363,129,1402,8,96,85,281,83,72,140,101,25,901,90,998,2227,4888,6470,12283,9996,6754,2613,46314,0,16,44,237,134,94,64,28,4,615,6,32,44,284,124,132,91,44,13,767,11,51,67,404,360,565,1466,1050,378,4358,0,28,40,164,170,550,1061,1141,707,3862,31,124,564,845,170,171,165,54,10,2142,196,1720,3656,14697,2333,791,518,287,99,24292,14,79,126,416,110,54,79,32,23,934,11,221,379,1222,394,239,143,58,18,2693
5,15,161,448,1894,431,259,94,18,3,3317,77626,147581,113456,207445,94758,81225,63701,29445,8907,824158,7,101,130,822,268,77,64,14,0,1490,6,3,20,535,213,314,201,100,13,1410,16,100,104,1473,166,55,17,18,3,1948,10,42,46,175,134,87,69,18,7,587,46,196,230,840,505,457,280,110,34,2702,3,34,47,375,178,149,117,44,8,959,56,645,1568,5629,1746,1284,883,258,120,12191,0,11,14,373,199,363,597,482,172,2214,16,132,160,378,145,154,197,141,37,1356,231,3114,6492,18129,16844,22123,16413,11284,3366,97992,3,25,62,321,146,102,68,20,3,742,15,79,166,1162,285,225,162,71,22,2184,19,87,196,1120,738,655,1216,859,156,5044,0,17,27,68,69,146,263,294,160,1048,28,197,406,1290,358,332,294,94,29,3033,239,1943,2987,17713,3695,2124,1755,1061,295,31817,74,407,719,2182,793,406,481,188,45,5303,7,189,273,1649,578,349,201,89,27,3366
6,0,6,21,75,19,16,0,0,0,142,13684,29904,26939,49956,27222,28816,24469,11713,3279,215976,0,11,32,316,6,3,0,0,0,367,0,0,0,21,5,14,9,7,0,60,4,3,6,168,5,7,0,0,0,200,4,4,5,25,0,0,0,0,0,39,7,28,21,146,83,77,71,29,7,467,0,8,12,54,25,17,14,9,3,145,21,113,320,2260,77,73,71,32,7,2969,0,0,0,5,3,21,20,60,18,121,4,15,12,37,4,8,20,5,3,104,19,157,218,881,1157,2207,2592,1961,569,9766,0,0,7,39,20,24,13,4,3,113,3,12,7,97,25,31,27,16,0,217,5,10,17,131,79,171,280,225,82,1002,0,0,0,15,8,37,53,69,30,229,3,25,58,217,18,39,35,9,0,405,27,137,357,2730,145,81,58,50,15,3599,0,16,40,109,19,10,27,15,6,234,0,57,52,119,20,20,5,5,0,283
7,0,0,5,18,4,0,0,0,0,32,7667,14118,12084,23924,10104,8048,4691,1429,249,82313,3,17,64,304,26,12,4,0,0,423,0,5,0,6,4,5,5,4,0,26,0,3,6,78,6,4,0,0,0,99,3,12,4,19,10,15,15,3,0,81,3,8,7,59,20,30,21,10,0,155,0,3,0,21,6,3,7,0,0,38,0,24,86,408,67,40,28,15,0,660,0,0,0,5,0,9,6,4,0,21,0,3,5,22,3,3,0,6,0,39,5,101,140,584,418,638,448,202,24,2566,4,22,24,99,53,47,20,4,0,271,0,6,13,99,19,17,12,4,0,172,0,3,14,76,50,53,82,64,23,354,3,27,62,149,84,98,133,90,15,662,0,9,11,76,15,12,15,8,0,137,38,178,218,1814,250,115,70,24,5,2721,9,59,69,211,54,29,34,11,4,480,0,3,0,43,12,9,0,0,0,73
8,0,17,49,245,73,34,22,7,0,451,12948,24997,22875,43326,18200,13851,10133,4786,1451,152580,15,47,70,577,164,80,41,10,0,1008,0,5,0,46,26,44,33,23,7,191,0,10,18,161,45,21,5,0,0,264,0,14,28,64,46,25,11,9,0,197,10,48,62,209,134,101,58,18,5,636,0,11,8,115,75,78,53,40,0,384,22,141,798,2934,478,479,334,124,33,5339,0,0,9,47,58,109,157,203,49,634,6,43,27,98,36,30,34,19,7,297,28,254,481,1089,1006,1483,1232,863,327,6768,0,9,40,199,92,82,39,19,5,493,9,36,32,143,67,38,20,15,6,370,6,20,55,162,117,128,248,205,68,1013,0,7,15,35,33,53,97,139,71,454,11,46,133,369,102,123,100,31,10,929,78,510,790,5815,1101,382,284,120,44,9121,6,58,68,217,54,36,26,24,3,491,0,30,59,298,92,58,23,11,0,582
9,0,0,0,3,0,0,0,0,0,4,108,244,128,268,161,213,150,60,21,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,12,11,5,0,56,0,0,0,9,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,20,3,3,0,4,0,0,0,0,0,6,0,0,3,12,0,0,0,0,0,11
