STE_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
1,2848,5016,3276,2209,756,0,0,0,14108,530,1448,1197,1034,1115,0,0,0,5323,925,6009,8385,13441,17859,29258,22640,14235,112752,4310,12465,12857,16685,19728,29258,22640,14235,132175,455490,510321,496411,452272,424344,331643,173491,47128,2891090,31165,41401,34926,28205,24610,20110,15186,9717,205314,490960,564183,544184,497158,468679,381017,211315,71074,3228581,1056,1505,779,432,130,0,0,0,3900,126,300,310,278,178,0,0,0,1184,340,1066,1749,3092,3451,2679,1341,1186,14905,1519,2872,2839,3797,3766,2679,1341,1186,19997,435346,540213,526757,492507,468067,385052,219324,92279,3159540,26262,34756,29389,23483,21278,19974,19549,19352,194034,463125,577842,558980,519788,493100,407711,240207,112820,3373575,3903,6522,4052,2646,889,0,0,0,18007,658,1745,1506,1310,1290,0,0,0,6506,1262,7075,10135,16533,21314,31944,23976,15421,127657,5825,15336,15695,20482,23490,31944,23976,15421,152170,890838,1050534,1023167,944778,892400,716698,392814,139408,6050636,57425,76159,64314,51685,45889,40090,34731,29064,399351,954084,1142026,1103170,1016948,961784,788725,451521,183895,6602157
2,1592,1579,1064,797,370,0,0,0,5399,400,902,803,575,634,0,0,0,3308,596,3826,6043,9618,13248,22728,16637,10433,83121,2588,6306,7914,10983,14253,22728,16637,10433,91834,371992,444564,418829,370292,329586,251866,132704,38475,2358311,22468,32135,25967,21054,17402,14441,10587,6110,150153,397047,483005,452707,402329,361238,289036,159926,55017,2600300,532,441,255,173,61,0,0,0,1466,86,174,139,149,112,0,0,0,660,214,629,1158,2341,3069,2086,861,916,11275,827,1244,1554,2671,3249,2086,861,916,13403,356286,464157,442180,403898,366414,299506,170581,75041,2578061,19383,27095,22293,17994,15654,14936,13427,11497,142276,376493,492492,466025,424557,385315,316522,184873,87455,2733735,2126,2020,1319,972,434,0,0,0,6866,483,1073,944,724,749,0,0,0,3973,806,4463,7199,11956,16315,24807,17502,11350,94393,3416,7549,9466,13651,17506,24807,17502,11350,105234,728277,908717,861013,774192,695995,551375,303285,113516,4936372,41847,59226,48261,39042,33053,29376,24014,17608,292432,773536,975493,918738,826885,746547,605557,344801,142475,5334032
3,3156,5220,2841,1716,568,0,0,0,13498,465,1243,1229,1064,1042,0,0,0,5046,1171,6753,10372,17229,20843,32753,20975,9466,119571,4789,13214,14451,20005,22459,32753,20975,9466,138110,295391,299821,293831,285303,257625,198360,100866,23757,1754961,23232,31029,26112,23535,19073,14292,9222,4789,151288,323405,344067,334387,328847,299154,245407,131066,38018,2044361,976,1371,565,306,89,0,0,0,3305,142,350,345,299,161,0,0,0,1291,377,1435,2337,4505,4900,4017,1905,918,20403,1488,3163,3246,5109,5154,4017,1905,918,24997,292664,330268,330332,322708,295829,240951,130546,49025,1992327,19688,24229,19841,17469,15160,13092,11476,9181,130132,313839,357651,353426,345286,316136,258059,143929,59126,2147455,4124,6594,3408,2017,658,0,0,0,16803,604,1593,1575,1359,1205,0,0,0,6339,1546,8189,12717,21739,25751,36778,22889,10382,139973,6271,16375,17694,25113,27607,36778,22889,10382,163112,588051,630085,624165,608014,553453,439311,231415,72784,3747281,42916,55262,45956,41001,34236,27382,20697,13973,281419,637250,701724,687817,674132,615299,503466,274997,97140,4191812
4,698,1146,738,467,185,0,0,0,3235,170,432,365,307,350,0,0,0,1629,207,1419,2316,4142,6295,11503,6554,3789,36229,1074,3003,3420,4918,6833,11503,6554,3789,41089,100909,107818,102219,100431,98875,78692,42545,12869,644361,5284,6851,6238,5684,5052,4058,2835,1561,37558,107269,117670,111877,111029,110759,94257,51928,18220,723017,188,285,125,74,35,0,0,0,703,52,104,112,95,62,0,0,0,419,71,293,473,1079,1518,1279,483,433,5631,309,675,719,1249,1618,1279,483,433,6762,96290,111795,109589,108097,110672,96670,56453,25698,715269,4459,5142,4476,4260,4099,4131,3795,2976,33337,101057,117619,114778,113611,116382,102082,60725,29101,755362,881,1430,865,543,219,0,0,0,3940,220,532,482,399,410,0,0,0,2053,278,1712,2793,5228,7815,12785,7034,4213,41861,1383,3681,4137,6162,8450,12785,7034,4213,47852,197204,219621,211811,208529,209552,175362,98990,38569,1359631,9740,11986,10712,9943,9150,8191,6627,4542,70896,208326,235287,226660,224641,227147,196344,112656,47325,1478375
5,613,1425,828,484,198,0,0,0,3541,240,566,437,402,317,0,0,0,1964,325,2164,4002,7054,8694,13004,8069,4058,47380,1173,4156,5267,7941,9209,13004,8069,4058,52888,148184,162206,167078,151861,134739,100729,49711,13094,927598,10447,17612,16377,13946,10663,6534,4305,2489,82375,159802,183972,188720,173750,154609,120271,62085,19644,1062852,294,359,183,87,32,0,0,0,953,63,144,103,97,39,0,0,0,445,131,457,949,1735,1901,1523,902,532,8135,484,955,1240,1917,1973,1523,902,532,9535,143379,175824,179647,164294,149797,119510,62768,25501,1020715,8415,11605,9882,8298,7068,6079,5368,4425,61142,152274,188385,190766,174505,158832,127110,69042,30459,1091391,906,1783,1015,568,227,0,0,0,4496,300,713,543,498,359,0,0,0,2413,452,2617,4957,8788,10595,14529,8971,4596,55507,1657,5110,6512,9858,11184,14529,8971,4596,62417,291567,338029,346726,316152,284531,220239,112480,38597,1948313,18859,29219,26263,22242,17726,12615,9675,6914,143513,312079,372352,379492,348256,313444,247382,131131,50106,2154244
6,35,41,61,52,31,0,0,0,223,64,134,129,104,97,0,0,0,531,90,658,1187,2020,2623,4242,2610,1351,14787,197,832,1374,2179,2757,4242,2610,1351,15543,29235,35273,28663,29385,31801,26651,13520,3186,197721,1898,2261,1854,1777,1808,1755,1109,528,12985,31330,38367,31893,33340,36370,32657,17239,5062,226250,15,13,17,11,9,0,0,0,70,9,31,42,30,25,0,0,0,137,39,107,344,647,771,491,209,118,2725,59,158,411,693,799,491,209,118,2929,28080,36230,32095,33698,36578,32060,17704,6959,223408,1621,1910,1552,1479,1648,1787,1495,857,12344,29762,38291,34058,35868,39020,34338,19414,7928,238684,49,58,77,64,41,0,0,0,290,73,164,175,129,122,0,0,0,670,133,766,1532,2668,3396,4738,2815,1468,17515,253,983,1790,2870,3555,4738,2815,1468,18473,57317,71501,60759,63074,68382,58713,31228,10141,421126,3516,4169,3407,3257,3452,3543,2604,1385,25336,61089,76661,65959,69206,75393,66998,36649,12995,464930
7,874,1177,595,312,94,0,0,0,3053,30,115,116,79,89,0,0,0,425,56,434,645,902,920,857,323,90,4234,962,1727,1354,1299,1103,857,323,90,7716,12788,16387,14068,11936,9843,5934,2035,350,73332,1891,2820,2240,1821,1355,782,279,61,11252,15644,20934,17661,15049,12298,7569,2644,499,92299,290,336,127,62,14,0,0,0,817,18,28,32,31,18,0,0,0,120,30,125,134,205,225,108,41,8,879,339,488,289,293,253,108,41,8,1818,12613,19385,16274,13327,10621,6200,2226,553,81197,1379,2086,1596,1303,1057,616,250,97,8391,14328,21958,18155,14923,11933,6933,2513,665,91409,1163,1513,718,373,107,0,0,0,3874,48,141,144,107,104,0,0,0,547,93,558,777,1113,1145,969,366,99,5110,1300,2212,1643,1589,1358,969,366,99,9534,25401,35771,30342,25257,20463,12126,4267,900,154529,3270,4910,3828,3125,2415,1403,530,159,19641,29968,42894,35817,29970,24236,14499,5157,1157,183704
8,1083,889,1109,1055,289,0,0,0,4421,104,404,399,315,435,0,0,0,1658,123,866,1359,1966,2271,2485,1646,780,11491,1308,2161,2871,3336,2995,2485,1646,780,17575,27515,34421,29971,23434,18071,13539,6680,1850,155478,1677,2123,1494,1073,842,626,465,237,8525,30497,38702,34336,27837,21907,16645,8789,2867,181575,471,358,393,282,53,0,0,0,1554,13,117,115,113,67,0,0,0,423,45,195,427,669,640,394,209,83,2673,526,670,944,1070,763,394,209,83,4652,28066,36679,32923,26445,22084,17939,9806,3807,177745,1521,1696,1184,860,649,695,549,426,7581,30109,39046,35048,28369,23500,19029,10567,4314,189986,1546,1246,1501,1338,344,0,0,0,5977,116,518,515,427,502,0,0,0,2084,167,1063,1791,2636,2911,2874,1855,866,14164,1829,2826,3810,4397,3756,2874,1855,866,22220,55578,71103,62898,49883,40158,31480,16480,5652,333222,3197,3817,2677,1928,1488,1323,1013,663,16111,60606,77747,69387,56207,45406,35673,19350,7181,371559
9,6,3,4,4,4,0,0,0,18,0,0,0,0,4,0,0,0,5,0,5,8,10,16,18,9,5,74,6,6,19,12,28,18,9,5,97,141,173,210,249,298,260,97,24,1454,57,159,101,86,57,46,20,0,524,196,339,324,347,382,322,120,31,2073,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,12,8,0,0,7,5,0,3,0,20,173,189,261,269,335,234,112,28,1596,29,51,48,37,48,31,19,3,276,211,240,310,316,384,267,135,34,1891,7,3,9,6,4,0,0,0,30,0,0,0,0,7,0,0,0,4,0,5,8,19,21,18,6,5,85,9,12,16,19,31,18,6,5,122,314,359,470,519,629,498,204,48,3046,84,210,148,122,108,74,39,5,795,410,583,642,665,772,586,257,66,3965
