STE_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
1,153393,29220,183895,1331019,308862,29890,1669763,4506185,426204,6602157
2,123712,17605,142475,1081315,294309,27324,1402952,3616146,314936,5334032
3,82648,13721,97140,833954,247738,30635,1112322,2781722,297769,4191812
4,42661,4245,47325,274199,106083,11250,391531,1011131,75720,1478375
5,42685,6830,50106,441417,152849,20288,614554,1386686,153000,2154244
6,11455,1449,12995,81601,33421,4173,119193,318615,27123,464930
7,939,172,1157,35559,16124,3774,55455,106711,21539,183704
8,6339,736,7181,77768,24296,3044,105113,249221,17227,371559
9,58,4,66,591,237,40,871,2284,813,3965
