STE_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
1,2589,38038,408,38446,..,21218,6634,27851,190,28034,..,19119,4554,23677,166,23842,..,79199,37899,117092,814,117907,..,199974,39432,239405,4917,244321,..,1771748,354517,2126268,19818,2146080,..,33893,7167,41062,427038,468099,5457982,1805635,361688,2167328,446853,8072163
2,2410,33734,388,34123,..,11890,2721,14610,112,14724,..,27851,6771,34625,243,34864,..,82081,35807,117889,910,118801,..,211789,45567,257353,4733,262090,..,1493893,279910,1773800,17984,1791786,..,27628,5961,33591,308311,341903,4369804,1521527,285874,1807393,326289,6503491
3,442,7255,76,7336,..,8712,1874,10582,72,10654,..,2388,376,2767,23,2788,..,22250,8866,31110,252,31370,..,110284,19138,129422,2852,132271,..,585818,88059,673884,7993,681877,..,19379,2793,22173,300878,323054,4151206,605200,90855,696056,308876,5156138
4,158,3311,34,3342,..,1991,419,2404,24,2430,..,744,115,858,7,863,..,15307,6411,21722,133,21855,..,41526,10147,51675,1173,52850,..,267136,46732,313872,3421,317287,..,6358,1086,7443,73830,81275,1382951,273488,47818,321316,77254,1781516
5,579,8637,98,8738,..,6592,1115,7711,56,7770,..,1625,375,1995,13,2012,..,15947,6640,22590,168,22763,..,78025,11606,89634,1820,91451,..,425195,58370,483560,5485,489043,..,12196,1751,13951,154260,168204,2002771,437388,60124,497510,159742,2660026
6,22,460,3,461,..,537,85,616,5,629,..,81,11,96,0,97,..,1249,192,1442,24,1467,..,5343,1085,6435,211,6646,..,43158,4919,48072,617,48690,..,1512,172,1686,27318,29004,479875,44671,5092,49760,27931,557571
7,43,539,6,544,..,828,206,1028,5,1034,..,51,11,61,0,61,..,1155,401,1556,9,1565,..,34421,5404,39833,1013,40844,..,65199,8760,73956,1377,75337,..,1733,306,2041,21964,24007,133262,66935,9072,76000,23342,232605
8,102,2387,25,2417,..,1062,224,1283,11,1293,..,348,30,384,11,391,..,4039,950,4983,41,5028,..,14236,1749,15988,307,16287,..,99469,11086,110553,1106,111660,..,1781,256,2033,16952,18982,323854,101247,11340,112587,18057,454499
9,0,4,0,4,..,5,5,6,0,6,..,0,0,0,0,0,..,0,4,4,0,4,..,708,20,728,8,738,..,1567,348,1912,30,1946,..,15,10,24,863,889,1956,1583,361,1940,897,4788
