STE_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
1,964,1081,883,1158,484,214,549,27515,12,20,722,1040,1122,10345,14076,10745,4693,3383,2302,4838,1058,102,884,55353,101,533,2081,2226,3554,2733,5610,4981,679,901,1086,1341,547,107,525,27001,1565,13578,15102,3763,1441,1146,2019,3386,621,621,590,729,253,51,2338,47197,36,140,174,533,1666,2855,3969,2068,507,517,630,797,389,228,379,14894,9,9,64,2081,7699,9883,17642,7488,1568,1393,1474,1662,654,166,1251,53046,240,1450,8238,14713,11871,8605,8273,3652,768,857,774,876,456,211,2307,63293,82,348,1832,4084,8246,3985,7048,4399,1772,2107,2011,1868,652,164,961,39555,0,0,4,17,100,1360,13365,9688,4345,8308,13123,10745,2596,142,1148,64946,846,6090,1880,1066,1064,882,1460,839,228,209,251,303,124,49,488,15777,584,1312,6529,15397,20974,22343,23751,12476,2130,2083,2201,2269,1149,1022,4303,118527,32,380,5311,5087,2232,1750,1131,445,111,104,71,90,29,17,524,17309,11,25,112,451,1723,3250,6944,9207,2349,2474,2609,2530,1256,414,546,33902
2,1111,1097,1010,1111,371,309,324,21923,0,7,72,174,355,4988,6782,4916,2611,2006,975,2151,589,70,396,26083,106,691,1710,1622,2445,1144,3451,3112,446,488,638,857,330,79,349,17456,2182,23620,23269,4097,1394,1003,1697,2740,513,441,443,439,156,33,2766,64796,20,88,93,274,660,1493,2901,1403,349,365,436,544,286,113,225,9251,4,3,20,189,855,1540,6511,3182,640,652,637,634,269,59,244,15429,37,236,1875,4559,3262,2315,2902,1410,313,310,290,293,142,90,646,18689,49,259,1508,4027,9970,5497,14310,9831,3727,3988,3829,3153,1167,199,1149,62662,0,0,4,11,45,404,4682,3559,1376,2338,3236,3251,866,55,322,20154,669,9626,2054,1089,1219,697,1216,608,160,160,168,184,64,32,519,18477,295,690,3185,8608,13362,14949,24077,17136,2837,2775,2989,3048,1229,1217,2934,99344,66,486,4678,5462,3029,2078,1496,676,133,128,133,109,34,27,489,19025,8,24,69,203,700,1552,6638,10094,2089,2526,2555,2433,1096,470,492,30945
3,352,369,361,416,156,94,143,8016,0,9,33,36,48,410,967,775,467,275,650,1236,238,30,151,5332,115,389,963,1178,1731,1031,3316,2456,208,213,232,294,148,49,295,12611,683,3847,2757,789,365,412,963,1401,247,267,239,377,166,27,664,13217,15,104,75,186,1038,2629,4366,1920,380,453,499,716,401,112,349,13236,0,0,9,140,850,1955,7654,4035,833,860,989,1325,481,81,461,19658,27,62,240,322,255,169,256,125,31,29,25,36,24,7,64,1661,27,227,1214,1660,2585,1625,3756,2187,614,575,642,604,387,97,422,16618,0,0,3,8,32,147,2222,2259,786,1234,1807,1684,407,33,185,10806,582,5201,1688,1137,1335,816,1365,577,122,122,126,162,79,33,407,13746,313,900,6302,21829,36799,35947,53962,27434,3680,3375,3889,3986,1805,1687,6671,208572,5,19,184,235,205,195,126,63,14,29,6,17,4,0,27,1131,3,15,39,69,174,386,1572,2050,444,420,411,449,229,72,92,6434
4,245,254,231,385,105,44,79,5213,0,0,9,3,4,354,627,356,55,70,29,60,19,14,35,1629,32,202,613,467,475,208,540,461,36,44,46,40,24,5,104,3295,673,7186,5417,971,307,215,355,450,96,73,100,93,46,7,649,16653,3,43,21,31,94,264,543,259,53,47,48,122,65,13,34,1640,0,0,7,36,233,282,1614,781,163,155,197,191,98,4,83,3837,21,56,177,389,292,201,304,127,42,40,44,34,34,7,64,1827,14,50,387,683,1170,710,2046,1429,503,584,571,523,270,39,117,9099,0,0,0,4,11,32,1325,1579,710,1062,1028,1037,317,32,121,7250,186,3356,962,392,261,146,370,146,25,39,11,46,19,7,182,6146,82,140,834,2244,2972,2044,2421,1265,188,182,191,170,125,117,479,13461,17,45,86,79,38,44,29,16,0,0,0,4,4,0,5,367,5,0,14,23,26,174,879,1898,380,525,578,672,304,82,100,5666
5,234,198,233,293,92,53,105,6440,0,9,30,10,38,965,1187,796,134,111,120,82,30,14,100,3637,62,274,1078,1228,3025,1175,4116,5198,265,233,321,498,289,114,272,18147,877,6061,4652,1150,507,416,940,1788,266,182,188,273,143,24,697,18175,7,33,24,92,324,822,1500,679,143,169,240,307,156,92,119,4716,0,3,4,119,378,487,2532,1582,255,246,228,325,87,23,147,6429,3,16,95,216,278,162,202,99,32,15,19,20,17,3,55,1245,73,242,1133,2531,7032,3283,7935,4557,1058,1048,1112,984,576,77,639,32282,0,0,0,0,15,56,1072,919,355,414,631,645,250,18,76,4449,344,3497,860,613,881,503,982,482,75,77,84,124,66,14,237,8833,91,249,2303,7218,13429,10962,18930,13996,1081,1064,1144,1369,643,614,2493,75591,48,176,552,680,673,541,371,158,41,24,25,34,16,8,100,3433,16,20,70,107,169,342,1540,2385,466,538,561,769,429,75,122,7615
6,82,73,15,44,24,0,6,553,0,0,0,0,0,10,17,38,15,7,3,14,0,0,5,114,10,41,112,134,149,59,102,76,9,10,5,20,3,0,24,745,30,340,203,51,23,25,42,50,20,11,12,16,12,0,40,874,0,6,3,23,32,71,137,90,18,15,15,30,10,3,11,460,0,0,4,17,91,71,194,159,46,50,48,50,20,0,29,773,0,5,13,29,11,3,9,10,14,3,0,9,4,0,3,109,4,42,98,101,109,90,260,292,123,107,88,79,41,0,17,1443,0,0,0,0,0,18,559,2065,973,1141,801,440,88,13,115,6219,130,1000,276,176,184,102,119,37,8,8,18,12,8,0,66,2136,40,73,441,1047,1251,915,846,350,60,46,46,64,49,32,220,5483,0,3,9,6,6,3,0,0,0,0,0,0,0,0,0,26,0,0,4,0,4,7,108,686,115,105,159,182,62,9,29,1469
7,3,0,7,11,0,0,6,106,0,0,0,0,0,12,16,3,0,0,0,0,0,0,0,34,0,7,49,40,46,33,181,231,24,19,22,58,21,3,13,755,5,68,101,53,6,22,42,90,11,22,20,36,16,0,25,502,0,0,3,8,13,31,57,56,8,10,0,22,4,5,4,223,0,0,0,6,15,29,129,93,30,22,12,15,0,3,10,362,0,0,0,3,0,3,13,13,0,0,0,0,0,0,0,47,6,10,56,102,147,58,101,90,39,43,25,36,16,0,14,756,0,0,0,0,3,8,373,751,484,522,415,299,83,4,50,2994,9,93,58,28,31,19,42,17,6,12,9,7,3,0,14,349,3,23,175,626,703,562,693,642,80,69,100,106,46,46,175,4041,0,0,6,3,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,3,20,11,106,255,49,60,64,79,30,3,9,687
8,38,49,50,70,45,12,15,1114,0,0,5,3,19,81,237,156,105,35,41,34,7,3,14,731,11,48,94,98,159,90,152,182,13,10,8,22,3,0,10,901,42,558,593,202,79,65,88,140,17,16,21,22,13,0,62,1912,0,18,11,45,76,134,282,148,24,23,22,20,21,12,14,850,0,0,5,49,187,275,915,627,89,89,87,93,55,13,77,2553,6,8,34,59,120,57,87,32,11,13,16,8,4,0,16,464,11,45,231,348,560,246,455,368,109,120,95,100,67,27,61,2851,0,0,0,3,17,36,557,1323,732,1300,1030,480,90,7,109,5689,31,410,131,73,75,46,84,61,10,11,12,14,10,3,18,1004,33,93,362,688,887,879,951,622,86,76,102,72,67,63,141,5122,3,4,86,84,106,72,62,28,8,5,5,5,5,0,3,475,0,0,9,20,61,225,803,925,182,180,187,137,83,39,50,2906
9,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,7,94,127,22,38,21,8,4,4,0,0,0,23,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,10,32,48,48,45,33,22,11,9,9,4,4,5,66,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,12
