STE_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1,24741,31541,56276,8469,10347,18812,9007,25635,34642,10532,53244,63777,32590,124554,157146,35952,77249,113199,110483,52436,162918,98106,65351,163453,120246,70224,190478,141421,55033,196453,106178,47451,153624,113463,38935,152396,250646,70120,320769,192965,10539,203506,166284,19701,185988,114275,5042,119317,389770,35408,425183,116205,14621,130829,23773,27943,51710,2065107,835364,2900468
2,20844,27871,48714,7584,8948,16534,8244,21074,29323,8858,42045,50903,26956,100982,127941,29537,63690,93226,88310,46107,134416,83047,58034,141081,101505,63393,164898,119946,51629,171575,92033,45650,137681,97782,35692,133479,214831,59943,274771,166290,9150,175438,136741,15737,152480,90148,4185,94330,270105,25198,295295,92653,12358,105011,20723,22419,43142,1676129,714102,2390232
3,13167,17115,30277,5483,6130,11615,5669,15400,21073,6543,32216,38761,21029,80026,101054,25089,56089,81177,77382,36262,113642,70711,46900,117610,84997,49608,134603,99157,39311,138463,74864,32281,107145,79804,25229,105029,172313,40807,213112,128428,7115,135544,103446,10230,113678,67387,2524,69909,180177,14428,194606,96821,12044,108865,15419,17880,33298,1327873,541585,1869462
4,4153,6245,10397,1867,2596,4467,2064,7783,9848,2497,16020,18517,8484,40299,48785,9922,24588,34506,31836,16061,47897,29656,19572,49232,34316,20076,54390,39214,14904,54119,28063,11862,39928,29480,8526,37998,61476,12497,73973,45048,2018,47068,34106,2742,36850,21207,673,21878,51137,4132,55272,31136,3247,34386,4832,6981,11808,470498,220815,691313
5,6470,9081,15556,2707,3290,5992,3143,8711,11855,3584,17153,20734,10585,39746,50328,12220,25667,37889,34479,16964,51447,31253,21139,52391,37845,24280,62128,43262,20181,63447,33987,17920,51909,36713,14093,50806,82468,24913,107386,65127,2960,68086,57026,6605,63631,36845,1317,38164,112676,9353,122027,69581,6591,76167,6983,7826,14807,686949,277789,964734
6,1152,1731,2873,599,755,1353,661,2410,3069,917,5166,6089,3110,14394,17504,3678,8295,11974,11718,5326,17043,10042,6293,16338,11349,6298,17653,13174,4223,17400,9254,3623,12874,9382,2581,11964,18976,3407,22380,13307,605,13907,9664,786,10445,5916,217,6130,12714,1169,13887,10423,1052,11474,1583,2461,4049,147619,70792,218412
7,272,494,766,233,187,423,417,537,956,361,983,1341,962,1557,2521,809,1003,1813,1718,942,2662,1755,1426,3181,2303,1850,4155,2726,1814,4537,2276,1757,4029,2489,1474,3962,6203,2711,8910,5131,398,5528,4548,644,5193,3314,220,3535,8387,976,9364,5665,830,6497,684,600,1283,50246,20420,70660
8,542,1016,1560,239,375,612,248,951,1198,319,1881,2195,855,4175,5022,1096,2726,3818,2531,2657,5190,2737,3318,6055,4041,4107,8147,5688,4349,10036,5113,4773,9881,5486,4131,9613,14033,8230,22261,12128,968,13098,12033,1954,13983,9814,574,10390,33714,3176,36892,6046,1094,7136,544,753,1293,117214,51188,168400
9,8,16,22,7,12,16,6,14,18,12,36,43,20,80,99,21,45,67,50,46,94,55,51,103,64,52,116,72,39,118,63,31,91,72,36,101,127,30,157,97,0,98,75,14,88,57,0,54,94,9,105,97,3,101,26,18,46,1008,525,1533
