STE_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
1,95371,127401,222770,442509,517795,960305,7345,7911,15259,43820,49808,93624,3544,3603,7150,858170,949556,1807730,2461,2994,5452,98744,103271,202018,10138,13255,23388,7121,7774,14893,7687,9499,17185,15311,15487,30798,16893,18695,35586,32426,39200,71624,71631,81853,153481,4731,6346,11080,10341,12391,22729,75514,96619,172132,90782,102947,193728,2965,3314,6284,1802133,2042317,3844453,143820,129958,273780,182069,167165,349240,19553,20697,40249,702,718,1422,25151,22010,47165,17467,21151,38621,43320,43881,87200,1379775,1264387,2644165,12345,9820,22164,5134,8315,13452,1397257,1282520,2679783,300648,274042,574690,3984166,4087995,8072163
2,90891,113603,204493,189014,235995,425007,1828,1892,3719,38323,43718,82044,2085,2083,4162,629498,706282,1335784,4506,5796,10302,105213,111584,216791,6753,8768,15515,5489,5965,11457,10296,12793,23101,9353,9709,19067,10697,12241,22934,25157,29335,54490,40948,47846,88797,3089,4432,7517,5009,5914,10923,66166,89992,156166,76529,89105,165634,1992,2352,4345,1231953,1425797,2657748,114543,99514,214058,141831,131193,273028,22380,24268,46645,201,183,389,49219,42526,91745,10156,13022,23172,59577,55729,115311,1296145,1227303,2523448,10575,8422,18994,4170,7107,11277,1310888,1242836,2553723,228901,209587,438497,3200963,3302528,6503491
3,30078,43618,73697,266228,315141,581373,46,48,94,40997,45872,86876,1525,1545,3070,449505,511969,961469,3516,4382,7902,17178,18193,35371,10773,14071,24840,9667,10525,20192,21499,26016,47515,2119,2108,4228,11552,12840,24387,31907,37994,69900,51633,57029,108664,3846,5145,8989,7796,9468,17268,80986,105386,186373,73956,85995,159948,4239,4707,8944,1088962,1268437,2357398,36211,33312,69520,31272,29113,60381,2347,2462,4815,483,494,979,14846,12867,27713,9154,12587,21746,24483,25950,50437,1090820,1008946,2099765,8428,6596,15022,3985,6685,10669,1103233,1022230,2125462,223806,190609,414421,2540404,2615736,5156138
4,14777,19016,33788,56850,71124,127970,11,3,10,12223,14002,26226,368,409,783,128065,147785,275849,1566,2260,3826,20821,21867,42689,2576,3453,6033,1312,1484,2794,19523,23786,43305,1024,980,2002,2996,3365,6357,9251,10994,20248,6125,6912,13041,1219,1706,2930,1343,1608,2952,36035,48764,84797,21793,25315,47112,1861,2036,3903,324948,387862,712815,20312,17798,38105,21429,18871,40302,547,599,1145,237,216,447,9247,8010,17259,3560,4796,8352,13041,13026,26060,418008,388156,806165,3179,2310,5490,1350,2270,3626,422541,392737,815275,61001,53021,114023,878592,902924,1781516
5,24145,33482,57622,121363,148228,269583,21,14,40,20091,22513,42600,932,909,1839,233875,262971,496847,3222,4025,7245,12037,12966,25006,4806,6334,11136,2777,3174,5951,2791,3529,6315,1681,1642,3327,7519,8701,16220,12565,14898,27463,16412,18132,34549,1228,1807,3035,3202,3836,7036,17961,24562,42526,41501,48419,89919,1404,1627,3029,505385,588285,1093666,26886,25172,52055,34486,32274,66764,2736,2933,5669,564,536,1096,9809,8771,18583,4446,6214,10658,14819,15520,30338,588956,541134,1130094,4290,3100,7387,1796,2941,4736,595044,547178,1142220,119356,92327,211684,1322855,1337171,2660026
6,2398,3210,5605,36031,44348,80380,0,0,4,3070,3447,6518,585,624,1210,32484,38561,71045,333,450,786,1173,1232,2409,967,1256,2220,638,707,1340,477,622,1099,143,144,287,1038,1223,2259,2205,2600,4804,3869,4370,8240,441,636,1077,524,629,1154,5887,8555,14447,6503,7481,13986,302,379,683,96666,117267,213933,5388,4334,9724,2879,2066,4947,183,191,376,26,25,47,1278,927,2208,860,1300,2159,2163,2248,4413,142035,134300,276330,983,747,1722,362,580,946,143379,135621,278999,20708,18863,39572,273765,283804,557571
7,1964,2918,4883,6661,7272,13930,0,0,0,2625,2867,5490,5,4,7,18613,20593,39208,92,88,184,2279,2120,4400,217,286,507,261,289,549,2418,2924,5350,102,101,203,1050,1143,2199,1385,1674,3062,946,882,1831,89,121,206,369,445,814,3965,4669,8636,3523,3876,7395,91,89,175,44697,49446,94142,3348,2891,6236,1900,1444,3351,78,82,163,1752,1687,3437,754,652,1401,310,417,720,2815,2748,5563,46116,42435,88555,302,208,515,170,256,432,46597,42904,89499,16126,12643,28772,117526,115075,232605
8,5552,7139,12696,16696,20454,37141,4,10,10,1833,2074,3911,18,29,39,40875,46691,87566,106,125,236,3256,3525,6778,314,432,750,343,358,696,876,1128,1999,422,441,862,1190,1343,2532,1952,2271,4219,2882,3363,6243,236,272,512,346,406,752,3366,4638,8005,4890,5754,10642,151,171,323,79745,93482,173227,10718,9782,20505,7715,6898,14613,412,473,886,22,37,54,2312,2016,4323,728,962,1692,3063,3009,6068,101722,95909,197622,1291,947,2240,323,504,829,103330,97363,200696,13816,11982,25803,224361,230140,454499
9,137,132,268,276,306,578,0,0,0,15,30,46,0,0,0,191,210,396,0,0,0,3,0,3,5,3,9,0,0,0,0,3,3,0,0,0,0,3,3,12,15,27,17,29,43,0,3,3,21,18,41,82,105,185,34,45,79,0,3,3,663,771,1428,10,6,12,408,362,769,3,0,3,4,7,14,0,4,5,4,8,17,10,19,31,672,614,1294,6,7,9,9,3,9,689,624,1303,613,361,975,2520,2268,4788
