STE_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1,452,3527,3829,18930,3673,2153,1040,240,56,33902,9,87,241,1011,1770,1330,728,252,106,5536,486,4450,8212,44566,18049,16446,11160,2797,758,106930,25,148,185,4016,1828,2167,3256,1299,915,13830,26,471,1003,2782,2194,2150,1129,332,55,10147,48,469,776,4274,3876,5850,6275,4566,1530,27659,285,2017,1870,4151,2166,1798,1644,580,152,14665,280,2525,3887,15689,10556,7442,5744,2806,818,49740,125,1037,1859,11544,5453,5324,3757,1711,615,31427,122,485,798,8543,1792,1149,1333,283,39,14544,198,1309,2518,18733,4841,2539,1206,247,48,31633,75,388,407,4211,3476,3264,1907,1179,232,15147,1070,3919,3779,12128,4807,4224,3289,1354,261,34832,304,2317,6896,29655,21502,20392,11797,3549,1577,97995,15,149,234,1676,1329,1499,1346,978,340,7564,22,218,825,2668,1677,1157,589,179,44,7383,1727,12345,16044,88226,39724,37312,32091,21517,8647,257630,20381,48141,48032,122026,49709,48315,42505,31148,17366,427622,468056,1001950,954084,2245200,1016948,961784,788725,451521,183895,8072163
2,470,3715,4033,18257,2516,1133,635,148,33,30945,4,68,147,672,1032,518,207,42,13,2712,354,3466,6850,30526,11693,8725,5247,1292,312,68463,13,71,159,2877,1721,2572,3817,1694,1280,14202,27,453,951,2483,1637,1372,610,165,36,7716,35,406,795,4214,3293,5345,5830,4323,1532,25771,212,1958,2660,6272,2744,2040,1517,435,118,17954,180,1580,2927,10260,6678,4475,3191,1540,449,31274,252,2592,6098,29489,10675,8682,6408,2875,1003,68066,95,358,664,6971,1084,722,686,115,21,10719,208,1880,3374,11055,2743,1178,479,126,22,21059,52,365,528,4823,4585,4397,2330,1332,269,18689,692,2704,2857,8663,3339,2630,2182,763,132,23964,307,2322,6902,30802,20264,18371,10334,3021,1281,93598,6,107,182,1042,805,972,918,602,225,4859,22,170,709,2810,1184,695,342,94,16,6039,1372,10000,16222,73765,32033,28774,24872,16654,7137,210821,14889,34718,34780,94831,38987,36382,32372,23410,12603,322968,375900,793556,773536,1894228,826885,746547,605557,344801,142475,6503491
3,75,771,784,3570,625,353,191,50,12,6434,52,734,1886,4273,4593,3180,1721,471,176,17085,302,3301,5746,20880,9302,6919,3902,970,207,51529,13,81,103,1750,801,863,1282,545,294,5740,21,374,769,2664,1876,1831,1106,369,53,9074,47,597,994,3598,3403,4806,4930,3298,1085,22756,113,703,958,2442,1322,985,759,201,48,7536,279,3050,5908,16645,10355,7086,4156,1766,453,49699,79,631,1168,4630,1958,1596,1193,585,169,12009,165,713,1193,9669,1788,1372,1329,318,52,16600,125,1193,1906,6628,2402,1081,439,90,15,13870,24,92,85,840,454,348,155,102,19,2124,420,1831,2329,6652,2746,2699,2456,949,195,20271,112,992,2270,8361,5290,3973,2424,737,292,24455,9,217,418,1320,1106,1123,1050,735,210,6182,13,192,920,3420,2183,1923,1073,295,69,10095,978,7233,11633,46976,18171,16015,13310,8225,2853,125395,13459,33110,36107,88875,39620,36126,29264,19497,9738,305794,292452,671867,637250,1389541,674132,615299,503466,274997,97140,5156138
4,113,978,1001,2868,415,163,86,30,6,5666,8,29,63,234,411,192,94,22,8,1057,77,991,1890,6461,2687,1935,1079,315,74,15503,5,28,66,995,621,955,1234,506,378,4777,0,9,13,69,27,17,15,3,0,155,16,186,370,1166,1294,2809,2889,1995,742,11470,27,243,421,942,430,313,305,95,21,2789,77,745,1017,2633,1683,1021,635,327,62,8212,65,462,545,2670,811,354,239,130,35,5311,14,75,149,1170,139,106,69,14,0,1739,38,286,450,1851,619,237,107,15,0,3604,6,34,28,242,137,96,102,59,21,735,112,496,561,1630,707,730,647,287,61,5233,69,595,1667,5299,3468,3247,1948,511,232,17033,5,62,141,386,409,673,540,381,163,2765,8,68,185,601,346,244,131,29,11,1629,331,2893,4835,15690,6600,5803,5311,3765,1853,47087,3102,7571,8068,20207,10222,10431,9518,6916,3628,79657,94232,208912,208326,461945,224641,227147,196344,112656,47325,1781516
5,121,850,1111,4358,585,310,206,56,17,7615,13,97,252,514,640,296,105,11,3,1942,188,3603,6386,14795,7230,3396,1539,345,43,37524,7,85,114,1509,770,976,1374,413,357,5608,0,13,48,207,122,103,58,24,7,583,48,801,1607,5158,4339,5648,4699,2909,943,26146,86,940,1759,4904,2560,2573,2185,783,211,15995,204,2523,5957,14465,9861,6419,3531,1494,439,44889,49,543,948,3826,1499,948,818,419,112,9158,54,142,128,3058,278,168,148,30,6,4008,110,1136,1568,4045,1796,863,396,72,21,10003,13,72,69,627,304,209,94,50,17,1452,223,1030,1149,3319,1396,1465,1207,460,110,10366,90,648,1268,6333,3880,3165,1924,521,241,18080,19,189,435,1506,1167,1353,1105,678,225,6670,33,376,1462,4449,2731,2211,1085,311,78,12736,546,5069,7979,34463,12898,11167,8244,4768,1638,86772,6580,15522,15766,48210,21161,18181,13445,9282,5442,153578,161753,344030,312079,751845,348256,313444,247382,131131,50106,2660026
6,45,75,92,1187,44,11,9,3,0,1469,0,3,10,64,154,74,44,9,0,356,21,176,214,1055,388,287,229,61,7,2441,0,3,3,113,66,104,148,95,50,584,0,0,8,25,9,14,5,4,0,63,7,46,53,200,254,488,616,462,158,2280,4,48,79,202,91,74,62,18,0,583,16,106,167,627,406,316,293,112,48,2089,14,72,106,937,113,58,38,19,9,1361,6,33,22,605,26,9,4,0,0,696,9,93,98,373,166,79,37,3,0,862,0,0,0,34,23,18,12,3,0,96,29,135,153,573,304,335,362,139,24,2056,9,97,213,907,80,51,28,4,0,1390,0,10,21,58,75,131,143,127,45,604,0,12,32,110,102,68,53,21,9,401,85,466,580,3172,1151,1098,1077,716,264,8603,1141,2804,2952,7312,3768,4444,4444,2999,1221,31083,28277,64363,61089,142612,69206,75393,66998,36649,12995,557571
7,22,51,53,490,46,24,5,0,0,687,0,23,43,160,197,106,51,3,3,588,39,515,874,2719,1143,639,349,90,24,6391,0,7,3,60,16,17,18,3,0,131,0,0,6,37,9,10,11,0,0,71,0,16,25,130,100,134,92,70,14,580,7,24,19,89,50,60,39,26,0,306,8,82,123,364,191,119,47,16,0,949,10,102,81,753,134,85,59,30,8,1259,14,33,5,412,19,22,4,0,0,510,10,86,141,448,208,133,60,18,4,1101,0,0,0,19,10,9,3,3,0,46,42,141,84,507,152,159,80,27,4,1195,12,87,152,665,190,150,69,12,7,1350,0,4,13,61,19,28,24,13,4,158,5,26,94,349,136,89,27,3,0,730,60,399,437,2314,993,733,574,301,86,5889,1031,2269,2426,7194,2891,2415,1428,498,137,20291,16224,32678,29968,78712,29970,24236,14499,5157,1157,232605
8,31,273,292,1841,292,119,47,10,0,2906,0,7,39,150,278,157,61,16,5,705,21,313,522,2420,832,540,303,82,16,5058,0,20,11,247,143,172,251,110,50,1009,0,19,48,83,50,58,16,9,0,294,5,30,79,269,242,381,379,316,123,1817,13,110,172,393,216,129,94,28,12,1165,19,144,349,749,522,256,198,71,28,2338,9,148,259,1337,534,488,348,140,37,3304,4,29,52,451,78,44,30,7,4,693,17,119,214,770,241,147,88,26,4,1619,3,15,13,117,66,37,34,6,0,293,111,405,485,1126,481,327,287,136,15,3371,19,143,335,1473,791,754,400,119,52,4082,0,12,17,97,60,84,85,75,24,449,0,27,88,278,155,86,38,12,0,687,130,1031,1396,6544,2424,2007,1695,1126,462,16813,740,1620,2801,5643,1785,1504,1349,963,522,16933,26680,56253,60606,147129,56207,45406,35673,19350,7181,454499
9,0,0,0,8,0,0,0,0,0,12,0,0,5,3,5,3,0,0,0,14,0,6,5,25,15,5,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,0,0,0,8,5,10,14,0,0,44,0,0,0,9,10,0,0,0,0,14,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,3,3,0,21,0,0,0,3,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,12,0,4,21,85,18,12,9,9,0,148,29,75,59,220,103,111,80,44,3,727,243,587,410,1216,665,772,586,257,66,4788
