STE_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
1,659,7123,47,7833,213038,15280,236148,5717,5427,162,11303,224907,18597,254808,111445,8715,2008,122166,397608,44412,564183,275711,6673,4279,286665,220122,37406,544184,171341,9153,2489,182980,284071,30106,497158,33634,25597,652,59882,382420,26377,468679,5601,34579,273,40449,318864,21701,381017,914,7671,60,8646,186315,16360,211315,114,422,3,543,60560,9977,71074,605141,105356,9974,720477,2287904,220208,3228581,1203,12607,110,13923,194272,13558,221749,13400,10311,582,24294,202124,14956,241374,183388,14528,5606,203521,337229,37096,577842,338552,10464,8420,357435,170262,31283,558980,168326,22210,3566,194096,300431,25263,519788,16049,66005,959,83013,387061,23022,493100,3943,57114,555,61611,324784,21310,407711,865,9687,98,10648,209295,20260,240207,147,588,11,744,92830,19246,112820,725874,203504,19916,949291,2218287,206001,3373575,1863,19728,163,21756,407308,28836,457896,19124,15736,747,35603,427029,33550,496185,294833,23241,7618,325684,734834,81504,1142026,614261,17137,12701,644100,390385,68687,1103170,339664,31362,6055,377084,584503,55369,1016948,49683,91603,1614,142897,769483,49402,961784,9545,91694,827,102066,643645,43010,788725,1778,17354,160,19297,395609,36619,451521,267,1002,13,1281
2,509,5905,54,6460,169129,10923,186517,3349,4666,100,8120,188729,13686,210533,87534,8318,1539,97390,350798,34809,483005,230508,5731,3729,239971,184590,28147,452707,142259,6841,2017,151117,228733,22481,402329,25940,21744,472,48150,294235,18850,361238,4360,35549,214,40124,232879,16031,289036,745,8492,47,9280,138932,11712,159926,80,416,8,500,48238,6280,55017,495288,97658,8178,601121,1836263,162911,2600300,763,10175,67,11007,155615,10068,176690,7834,9264,398,17499,171112,11192,199803,142683,15616,4839,163143,300303,29049,492492,277019,10520,8866,296404,145893,23730,466025,140024,18070,3548,161641,243601,19314,424557,13247,61559,895,75701,292500,17118,385315,3501,60894,434,64830,235521,16171,316522,823,10030,94,10949,159857,14064,184873,141,512,9,657,75473,11323,87455,586034,196649,19154,801835,1779880,152028,2733735,1266,16085,122,17473,324740,20988,363201,11189,13935,503,25618,359846,24869,410337,230222,23932,6372,260531,651101,63860,975493,507533,16252,12592,536372,330484,51877,918738,282280,24917,5564,312762,472332,41787,826885,39185,83302,1363,123853,586739,35965,746547,7858,96440,650,104952,468405,32202,605557,1570,18522,142,20234,298788,25779,344801,217,927,16,1162
3,656,6607,56,7324,142201,11000,160521,5918,4525,194,10643,138126,14119,162887,80010,7452,2234,89701,221624,32744,344067,166959,6119,4425,177502,129347,27542,334387,101475,8879,2326,112684,191330,24827,328847,18082,19840,427,38348,240564,20246,299154,3150,24233,142,27533,202500,15378,245407,518,5610,30,6155,114939,9971,131066,39,254,4,296,32891,4831,38018,376812,83524,9853,470186,1413522,160657,2044361,1232,11553,123,12907,130191,9890,152988,12399,8681,695,21776,127736,11341,160852,125549,13045,6148,144741,187455,25464,357651,208820,10001,9221,228046,104481,20899,353426,98665,21224,3653,123543,203111,18636,345286,8016,50945,608,59573,240310,16257,316136,1906,41449,278,43625,200496,13940,258059,474,6931,56,7462,124668,11801,143929,75,390,7,472,49754,8898,59126,457144,164209,20788,642140,1368204,137117,2147455,1887,18162,178,20227,272388,20886,313506,18318,13207,897,32420,265862,25461,323739,205562,20496,8382,234435,409077,58206,701724,375781,16115,13649,405541,233831,48442,687817,200142,30103,5979,236230,394443,43459,674132,26093,70787,1040,97921,480874,36502,615299,5060,65683,414,71159,402992,29312,503466,990,12545,89,13622,239608,21770,274997,123,634,7,769
4,183,2158,19,2355,45965,2789,51114,1266,1728,41,3025,50055,3069,56156,25731,2790,696,29213,81117,7337,117670,57057,2026,1727,60809,44431,6637,111877,34374,2829,940,38138,66823,6070,111029,6299,8674,153,15131,90189,5441,110759,1117,13334,56,14511,75221,4515,94257,201,3232,8,3445,45362,3123,51928,18,168,0,185,16481,1557,18220,126249,36940,3642,166829,515639,40555,723017,287,3611,32,3926,41624,2485,48041,2926,3154,164,6245,44398,2373,53018,40095,4650,2073,46817,65266,5532,117619,69089,3332,3638,76058,33987,4740,114778,31711,7000,1313,40026,68990,4591,113611,2853,22079,237,25171,86785,4425,116382,775,21474,111,22356,75282,4438,102082,193,3650,22,3867,52970,3891,60725,29,198,0,228,26184,2687,29101,147950,69148,7603,224701,495496,35166,755362,468,5766,50,6292,87589,5276,99152,4181,4883,209,9273,94454,5443,109174,65827,7439,2769,76034,146376,12875,235287,126148,5360,5359,136871,78412,11372,226660,66083,9826,2252,78168,135816,10659,224641,9152,30751,397,40303,176978,9869,227147,1892,34811,171,36873,150507,8958,196344,399,6881,33,7315,98327,7013,112656,44,369,5,416
5,294,3792,32,4122,69865,4701,78685,2123,2632,91,4848,69639,6631,81122,40110,4440,1208,45756,119589,18622,183972,92083,3484,2881,98437,72894,17393,188720,54445,4308,1515,60267,98709,14774,173750,9865,11588,283,21729,121550,11330,154609,1693,16525,73,18295,94861,7116,120271,317,4052,27,4392,53022,4667,62085,45,213,0,254,16879,2508,19644,200966,51035,6107,258111,717003,87739,1062852,461,6243,87,6790,63421,4365,74580,5001,4997,339,10330,62432,4936,77702,66079,8076,3761,77916,98087,12384,188385,112225,6118,6960,125301,54917,10550,190766,50927,11355,2453,64735,100850,8927,174505,4296,31486,378,36162,115022,7653,158832,1132,28277,172,29584,90995,6537,127110,289,4964,35,5286,58160,5595,69042,41,290,4,341,25803,4316,30459,240451,101810,14184,356443,669684,65258,1091391,754,10042,120,10916,133283,9065,153263,7122,7630,429,15178,132077,11568,158817,106187,12516,4972,123679,217674,31002,372352,204307,9598,9836,223744,127813,27938,379492,105377,15662,3963,125001,199558,23699,348256,14160,43076,657,57892,236567,18986,313444,2831,44801,245,47877,185856,13652,247382,600,9021,63,9682,111184,10264,131131,85,506,7,592
6,56,640,7,703,13759,1066,15523,656,518,16,1190,13643,965,15806,8962,1017,294,10265,25633,2470,38367,16090,686,615,17387,12549,1955,31893,9405,1060,308,10780,20712,1850,33340,1954,2748,54,4758,29643,1964,36370,326,3676,11,4018,26659,1978,32657,60,851,4,921,15013,1307,17239,0,32,0,36,4455,574,5062,37507,11238,1319,50067,162063,14125,226250,109,1240,14,1367,12274,908,14544,1329,1046,75,2459,11937,826,15216,13217,1683,863,15762,20496,2033,38291,19335,1184,1338,21856,10584,1614,34058,9039,2787,464,12299,22016,1553,35868,818,7166,71,8047,29233,1732,39020,189,6007,25,6223,26258,1858,34338,48,1011,3,1066,16755,1591,19414,6,46,0,53,7006,878,7928,44091,22177,2856,69133,156555,13000,238684,164,1888,19,2068,26028,1970,30065,1989,1567,94,3649,25576,1799,31024,22175,2698,1157,26032,46123,4505,76661,35426,1875,1953,39252,23133,3574,65959,18448,3851,775,23077,42726,3402,69206,2767,9910,125,12810,58879,3697,75393,519,9684,40,10240,52914,3835,66998,107,1867,9,1983,31763,2895,36649,14,79,0,86
7,89,905,33,1024,5446,856,7320,454,740,121,1314,5784,1223,8321,4110,1034,417,5565,12372,3002,20934,6804,747,455,8009,7248,2402,17661,3562,887,215,4661,8362,2030,15049,753,950,74,1783,8995,1523,12298,191,764,17,972,5735,858,7569,22,159,6,189,2127,323,2644,3,13,0,17,414,70,499,15999,6198,1335,23532,56467,12295,92299,185,1100,73,1354,4744,761,6857,903,914,215,2027,4682,763,7473,6514,1434,812,8763,10954,2241,21958,8284,1149,838,10271,6123,1764,18155,3205,1651,343,5199,8244,1477,14923,357,2052,107,2521,8236,1174,11933,96,1363,34,1495,4765,674,6933,12,240,8,264,1975,280,2513,7,20,0,29,526,105,665,19557,9928,2433,31920,50246,9239,91409,271,2002,101,2379,10181,1613,14183,1360,1656,333,3346,10465,1986,15791,10627,2467,1232,14323,23327,5247,42894,15087,1895,1297,18282,13370,4165,35817,6767,2532,551,9858,16601,3506,29970,1115,3005,182,4302,17231,2700,24236,287,2125,56,2471,10495,1538,14499,36,399,19,454,4097,611,5157,10,39,0,54
8,36,615,4,650,12089,665,13415,194,397,10,597,15370,1117,17084,6350,786,131,7272,29165,2265,38702,17446,553,541,18540,14193,1602,34336,10213,581,287,11082,15616,1140,27837,1831,1659,52,3538,17491,876,21907,245,3138,15,3401,12569,679,16645,42,923,0,966,7316,505,8789,3,57,0,60,2546,263,2867,36361,8707,1045,46109,126352,9115,181575,42,938,7,990,11324,620,12936,495,778,24,1303,14885,995,17173,10091,1313,410,11813,25392,1839,39046,20434,893,1056,22382,11425,1235,35048,9304,1308,404,11021,16433,910,28369,807,4104,55,4971,17830,704,23500,180,5084,32,5296,12996,739,19029,47,1121,9,1178,8789,594,10567,4,45,0,46,3794,478,4314,41409,15590,2007,59001,122871,8107,189986,76,1553,7,1641,23421,1289,26348,689,1179,29,1896,30249,2109,34261,16441,2097,545,19091,54557,4102,77747,37877,1445,1596,40919,25624,2842,69387,19518,1895,693,22106,32051,2053,56207,2637,5760,109,8508,35314,1581,45406,423,8227,46,8693,25561,1419,35673,91,2044,14,2148,16109,1096,19350,9,103,0,107
9,0,6,0,7,67,16,88,0,5,0,5,64,41,108,48,5,5,53,122,160,339,114,12,5,131,101,100,324,81,8,5,92,173,86,347,24,23,0,53,273,57,382,8,25,0,33,247,47,322,0,8,0,8,93,24,120,0,0,0,0,32,0,31,272,80,17,372,1174,533,2073,0,6,0,6,81,18,103,9,13,0,26,63,13,104,70,18,4,92,99,51,240,150,11,17,172,86,52,310,75,14,6,94,177,36,316,14,56,0,68,267,47,384,0,29,0,32,209,32,267,0,11,0,11,100,27,135,0,0,0,0,25,3,34,321,150,25,503,1109,282,1891,0,14,0,14,143,34,189,9,16,0,26,130,58,218,123,22,4,143,223,211,583,264,17,24,301,182,149,642,152,29,13,189,349,124,665,40,79,0,120,538,108,772,4,50,0,59,451,75,586,0,14,0,14,194,46,257,0,0,0,0
