STE_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
1,93845,46774,48652,95435,48499,50538,99038,49468,51893,101361,49327,51151,100478,240344,249809,490155,48391,51116,99507,46380,49385,95763,45470,48118,93592,44679,48075,92756,43410,46599,90011,228335,243291,471628,42399,45257,87653,41070,44650,85725,39922,43027,82951,39532,42452,81985,37547,40632,78177,200477,216012,416493,37355,39843,77199,36511,39008,75518,35147,37366,72514,35356,37100,72453,36179,38381,74554,180539,191688,372234,29770,31784,61558,27795,30299,58095,26260,28578,54837,22582,25294,47875,21657,24090,45745,128059,140049,268110,83254,100154,183409,46132,64569,110697,20100,35703,55803,4453,11033,15488,395,1518,1912,3984166,4087995,8072163
2,75840,36930,38938,75868,37286,39757,77049,38024,40029,78051,37519,39585,77103,186632,197285,383916,37033,39380,76414,35397,38319,73719,35258,37613,72877,33920,36737,70658,32988,35980,68970,174604,188031,362634,32873,35196,68067,31542,34454,65995,30211,33230,63434,29852,32821,62669,28921,31474,60394,153392,167169,320562,28188,31043,59232,27472,30404,57883,26292,29013,55303,26327,28921,55245,27357,29977,57332,135645,149353,285000,22577,24373,46944,20631,22900,43534,19199,21751,40942,16852,19316,36166,16647,18959,35615,95906,107298,203205,64021,77579,141601,35507,50516,86024,15674,27515,43190,3543,8292,11839,292,1128,1423,3200963,3302528,6503491
3,61389,30203,31770,61970,31395,32814,64208,31349,33298,64648,31127,33021,64145,153996,162382,316378,31083,32807,63891,29666,31293,60959,29028,30607,59640,27935,30108,58042,27445,28942,56386,145164,153762,298919,26986,28490,55476,26206,27829,54029,25223,27168,52389,25295,26559,51852,24901,25864,50765,128608,135905,264515,24214,25305,49514,23626,25042,48666,22950,24064,47011,22536,23236,45770,23480,24508,47988,116797,122156,238952,19081,19848,38925,18116,19238,37353,16547,17567,34118,14079,15361,29434,13690,14854,28548,81515,86862,168385,49551,57067,106611,25196,34393,59583,10431,18464,28897,2196,5510,7703,187,761,952,2540404,2615736,5156138
4,22138,11108,11476,22589,11298,11697,22995,11448,11908,23355,11330,11890,23226,56042,58255,114300,11593,12094,23691,11114,11782,22899,10907,11769,22671,10710,11182,21898,10385,11297,21683,54719,58125,112846,10175,11082,21260,10102,10635,20742,9739,10592,20330,9795,10524,20315,9449,10210,19654,49258,53041,102304,9206,10195,19404,9208,9861,19069,8804,9597,18401,8519,9380,17909,9249,10009,19257,45000,49041,94040,7368,8132,15499,6842,7717,14554,6354,7015,13367,5619,6486,12102,5358,6105,11462,31537,35453,66986,20397,25270,45666,11593,16220,27812,5231,9348,14581,1249,3103,4353,147,428,571,878592,902924,1781516
5,32362,15963,16290,32254,16332,16517,32848,16461,16565,33023,15940,16347,32284,80808,81965,162778,15893,16199,32093,15140,15763,30902,14669,15495,30164,14190,14912,29101,13900,14506,28407,73796,76868,150667,14005,14609,28615,13012,14133,27146,12510,13544,26051,12316,13260,25575,12012,12792,24801,63860,68326,132186,11908,12312,24217,11391,11918,23307,10960,11657,22614,10864,11185,22048,11297,11715,23001,56410,58785,115196,8671,9048,17719,8163,8536,16704,7750,8234,15984,6580,7242,13817,6645,7148,13794,37811,40201,78012,24274,28842,53115,12900,17997,30899,5399,9286,14681,1245,2762,4008,102,412,515,1322855,1337171,2660026
6,6673,3400,3650,7047,3683,3931,7616,3702,3945,7653,3935,4070,8001,17883,19109,36993,3860,4194,8049,3722,4057,7781,3710,3950,7662,3692,3800,7488,3503,3905,7413,18485,19911,38395,3646,3713,7365,3455,3628,7084,3228,3679,6910,3409,3522,6927,3379,3477,6859,17117,18016,35137,3206,3390,6598,3163,3357,6524,2948,3163,6116,2979,3110,6087,3236,3292,6535,15536,16324,31856,2418,2671,5087,2228,2487,4716,2200,2373,4572,1870,2013,3884,1816,1951,3763,10533,11499,22029,6705,7909,14617,3395,4746,8140,1381,2419,3800,263,684,951,21,79,100,273765,283804,557571
7,2746,1335,1265,2600,1292,1263,2549,1338,1293,2627,1320,1233,2548,6673,6402,13078,1283,1286,2569,1116,1122,2232,1139,1088,2230,1056,1024,2086,1027,1009,2038,5621,5528,11150,1026,911,1932,896,882,1779,891,831,1717,800,764,1568,768,667,1441,4383,4058,8433,713,714,1432,720,612,1338,623,528,1152,565,513,1079,562,501,1068,3186,2873,6065,435,398,828,383,329,710,327,308,636,307,258,566,287,253,548,1740,1544,3285,903,974,1876,338,421,761,131,194,323,32,43,71,4,3,9,117526,115075,232605
8,4866,2383,2422,4804,2303,2468,4768,2329,2356,4681,2322,2479,4803,11663,12263,23926,2227,2383,4611,2166,2271,4435,2001,2253,4253,1957,2185,4142,1889,2148,4040,10246,11239,21481,1827,2094,3924,1683,1961,3645,1752,1915,3667,1755,1953,3713,1618,1950,3567,8641,9872,18513,1617,1918,3534,1620,1866,3484,1555,1741,3291,1579,1766,3344,1630,1879,3505,8007,9157,17162,1362,1470,2838,1157,1331,2488,1069,1283,2352,924,1112,2038,944,1095,2043,5463,6290,11749,3328,4271,7598,1859,2576,4437,804,1261,2067,190,426,617,11,53,59,224361,230140,454499
9,80,35,33,67,36,37,77,42,35,74,43,49,93,190,193,391,30,40,71,45,41,84,42,42,75,43,33,80,34,40,75,192,193,383,38,35,70,37,38,76,29,21,52,28,34,60,29,28,59,165,155,320,48,23,71,42,33,80,30,28,56,22,14,40,15,11,25,159,108,270,11,14,34,15,24,37,15,8,24,18,14,33,7,11,24,78,80,154,49,56,106,19,25,46,9,12,22,0,0,0,0,0,0,2520,2268,4788
