STE_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
1,..,723716,723716,873551,77857,951414,445452,20879,466330,447109,8309,455421,193515,2968,196481,105480,1631,107104,2065107,835364,2900468
2,..,619542,619542,716430,63015,779453,364749,19189,383933,375531,8183,383707,148979,2774,151753,70438,1400,71839,1676129,714102,2390232
3,..,461009,461009,598532,59977,658508,281068,14045,295112,271416,4534,275951,114106,1381,115488,62760,642,63402,1327873,541585,1869462
4,..,197272,197272,222902,16952,239857,99206,4417,103621,95210,1426,96643,36573,445,37018,16612,296,16912,470498,220815,691313
5,..,245193,245193,300205,23452,323656,146891,6166,153056,151311,2020,153331,60631,633,61271,27906,323,28233,686949,277789,964734
6,..,63360,63360,74240,5107,79354,30565,1388,31949,26717,604,27323,10818,219,11036,5285,103,5392,147619,70792,218412
7,..,16814,16814,18758,2456,21210,11044,785,11826,10295,257,10549,4997,84,5078,5159,27,5183,50246,20420,70660
8,..,43338,43338,50294,4754,55046,25843,2004,27850,26959,746,27707,9954,222,10173,4163,114,4280,117214,51188,168400
9,..,492,492,507,26,529,187,0,185,168,0,168,97,0,98,62,0,62,1008,525,1533
