STE_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
1,153,1064,918,1892,1001,738,702,250,56,6775,148,1329,1906,7743,5252,3716,2842,1298,332,24564,64,508,949,5976,2786,2623,1968,824,251,15969,60,232,409,3765,672,355,516,160,20,6198,113,657,1143,5891,1143,596,305,70,22,9929,39,196,228,2310,1709,1768,856,607,104,7819,557,2029,1805,5154,2445,2165,1626,736,109,16625,162,1181,3001,11712,9350,10057,5361,1602,591,43012,7,75,124,895,729,811,728,497,145,4016,13,104,375,1216,893,579,303,85,14,3593,891,6266,8079,42006,19332,18502,15268,10591,3697,124626,10383,24792,25493,62519,26104,25253,21226,14314,6413,216487,240712,514881,490960,1108376,497158,468679,381017,211315,71074,3984166,32,366,784,3014,996,713,362,115,29,6404,211034,417269,357760,626262,311874,289673,237909,139233,66466,2657480,101,685,1054,8912,1638,886,302,53,12,13644,3,20,47,1191,660,999,607,320,99,3949,37,248,610,8101,907,463,210,78,25,10678,19,123,382,2568,1609,1494,1007,384,182,7763,79,368,536,3681,1460,1135,731,285,67,8334
2,121,1014,1257,2760,1205,877,651,188,47,8125,74,807,1495,5028,3314,2199,1517,722,144,15302,135,1330,3438,15561,5495,4313,3159,1381,389,35197,58,188,305,2776,384,231,261,65,8,4280,110,968,1634,3213,487,165,109,35,6,6721,24,196,295,2639,2142,2308,1045,691,113,9446,356,1398,1390,3755,1709,1286,1024,411,68,11387,157,1242,3119,11982,8762,9039,4785,1396,500,40985,0,66,94,574,448,489,478,300,101,2550,12,85,331,1271,625,357,161,45,9,2897,678,5112,7972,34754,15452,14050,11963,7921,2936,100832,7629,17933,18267,48656,20369,18857,16133,10986,4946,163780,192679,407989,397047,935711,402329,361238,289036,159926,55017,3200963,64,883,2099,5327,1501,744,307,104,31,11051,170589,325655,279548,529725,267833,236618,182542,99086,46948,2138535,23,351,389,3128,534,281,149,22,5,4876,6,11,72,1550,843,1175,683,350,112,4798,19,111,213,2243,370,173,84,32,6,3248,36,227,774,3567,1774,1453,932,354,126,9246,75,330,350,2760,1009,686,395,149,45,5801
3,62,371,426,1138,590,387,286,95,20,3383,144,1595,2970,8251,5008,3596,2057,834,175,24623,43,317,598,2360,1016,812,593,307,73,6120,88,372,565,3827,696,472,604,182,18,6815,63,587,893,1660,304,141,69,10,3,3730,12,46,51,488,265,224,81,52,9,1229,217,930,1156,2841,1414,1356,1235,537,104,9780,57,526,1065,3028,2335,1882,1113,342,120,10469,5,107,200,690,606,608,537,372,95,3218,0,96,435,1614,1094,978,551,144,32,4948,494,3724,5814,21604,8526,7829,6614,4228,1311,60150,6978,17199,19048,47598,22080,19819,15359,9258,3702,161041,150708,345336,323405,678460,328847,299154,245407,131066,38018,2540404,17,168,346,1027,292,120,54,21,8,2049,131828,281910,243336,453184,228578,211237,174004,95316,39249,1858645,12,130,165,961,186,90,38,11,0,1594,0,9,33,657,352,470,232,99,21,1867,26,187,523,5006,620,198,109,37,10,6720,10,70,93,570,311,218,137,52,27,1486,100,406,512,3103,1062,910,634,228,81,7034
4,18,125,185,456,171,114,127,43,11,1247,30,388,520,1250,810,508,293,143,22,3956,36,222,279,1400,430,200,115,69,12,2753,6,32,76,432,43,40,26,11,0,667,24,136,229,587,85,42,8,9,0,1117,0,18,11,136,73,53,55,34,11,383,61,259,279,727,387,361,317,148,31,2576,33,308,721,2057,1502,1567,933,249,89,7457,3,32,66,205,219,344,265,173,77,1382,8,35,84,289,175,126,62,13,4,786,173,1480,2491,7378,3215,2907,2622,1781,747,22788,1540,3900,4223,10816,5543,5606,4738,3211,1431,41021,48352,107220,107269,229544,111029,110759,94257,51928,18220,878592,22,279,760,1688,475,204,75,17,3,3534,43169,88499,78886,153774,80634,78948,66265,35535,16253,641961,15,128,92,675,96,33,7,4,0,1060,0,7,14,360,206,284,170,83,23,1145,5,58,43,837,81,24,18,8,0,1075,9,63,116,760,409,328,250,72,31,2039,23,81,103,553,202,226,149,52,16,1409
5,51,503,833,2187,1214,1061,926,353,90,7219,105,1242,3058,7000,4716,3236,1714,657,153,21881,25,280,502,2008,825,461,399,200,49,4747,23,73,60,968,97,46,52,11,0,1341,48,588,747,861,182,76,49,13,5,2569,7,38,44,333,158,130,50,26,6,784,127,516,598,1387,699,790,635,260,54,5061,47,354,557,2306,1742,1542,876,247,104,7763,9,91,223,786,615,678,591,365,99,3456,10,200,708,2035,1401,1130,553,162,40,6236,263,2589,3920,15716,6167,5415,4070,2430,679,41255,3442,7966,8498,28078,12869,10661,7022,4359,2137,85030,83249,176755,159802,372691,173750,154609,120271,62085,19644,1322855,15,149,389,1246,321,172,86,35,0,2406,73222,139940,108745,205729,95595,83448,68101,34712,15159,824648,11,123,110,808,141,67,57,11,0,1326,0,8,25,541,263,392,215,78,28,1556,16,109,123,1944,270,118,60,22,4,2666,6,43,53,406,163,124,78,21,10,903,49,185,279,1521,590,530,295,95,40,3579
6,0,26,38,87,35,30,21,6,0,250,4,46,99,309,199,148,129,57,20,1004,9,33,53,514,63,25,15,6,0,723,6,19,9,233,13,3,0,0,0,282,5,54,47,91,17,3,5,0,0,219,0,0,0,24,10,13,10,0,0,54,12,75,68,242,154,161,173,79,20,977,0,47,84,392,35,13,13,0,0,590,0,5,4,31,35,68,67,59,20,293,0,6,20,47,51,32,26,14,0,207,38,235,284,1538,546,533,537,400,138,4248,584,1442,1525,3691,1983,2292,2267,1406,517,15702,14520,32998,31330,70257,33340,36370,32657,17239,5062,273765,0,9,27,72,28,9,4,0,0,149,12935,28414,25499,52245,29277,30965,25989,13783,5726,224842,0,9,19,179,4,0,0,0,0,233,0,0,0,20,12,6,8,6,3,46,0,9,6,210,10,6,9,0,0,240,0,7,4,35,5,0,0,0,0,49,0,14,32,198,106,94,80,35,3,561
7,0,16,8,38,21,22,10,4,0,119,5,45,68,188,92,61,28,9,0,489,5,52,38,394,81,45,32,19,3,663,5,17,4,124,4,8,4,0,0,163,8,38,62,110,31,21,3,0,0,276,0,0,0,8,5,9,0,0,0,26,25,64,41,261,89,82,38,14,4,618,6,48,69,238,73,82,35,7,0,562,0,0,10,28,9,11,9,4,5,82,0,15,42,132,68,46,12,3,0,324,29,198,228,1075,510,378,305,167,43,2938,548,1164,1304,3799,1611,1347,795,269,60,10891,8445,16787,15644,38594,15049,12298,7569,2644,499,117526,0,0,0,7,0,0,0,0,0,9,7084,13339,11105,24255,9776,7709,4240,1397,347,79260,0,16,43,177,16,7,6,3,0,272,0,0,0,13,5,6,3,0,0,23,0,5,6,98,9,6,0,0,0,121,0,13,7,69,26,15,11,5,0,145,3,0,6,109,28,24,24,8,0,198
8,6,62,78,180,108,49,42,13,3,537,3,81,188,340,249,122,95,32,10,1125,8,70,134,647,265,227,179,69,15,1612,0,18,24,194,27,18,12,3,0,297,5,57,111,232,49,33,20,5,0,504,0,5,14,75,35,20,13,4,0,162,55,212,237,510,227,162,120,64,11,1593,10,55,134,565,334,352,183,47,28,1709,0,4,12,45,42,41,42,33,15,238,0,12,33,143,80,49,14,9,0,333,64,545,687,3101,1192,978,740,504,183,7992,377,818,1434,3023,971,844,646,449,203,8769,13766,29019,30497,73037,27837,21907,16645,8789,2867,224361,0,20,36,142,44,30,14,3,0,287,12153,23329,22461,43142,18578,14783,11464,6034,2380,154335,3,39,78,583,124,74,27,11,0,940,0,0,3,58,37,47,35,23,16,212,0,15,15,218,47,17,17,3,5,329,3,9,29,100,41,32,25,10,3,254,8,46,46,282,161,107,65,26,11,743
9,0,0,0,4,4,8,14,0,0,32,0,0,0,0,6,0,0,0,0,11,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,8,0,0,0,4,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,6,0,0,16,75,14,3,3,5,0,115,14,43,24,110,61,56,54,23,0,385,132,313,196,665,347,382,322,120,31,2520,0,0,0,0,0,0,0,0,0,0,86,219,157,292,155,194,132,60,20,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
