STE_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
1,618095,373779,428692,400504,332545,258034,153565,61118,15269,2641600,70440,65377,72547,80720,93227,116294,114855,65409,20540,699413,3949,7037,10227,13439,21398,38499,53045,38173,13946,199709,204,536,1324,2870,7319,18532,32451,29798,12892,105922,74589,72949,84100,97023,121942,173332,200343,133376,47381,1005044,62902,44230,51392,46652,42676,37314,27108,16822,8425,337525,755589,490960,564183,544184,497158,468679,381017,211315,71074,3984166,601955,330390,415975,396355,333675,265548,166671,67241,20706,2598507,50258,80756,94897,94031,104837,122362,123116,77124,33704,781084,3000,13445,19822,21311,30533,45736,56206,43891,22961,256899,137,916,2638,5626,12860,24819,34063,32303,20823,134198,53392,95120,117359,120974,148232,192920,213388,153315,77485,1172181,59071,37618,44509,41654,37885,34635,27651,19644,14633,317300,714415,463125,577842,558980,519788,493100,407711,240207,112820,4087995,1220045,704165,844671,796865,666214,523584,320231,128355,35975,5240109,120702,146127,167443,174752,198065,238657,237973,142535,54240,1480498,6940,20485,30050,34748,51932,84236,109247,82060,36907,456604,342,1454,3968,8496,20181,43350,66512,62103,33713,240117,127980,168069,201457,217993,270171,366252,413732,286695,124863,2177225,121974,81848,95902,88310,80561,71947,54764,36468,23060,654833
2,495636,303813,362615,329686,267589,200958,118323,46621,12157,2137399,55326,54330,68795,72877,78365,89821,87382,49693,16013,572600,3140,5924,10062,12320,17871,29079,39335,28803,10880,157415,162,437,1206,2443,5902,13762,23789,22454,10408,80563,58627,60685,80071,87634,102138,132661,150510,100957,37296,810572,46401,32545,40322,35388,32599,27614,20202,12355,5559,252989,600665,397047,483005,452707,402329,361238,289036,159926,55017,3200963,483554,266860,344806,324737,269046,206259,128095,51273,16191,2090822,38834,68491,90178,84819,89145,97678,96286,60234,26243,651903,2369,11963,19847,19812,26559,36593,44500,34261,18513,214407,107,739,2424,4603,10227,18858,26488,24986,17230,105672,41308,81189,112451,109234,125933,153120,167273,119485,61988,971981,43928,28441,35234,32058,29580,25934,21153,14116,9282,239724,568788,376493,492492,466025,424557,385315,316522,184873,87455,3302528,979189,570679,707419,654419,536633,407213,246418,97893,28354,4228219,94153,122824,158976,157696,167515,187494,183667,109932,42257,1224496,5510,17882,29914,32130,44427,65671,83831,63065,29391,371819,270,1172,3632,7040,16131,32625,50284,47440,27640,186237,99933,141875,192523,196869,228068,285786,317784,220439,99281,1782563,90329,60985,75553,67444,62183,53548,41360,26469,14840,492709
3,402272,239868,245634,230229,206721,155825,94038,36103,7869,1618566,46119,44979,50914,56276,65312,74982,73697,40201,10995,463470,3279,5417,8225,10618,16847,26708,35321,24341,7615,138365,185,478,1158,2631,6196,14292,23645,20105,7347,76045,49580,50879,60297,69525,88358,115987,132666,84645,25949,677891,44191,32662,38140,34638,33772,27342,18701,10314,4194,243953,496045,323405,344067,334387,328847,299154,245407,131066,38018,2540404,389511,214465,238759,232814,207329,159640,99443,38829,10604,1591393,34831,59787,69684,69199,75283,81007,78104,45892,17321,531114,2543,10710,16007,18084,24580,32743,37843,26472,12469,181441,162,851,2403,4970,10962,19220,24755,21193,11667,96177,37528,71342,88096,92252,110824,132970,140701,93561,41460,808734,41243,28035,30791,28365,27133,23539,17914,11541,7058,215611,468277,313839,357651,353426,345286,316136,258059,143929,59126,2615736,791780,454330,484394,463039,414051,315468,193479,74933,18475,3209952,80946,104762,120601,125477,140594,155990,151805,86096,28319,994584,5818,16128,24232,28695,41421,59454,73163,50812,20081,319808,346,1330,3559,7600,17164,33509,48405,41300,19018,172226,87110,122221,148395,161775,199179,248953,273370,178211,67415,1486620,85431,60694,68931,62996,60906,50874,36614,21853,11251,459562
4,129061,82046,87071,78857,71042,58211,36648,14604,3775,561318,14523,15134,18091,19595,22836,28996,29465,16526,5409,170570,831,1791,2923,3713,5954,10183,13706,9700,3805,52602,59,143,419,850,2236,5293,8674,7712,3745,29122,15410,17064,21438,24152,31028,44471,51850,33936,12955,252299,11113,8158,9161,8866,8958,8080,5761,3393,1493,64980,155580,107269,117670,111877,111029,110759,94257,51928,18220,878592,125713,71154,80734,77056,68837,59452,40107,16497,5204,544764,10662,19201,23151,22866,25143,30319,31480,20043,8895,191761,766,3561,5765,6099,8425,12196,15199,11409,6376,69791,44,273,827,1723,3851,7261,9352,8684,6182,38212,11476,23040,29746,30693,37414,49762,56033,40140,21460,299760,10370,6863,7138,7036,7354,7160,5950,4090,2433,58401,147564,101057,117619,114778,113611,116382,102082,60725,29101,902924,254773,153200,167806,155917,139883,117668,76751,31099,8985,1106075,25188,34336,41245,42458,47984,59312,60940,36569,14301,362328,1595,5356,8691,9811,14372,22373,28907,21110,10179,122395,102,423,1249,2569,6086,12548,18026,16399,9931,67338,26884,40105,51181,54844,68441,94236,107880,74076,34415,552057,21485,15018,16300,15902,16317,15238,11713,7478,3927,123383
5,216292,121581,133692,133927,113297,85417,49927,18346,4272,876757,21487,20634,24924,28165,31468,37197,36512,19421,5908,225703,1161,2192,3441,4674,7307,11508,15726,11116,3802,60925,52,172,427,946,2270,5320,8963,8256,3410,29814,22706,22999,28794,33776,41045,54030,61201,38786,13119,316441,21004,15225,21489,21015,19409,15164,9149,4952,2256,129656,260004,159802,183972,188720,173750,154609,120271,62085,19644,1322855,209341,107183,130817,132260,110085,85738,53235,19634,5716,854002,15570,27412,34112,34154,36297,39768,38267,22875,9513,257977,1013,4521,7080,8057,10614,14415,16997,12242,6206,81147,53,371,896,1893,3972,7256,9827,8579,5421,38272,16643,32304,42082,44102,50886,61439,65093,43698,21142,377396,19800,12790,15486,14409,13535,11653,8790,5710,3600,105773,245779,152274,188385,190766,174505,158832,127110,69042,30459,1337171,425634,228761,264506,266189,223388,171152,103162,37977,9985,1730753,37064,48045,59035,62317,67766,76971,74778,42291,15415,483681,2175,6707,10523,12728,17922,25922,32727,23359,10011,142068,109,546,1319,2836,6243,12579,18788,16832,8831,68082,39341,55298,70878,77883,91929,115474,126290,82485,34259,693837,40804,28018,36977,35419,32942,26815,17933,10664,5856,235428
6,37884,22603,28420,21495,20100,18397,12231,4650,1016,166796,5185,5058,5726,6034,7335,9671,10014,5375,1525,55916,399,766,1018,1279,2117,3541,4826,3298,1054,18295,18,57,133,333,859,1894,3174,2594,961,10026,5597,5883,6876,7647,10316,15104,18005,11273,3540,84232,4040,2839,3072,2755,2924,2875,2412,1315,511,22735,47521,31330,38367,31893,33340,36370,32657,17239,5062,273765,37069,19110,25463,20791,19873,18612,12520,4968,1436,159845,3944,6722,7810,7943,8728,10574,10644,6469,2505,65345,325,1370,2120,2261,3179,4524,5307,3667,1767,24519,16,111,324,655,1581,2650,3551,2776,1503,13173,4285,8207,10257,10863,13490,17752,19504,12916,5776,103043,3765,2446,2568,2411,2507,2656,2312,1528,720,20914,45113,29762,38291,34058,35868,39020,34338,19414,7928,283804,74954,41711,53884,42288,39979,37008,24757,9619,2454,326646,9129,11785,13537,13974,16059,20244,20656,11851,4026,121261,718,2136,3140,3544,5298,8062,10133,6969,2821,42817,29,174,461,987,2443,4545,6725,5366,2465,23200,9882,14091,17133,18508,23800,32854,37511,24184,9314,187272,7804,5281,5645,5162,5425,5528,4732,2845,1224,43649
7,20770,12047,15546,12344,9307,6379,3062,813,122,80389,1613,1411,1940,2293,2696,2922,2181,794,147,15989,77,100,232,332,627,858,872,422,87,3614,3,15,39,79,197,448,540,306,70,1690,1694,1521,2207,2699,3515,4235,3595,1521,307,21290,2770,2075,3179,2614,2230,1683,918,305,71,15847,25230,15644,20934,17661,15049,12298,7569,2644,499,117526,19949,10688,16053,12478,9054,5972,2831,738,118,77876,1092,1825,2923,3036,3064,3024,1998,776,195,17932,51,226,540,558,861,1097,817,409,129,4693,7,20,62,158,295,499,538,320,133,2025,1151,2077,3523,3751,4219,4614,3349,1509,460,24650,2569,1563,2386,1934,1650,1350,748,265,88,12549,23668,14328,21958,18155,14923,11933,6933,2513,665,115075,40719,22736,31596,24821,18359,12356,5895,1554,237,158265,2699,3236,4867,5325,5756,5947,4181,1570,343,33920,134,334,775,892,1488,1955,1686,841,216,8304,13,33,95,236,488,949,1077,621,211,3718,2840,3597,5737,6453,7733,8846,6940,3036,765,45940,5337,3640,5559,4543,3876,3033,1666,573,163,28397
8,35914,22669,29134,25013,18454,12166,6911,2597,579,153433,4135,4736,5878,5971,5829,5752,5136,2872,896,41214,250,613,911,1122,1425,1888,2399,1605,627,10840,15,39,93,194,403,793,1297,1204,556,4589,4397,5386,6890,7286,7658,8431,8833,5689,2078,56644,2472,2445,2682,2036,1726,1307,894,500,212,14275,42778,30497,38702,34336,27837,21907,16645,8789,2867,224361,34558,19915,26922,23801,17318,12171,7745,2976,788,146197,3081,6694,7811,7215,6733,6486,5941,3516,1386,48856,181,1240,1874,1831,2072,2479,2808,2017,1011,15513,10,98,265,418,771,1184,1504,1481,807,6543,3273,8030,9954,9464,9574,10148,10253,7012,3204,70910,2325,2161,2172,1784,1471,1185,1037,575,317,13027,40157,30109,39046,35048,28369,23500,19029,10567,4314,230140,70472,42578,56051,48808,35778,24334,14665,5576,1371,299632,7222,11427,13689,13182,12556,12233,11076,6395,2281,90073,432,1855,2785,2952,3495,4370,5210,3617,1636,26351,26,138,357,613,1176,1973,2803,2683,1368,11131,7673,13420,16839,16753,17231,18583,19088,12697,5288,127560,4791,4606,4861,3824,3200,2490,1930,1081,530,27308
9,348,130,151,176,202,230,148,47,17,1445,30,13,23,37,33,63,80,39,3,324,0,0,0,7,16,15,26,8,3,87,0,0,0,0,3,10,17,11,5,54,30,13,23,48,59,93,122,58,16,457,66,49,164,104,88,60,52,19,4,620,444,196,339,324,347,382,322,120,31,2520,296,131,160,210,196,241,140,53,8,1440,19,33,19,42,55,73,61,35,11,351,0,7,5,6,6,16,23,7,5,76,0,0,0,0,6,3,9,10,0,35,18,38,27,44,70,94,94,55,22,464,62,34,54,58,47,51,29,29,4,363,383,211,240,310,316,384,267,135,34,2268,649,263,310,388,394,474,288,95,24,2884,48,49,48,83,91,135,133,75,18,673,0,7,3,13,23,33,53,18,4,164,0,0,0,0,9,19,29,19,7,90,46,53,52,93,127,188,215,111,37,924,128,92,219,157,139,115,82,53,6,983
