STE_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
1,344,12938,120,13061,..,13425,1291,14713,149,14869,..,20717,676,21393,172,21563,..,4210,541,4753,58,4809,..,50940,2853,53800,493,54294,..,30098,3368,33473,356,33824,..,18334,1116,19453,221,19674,..,6923,2622,9542,85,9623,..,9891,1946,11831,90,11923,..,38897,14896,53796,412,54210,..,99671,18891,118559,2651,121210,..,869673,155458,1025129,10408,1035532,..,16126,3205,19327,221352,240683,2707952,885798,158658,1044460,231759,3984166,2750024,..,..,..,..,2750024,..,4462,61,4526,29,4553,..,92525,19632,112159,749,112907,..,2842,70,2911,46,2959,..,56943,22194,79138,450,79584,..,101572,42176,143746,1092,144838,..,5861,2447,8312,36,8345,..,164376,66817,231191,1577,232773,..,9210,1469,10676,72,10754,..,11750,403,12154,146,12297,..,10493,296,10786,129,10916,..,34070,7059,41124,240,41365,..,16854,1815,18667,166,18832,..,11506,1317,12815,105,12922,..,37364,2076,39438,240,39680,..,28446,2013,30460,259,30723,..,21862,2559,24421,229,24648,..,6484,316,6803,43,6843,..,18444,1870,20313,219,20536,..,7554,426,7980
2,267,9838,106,9948,..,7346,538,7889,98,7985,..,11752,309,12060,108,12171,..,5083,871,5955,69,6023,..,33752,1986,35742,376,36120,..,18445,1856,20300,208,20507,..,16345,1056,17402,209,17605,..,3698,891,4595,54,4649,..,14180,2852,17031,130,17162,..,40001,14039,54043,436,54477,..,108144,21244,129382,2509,131891,..,736820,121259,858081,9373,867455,..,13276,2559,15825,159738,175571,2157940,750093,123816,873908,169116,3200963,2211866,..,..,..,..,2211866,..,3046,43,3088,24,3105,..,37708,7503,45214,316,45523,..,614,21,635,9,650,..,33315,10434,43749,276,44026,..,87715,31027,118745,953,119695,..,6156,2235,8388,41,8433,..,127185,43700,170884,1267,172155,..,8658,1536,10194,65,10265,..,9359,348,9706,112,9818,..,8715,214,8930,113,9043,..,45337,10711,56042,355,56403,..,6782,553,7332,63,7400,..,10255,964,11218,111,11325,..,30132,1771,31902,251,32154,..,9121,857,9981,86,10068,..,42774,4781,47559,595,48156,..,22356,1510,23862,186,24048,..,14977,1620,16600,241,16847,..,5800,284,6079
3,152,5525,68,5597,..,2171,136,2308,34,2339,..,7288,207,7493,63,7555,..,1857,135,1995,33,2024,..,16695,626,17322,197,17521,..,12743,1140,13888,162,14046,..,3546,198,3743,42,3784,..,2490,543,3028,38,3069,..,1285,175,1463,14,1475,..,10815,3469,14279,132,14410,..,53546,9305,62850,1478,64328,..,277110,38859,315971,4139,320107,..,9431,1342,10772,163007,173780,2046514,286541,40199,326736,167151,2540404,2104690,..,..,..,..,2104690,..,7529,101,7629,42,7672,..,6525,1237,7765,66,7827,..,9111,775,9885,274,10153,..,11522,3115,14636,108,14746,..,35034,10546,45583,380,45962,..,1496,555,2052,4,2057,..,48050,14224,62276,490,62767,..,1837,249,2082,17,2104,..,6226,266,6492,75,6566,..,8043,212,8260,93,8347,..,4822,536,5354,38,5395,..,2010,179,2199,16,2208,..,4183,418,4602,47,4651,..,10113,541,10660,91,10750,..,5235,595,5831,52,5885,..,12644,1458,14101,168,14267,..,3706,217,3916,23,3943,..,3219,323,3543,33,3572,..,1775,99,1878
4,51,1884,17,1900,..,717,53,769,3,773,..,2475,66,2542,22,2568,..,838,102,948,15,957,..,5867,276,6142,57,6200,..,3135,281,3412,41,3452,..,1669,80,1749,20,1769,..,607,115,716,17,736,..,372,52,422,3,425,..,7485,2508,9989,72,10060,..,21022,4959,25983,630,26609,..,131082,20340,151426,1815,153239,..,3064,500,3562,39570,43136,682215,134143,20838,154987,41392,878592,700733,..,..,..,..,700733,..,1457,26,1482,8,1496,..,4451,827,5276,55,5329,..,2135,150,2287,105,2391,..,4210,1075,5282,39,5316,..,13902,3563,17468,145,17610,..,670,210,880,0,885,..,18785,4848,23633,185,23812,..,1327,205,1523,20,1538,..,1397,57,1454,13,1468,..,2950,84,3032,34,3067,..,9446,1875,11318,68,11384,..,1259,95,1354,6,1356,..,3089,349,3434,28,3461,..,4357,240,4597,25,4625,..,3785,952,4732,47,4779,..,8176,936,9114,104,9212,..,1954,128,2078,18,2093,..,1994,217,2212,27,2236,..,807,54,864
5,124,5576,69,5643,..,4842,406,5246,64,5308,..,7485,194,7681,71,7754,..,3735,373,4109,39,4147,..,21505,1103,22609,247,22857,..,5489,441,5933,70,6004,..,4101,253,4357,64,4422,..,1900,247,2149,26,2171,..,881,152,1032,5,1036,..,7690,2603,10298,89,10387,..,37851,5496,43345,970,44312,..,204033,25013,229041,2872,231911,..,5821,785,6605,88505,95109,995834,209849,25798,235647,91372,1322855,1006945,..,..,..,..,1006945,..,7409,106,7521,40,7559,..,6467,1233,7698,66,7764,..,5567,311,5878,124,5997,..,8393,2187,10582,73,10654,..,21890,6196,28086,233,28319,..,1796,315,2114,11,2120,..,32081,8696,40776,315,41092,..,2387,338,2723,17,2739,..,4877,173,5052,67,5114,..,4737,122,4856,65,4919,..,2064,241,2306,28,2335,..,1681,173,1852,16,1870,..,4372,504,4878,46,4925,..,5243,380,5624,49,5672,..,2222,203,2425,27,2453,..,8562,937,9495,127,9622,..,2908,197,3106,23,3131,..,3195,314,3503,42,3544,..,1251,100,1345
6,0,203,0,202,..,170,6,179,7,185,..,255,8,271,0,269,..,152,35,192,0,190,..,786,53,838,10,851,..,696,40,736,9,747,..,237,10,249,3,252,..,158,16,173,0,173,..,39,11,46,0,48,..,548,81,630,14,642,..,2637,544,3183,114,3292,..,21457,2311,23767,304,24072,..,740,77,815,14214,15033,234662,22197,2390,24588,14518,273765,245214,..,..,..,..,245214,..,325,6,333,0,333,..,400,72,468,8,480,..,114,0,108,0,108,..,686,110,799,9,806,..,3976,483,4454,33,4489,..,82,16,97,0,97,..,4743,608,5350,39,5394,..,104,12,116,0,116,..,413,15,427,8,430,..,763,17,780,7,791,..,517,59,577,5,590,..,275,17,292,3,299,..,281,16,299,3,300,..,538,27,568,5,575,..,2793,503,3296,38,3335,..,971,70,1042,11,1054,..,500,32,532,9,542,..,413,51,464,3,470,..,81,0,82
7,31,881,18,898,..,480,37,523,11,529,..,1262,41,1299,16,1318,..,375,24,401,5,400,..,2971,133,3104,47,3155,..,310,26,336,5,346,..,263,22,281,4,287,..,250,61,308,0,308,..,24,11,32,0,32,..,518,173,692,3,695,..,16451,2801,19257,494,19748,..,31265,4277,35541,689,36228,..,862,152,1015,12494,13507,67791,32129,4428,36558,13184,117526,65468,..,..,..,..,65468,..,158,3,162,5,164,..,152,18,169,0,170,..,15854,2324,18181,469,18646,..,358,95,453,4,454,..,1194,236,1427,4,1438,..,238,97,333,0,333,..,1790,421,2214,11,2222,..,13,0,18,0,18,..,322,18,342,10,346,..,387,11,396,7,403,..,1344,221,1566,8,1577,..,267,9,280,0,283,..,204,10,218,0,223,..,416,13,435,3,438,..,1361,85,1442,8,1445,..,641,76,710,16,725,..,445,27,467,4,472,..,304,25,332,7,337,..,75,3,74
8,16,697,9,697,..,501,20,517,9,526,..,905,17,922,14,940,..,273,18,295,3,297,..,2347,79,2431,29,2464,..,1768,173,1937,19,1959,..,1163,38,1205,14,1217,..,355,71,428,6,434,..,179,15,199,7,202,..,1815,362,2176,12,2189,..,7068,825,7891,143,8035,..,48383,5108,53491,533,54021,..,842,116,959,8947,9904,160427,49224,5219,54449,9484,224361,163428,..,..,..,..,163428,..,346,7,350,4,355,..,1585,264,1841,12,1857,..,167,3,173,0,173,..,1914,351,2265,12,2278,..,6436,1219,7651,60,7711,..,271,36,302,0,305,..,8616,1602,10224,76,10298,..,1052,115,1164,3,1171,..,1217,20,1236,11,1245,..,948,17,966,14,977,..,1154,144,1301,8,1306,..,1225,81,1308,8,1315,..,788,60,842,4,853,..,2232,117,2340,14,2359,..,2543,122,2661,25,2692,..,2102,208,2310,20,2329,..,1056,41,1094,5,1104,..,1517,111,1623,19,1641,..,456,18,474
9,0,11,0,11,..,8,4,8,0,8,..,16,0,16,0,16,..,264,86,347,6,347,..,291,87,380,6,383,..,0,0,0,0,0,..,4,0,4,0,4,..,0,4,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,361,7,365,4,369,..,785,176,963,18,980,..,8,5,12,559,572,968,793,183,977,572,2520,986,..,..,..,..,986,..,4,0,4,0,4,..,0,0,0,0,0,..,12,0,12,0,12,..,23,5,30,0,30,..,68,39,108,5,109,..,11,8,20,0,20,..,102,57,156,5,161,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3
