STE_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
1,515150,742649,229987,19661,1507454,347123,48156,1902734,32723,26479,16214,1606,77025,65977,5633,148636,42770,60665,25912,2264,131616,50885,9444,191942,75491,87151,42127,3871,208640,116861,15074,340582,26523,18858,12140,1875,59402,65783,8092,133273,40630,28859,15658,2740,87886,65344,12515,165740,57443,37909,15270,3138,113754,69583,13826,197166,39351,20642,7243,2262,69496,42202,11601,123297,2447,2843,1240,159,6692,3321,546,10553,166393,109109,51552,10174,337227,246224,46579,630030,852,164,167,23,1212,2381,128,3718,1465,202,333,54,2051,3775,214,6041,120,56,44,4,228,295,28,550,2083,1557,841,189,4669,3377,1019,9061,4518,1973,1386,276,8158,9826,1387,19374,1644,1359,547,78,3629,3685,446,7754,763210,942246,325593,34063,2065107,723716,111646,2900468
2,462569,675052,201571,19156,1358350,345993,51074,1755423,44827,34569,19229,2441,101062,88816,9587,199466,35841,37935,15346,2149,91268,31901,9616,132782,80670,72505,34568,4586,192333,120715,19196,332251,20511,11857,7740,1385,41487,49686,5918,97090,13120,3998,2916,822,20851,28022,4412,53293,17329,4591,3326,965,26220,32188,4683,63084,20048,5447,3695,1792,30995,35109,8369,74477,226,239,115,15,595,556,23,1178,71236,26131,17791,4989,120151,145562,23403,289120,360,75,65,15,509,1388,52,1942,705,110,153,18,988,2465,99,3550,48,30,11,0,85,87,9,177,1221,646,338,74,2275,2002,510,4788,2330,856,563,106,3853,5931,670,10455,678,515,209,35,1440,1328,211,2984,617485,775064,254710,28870,1676129,619542,94559,2390232
3,409216,504298,170167,15257,1098940,251838,47143,1397920,19669,8456,10890,1032,40049,47837,3529,91413,30043,23021,21116,2098,76285,42067,8786,127140,49711,31486,32005,3134,116333,89902,12311,218546,13133,5865,7470,1093,27561,40018,4956,72531,15094,5030,4754,1074,25957,26729,5794,58479,16267,4469,3321,817,24871,20007,4865,49746,17438,4114,2666,670,24891,20717,4569,50171,739,370,217,36,1361,1071,170,2598,62668,19848,18431,3691,104639,108540,20352,233531,1969,296,265,38,2568,4128,213,6914,964,201,226,28,1423,2767,132,4328,218,123,67,7,420,559,35,1010,365,217,131,16,721,453,95,1271,3511,837,695,90,5131,7909,483,13519,1531,825,423,57,2830,2822,292,5947,526638,557290,221718,22225,1327873,461009,80576,1869462
4,157553,175474,62896,5656,401580,121948,15478,539001,15528,9384,8731,996,34639,38741,3002,76382,6342,4708,2891,417,14351,8088,1818,24256,21869,14085,11622,1420,48992,46832,4817,100639,6227,3257,2367,463,12311,18947,1657,32909,1032,299,229,78,1637,2476,342,4459,1606,392,262,105,2366,2785,478,5635,1044,203,116,69,1434,1748,498,3689,84,77,33,4,201,128,19,340,10000,4224,3011,714,17951,26084,2997,47026,326,62,34,3,429,727,62,1213,182,27,36,4,252,469,35,761,20,19,5,0,46,35,0,83,171,137,59,8,381,282,49,711,697,242,139,20,1102,1513,148,2766,433,287,138,18,876,896,110,1881,190558,194316,77808,7821,470498,197272,23542,691313
5,214866,286655,86550,8303,596367,150546,22123,769038,19834,12878,9475,1203,43395,44766,4025,92186,9113,5719,3144,534,18512,12405,2351,33264,28950,18596,12625,1736,61908,57168,6372,125450,4312,1848,1365,287,7811,12120,1111,21041,3466,1066,782,206,5524,8162,982,14668,4771,1240,754,188,6950,8291,1024,16268,3165,886,394,133,4577,4200,698,9472,229,165,77,11,483,397,33,912,15943,5201,3380,823,25351,33169,3845,62360,863,145,105,15,1133,1717,73,2926,527,49,60,12,649,1176,46,1867,87,49,16,6,162,165,12,337,227,134,47,11,422,252,60,733,1701,383,233,42,2360,3313,188,5858,487,321,125,24,959,1002,69,2023,261958,311151,102909,10932,686949,245193,32591,964734
6,59423,52792,23060,1846,137121,48519,5914,191561,1580,599,900,86,3161,5934,368,9471,1073,527,385,49,2035,1574,324,3929,2661,1116,1276,144,5202,7505,693,13402,1922,762,851,85,3625,5214,549,9391,274,81,47,15,413,676,97,1183,176,38,51,11,277,327,65,667,14,0,0,0,18,18,0,37,68,37,33,0,142,133,18,293,2458,921,977,114,4476,6372,727,11575,121,22,27,0,173,348,11,537,107,23,23,3,161,179,15,353,7,9,4,0,22,27,4,52,117,70,39,14,232,166,46,443,357,126,87,13,590,725,74,1389,117,81,27,6,229,237,15,484,65024,55040,25430,2128,147619,63360,7429,218412
7,11466,19094,6556,757,37867,7381,1963,47212,1160,1083,700,109,3046,2470,241,5757,790,604,411,48,1858,1091,252,3207,1947,1687,1103,160,4902,3562,502,8964,1081,777,469,78,2407,2084,300,4794,469,409,138,29,1045,743,160,1947,895,589,278,44,1801,1118,351,3268,881,352,106,24,1374,948,271,2592,6,4,3,0,19,19,0,42,3337,2128,998,180,6643,4916,1082,12644,261,60,25,6,354,376,20,744,44,19,9,0,78,121,5,195,47,18,7,7,81,92,7,178,26,5,6,0,37,18,5,60,380,104,51,14,546,597,36,1181,149,73,47,5,284,356,25,659,17283,23087,8756,1113,50246,16814,3605,70660
8,28306,44820,11282,983,85385,17682,3365,106433,3065,2265,1618,148,7105,6103,546,13757,4074,3449,1672,240,9435,4431,1301,15164,7138,5716,3294,387,16540,10536,1845,28921,1330,666,432,46,2473,2745,409,5628,2147,882,428,112,3571,3476,697,7745,4037,1181,569,143,5928,5810,904,12642,2047,538,258,88,2929,2697,578,6206,115,62,28,3,214,198,26,442,9675,3330,1726,391,15117,14932,2612,32669,5,3,5,0,10,29,0,45,17,8,13,5,37,63,6,105,0,0,0,0,0,0,0,0,3,5,0,0,8,3,4,7,25,15,14,6,57,92,11,168,47,38,18,3,107,90,15,213,45194,53911,16336,1768,117214,43338,7850,168400
9,386,336,116,19,850,384,21,1259,23,31,6,0,57,33,0,95,3,4,3,0,5,3,0,14,21,36,15,0,68,40,0,106,22,10,3,0,35,44,6,78,10,22,9,3,36,8,0,51,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,7,0,12,33,33,7,3,74,63,6,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,5,0,0,5,7,0,0,0,10,13,0,23,459,405,136,20,1008,492,28,1533
