STE_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
1,655,2573,531,1005,821,46,5635,274,5132,792,585,362,63,7214,2346,30901,3554,4386,1681,354,43219,7977,17251,7576,7471,2328,377,42980,8849,7350,2770,8202,1517,211,28905,24280,8650,3738,11431,4127,325,52558,68261,6628,3259,19432,3390,353,101315,168792,5883,2868,28907,4432,564,211434,151538,1924,906,20342,2768,310,177774,94298,502,288,11026,1292,157,107565,50109,169,130,6097,580,89,57170,25491,100,70,3641,342,45,29694,13916,46,23,2021,136,17,16165,25195,35,23,4382,376,57,30075,10877,5590,1517,8990,3673,2248,32892,652863,92733,28054,137913,27819,5207,944585
2,600,2280,294,973,388,48,4578,361,3021,396,741,258,45,4820,2328,18639,1656,4940,1300,274,29135,7275,7859,2847,7881,1467,243,27565,8244,3843,1469,7365,1068,129,22118,27016,4065,1714,11287,2326,234,46634,97717,2966,1368,22024,3027,409,127510,190887,2020,734,22821,3065,405,219928,79983,473,190,9879,918,136,91573,33133,122,62,4031,272,56,37680,16251,72,28,2055,147,27,18577,8787,44,26,1259,83,11,10215,4736,34,12,637,51,9,5478,8720,28,9,1480,210,37,10477,8965,3770,750,7658,2443,1542,25123,495012,49234,11554,105021,17020,3586,681419
3,442,3753,325,705,3217,49,8487,183,4359,446,467,874,33,6370,1624,17999,1612,3652,1913,204,27002,5714,9516,2920,6823,2303,292,27567,8054,3492,1249,7945,1702,200,22640,28861,3714,1565,12786,5297,329,52553,78899,2520,1296,22428,5226,443,110809,147568,977,718,26341,8129,477,184207,77610,243,171,12129,3024,180,93351,30383,62,64,4668,1006,74,36261,12034,34,22,2012,367,15,14487,5332,20,13,964,161,10,6499,2638,13,8,456,59,4,3181,3540,14,3,881,149,11,4593,6333,3525,634,5559,2992,1395,20440,409207,50230,11047,107813,36412,3729,618442
4,92,1009,198,454,237,22,2009,72,2223,357,330,139,30,3152,865,11847,1522,2290,846,160,17535,3514,5408,3001,4110,978,172,17181,3190,2128,964,3966,588,74,10907,12438,2383,1279,7193,1639,171,25112,28878,1706,911,12431,1453,144,45513,30223,705,445,9142,991,105,41602,10461,124,75,2704,250,22,13630,3088,32,30,774,72,8,3996,1151,19,16,268,29,0,1479,513,19,3,146,11,0,698,266,17,0,63,9,0,358,338,12,3,156,30,4,545,1162,1626,575,1994,865,508,6737,96254,29263,9378,46017,8135,1423,190462
5,222,1480,586,435,2182,36,4945,70,1799,510,292,421,28,3121,660,9693,1239,2331,1802,124,15842,2184,5023,2088,3457,1285,129,14161,3614,2155,548,4093,992,71,11469,11690,3030,813,7491,1986,103,25122,34165,2188,576,16013,2291,178,55413,51823,820,380,17661,1989,196,72867,22462,152,81,6041,608,52,29395,8190,35,18,2005,182,21,10447,3606,38,15,867,120,9,4651,1922,30,8,474,81,3,2518,1098,20,4,243,52,0,1426,1755,8,5,415,128,11,2322,2251,1742,492,3139,1903,605,10126,145715,28209,7366,64961,16017,1568,263826
6,24,242,52,163,168,7,667,26,459,106,121,37,9,761,260,2970,439,800,243,51,4763,1141,1864,872,1584,325,67,5852,1216,944,423,1722,212,37,4544,3506,1133,494,2808,350,62,8351,6633,527,216,3824,403,56,11660,7702,199,74,3140,355,44,11516,3486,36,24,1160,130,8,4842,1297,5,3,387,36,4,1732,399,3,6,151,16,0,576,147,6,0,65,11,0,229,58,3,5,29,5,0,98,53,3,0,59,5,0,125,375,431,116,666,295,156,2039,26323,8822,2834,16694,2598,497,57762
7,20,1565,878,24,395,46,2927,7,1251,315,14,212,19,1816,45,1603,348,107,296,12,2403,129,957,182,205,220,17,1709,192,354,110,240,171,7,1074,761,417,94,396,963,17,2645,2296,242,66,877,432,13,3928,4103,147,28,1406,286,19,5988,3294,89,13,955,191,15,4541,1933,16,5,423,74,5,2461,837,10,4,163,21,3,1037,335,4,0,82,17,0,440,147,0,4,34,6,0,199,137,4,0,52,16,0,205,302,682,168,286,727,67,2234,14531,7337,2207,5253,4021,248,33599
8,12,419,19,38,16,0,503,0,468,41,23,7,3,545,37,3212,113,164,35,12,3570,94,1185,170,301,73,9,1828,76,597,71,288,45,11,1083,289,638,108,460,506,3,2006,1099,599,179,898,545,9,3334,6679,648,185,2587,629,13,10746,9594,248,45,2670,350,13,12922,5891,42,16,1507,207,13,7682,2539,14,8,623,79,7,3270,958,11,3,296,32,0,1291,411,10,0,97,14,3,534,564,4,3,153,13,4,739,381,478,65,419,161,113,1621,28635,8569,1012,10516,2736,208,51681
9,0,16,24,5,35,0,84,0,19,6,7,7,0,29,0,28,3,23,9,0,61,15,29,0,25,13,0,78,8,0,0,36,0,0,55,18,14,3,33,7,0,79,35,8,0,30,4,0,79,21,0,0,20,4,0,50,6,0,3,7,4,0,18,4,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,5,21,0,43,111,139,42,198,104,0,600
