STE_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
1,273,54,53,68,235702,236148,6545,386,222,123,247532,254808,168558,7504,8419,361,379341,564183,336115,18341,28362,933,160440,544184,310230,23863,51954,2748,108364,497158,296917,22002,67222,7270,75271,468679,258781,16398,54980,16497,34361,381017,146561,6376,22451,24234,11687,211315,40565,1156,4094,22285,2973,71074,1564547,96082,237756,74518,1255675,3228581,345,56,43,66,221244,221749,14020,985,500,115,225752,241374,224650,12831,13569,759,326037,577842,350186,25393,41145,2824,139437,558980,314525,29376,74966,8732,92190,519788,292971,24774,91425,25988,57941,493100,235072,14916,72587,58275,26862,407711,107854,4482,30317,87893,9670,240207,19980,774,7206,80834,4030,112820,1559599,113576,331764,265474,1103169,3373575,615,111,92,129,456946,457896,20567,1369,728,234,473284,496185,393207,20337,21992,1115,705385,1142026,686304,43731,69505,3754,299877,1103170,624758,53238,126919,11478,200551,1016948,589888,46775,158643,33261,133213,961784,493852,31310,127565,74775,61219,788725,254412,10858,52768,112125,21358,451521,60542,1927,11299,103117,7009,183895,3124151,209657,569516,339990,2358844,6602157
2,169,45,40,45,186214,186517,3786,219,126,101,206303,210533,134170,5410,6167,354,336890,483005,280387,14079,22339,820,135075,452707,251196,19632,41149,2285,88066,402329,232751,17413,51381,5876,53813,361238,200679,12105,39569,12371,24305,289036,113802,4540,15650,18124,7807,159926,31615,863,2813,17604,2127,55017,1248562,74311,179241,57579,1040604,2600300,249,41,33,39,176324,176690,8797,611,284,84,190029,199803,179726,9105,10033,667,292963,492492,289024,19950,32100,2410,122542,466025,253870,24417,60492,6859,78924,424557,229909,19499,71831,19307,44772,385315,185414,11486,55332,44526,19767,316522,85127,3446,22004,67501,6803,184873,15941,570,4823,63426,2693,87455,1248057,89131,256933,204814,934807,2733735,422,87,78,80,362539,363201,12581,833,408,181,396334,410337,313895,14517,16202,1025,629852,975493,569417,34033,54445,3226,257615,918738,505063,44049,101637,9140,166986,826885,462662,36911,123211,25181,98588,746547,386091,23591,94905,56898,44071,605557,198933,7985,37657,85622,14609,344801,47554,1434,7633,81031,4815,142475,2496618,163443,436174,262392,1975412,5334032
3,183,49,31,44,160219,160521,3887,337,106,85,158477,162887,94622,5630,5396,302,238114,344067,188838,13889,20266,721,110675,334387,194735,18188,39389,2023,74514,328847,185064,15290,48667,4925,45209,299154,164056,11030,40387,10662,19268,245407,89841,4143,15979,14671,6438,131066,21196,722,2645,11811,1642,38018,942421,69280,172868,45236,814554,2044361,228,54,27,28,152642,152988,7255,603,174,96,152727,160852,123866,9485,8635,602,215069,357651,204088,19470,29034,2161,98680,353426,198872,21961,54597,6101,63761,345286,184423,17027,64798,15944,33946,316136,148514,9816,50417,35585,13722,258059,65220,2984,20091,50932,4709,143929,10532,402,4153,42151,1884,59126,942997,81812,231920,153593,737129,2147455,406,111,59,71,312858,313506,11139,936,280,178,311206,323739,218488,15118,14035,902,453180,701724,392923,33361,49296,2884,209352,687817,393603,40150,93984,8120,138278,674132,369485,32321,113469,20865,79150,615299,312574,20848,90803,46251,32988,503466,155064,7125,36065,65601,11144,274997,31734,1123,6799,53962,3526,97140,1885416,151093,404787,198827,1551691,4191812
4,50,10,11,16,51027,51114,1192,79,40,23,54823,56156,34029,1534,1581,71,80451,117670,64368,4186,6188,219,36921,111877,63833,5575,12740,710,28168,111029,66731,5218,17819,1807,19191,110759,63834,3771,14736,4188,7730,94257,37076,1326,5558,5758,2210,51928,10296,268,1011,6114,539,18220,341416,21968,59678,18903,281056,723017,97,13,9,3,47914,48041,2572,214,64,26,50146,53018,44436,2645,2593,169,67775,117619,68007,5677,8920,674,31504,114778,64866,6712,17502,2127,22412,113611,67241,5634,23384,5832,14293,116382,59862,3320,19119,13894,5890,102082,28560,1024,7427,21857,1864,60725,5205,162,1802,21206,726,29101,340844,25407,80820,65779,242515,755362,148,24,18,24,98937,99152,3767,294,108,44,104962,109174,78469,4183,4177,239,148223,235287,132376,9856,15109,894,68422,226660,128698,12287,30243,2836,50582,224641,133979,10849,41202,7639,33479,227147,123695,7097,33855,18079,13620,196344,65631,2349,12985,27618,4070,112656,15504,424,2811,27319,1261,47325,682265,47368,140501,84682,523561,1478375
5,128,22,23,27,78483,78685,1843,121,54,47,79056,81122,52399,2603,2636,161,126161,183972,111052,7216,10046,309,60100,188720,107412,9029,18441,1003,37867,173750,99287,7345,23145,2463,22373,154609,83306,4815,18305,4924,8924,120271,44190,1818,6967,6428,2682,62085,11470,336,1233,5974,637,19644,511083,33309,80847,21333,416291,1062852,140,23,17,26,74379,74580,3645,280,100,46,73633,77702,71249,4599,4340,293,107908,188385,116948,9349,13899,1127,49444,190766,105886,10202,24989,2952,30481,174505,96409,7814,30694,7607,16309,158832,75344,4405,23910,17048,6394,127110,32328,1310,9572,23745,2092,69042,5933,223,2133,21427,746,30459,507886,38198,109653,74267,361384,1091391,268,42,41,51,152860,153263,5484,398,155,93,152688,158817,123646,7205,6976,454,234072,372352,228001,16563,23941,1439,109549,379492,213302,19231,43427,3952,68347,348256,195692,15157,53843,10070,38686,313444,158656,9223,42218,21970,15321,247382,76520,3129,16537,30170,4775,131131,17405,554,3365,27399,1379,50106,1018971,71509,190493,95601,777668,2154244
6,9,5,0,4,15506,15523,430,24,14,9,15321,15806,11153,518,545,36,26118,38367,16598,1193,1842,67,12200,31893,17875,1741,4213,240,9259,33340,21254,1810,6285,736,6277,36370,21455,1300,5393,1617,2884,32657,11776,467,2015,2188,792,17239,2751,74,296,1753,187,5062,103304,7141,20605,6650,88541,226250,17,0,3,6,14510,14544,863,52,26,5,14274,15216,13567,928,842,53,22897,38291,17762,1747,2753,209,11588,34058,19168,2120,5757,698,8116,35868,22153,1958,7999,2084,4824,39020,19589,1146,6694,4938,1976,34338,8612,314,2555,7283,654,19414,1371,45,519,5760,236,7928,103097,8330,27146,21038,79078,238684,31,6,3,5,30022,30065,1294,75,38,13,29595,31024,24717,1448,1385,89,49019,76661,34362,2939,4587,276,23785,65959,37045,3864,9970,946,17378,69206,43408,3768,14288,2819,11104,75393,41046,2452,12091,6555,4860,66998,20384,787,4568,9464,1444,36649,4124,120,816,7512,421,12995,206403,15471,47755,27690,167621,464930
7,214,6,5,0,7098,7320,974,53,23,8,7265,8321,7008,289,305,34,13300,20934,9829,592,823,50,6369,17661,8111,775,1541,172,4446,15049,6671,707,1829,300,2801,12298,4207,485,1415,387,1081,7569,1537,137,386,322,264,2644,235,17,47,154,49,499,38780,3063,6360,1427,42666,92299,300,7,3,4,6539,6857,1236,58,24,17,6139,7473,8477,510,455,99,12413,21958,9775,869,1137,190,6185,18155,7716,819,1797,468,4125,14923,5945,648,1998,1021,2317,11933,3171,351,1312,1334,764,6933,849,80,418,1009,160,2513,95,4,67,449,54,665,37561,3342,7205,4595,38703,91409,510,18,10,8,13631,14183,2214,106,38,26,13407,15791,15493,793,759,133,25713,42894,19602,1456,1952,242,12554,35817,15826,1590,3345,634,8579,29970,12611,1353,3825,1325,5114,24236,7379,837,2717,1724,1847,14499,2385,212,802,1337,421,5157,325,25,112,597,99,1157,76341,6402,13567,6019,81369,183704
8,5,0,0,0,13396,13415,378,14,9,4,16682,17084,12120,410,546,24,25603,38702,21899,1000,1773,64,9598,34336,17898,1182,2860,120,5783,27837,14494,897,2970,290,3253,21907,12037,503,2145,665,1298,16645,6491,214,818,925,331,8789,1690,37,159,895,79,2867,87017,4252,11282,2984,76039,181575,11,0,6,4,12922,12936,892,35,31,4,16212,17173,15588,641,810,31,21969,39046,22269,1328,2471,150,8832,35048,17244,1441,3996,419,5268,28369,13934,973,4546,1075,2981,23500,11022,604,3702,2495,1213,19029,4805,185,1532,3662,382,10567,838,29,370,2950,127,4314,86596,5235,17467,10786,69895,189986,15,0,8,0,26320,26348,1272,46,44,9,32893,34261,27706,1048,1360,56,47574,77747,44168,2322,4247,213,18433,69387,35148,2623,6853,537,11050,56207,28431,1870,7516,1357,6233,45406,23053,1103,5847,3155,2514,35673,11295,396,2350,4589,717,19350,2529,65,531,3847,207,7181,173618,9482,28749,13771,145939,371559
9,0,0,0,0,88,88,14,0,0,0,101,108,93,4,3,0,229,339,174,16,23,3,115,324,187,22,47,0,92,347,226,25,70,3,52,382,228,17,39,12,24,322,77,5,17,16,3,120,18,0,0,12,0,31,1019,90,201,49,718,2073,0,0,0,0,105,103,18,0,0,0,88,104,92,12,0,0,138,240,186,7,16,0,99,310,162,25,46,4,73,316,226,22,78,14,49,384,158,9,41,37,24,267,68,3,14,41,0,135,0,0,4,24,0,34,915,72,208,127,574,1891,0,0,0,0,187,189,27,0,0,0,187,218,187,20,5,0,365,583,358,20,36,3,216,642,351,43,94,4,166,665,455,46,151,23,98,772,385,25,79,43,53,586,146,6,32,62,6,257,22,0,9,32,0,66,1934,163,409,170,1293,3965
