SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102100701,3,0,5,3,0,6,9,3,0,29,25,27,36,30,49,57,48,22,5,299
10102100702,9,0,0,0,11,6,6,4,0,36,31,26,21,24,45,69,38,34,4,292
10102100703,8,5,0,8,3,10,4,0,3,41,101,41,43,63,54,54,55,46,9,466
10102100704,3,3,3,3,14,6,11,10,0,53,70,23,40,49,66,66,82,86,33,515
10102100705,15,4,8,7,5,11,4,5,0,59,67,32,54,48,54,62,58,50,3,428
10102100706,8,0,4,9,5,5,6,0,0,37,64,14,23,40,37,52,45,17,0,292
10102100707,8,0,0,3,0,9,7,0,0,27,65,17,35,37,52,90,77,32,9,414
10102100708,10,0,7,3,7,15,9,12,3,66,111,38,45,56,116,113,112,37,15,643
10102100709,9,4,8,8,7,12,0,0,0,48,84,32,48,57,72,89,25,14,0,421
10102100710,4,0,3,3,13,7,7,3,0,40,67,28,26,49,95,126,95,45,6,537
10102100801,11,5,3,8,4,0,3,0,0,34,58,52,54,57,62,53,33,19,4,392
10102100802,4,9,3,0,4,8,6,0,5,39,106,54,63,73,75,77,63,47,11,569
10102100803,17,3,6,13,5,0,0,0,0,44,83,35,64,46,52,31,29,13,3,356
10102100804,13,5,4,8,11,3,4,0,0,48,91,46,82,56,64,41,34,14,7,435
10102100805,22,5,3,12,4,9,4,0,0,59,79,40,41,38,28,22,20,12,3,283
10102100806,8,4,3,5,3,7,0,0,0,30,78,38,62,62,40,48,54,16,0,398
10102100807,5,8,3,10,3,5,9,5,0,48,66,55,73,76,62,57,63,27,4,483
10102100808,9,0,6,4,0,5,0,4,3,31,106,64,82,67,64,59,44,17,8,511
10102100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102100810,5,0,0,0,0,3,0,0,0,8,44,38,21,22,32,51,20,10,0,238
10102100811,0,13,8,7,6,3,5,3,0,45,57,38,57,49,34,43,45,30,6,359
10102100812,6,0,5,6,4,6,0,0,0,27,71,28,39,40,41,45,10,5,0,279
10102100813,0,7,0,4,8,4,0,0,0,23,68,68,38,45,97,69,26,10,6,427
10102100814,0,7,13,3,3,9,4,0,0,39,76,62,83,58,76,88,54,24,5,526
10102100815,10,7,15,4,4,9,3,5,0,57,81,53,132,53,49,55,37,36,8,504
10102100816,8,3,14,11,0,16,0,0,0,52,92,49,64,84,43,58,44,19,12,465
10102100817,9,3,6,0,0,0,0,3,0,21,69,31,72,46,36,43,19,22,8,346
10102100818,3,9,0,4,3,3,0,0,0,22,58,49,41,40,48,22,24,23,6,311
10102100819,3,4,3,6,3,8,0,0,0,27,86,59,50,63,68,72,35,19,0,452
10102100820,7,0,0,0,0,3,4,0,0,14,75,33,45,42,27,32,32,10,3,299
10102100821,7,3,6,3,5,3,4,0,0,31,77,69,52,52,81,61,42,19,0,453
10102100822,0,0,0,0,0,0,0,0,0,0,37,27,24,33,38,27,25,10,0,221
10102100823,11,14,7,3,3,3,0,0,0,41,60,30,27,37,35,24,12,0,0,225
10102100901,0,0,0,0,0,3,0,0,3,6,54,13,31,36,30,38,31,6,10,249
