GCCSA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
1GSYD,41,622,142030,142695,3360,12063,145203,160626,104587,75480,187064,367128,227814,42936,87963,358712,200201,29323,75937,305464,175874,19687,68933,264492,137333,9424,47334,194090,75080,3161,26450,104694,19311,451,12168,31927,943600,193137,793087,1929830,144,1106,132118,133367,8247,17639,125595,151480,148330,78966,152032,379322,239789,39127,90310,369229,200986,26456,95429,322871,167224,16253,97127,280605,122042,6952,86863,215852,52826,1793,65651,120271,8353,204,36367,44927,947945,188495,881489,2017935,182,1737,274146,276057,11604,29705,270799,312109,252920,154436,339096,746457,467604,82063,178276,727947,401193,55779,171367,628339,343100,35942,166061,545095,259375,16370,134193,409941,127905,4956,92107,224965,27666,654,48538,76856,1891549,381634,1674575,3947759
1RNSW,23,907,73682,74614,1321,10695,54440,66453,39983,38705,62516,141208,78085,23539,38069,139690,85990,20619,45313,151920,97679,17262,51341,166282,100302,10256,42554,153115,58021,3266,23331,84621,13470,477,9421,23366,474870,125720,400669,1001263,47,1795,67935,69784,2591,15385,46555,64533,54186,40972,55826,150988,86363,23833,42496,152694,92778,20861,51600,165237,102250,16445,60051,178745,93134,7985,58810,159936,43744,2151,47747,93646,6417,258,26269,32946,481519,129691,457296,1068504,73,2707,141618,144397,3911,26080,100994,130983,94172,79681,118345,292191,164441,47374,80567,292382,178769,41480,96910,317160,199926,33703,111392,345019,193441,18245,101367,313046,101767,5412,71077,178262,19891,734,35696,56313,956390,255410,857965,2069770
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,32,511,131528,132075,2153,11637,139501,153291,94765,81783,182803,359354,213906,45914,80265,340083,185273,30324,71401,286991,158589,19178,61750,239517,124189,8629,41729,174541,70166,2765,23269,96202,18411,415,11397,30223,867493,201155,743631,1812279,110,940,123546,124598,5540,16773,123009,145320,134684,85957,148981,369622,221835,42528,86605,350964,185120,28224,93065,306412,151565,16038,89464,257074,113387,6623,78753,198765,51443,1599,60934,113982,8267,208,34184,42653,871956,198888,838536,1909383,143,1452,255075,256674,7694,28413,262503,298605,229454,167742,331787,728975,435744,88438,166867,691050,370394,58543,164463,593400,310153,35221,151218,496596,237580,15254,120474,373306,121617,4358,84202,210177,26672,622,45581,72876,1739451,400048,1582170,3721666
2RVIC,20,343,40640,40997,620,5400,30320,36340,21797,23183,35742,80726,44193,13808,20532,78533,49031,12031,24632,85694,56243,9496,27475,93216,57367,5482,23476,86326,31526,1672,12285,45488,7078,208,5107,12392,267877,71634,220197,559706,24,690,37264,37978,1230,7792,25398,34422,29119,24388,31809,85314,48938,13976,23875,86793,52298,12110,29312,93722,58781,8857,33697,101338,53348,4274,32644,90267,23820,1074,25058,49957,3346,113,13480,16939,270915,73281,252535,596730,42,1034,77903,78975,1849,13195,55719,70766,50917,47575,67549,166042,93126,27790,44408,165322,101330,24145,53945,179417,115026,18353,61168,194552,110713,9759,56122,176590,55349,2748,37345,95439,10428,322,18579,29331,538790,144918,472731,1156437
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,28,791,73136,73957,1563,11469,65100,78135,45442,44117,75638,165193,95568,24953,40890,161413,92176,17551,38315,148046,78926,10822,32508,122262,64474,4992,23888,93348,34320,1548,12755,48622,7169,176,5097,12438,419665,116418,367336,903417,60,1405,68843,70316,3116,16192,58432,77747,61872,46346,67331,175553,104454,23791,45570,173811,93838,16485,49308,159632,76614,9422,46026,132064,58572,3798,41563,103931,24548,955,30008,55512,3230,99,14707,18035,426307,118501,421791,966600,91,2202,141986,144271,4685,27662,123536,155883,107322,90459,142970,340751,200017,48745,86461,335226,186014,34036,87620,307672,155540,20250,78537,254331,123046,8788,65449,197280,58871,2501,42762,104134,10397,274,19802,30475,845976,234924,789122,1870018
3RQLD,34,1013,69766,70810,1532,11111,49451,62083,36118,38257,58554,132930,74033,24199,36597,134831,83162,19869,41198,144236,85790,15257,42097,143141,82326,8492,34120,124939,46370,2828,18410,67612,9625,429,6779,16835,418985,121452,356978,897419,70,1884,64728,66690,2958,16132,43817,62911,50499,41624,54708,146829,86118,24743,42840,153701,90117,20071,49916,160105,89464,14180,52327,155969,75383,6456,48278,130116,33374,1802,36380,71551,4341,194,17417,21953,432321,127074,410411,969814,107,2895,134489,137493,4493,27241,93266,124999,86616,79876,113265,279758,160154,48940,79439,288533,173281,39943,91116,304341,175251,29438,94425,299109,157710,14948,82403,255055,79745,4625,54786,139161,13961,623,24202,38784,851311,248534,767383,1867231
