GCCSA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
39499,3,3,15,39,65,175,248,69,3,620,51,47,71,75,54,73,70,6,4,451,0,0,0,15,11,46,107,31,5,215,0,0,0,0,0,5,12,4,3,24,0,0,14,15,47,87,142,47,0,352,0,3,6,15,33,101,188,48,3,397,0,0,4,6,4,12,24,11,0,61,0,3,4,9,27,56,82,26,4,211,40,83,151,169,148,156,102,15,0,864,0,0,0,5,7,25,33,12,0,82,49,49,49,72,94,144,130,21,0,608,502,339,647,445,330,472,408,90,3,3236,136,238,421,469,419,341,224,40,3,2291,753,719,1301,1194,1042,1297,1253,283,23,7865,0,3,21,36,96,266,236,48,10,716,30,65,114,84,81,118,99,23,0,614,0,0,3,8,34,61,56,13,0,175,0,0,0,0,0,6,6,4,3,19,0,0,9,22,30,79,60,16,7,223,0,4,6,7,18,57,62,29,7,190
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,10,0,0,0,0,39,0,9,24,40,31,3,0,0,0,107,0,4,37,55,42,3,3,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,89,328,1207,2491,5170,10077,13136,9640,4187,46325,9002,7049,7890,7610,6438,5757,4877,2646,919,52188,129,167,361,710,1379,3678,6578,5133,2057,20192,6,14,24,36,72,260,813,1939,2051,5215,217,501,976,2613,5396,9494,11805,7492,2378,40872,211,235,373,781,2709,6909,11240,9309,4345,36112,178,169,213,315,553,1021,1528,1495,819,6291,235,138,223,357,890,2291,3552,3033,1315,12034,2348,6576,9074,8818,9141,8091,5418,2529,1172,53167,40,35,73,168,558,1290,2168,2088,1119,7539,6720,4189,4515,5819,7573,9388,8264,4546,2172,53186,97168,64625,70061,61877,51895,39175,22790,9010,2368,418969,7938,5933,6474,6138,6104,5216,3501,2106,1030,44440,122002,86767,96616,90922,86236,81246,66083,36722,13726,680320,114,514,1692,3683,9022,17325,23890,18766,10322,85328,6105,7526,10158,10220,9504,9601,8834,5115,2077,69140,107,155,397,1114,2780,4835,6464,4557,2131,22540,10,17,14,29,70,210,863,2597,4374,8184,201,473,1139,2262,4345,7263,9082,6549,3058,34372,199,201,349,559,1426,3375,6186,6820,5496,24611
4RSAU,30,87,326,747,1836,4352,6102,4140,1371,18991,2847,1892,1901,1893,1956,2267,2075,1128,302,16261,33,32,75,155,399,1228,2621,2075,645,7263,0,3,3,8,28,89,298,675,528,1632,69,141,248,503,1492,3298,4859,3064,812,14486,64,67,104,188,820,2535,4548,3655,1340,13321,39,31,50,97,168,399,602,573,228,2187,59,39,67,121,398,1120,1769,1324,443,5340,708,1624,2003,2119,2665,2985,2342,942,304,15692,9,12,26,34,173,476,844,771,330,2675,1676,994,1000,1250,2114,3092,2755,1377,535,14793,25411,14017,13537,12697,13631,13186,9520,3810,825,106634,3130,2185,2598,2628,2752,2758,2202,1279,459,19991,33370,20315,20733,20666,24485,29204,27958,15169,4495,196395,48,163,449,1092,2877,6352,8523,6374,2815,28693,2025,2049,2552,2654,2904,3454,3306,1837,568,21349,29,38,96,293,734,1543,2141,1555,516,6945,0,3,0,13,16,79,294,789,1101,2295,70,128,301,612,1319,2573,3391,2419,917,11730,59,60,88,194,483,1291,2216,2348,1444,8183
49499,0,0,10,6,21,32,37,13,0,119,21,26,28,21,19,12,9,4,0,140,0,0,0,0,6,10,19,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,3,6,21,32,34,6,0,102,5,0,3,0,0,17,33,8,0,66,0,0,0,0,0,5,4,0,0,9,0,0,0,0,4,13,11,3,0,31,11,40,53,45,52,46,19,3,0,269,0,0,4,0,3,4,3,0,0,14,9,14,14,20,36,42,25,5,0,165,127,89,143,124,101,92,54,17,0,747,42,43,97,94,96,101,53,7,0,533,208,182,320,289,299,311,214,40,7,1870,0,4,15,12,14,46,47,8,0,146,17,40,34,37,22,18,24,0,0,192,0,0,0,0,0,11,12,0,0,23,0,0,0,0,0,4,0,4,0,8,0,0,3,0,8,12,12,7,0,42,0,0,4,0,8,7,13,0,3,35
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,145,501,1575,3341,6535,12077,16027,11440,4100,55741,13119,9470,10244,10434,8623,6757,5408,2896,894,67845,216,260,555,1088,2165,5031,8709,6797,2314,27135,3,19,22,44,98,292,972,2304,2019,5773,324,640,1314,3487,7247,11518,14445,8926,2444,50345,280,256,469,1145,3768,9141,14649,11612,4432,45752,218,153,254,502,740,1284,1967,2146,1069,8333,277,165,264,481,1174,2795,4704,4073,1493,15426,4234,9481,12470,12112,11031,8894,5867,2734,1008,67831,42,59,104,305,675,1454,2571,2730,1226,9166,9776,6104,6257,7794,9863,11293,10235,5542,2430,69294,166742,96715,106687,105165,84644,60365,33716,12560,2823,669417,14193,10732,14851,14267,12781,9651,5832,3368,1782,87457,206228,130425,149264,151848,135822,117039,90651,48100,15791,1045168,216,828,2349,5113,11719,21144,28316,21167,10246,101098,9065,10180,13713,13742,12379,11338,9680,5217,1869,87183,169,236,677,1939,4261,6705,8420,5670,2246,30323,12,21,15,30,56,264,905,2894,4200,8397,306,684,1358,2943,5447,8899,11246,7365,2977,41225,208,240,346,727,1836,4283,7663,7993,5277,28573
5RWAU,46,138,397,939,2067,4279,5633,3375,1044,17918,3644,2065,2225,2424,2180,2152,1730,828,216,17464,45,53,112,212,565,1578,2614,1849,536,7564,0,0,9,15,27,95,252,590,420,1408,99,183,362,794,1960,3484,4202,2401,541,14026,90,84,141,279,1011,2638,4119,3025,1060,12447,61,33,97,111,250,438,615,575,240,2420,80,46,67,96,356,1039,1715,1187,325,4911,1019,1915,2380,2628,2940,2957,2006,761,238,16844,10,7,28,58,176,438,814,703,259,2493,2203,1226,1124,1592,2243,2999,2683,1371,479,15920,40162,19784,21902,22379,21012,17429,10513,3569,754,157504,6712,4306,6195,6145,6068,5146,3157,1529,461,39719,53385,28933,33781,35786,36989,36850,29161,13867,3843,272595,69,164,556,1372,3471,6599,8034,5192,2221,27678,2395,2241,3015,3326,3452,3379,2860,1323,429,22420,47,33,150,456,1043,1850,2219,1446,463,7707,5,7,10,13,35,100,264,675,921,2030,72,156,397,790,1655,2721,3134,1782,667,11374,79,76,117,233,603,1361,2124,1852,1126,7571
59499,0,6,4,14,23,53,55,18,0,173,14,22,39,36,21,12,19,9,0,172,0,0,0,5,13,17,34,7,0,76,0,0,0,0,0,0,0,0,0,0,0,6,4,12,16,33,44,10,0,125,0,3,0,8,18,26,51,17,0,123,0,0,0,5,7,0,3,3,0,18,0,0,0,4,7,10,20,4,0,45,9,47,73,66,72,42,18,9,0,336,0,0,0,0,5,4,15,0,0,24,13,22,23,30,37,52,42,7,0,226,255,164,303,277,186,168,124,15,4,1496,101,176,396,530,514,334,158,50,10,2269,389,414,822,926,842,667,444,118,14,4636,0,0,4,22,34,70,80,10,6,226,11,33,41,38,28,29,21,3,0,204,0,0,4,5,9,19,20,4,0,61,0,0,0,0,0,0,0,0,0,0,0,4,10,8,14,15,24,0,6,81,0,0,8,3,10,13,18,3,0,55
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,75,45,23,0,0,0,212,0,14,44,70,43,20,4,0,0,195,0,30,99,157,103,55,14,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,15,72,261,565,1173,2163,3004,1937,678,9868,1655,1245,1308,1271,1103,1014,873,445,145,9059,18,38,62,138,256,704,1311,933,331,3791,0,3,3,10,15,50,179,330,296,886,53,98,174,355,709,1348,1791,1128,312,5968,45,26,52,133,431,1136,1957,1560,638,5978,20,23,30,56,93,190,330,292,127,1161,28,22,37,84,190,449,661,550,196,2217,607,1568,1895,1885,1850,1562,1035,438,179,11019,0,9,11,29,97,223,403,400,173,1345,1210,802,811,1020,1344,1587,1412,742,357,9285,16506,9978,14674,9974,7974,6599,4158,1619,352,71834,1690,1180,1499,1230,1206,1048,784,461,167,9265,21347,14350,19920,15407,14213,14272,12337,6566,2116,120528,22,125,398,904,2004,3785,5065,3593,1721,17617,1197,1463,1819,1810,1721,1740,1649,889,305,12593,23,33,67,235,522,882,1222,869,375,4228,5,0,6,4,9,31,180,434,565,1234,40,96,224,332,645,1130,1415,977,389,5248,33,48,68,97,236,569,1018,1173,794,4036
6RTAS,36,96,299,667,1757,3698,5075,3203,950,15781,2509,1610,1550,1479,1490,1643,1573,795,197,12846,22,29,72,142,357,1017,1878,1440,409,5366,4,6,3,11,27,70,182,417,323,1043,45,120,207,431,1051,2167,3014,1896,448,9379,68,64,71,180,663,1853,3153,2574,801,9427,35,33,44,64,161,282,520,532,190,1861,25,27,55,125,415,939,1483,1083,282,4434,841,1655,1991,1986,2433,2387,1676,667,195,13831,5,8,16,44,179,363,734,641,252,2242,1412,885,936,1078,1720,2498,2183,1064,387,12163,19475,11542,12660,10307,10541,9916,6696,2538,520,84195,2337,1629,1529,1495,1689,1793,1589,850,347,13258,26099,16869,18305,16385,18985,21995,20225,10656,2948,152467,49,142,460,1056,2860,5710,7384,4995,2045,24701,1749,1786,2277,2398,2545,2599,2527,1304,361,17546,26,30,82,230,687,1319,1774,1137,396,5681,5,5,5,4,21,55,135,433,574,1237,47,96,253,457,1034,1724,2220,1458,464,7753,50,40,62,126,381,903,1637,1568,921,5688
69499,0,0,8,8,10,18,7,6,0,57,0,10,11,6,10,4,5,0,0,46,0,0,0,4,3,9,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,13,0,0,25,0,0,0,0,3,6,16,0,0,25,0,0,0,0,3,3,0,0,0,6,0,0,0,3,5,5,0,0,0,13,0,31,27,25,24,22,10,0,0,139,0,0,0,0,0,0,5,0,0,5,4,9,3,10,15,10,3,0,0,54,56,55,54,34,47,27,21,3,0,297,12,28,43,28,29,38,46,4,0,228,74,108,135,99,130,104,90,18,0,758,0,0,0,6,14,16,10,4,4,54,5,21,12,16,7,13,4,0,0,78,0,0,0,0,5,6,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,14,0,0,0,0,0,5,4,0,0,9
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,3,31,153,276,546,809,811,377,77,3083,768,445,635,541,483,382,268,89,12,3623,13,14,34,67,147,321,456,237,32,1321,0,0,0,7,6,23,51,98,51,236,13,45,88,235,501,770,771,351,52,2826,28,29,46,88,264,541,713,360,91,2160,18,21,24,58,67,96,137,87,24,532,40,16,26,41,90,227,257,163,27,887,210,405,580,599,598,470,254,90,19,3225,3,4,3,14,44,105,152,101,28,454,696,345,426,576,646,713,515,244,70,4231,11317,6469,9211,7330,5577,3629,1766,487,72,45858,1502,1174,1848,1511,1321,904,514,178,55,9007,14429,8819,12750,10821,9359,7494,4858,1830,370,70730,10,41,156,344,727,1118,1153,622,185,4356,485,490,973,858,728,643,438,171,42,4828,5,13,39,113,268,338,332,170,27,1305,0,5,3,4,5,20,49,88,81,255,14,45,135,247,391,623,580,259,68,2362,19,21,45,59,149,282,322,228,105,1230
7RNTE,7,14,49,107,157,330,310,122,21,1117,329,166,256,274,290,273,160,63,17,1828,6,7,15,22,72,126,147,76,11,482,0,0,3,5,4,22,43,52,17,146,26,47,98,264,447,545,381,150,31,1989,147,168,121,149,303,413,375,143,20,1839,27,13,25,48,107,133,98,48,10,509,32,10,14,45,62,124,126,51,8,472,94,201,317,307,267,216,118,33,5,1558,0,0,4,18,42,85,61,42,7,259,374,207,238,278,360,405,263,107,26,2258,8353,5092,5667,4255,2991,2030,876,187,18,29469,1222,857,1241,999,801,684,350,120,13,6287,10541,6700,7872,6512,5358,4487,2507,780,123,44880,3,28,69,127,313,467,380,188,75,1650,213,238,419,447,463,479,241,78,15,2593,5,5,18,30,78,180,131,54,13,514,0,0,5,3,3,21,61,52,47,192,16,72,199,444,680,703,441,146,39,2740,122,203,201,237,292,317,207,118,35,1732
79499,0,0,0,4,10,23,38,4,0,79,6,5,14,16,16,10,14,0,0,81,0,0,0,3,4,13,17,5,0,42,0,0,0,0,0,0,5,0,0,5,0,0,0,6,13,30,26,0,0,75,0,3,7,4,20,36,28,4,0,102,0,0,0,0,13,12,4,0,0,29,0,0,0,3,9,11,8,0,0,31,3,9,16,24,26,29,14,0,0,121,0,0,0,0,5,8,6,0,0,19,8,7,7,18,31,25,19,4,0,119,200,53,174,143,101,91,60,10,4,836,42,41,88,101,109,93,46,13,0,533,260,113,292,305,311,300,205,33,6,1825,0,0,0,8,15,33,23,5,0,84,6,6,28,17,18,25,9,0,0,109,0,0,0,4,7,7,8,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,9,9,27,29,12,0,0,86,0,4,7,10,16,27,10,3,0,77
79799,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,15,9,9,0,0,0,56,0,0,4,4,5,3,0,0,0,16,0,12,16,22,18,17,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,43,119,449,977,1720,2608,3170,2200,844,12130,3256,2645,3090,2924,2102,1615,1293,664,205,17794,35,66,151,274,519,1125,1715,1339,443,5667,6,0,0,12,19,54,184,419,425,1119,51,160,346,804,1476,2189,2532,1474,398,9430,76,91,131,306,769,1605,2612,2103,895,8588,47,41,83,138,228,328,552,457,232,2106,39,44,57,127,260,482,814,739,283,2845,1125,2877,3643,3217,2761,1952,1132,520,187,17414,7,14,29,63,145,269,465,473,246,1711,2310,1556,2043,2523,2868,3012,2537,1353,485,18687,34194,21656,27829,23402,16735,10581,5794,2165,480,142836,2468,2430,2668,2010,1709,1295,889,498,212,14179,42755,30428,38637,34275,27785,21866,16625,8781,2868,224020,41,250,729,1490,2990,4948,6066,4488,1935,22937,2221,2948,4222,3836,3177,2689,2283,1201,410,22987,32,61,190,478,945,1372,1789,1204,438,6509,0,4,0,10,14,44,160,540,728,1500,84,147,361,730,1215,1743,1963,1319,485,8047,49,77,114,201,377,769,1337,1557,1017,5498
89499,0,0,0,3,0,4,4,0,0,11,0,6,0,4,5,0,0,0,0,15,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,3,4,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,12,14,13,6,7,0,3,0,59,0,0,0,0,3,0,0,0,0,3,0,4,7,3,9,4,5,0,0,32,17,31,29,18,11,5,4,0,0,115,3,15,11,30,19,15,10,0,0,103,23,66,60,62,53,38,21,6,0,329,0,0,0,0,0,12,4,3,0,19,0,8,5,3,3,3,3,0,0,25,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,4,0,0,8
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,5,7,17,33,34,20,8,124,23,8,11,18,18,22,16,8,3,127,0,0,0,7,6,5,16,15,5,54,0,0,0,0,0,0,4,3,0,7,0,0,4,3,15,21,51,14,3,111,0,0,0,0,9,20,48,18,7,102,0,0,0,0,5,6,5,10,6,32,0,0,0,3,0,10,13,4,0,30,0,10,12,18,14,18,10,4,0,86,0,0,0,0,4,0,11,3,0,18,10,4,3,10,26,27,27,13,7,127,343,123,144,165,184,218,140,39,12,1368,66,49,160,104,88,60,52,19,3,601,444,196,335,328,347,378,318,120,36,2502,0,0,0,0,19,30,43,28,8,128,17,20,11,20,28,21,18,13,3,151,0,0,0,3,8,14,15,6,4,50,0,0,0,0,0,0,4,3,6,13,0,0,3,3,10,25,20,10,4,75,4,3,0,0,6,3,21,7,7,51
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
