GCCSA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,6,20,46,38,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,13,21,11,11,0,3,0,0,60,0,0,3,0,4,0,0,0,0,11,6,6,35,33,25,30,5,0,0,139,0,0,3,12,0,0,3,0,0,19,0,0,3,9,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,71,61,46,34,14,0,0,240,6,20,71,61,46,34,14,0,0,240,6,24,87,111,79,34,14,0,0,354
4GADE,233292,162797,185582,178792,169226,161390,134124,78627,34986,1338814,170,147,144,178,190,242,308,216,133,1734,93,177,225,181,172,170,144,43,7,1222,98,184,359,219,161,242,159,41,9,1472,35,90,136,100,128,119,102,25,0,728,3842,5519,5411,3818,3488,3505,2850,1750,1057,31253,40,56,87,72,91,91,68,19,3,531,9,18,24,31,25,54,46,8,0,222,52,72,83,63,77,91,50,8,0,501,6,13,13,16,18,11,7,0,0,85,0,0,0,0,0,0,0,0,0,0,4180,6119,6348,4495,4162,4291,3437,1904,1088,36017,4351,6267,6485,4667,4351,4539,3744,2126,1216,37749,237644,169061,192067,183460,173585,165925,137874,80746,36200,1376567
4RSAU,63431,35865,38409,39273,46131,53845,50740,29199,10546,367446,105,111,117,123,148,202,225,156,68,1240,51,49,70,109,92,176,211,48,6,805,101,84,184,177,196,476,569,128,3,1921,24,41,163,159,217,242,172,24,0,1041,1477,2416,3571,2791,3389,4250,3400,1222,365,22874,27,18,48,79,69,119,139,21,6,527,24,19,47,35,60,118,157,44,0,508,22,25,34,48,37,61,33,7,0,257,0,0,9,3,3,13,6,0,0,32,0,0,0,0,0,0,0,0,0,0,1725,2649,4126,3397,4068,5449,4683,1488,379,27970,1828,2758,4244,3520,4210,5649,4908,1640,446,29212,65258,38629,42654,42794,50343,59497,55645,30842,10996,396657
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,0,0,25,0,0,0,15,7,3,0,0,0,25,0,0,0,16,10,0,0,0,0,34
5GPER,394340,244862,284608,290885,259004,224672,178261,98190,39163,2013982,295,249,340,350,308,440,481,343,156,2954,66,209,317,255,224,224,216,67,11,1599,91,142,281,228,223,290,255,63,10,1584,48,78,164,189,215,253,168,30,3,1153,15,36,85,100,145,119,71,32,5,592,6211,7892,8263,6392,5747,5382,4356,2653,1415,48324,22,25,44,45,57,93,127,28,7,442,31,31,75,69,47,60,27,8,0,348,20,26,56,39,29,21,15,4,0,199,10,4,8,10,15,17,17,5,0,83,6516,8436,9282,7314,6701,6468,5246,2895,1456,54321,6807,8682,9622,7663,7008,6907,5730,3238,1612,57274,401152,253546,294228,298545,266007,231578,183993,101432,40773,2071253
5RWAU,100355,50905,61603,65973,66129,64708,50181,25480,8611,493940,197,175,211,197,265,304,338,191,63,1948,320,134,388,445,410,784,913,116,9,3513,545,121,365,525,514,1103,1417,184,14,4784,222,119,420,582,599,1037,942,112,3,4034,125,89,211,248,331,573,680,128,6,2388,3659,6474,14811,13339,14278,14707,11016,3597,610,82498,54,36,96,102,120,257,197,26,0,888,44,37,132,101,103,136,53,15,0,628,45,13,15,41,22,41,51,3,0,226,0,4,0,0,0,4,10,0,0,14,5013,7018,16429,15378,16381,18644,15284,4174,640,98966,5213,7194,16643,15575,16645,18946,15622,4370,707,100912,105569,58094,78245,81548,82774,83651,65803,29846,9315,594855
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,42,113,170,111,60,13,0,0,511,0,0,0,0,0,0,0,0,0,0,0,7,3,24,59,23,22,0,0,134,0,4,8,11,32,21,8,0,0,82,0,4,24,68,28,40,24,0,0,192,0,0,11,20,13,16,3,0,0,64,0,81,342,647,628,346,104,29,0,2175,0,0,4,3,18,18,5,0,0,42,0,0,17,10,8,6,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,93,403,785,784,472,161,32,0,2739,3,93,403,785,784,472,161,32,0,2739,3,137,518,957,896,533,176,32,0,3250
6GHOB,40656,26732,38071,30558,28422,28281,24461,13899,5380,236459,49,30,43,45,50,59,57,61,18,416,14,55,58,36,35,64,45,11,0,310,40,93,188,116,75,105,67,19,6,709,13,50,74,57,69,87,49,8,0,409,8,22,46,35,48,49,59,15,0,288,17,14,56,28,39,62,35,9,3,260,745,1186,1169,826,844,821,644,311,186,6727,9,4,10,10,11,7,5,0,0,53,8,13,28,20,9,17,4,4,0,98,0,0,0,0,0,0,0,0,0,0,847,1430,1630,1124,1137,1216,909,372,195,8866,890,1466,1676,1169,1191,1272,964,434,210,9285,41548,28204,39747,31729,29613,29553,25431,14326,5593,245742
6RTAS,49646,30667,34678,32475,37324,42280,37807,20832,7041,292762,82,72,83,65,84,141,161,103,53,833,27,42,68,36,58,79,87,23,8,428,48,90,159,114,137,179,120,33,3,886,53,50,103,71,99,163,96,19,4,647,23,28,74,33,47,56,45,8,0,316,29,25,102,48,73,100,40,6,0,422,1070,1754,1633,1182,1403,1537,1065,508,175,10319,11,5,15,11,3,13,6,0,0,60,3,4,21,15,12,16,3,0,0,77,0,0,0,0,0,0,0,0,0,8,1250,2000,2172,1510,1830,2143,1460,599,195,13159,1331,2077,2256,1576,1911,2284,1617,708,244,13999,50980,32738,36935,34049,39239,44569,39424,21536,7288,306757
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,4,4,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,0,0,0,0,30,0,3,17,28,18,16,7,0,0,90,0,0,9,11,8,9,4,0,0,41,0,0,3,0,0,3,0,0,0,8,0,0,0,5,0,0,0,0,0,9,5,9,20,17,47,48,21,4,0,175,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,14,63,71,82,75,33,7,0,347,5,19,63,71,82,75,33,7,0,350,5,21,62,80,90,75,33,3,0,366
7GDAR,27594,15639,24170,20785,17113,13570,8830,3417,783,131901,28,80,59,33,25,41,24,15,0,311,192,239,478,301,271,403,442,95,7,2424,397,212,625,520,554,1002,1148,229,19,4702,139,159,338,311,389,478,504,94,9,2420,172,173,310,283,336,598,683,221,27,2800,169,152,335,256,342,544,543,156,9,2511,13,15,24,43,66,100,86,26,0,365,672,687,1094,845,741,698,373,150,40,5307,37,41,69,62,70,75,59,6,0,415,0,0,0,0,0,0,0,0,0,0,1795,1682,3273,2609,2760,3891,3831,978,113,20940,1823,1763,3335,2642,2787,3939,3859,990,110,21248,29418,17406,27502,23427,19906,17510,12685,4411,895,153156
7RNTE,19415,12190,15175,12321,10182,8191,4445,1404,307,83626,88,95,106,62,60,48,16,7,0,483,164,169,266,190,204,541,580,114,7,2223,360,194,529,431,523,1257,1528,261,8,5089,170,203,497,418,567,896,845,104,5,3702,149,127,309,233,376,859,909,185,7,3161,95,92,277,245,263,547,510,78,6,2110,31,46,55,42,50,155,151,24,0,552,687,707,1386,1113,1120,929,383,69,14,6409,25,5,64,38,54,63,58,19,0,326,0,0,0,0,0,0,0,0,0,0,1667,1544,3365,2719,3162,5250,4971,841,44,23572,1753,1637,3478,2781,3217,5298,4989,849,48,24051,21170,13820,18656,15108,13401,13484,9432,2249,357,107676
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
