GCCSA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
1GSYD,947114,617941,787670,761394,652604,563967,425753,241362,100124,5097920,451,448,538,562,579,626,869,1012,1335,6425,12213,14199,18255,12540,10584,10018,8363,5735,4022,95930,159,346,628,417,300,363,252,96,23,2578,225,721,721,440,492,611,500,168,48,3924,21,106,160,73,72,73,86,24,6,625,40,246,230,152,130,129,113,39,3,1087,13,52,66,55,45,68,63,24,3,385,15,33,55,25,24,26,19,3,0,199,54,344,216,147,111,142,100,21,3,1141,0,3,0,3,0,0,8,0,0,20,12732,16054,20330,13854,11772,11428,9499,6112,4114,105884,13187,16496,20870,14417,12356,12052,10363,7130,5442,112306,960299,634435,808540,775813,664959,576018,436121,248481,105566,5210233
1RNSW,493931,297720,313606,311959,335136,362413,328785,193125,74736,2711414,587,687,568,568,667,994,1132,1010,469,6679,12555,17753,14814,11230,12140,14809,12545,5739,2598,104184,267,755,890,560,667,1045,1822,922,109,7043,325,1038,1020,710,988,1177,786,235,52,6325,38,172,185,126,162,210,233,103,15,1249,20,131,112,61,88,154,141,38,5,749,20,74,73,51,74,166,192,68,14,735,21,38,38,27,33,28,17,7,0,206,304,480,548,396,407,691,572,208,40,3653,3,0,4,6,5,6,6,0,0,25,13561,20440,17689,13163,14563,18281,16317,7316,2832,124167,14143,21123,18262,13728,15238,19272,17449,8327,3301,130848,508078,318851,331869,325687,350368,381687,346234,201457,78038,2842264
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,13,0,0,0,0,8,4,0,0,0,14,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32,0,0,0,4,18,8,3,0,0,32,0,0,0,4,18,8,3,0,0,32
2GMEL,878401,585255,766486,719893,615236,513274,387193,225599,96012,4787350,427,434,508,484,519,580,713,612,385,4651,203,725,778,401,420,479,357,125,29,3519,10494,14447,16960,11637,9955,9260,7486,5033,3115,88378,126,527,435,295,300,415,355,93,25,2577,65,173,219,139,103,150,114,35,18,1017,58,207,193,108,127,163,118,34,8,1020,31,135,179,94,88,125,123,45,13,846,23,71,74,40,39,41,25,7,0,310,16,76,62,42,29,36,32,11,0,305,0,0,0,0,0,0,0,0,0,0,11014,16362,18901,12749,11072,10663,8617,5389,3217,97982,11442,16800,19404,13230,11593,11240,9328,5999,3603,102637,889845,602051,785890,733122,626824,524519,396519,231597,99619,4889983
2RVIC,271192,161007,177397,175988,189501,204189,185550,103516,40414,1508761,324,331,236,271,350,524,634,455,204,3330,197,492,388,215,260,297,238,103,31,2219,5591,8800,7829,5663,6185,7333,5916,2824,1516,51663,70,314,282,133,185,263,203,32,0,1484,51,262,133,79,100,128,107,31,6,905,30,89,55,60,55,83,85,14,4,476,17,59,43,23,36,71,66,16,0,327,10,31,31,16,22,30,20,4,0,170,6,29,15,14,9,20,13,5,0,110,0,0,0,0,0,0,0,0,0,3,5979,10084,8774,6208,6850,8227,6641,3031,1570,57357,6301,10409,9012,6480,7200,8751,7275,3487,1772,60685,277497,171416,186404,182469,196704,212940,192832,107000,42187,1569447
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,6,16,3,14,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,31,0,0,26,57,107,77,12,0,0,270,0,0,0,15,9,14,0,0,0,37,0,0,0,13,12,8,0,0,0,27,0,0,10,3,9,0,0,0,0,25,0,4,11,32,26,46,4,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,129,176,145,12,0,0,525,0,9,45,129,176,145,16,0,0,524,0,9,52,140,182,158,16,0,0,565
3GBRI,476550,318956,359903,350057,318798,262205,204597,112046,41163,2444265,290,335,358,298,305,374,487,397,204,3049,351,558,853,575,587,770,702,311,104,4807,145,234,523,310,292,362,492,206,51,2615,6454,10497,9942,6777,6414,6398,5051,2811,1458,55805,13,57,73,77,47,99,141,40,6,556,40,86,89,94,95,125,94,29,8,667,20,19,50,25,54,123,133,53,10,499,32,62,71,49,64,50,43,10,0,385,26,42,75,54,62,90,74,30,6,440,0,0,0,0,0,5,11,0,0,20,7085,11561,11670,7956,7621,8022,6742,3493,1647,65797,7380,11898,12028,8258,7919,8393,7228,3888,1849,68846,483930,330850,371931,358316,326719,270600,211821,115935,43010,2513115
3RQLD,468524,287127,306715,309797,323888,316544,269497,151730,51974,2485781,624,705,669,543,654,858,915,627,238,5830,1207,1336,1757,1553,1761,4253,6734,2297,314,21221,750,605,1071,960,1193,4702,10115,4557,552,24510,10394,16066,19513,16560,19547,22885,18030,6417,1941,131353,122,180,195,188,234,719,1508,653,77,3891,137,190,348,228,291,516,634,147,25,2518,131,100,225,184,274,789,1386,555,84,3730,129,141,214,148,200,181,124,37,3,1175,150,91,243,154,212,460,647,261,25,2242,7,0,0,7,0,5,0,0,0,20,13034,18712,23566,19985,23716,34518,39188,14923,3023,190657,13650,19411,24229,20528,24372,35383,40103,15550,3260,196491,482183,306538,330945,330321,348255,351917,309599,167282,55230,2682276
