GCCSA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
1GSYD,884,971,816,1086,438,190,476,26044,13,17,675,1018,1103,10242,13872,10414,4468,3130,1805,4018,914,92,813,52604,67,323,1448,1607,2902,2309,4727,4260,645,841,1046,1259,499,102,379,22399,1142,10472,12654,3252,1213,988,1745,3029,557,551,499,610,209,48,1805,38762,17,92,138,469,1518,2568,3397,1771,458,457,540,683,332,201,306,12945,9,9,49,2009,7442,9618,16889,7063,1487,1304,1367,1517,606,154,1175,50702,218,1384,7968,14339,11611,8452,8061,3547,722,846,763,854,447,214,2185,61620,52,249,1401,3520,7708,3739,6496,3963,1514,1770,1621,1503,529,139,795,35002,0,0,4,11,83,1320,12394,8446,3616,7253,12194,10082,2463,134,1066,59055,399,2664,977,586,609,594,1042,648,185,163,200,238,96,37,265,8698,339,732,3737,9056,14057,17412,18491,10002,1742,1785,1841,1846,938,837,2673,85493,9,200,3334,3261,1618,1399,894,349,88,81,61,75,25,13,330,11743,3,21,89,404,1666,3144,6465,8316,2120,2246,2329,2229,1124,394,481,31025
1RNSW,79,106,67,72,48,11,75,1440,0,3,42,23,18,103,198,331,233,247,497,820,140,11,66,2737,35,208,633,613,646,428,884,719,39,58,38,77,43,3,148,4568,429,3094,2442,502,225,164,273,355,68,63,88,120,38,11,529,8396,14,49,32,66,153,288,571,292,51,65,82,115,56,23,66,1928,0,0,11,69,262,263,746,427,83,92,103,134,49,10,73,2325,27,64,260,377,254,147,215,100,37,12,11,17,10,0,124,1645,27,97,421,560,538,240,553,434,248,326,382,355,117,25,165,4489,0,0,0,5,19,47,970,1242,728,1046,927,663,132,12,76,5873,448,3422,899,476,449,286,416,188,44,44,54,62,27,0,219,7038,248,573,2782,6318,6865,4889,5237,2454,384,298,349,418,215,176,1622,32840,24,177,1974,1821,609,348,239,88,20,23,14,18,7,3,195,5553,7,9,26,44,55,114,470,888,228,227,275,293,140,21,65,2863
19499,0,0,0,0,0,4,3,28,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,10,0,0,0,5,4,0,5,5,0,0,0,4,3,0,0,29,0,8,3,3,0,0,0,0,0,0,8,0,4,0,0,31,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,14,0,0,0,0,0,0,10,0,0,0,3,6,0,0,0,21,0,0,7,3,3,3,0,0,4,0,0,0,0,0,0,20,0,0,4,3,6,0,0,9,4,10,12,9,7,3,4,67,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,17,0,9,3,0,5,0,0,4,0,0,3,0,0,5,0,37,0,4,8,22,52,42,17,16,0,0,5,0,0,5,8,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,14
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1058,1047,953,1061,354,297,289,20922,0,3,57,175,352,4755,6512,4721,2494,1934,932,2100,570,58,359,25041,77,519,1324,1287,2064,951,2939,2715,415,454,594,793,296,69,258,14742,1780,20720,21302,3718,1288,922,1572,2573,479,424,420,396,134,30,2315,58081,18,69,82,242,619,1374,2652,1288,328,330,418,496,262,105,196,8476,0,0,15,186,795,1486,6285,3031,596,610,602,588,252,55,224,14730,29,226,1817,4484,3219,2287,2858,1387,294,309,289,289,140,90,608,18333,34,219,1344,3777,9637,5312,13669,9028,3160,3321,3188,2580,1012,180,895,57345,0,0,4,11,42,392,4410,3182,1165,2063,3002,3080,801,48,302,18510,436,5324,1333,737,840,509,964,475,133,140,141,138,54,27,304,11558,221,498,2209,6129,10324,12254,20782,15437,2581,2563,2740,2828,1113,1116,2145,82939,58,418,4292,5193,2923,2029,1454,652,133,125,129,103,34,26,466,18028,8,18,62,192,681,1516,6322,9392,1968,2373,2380,2245,1018,453,439,29067
2RVIC,50,45,50,51,20,6,27,978,0,0,6,5,3,223,267,190,113,69,39,52,20,3,41,1036,27,180,386,335,383,194,509,398,33,32,41,53,28,6,87,2689,405,2897,1950,377,113,82,120,163,35,19,27,38,24,0,446,6700,3,13,14,32,43,117,248,115,14,31,23,39,23,8,29,766,4,0,0,0,58,58,228,153,46,37,32,45,10,5,22,696,6,10,58,70,48,28,47,18,17,4,0,3,8,0,34,351,10,43,167,249,329,184,630,792,567,661,633,564,142,14,251,5243,0,0,0,0,0,13,273,372,207,280,238,170,63,0,18,1632,236,4298,709,352,385,186,255,131,26,23,28,49,8,6,216,6901,76,191,973,2467,3023,2669,3261,1683,253,212,248,223,121,93,769,16247,4,63,386,272,103,50,41,21,3,4,3,0,0,0,24,986,0,5,3,14,12,40,313,693,122,151,174,192,74,14,46,1854
29499,0,0,3,0,0,7,0,24,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,6,5,4,0,27,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,4,0,11,13,4,11,10,5,9,0,5,74,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,8,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,11,12,23,39,16,4,3,7,0,0,13,14,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,6,4,0,3,0,0,3,0,22
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,298,279,288,310,118,77,116,6288,0,4,16,9,33,337,705,526,437,133,87,254,67,16,57,2673,48,202,481,639,1070,616,2176,1546,124,139,137,170,86,41,170,7654,280,1778,1454,429,203,211,502,756,147,145,123,172,61,11,268,6540,6,60,36,88,353,972,1854,827,172,224,252,357,223,75,145,5646,0,0,3,78,567,1272,5495,2694,509,523,628,845,311,64,310,13305,7,26,140,227,180,121,203,97,30,26,15,29,15,7,38,1158,16,114,705,1072,1926,1191,2904,1659,390,372,469,403,267,67,268,11826,0,0,0,0,19,115,1442,1233,369,677,1125,1115,244,13,94,6459,237,2380,728,520,676,394,645,309,67,44,73,81,41,20,183,6402,143,356,2502,9814,18362,19728,30238,16157,2199,1994,2380,2400,1009,943,3422,111649,4,5,90,161,136,147,78,38,9,12,0,5,6,0,17,709,3,3,28,43,132,311,1237,1610,349,285,311,314,161,52,68,4897
3RQLD,51,93,70,102,39,15,26,1724,0,4,21,21,18,80,262,248,32,139,561,985,168,15,100,2649,63,182,485,531,650,408,1138,904,79,78,83,113,50,11,119,4901,412,2065,1305,354,164,200,456,637,94,128,110,188,91,16,397,6624,10,42,38,98,687,1659,2513,1090,206,225,243,347,178,30,202,7568,0,0,8,58,276,679,2156,1332,316,332,356,471,167,20,147,6325,17,29,96,93,79,43,47,26,6,3,6,8,9,0,24,498,13,112,508,589,658,435,849,520,215,201,168,193,120,25,151,4767,0,0,0,4,12,31,782,1021,413,559,678,566,167,18,88,4341,348,2797,950,610,651,419,714,266,53,74,48,78,37,5,212,7273,163,545,3776,11931,18329,16125,23636,11226,1472,1374,1506,1570,787,738,3176,96351,0,9,86,81,75,47,50,21,8,14,0,15,0,0,16,429,0,11,17,26,43,72,332,438,90,142,101,135,62,18,26,1517
