GCCSA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,2114,1242,1177,224,440,84,5278,706,269,365,77,181,22,1618,1288,501,693,157,445,63,3152,1097,609,643,158,405,36,2948,1823,1292,1279,443,885,83,5816,2602,2588,1707,838,1118,108,8963,3426,4453,2149,1115,1315,141,12604,4429,6757,2515,1430,1442,173,16739,4459,7520,2326,1270,1169,156,16907,4632,8206,2452,1137,963,143,17540,3071,5978,1541,624,487,89,11794,4070,7927,2552,747,667,94,16061,1626,3557,924,270,193,29,6597,1123,2442,631,136,115,20,4467,2283,4830,1464,311,302,49,9246,2477,5865,2009,354,344,49,11100,959,2134,868,140,125,21,4242,778,1927,735,101,116,22,3674,2093,2795,1543,482,625,91,7628,45066,70894,27568,10022,11336,1477,166372
4RSAU,683,322,205,63,75,16,1363,288,85,53,33,63,7,528,737,242,202,100,153,22,1469,672,394,223,109,149,18,1563,1257,952,415,332,322,35,3308,1530,1550,586,411,366,34,4477,1574,1825,594,381,316,30,4722,1468,2061,590,327,237,25,4703,1051,1753,512,215,139,26,3693,918,1547,415,133,112,18,3133,462,839,241,60,41,0,1646,667,1056,373,75,65,7,2243,223,367,113,21,17,0,736,128,223,74,16,6,0,450,307,411,128,37,40,5,927,334,466,173,28,24,0,1028,132,169,58,9,4,0,381,109,120,65,8,14,3,321,772,509,295,112,136,22,1840,13306,14898,5315,2467,2271,267,38522
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3212,2209,1773,427,729,159,8508,748,354,387,88,156,22,1756,1323,695,736,186,384,56,3385,1138,703,684,182,353,46,3099,1901,1379,1050,389,677,81,5472,2703,2323,1528,688,919,114,8277,3943,4379,2137,964,1246,168,12835,5342,6934,2689,1454,1551,252,18220,6220,9295,2679,1587,1414,228,21415,7396,12166,3359,1774,1403,228,26326,5644,10677,2629,1226,966,195,21345,8727,16613,5123,1812,1389,280,33940,3849,8133,2089,679,510,101,15354,2798,6444,1714,521,330,67,11871,5292,11255,3500,872,693,113,21736,6617,14073,4993,920,844,131,27576,2775,5751,2142,406,318,48,11447,2317,5296,2076,261,294,45,10285,4106,5804,2976,848,1045,202,14979,76044,124474,44270,15284,15216,2533,277816
5RWAU,828,411,229,86,116,20,1690,242,95,52,28,37,7,456,481,241,124,69,103,15,1026,405,261,127,65,108,9,974,786,581,263,167,181,22,2008,1007,907,304,247,223,17,2702,1322,1412,432,337,247,31,3796,1507,1890,558,407,294,35,4696,1413,2175,522,316,206,31,4658,1532,2370,625,338,188,27,5079,901,1697,417,181,104,18,3320,1513,2472,746,247,169,34,5185,539,1081,259,75,45,6,1997,349,667,140,61,27,8,1255,866,1364,451,121,81,5,2887,1069,1461,490,110,73,3,3206,427,466,216,39,29,10,1186,321,334,156,26,21,6,866,984,892,414,168,140,34,2643,16493,20789,6524,3078,2410,338,49629
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,361,204,154,46,83,12,863,157,59,56,12,42,5,342,243,132,138,46,79,3,641,223,128,100,44,60,6,553,359,280,199,129,155,6,1127,467,533,277,186,183,20,1670,632,836,332,287,221,18,2322,779,1209,387,288,227,36,2930,714,1209,368,261,187,19,2756,810,1345,325,247,172,26,2919,522,939,225,124,64,16,1899,721,1244,376,140,94,12,2597,256,499,118,43,23,5,954,142,324,71,21,10,0,570,374,771,196,61,40,5,1446,411,725,204,64,51,13,1471,181,268,88,23,16,5,580,129,214,67,15,17,0,439,324,378,188,100,102,15,1100,7806,11285,3874,2137,1849,226,27169
6RTAS,496,217,148,51,77,12,1002,228,72,88,19,59,3,470,470,226,180,63,118,16,1065,452,270,182,101,124,8,1134,829,631,379,219,214,17,2288,1085,1137,493,305,249,22,3283,1275,1553,574,376,272,29,4086,1312,1765,539,339,271,29,4259,1026,1565,431,245,156,22,3445,890,1354,405,155,102,13,2924,455,740,188,58,52,4,1498,684,991,324,105,66,8,2178,211,310,82,20,11,0,638,110,169,51,11,10,0,346,286,458,128,38,23,4,925,309,431,153,34,23,0,958,121,143,52,10,3,0,334,88,107,53,5,6,3,261,558,460,248,100,125,20,1512,10887,12612,4698,2253,1953,213,32616
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,124,75,75,25,28,5,322,29,15,11,3,5,0,66,55,28,19,9,11,0,123,48,41,20,10,8,0,127,102,72,38,21,16,12,264,126,107,55,23,49,10,364,222,181,94,54,48,9,603,243,290,93,78,50,9,766,289,311,78,89,74,14,858,353,451,128,100,76,9,1120,310,478,95,84,53,7,1029,479,822,232,130,90,20,1762,262,488,104,62,38,7,949,166,362,76,36,18,3,655,422,863,188,80,69,9,1634,484,930,303,86,59,12,1876,187,308,135,26,25,8,686,138,238,70,26,17,4,496,223,263,116,42,62,6,717,4244,6313,1950,986,798,136,14419
7RNTE,37,29,13,0,3,0,84,6,7,7,0,0,0,26,22,16,12,0,0,0,49,17,10,0,5,3,0,34,38,22,10,11,0,0,88,62,55,15,20,18,3,164,63,73,27,22,10,3,206,96,101,39,25,17,4,284,128,127,32,31,15,4,340,122,179,40,30,30,4,407,88,140,30,19,19,0,300,137,198,44,26,21,3,440,53,82,21,7,9,0,178,36,69,15,6,0,0,124,80,126,45,15,13,0,280,78,122,44,20,7,4,273,32,44,11,3,0,0,92,32,28,12,3,0,0,69,55,67,13,11,18,4,174,1194,1485,433,260,211,38,3618
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,643,499,331,64,100,29,1672,161,88,106,16,32,0,402,237,110,136,37,52,6,577,187,135,104,37,61,4,526,343,223,194,70,92,16,930,406,369,227,100,137,20,1265,682,641,357,149,203,26,2058,838,910,378,205,224,38,2598,1064,1233,394,313,241,47,3290,1227,1748,497,341,320,47,4168,1111,1797,398,299,239,38,3886,1737,3061,796,419,329,46,6390,957,1880,367,220,146,21,3589,743,1549,253,134,73,13,2772,1400,3400,719,295,190,33,6040,1735,4519,1096,301,205,29,7888,657,1686,502,104,71,11,3036,558,1323,426,66,56,0,2431,526,999,352,136,148,29,2189,15213,26164,7644,3315,2918,456,55704
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,8,0,0,0,0,0,5,0,0,0,0,0,0,5,6,0,0,0,0,0,7,3,5,0,0,0,0,6,5,4,0,0,0,0,14,9,6,0,0,0,0,15,7,13,5,0,0,0,32,3,16,0,0,4,0,25,0,8,5,0,0,0,16,12,9,5,0,0,0,22,4,6,0,0,0,0,13,8,10,7,0,0,0,21,0,0,0,0,0,0,3,4,0,0,0,0,0,3,5,0,0,0,0,0,4,4,0,0,0,0,0,8,5,0,0,0,0,0,4,0,3,0,0,0,0,3,5,3,4,0,0,0,16,78,85,29,14,9,4,222
