GCCSA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
1GSYD,6442,6018,5144,900,1722,270,20501,1121,653,950,152,307,22,3208,1862,1202,1593,278,660,66,5667,1567,1117,1394,261,592,42,4976,2478,1912,2149,463,1044,99,8141,3277,3099,2992,682,1433,125,11605,4275,4922,4115,1041,1805,172,16333,4925,6524,4801,1317,2134,197,19904,4948,7883,4604,1435,2037,187,21093,6291,10251,5322,1716,2288,266,26138,5451,9795,3829,1374,1524,196,22176,11803,22416,9782,2718,3177,390,50290,6535,13033,3878,1299,1235,149,26125,6775,14060,3871,1134,1029,174,27047,12746,27315,8044,2224,2179,314,52821,21206,50944,14962,3544,3356,470,94476,10177,26610,7959,1635,1468,193,48055,11344,33886,9218,1848,1457,205,57958,8208,15506,7782,1843,2589,393,36317,131433,257149,102389,25870,32029,3947,552817
1RNSW,4348,2211,1647,411,691,124,9426,1257,460,461,147,256,28,2604,2458,1014,925,343,618,62,5422,2140,1181,833,418,542,60,5185,3840,2594,1608,878,1021,104,10054,5035,4344,2424,1354,1388,131,14669,5859,6472,2912,1689,1590,155,18676,7160,9324,3736,2130,1882,188,24413,6311,9517,3289,1856,1380,154,22507,7373,11618,3715,1993,1479,167,26340,5031,9517,2443,1235,825,74,19120,8382,14442,4661,1591,1201,134,30418,3510,7121,1560,641,407,44,13281,2427,4807,1078,334,194,32,8874,5714,11802,3073,924,644,82,22239,6168,12598,3644,889,634,70,24014,2340,4258,1491,255,236,25,8599,1856,3141,1129,189,169,22,6499,5010,5514,2599,1093,1148,135,15502,86228,121945,43218,18357,16315,1788,287855
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,6422,6174,5061,921,1896,346,20821,1393,977,1210,199,454,39,4267,2403,1704,2103,400,1002,78,7695,1945,1677,1738,434,873,85,6748,3156,2900,2834,707,1616,134,11347,4106,4697,3860,1227,2036,202,16127,5756,8226,5256,1739,2661,240,23864,7411,11935,5864,2300,2966,315,30787,8447,15742,6018,2482,2780,358,35828,10116,20568,6399,2718,2791,418,43018,9448,19958,4594,1947,1755,337,38044,15942,33274,10085,3005,2968,495,65761,8454,17744,3647,1241,1056,198,32335,7437,15819,3517,1087,938,191,28984,10815,23146,5877,1644,1454,261,43202,15743,36661,9854,2331,2076,349,67011,6548,16067,4759,1010,890,139,29413,6127,17915,5301,1272,889,152,31652,8751,15743,7589,1884,2742,404,37111,140421,270916,95575,28544,33830,4736,574031
2RVIC,2296,1442,950,225,361,49,5323,886,360,330,82,214,15,1887,1741,838,735,305,488,39,4150,1594,974,737,301,437,46,4087,2945,2457,1318,840,974,72,8611,3817,4299,1906,1157,1123,116,12426,4588,5824,2289,1359,1206,141,15407,5223,7744,2543,1551,1158,153,18380,4605,7531,2051,1143,789,128,16253,4593,8061,2113,982,701,104,16557,2749,5559,1251,451,308,48,10360,4166,7329,2088,614,471,71,14751,1451,2905,613,163,127,26,5287,948,1913,472,111,74,11,3529,2006,4031,1152,243,185,28,7651,2260,4247,1205,296,190,36,8225,847,1566,523,83,87,9,3115,728,1255,414,70,66,3,2532,3131,3297,1553,566,681,96,9320,50583,71638,24250,10547,9641,1193,167849
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,3370,2159,1812,396,646,124,8497,829,417,457,87,177,19,1981,1528,860,809,186,389,50,3826,1301,758,717,192,377,34,3379,2225,1479,1251,524,644,89,6210,3180,2714,1765,763,991,127,9540,4412,4741,2389,1185,1269,173,14169,6167,7590,3184,1644,1603,257,20445,6480,9797,3182,1804,1485,230,22979,8071,12634,3843,1898,1537,237,28219,6268,11011,2753,1323,941,165,22456,9040,16207,5047,1615,1400,267,33577,4163,8226,1971,639,493,103,15594,3087,6484,1597,442,323,63,11997,6023,12339,3298,831,710,134,23330,6868,15124,4561,996,810,147,28507,2564,5762,1941,322,239,40,10867,1929,4865,1582,268,196,33,8875,4458,5903,2861,946,1060,190,15422,81967,129067,45009,16060,15286,2478,289873
3RQLD,3972,1879,1387,423,611,100,8371,1160,431,370,115,178,20,2281,2205,924,816,306,421,56,4732,1959,1029,747,369,432,40,4577,3792,2451,1399,765,805,100,9309,5076,4237,2009,1224,1229,156,13942,6463,6349,2483,1668,1334,192,18483,7929,9497,3202,2073,1670,199,24568,7143,9988,2976,1854,1350,185,23495,8088,12012,3633,1833,1401,183,27151,5392,9422,2517,1081,780,110,19300,8439,13540,4278,1513,1054,177,29000,3329,6166,1599,555,357,39,12039,2083,4085,1117,307,212,38,7843,4833,8789,2779,743,553,106,17796,5356,8931,3217,729,552,74,18871,2090,3094,1216,250,217,29,6889,1594,2549,1001,182,162,26,5509,5550,5599,2611,1088,1110,177,16136,86456,110972,39353,17063,14430,2008,270291
