GCCSA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1GSYD,56934,51574,108505,150726,140417,291148,40549,40154,80701,27791,27113,54908,219467,208040,427508,94406,89467,183872,42924,42894,85818,34821,34157,68980,172448,166776,339220,9559,9686,19240,11936,17456,29388,19137,9556,28695,23107,36785,59890,269,258,523,64012,73730,137739,71182,82998,154180,25190,29773,54966,9758,11134,20889,22946,35031,57980,354,363,711,129427,159300,288727,193824,233457,427287,11872,11510,23378,14786,20051,34841,309,270,577,26965,31829,58789,137239,132507,269743,806869,824177,1631054
1RNSW,30481,28137,58613,79607,74002,153604,23640,23113,46751,11579,11352,22934,114962,108600,223560,54329,52044,106376,19687,20644,40330,12709,13170,25881,86799,85947,172748,3582,4148,7731,2923,5298,8228,12888,8435,21326,11405,20588,31991,196,172,371,30997,38637,69642,13472,21043,34515,6071,9604,15674,2752,4705,7462,9002,19186,28189,89,123,212,31386,54665,86050,62475,93395,155871,2370,2395,4771,3721,6733,10450,135,120,258,6223,9244,15470,100063,91700,191769,401007,417025,818035
19499,37,31,72,109,126,237,14,12,30,20,17,36,146,161,310,73,93,167,15,15,34,19,8,29,107,124,229,13,16,31,11,34,46,16,20,31,38,54,96,0,0,0,84,123,205,37,60,96,25,50,74,10,7,17,23,44,67,0,0,3,97,158,254,176,286,459,14,19,31,14,24,37,0,0,0,28,43,68,2245,1516,3758,2746,2157,4898
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,56282,51519,107797,141710,131630,273337,38323,37359,75677,23235,24209,47445,203585,193470,397053,91638,84687,176329,34133,35108,69238,33871,34888,68761,159876,154900,314772,12149,10599,22751,12069,16200,28269,15090,6786,21868,19840,28317,48159,244,180,427,59398,62084,121479,67849,81917,149764,25968,32252,58221,8032,9725,17755,21438,35462,56898,297,328,629,123581,159688,283275,183288,222060,405351,11491,11061,22551,14511,21313,35816,285,276,564,26283,32655,58929,117884,113217,231108,747189,767821,1515011
2RVIC,16484,15148,31630,42089,38836,80935,15580,15556,31139,5459,5261,10722,63191,59707,122899,27651,26335,53982,13219,14087,27305,7954,7968,15923,48855,48421,97279,2226,2694,4928,1709,3313,5027,5935,3518,9450,5286,8822,14108,119,92,216,15284,18438,33727,6490,10675,17158,2905,5233,8131,1063,1958,3025,4119,9863,13984,54,86,140,14637,27812,42445,29961,46304,76267,1884,1689,3564,2693,4580,7264,118,99,219,4688,6363,11053,55243,50983,106221,218421,226918,445339
29499,45,31,78,137,129,266,10,10,20,9,11,18,155,154,303,63,78,137,6,4,17,3,14,14,73,97,172,12,26,36,6,29,37,13,4,20,24,27,52,4,0,3,54,92,146,39,50,90,23,41,69,5,20,21,22,42,64,0,0,0,91,152,244,148,246,391,13,11,25,17,25,39,0,0,0,27,40,71,2220,1366,3584,2670,1932,4600
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,25,3,29
3GBRI,23450,21511,44957,76730,73285,150019,19770,19025,38796,13011,12612,25626,109686,105114,214799,52873,49767,102637,19886,18426,38314,17580,18148,35728,90490,86479,176965,4481,4581,9057,4819,7866,12689,5806,4748,10553,9405,16284,25693,97,101,198,24610,33577,58186,28850,37443,66295,11994,16045,28046,4541,6178,10719,12409,21199,33604,90,113,205,57887,80985,138872,82604,114677,197281,4423,4536,8960,6373,9637,16004,99,116,219,10894,14294,25187,66624,58938,125563,383744,401013,784755
3RQLD,20586,18923,39504,73015,68613,141632,20573,20118,40690,14070,14056,28125,107826,102963,210789,54726,51905,106627,17037,17626,34666,17108,16723,33831,88981,86372,175353,3470,3186,6656,3420,5438,8855,6038,4949,10991,8415,16643,25058,116,124,239,21460,30340,51796,11842,20378,32223,6529,11629,18153,2753,4813,7572,8330,18200,26533,78,103,184,29537,55129,84667,51070,85581,136652,3253,3378,6632,5923,9286,15210,111,130,236,9289,12795,22082,106339,90445,196780,384085,397069,781152
