GCCSA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
1GSYD,37,2427,881,470,2374,0.9,2077,2.7
1RNSW,43,1733,722,330,1852,0.8,1434,2.4
19499,0,0,0,0,0,0,0,0
19799,56,0,1649,0,0,0,0,0
2GMEL,37,2000,841,390,2243,0.9,1901,2.6
2RVIC,43,1430,713,285,1808,0.7,1386,2.4
29499,0,0,0,0,0,0,0,0
29799,50,0,2200,0,0,0,0,0
3GBRI,36,1863,842,380,2175,0.8,1849,2.6
3RQLD,41,1655,746,345,1868,0.8,1507,2.5
39499,0,0,0,0,0,0,0,0
39799,39,0,1196,0,2750,1,1749,1.5
4GADE,39,1562,762,320,1988,0.8,1548,2.5
4RSAU,47,1153,646,220,1525,0.7,1190,2.3
49499,0,0,0,0,0,0,0,0
49799,48,0,1812,0,0,0,0,0
5GPER,37,1907,859,350,2259,0.8,1865,2.6
5RWAU,40,1560,810,265,2013,0.8,1597,2.5
59499,0,0,0,0,0,0,0,0
59799,40,1733,2123,0,1375,0.7,2250,1.7
6GHOB,39,1517,776,350,1920,0.8,1542,2.4
6RTAS,45,1274,645,250,1562,0.8,1225,2.3
69499,0,0,0,0,0,0,0,0
69799,43,0,2249,0,0,0,0,0
7GDAR,34,2100,1120,385,2485,0.9,2209,2.6
7RNTE,31,1733,539,150,1407,1.2,1706,3.1
79499,0,0,0,0,0,0,0,0
79799,40,0,1478,0,0,0.7,208150,2.3
8ACTE,35,2080,1204,450,2872,0.8,2373,2.5
89499,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0
9OTER,43,1300,831,200,1890,0.9,1497,2.4
99499,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0
