GCCSA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
39499,0,0,14,46,11,11,12,5,0,101,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,3,0,0,14,0,0,8,31,5,0,3,0,0,48,0,0,0,23,0,0,4,0,0,34,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,4,0,0,5,31,5,12,3,3,0,51,0,0,5,31,0,3,4,3,0,54,0,0,7,13,0,0,0,0,0,21,0,0,0,27,0,0,0,0,0,29,0,0,0,0,0,6,0,0,0,3,0,0,3,21,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,8,0,3,3,11,4,14,26,7,0,72,3,6,29,149,94,117,145,17,0,565,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,22,83,135,849,650,953,2324,1767,887,7680,5,42,102,279,268,930,2042,2499,1420,7590,51,230,941,1700,340,392,365,78,24,4116,376,3138,5932,26403,3838,1490,1033,526,200,42933,19,137,255,975,290,151,160,63,36,2088,30,401,723,2430,694,444,269,118,42,5147,0,94,190,662,319,203,82,32,3,1586,3,162,135,660,426,467,458,364,230,2908,8,92,141,783,566,1809,4600,4629,3030,15667,13,107,156,631,378,105,77,40,17,1527,20,230,599,1904,677,201,45,18,3,3699,9,70,90,429,300,358,303,170,57,1787,57,603,1249,3294,1124,832,877,392,77,8509,0,0,0,34,51,152,480,342,132,1195,0,8,30,105,47,40,18,15,4,263,5,114,407,1084,277,115,60,23,8,2102,23,419,1543,4798,165,68,33,8,0,7055,4,42,91,307,307,535,1699,1162,417,4564,67,484,780,2837,1988,1916,1458,570,136,10238,0,0,4,54,43,67,78,63,29,345
4RSAU,4,6,15,134,99,281,642,436,171,1790,0,0,5,16,19,71,156,203,90,556,3,11,7,53,22,12,11,4,0,117,32,104,194,1132,162,128,93,54,24,1924,0,14,21,138,51,17,22,9,10,284,0,0,4,27,18,11,4,0,0,67,4,9,5,20,9,5,0,0,0,42,0,16,11,87,40,60,73,75,17,386,0,11,7,53,33,124,255,325,180,973,3,3,7,41,25,14,17,0,0,106,0,4,21,87,9,3,4,3,0,135,0,0,0,7,8,7,3,3,4,35,5,23,51,309,86,55,39,9,0,584,0,0,0,0,4,22,65,24,10,126,0,0,0,3,8,5,9,0,0,18,0,5,23,129,49,22,12,8,0,246,0,4,29,140,9,0,0,0,0,183,0,12,6,58,76,176,731,398,107,1579,23,113,195,724,614,727,519,211,38,3166,0,0,0,0,4,3,15,3,6,30
49499,0,0,0,7,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,12,0,0,8,14,0,0,3,0,4,32,0,0,0,6,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,6,0,0,0,3,5,0,5,0,0,15,0,0,3,14,14,10,10,0,0,53,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,21,178,368,2336,1337,1205,1935,1332,338,9053,3,26,57,143,122,254,474,575,366,2019,64,348,761,2656,767,775,650,176,67,6271,469,3454,5133,32307,6256,4268,3509,2118,718,58229,134,691,1384,5727,2281,1185,1120,401,105,13031,22,323,526,3143,949,646,392,158,62,6224,15,250,377,1521,711,421,168,58,13,3536,61,870,916,7910,1932,1774,1591,999,361,16412,15,202,330,2437,980,1803,4408,3880,2468,16536,98,308,348,1835,1050,396,230,91,33,4379,54,348,435,3673,881,417,169,53,13,6041,3,45,63,316,240,226,179,65,12,1159,121,1308,3120,11143,4639,4296,4412,1786,436,31268,0,6,12,56,53,142,283,174,52,773,6,140,500,2170,570,680,549,246,108,4978,13,147,559,2842,1482,1570,1382,586,302,8885,14,113,728,3049,195,72,30,4,0,4212,31,144,247,894,745,752,1983,1605,682,7083,404,3700,5614,20289,10758,10467,6030,1850,350,59459,6,34,75,800,538,650,721,359,154,3328
5RWAU,7,15,89,578,266,297,590,341,73,2267,0,9,4,16,14,22,30,27,18,123,6,13,15,137,31,34,26,0,0,256,32,203,124,1655,306,194,140,127,40,2825,10,109,85,473,186,62,58,17,9,1007,0,10,11,134,30,7,4,4,0,207,0,7,4,50,16,7,3,0,0,94,4,61,82,800,206,188,204,126,33,1703,0,16,24,318,68,148,417,370,241,1596,3,19,18,166,70,23,21,4,3,332,3,19,30,286,25,9,3,0,0,379,0,0,0,27,13,16,14,10,0,90,6,23,66,417,162,164,102,52,3,995,0,0,0,4,3,29,34,33,5,106,0,5,19,91,30,43,23,11,3,224,0,11,25,187,91,65,51,13,12,455,0,16,20,185,7,3,0,0,0,232,0,23,36,220,165,225,592,372,97,1733,100,714,1136,4877,3070,3449,1920,497,81,15849,0,0,0,13,10,23,23,14,10,98
59499,0,0,4,21,3,6,12,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,14,0,0,3,3,0,30,0,0,0,12,3,3,0,0,0,15,0,0,0,6,4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,4,13,0,5,3,7,0,31,0,0,3,21,4,0,5,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,6,0,5,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,8,4,0,3,0,0,21,3,7,18,88,45,57,30,9,0,257,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,5,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0
6GHOB,6,12,19,173,96,152,234,231,110,1037,0,6,9,20,16,55,83,135,58,377,8,40,83,336,50,42,40,10,4,617,36,185,402,3060,159,84,64,51,28,4074,0,10,53,183,42,18,27,17,5,363,0,35,41,139,26,14,10,8,4,273,0,10,12,24,10,10,3,0,0,71,0,15,25,80,53,66,78,49,12,374,0,8,3,77,29,52,114,137,83,505,4,16,38,125,61,25,25,3,8,306,4,42,34,323,57,48,13,8,0,533,0,0,3,24,17,11,9,3,0,71,0,24,155,408,89,89,80,24,12,878,0,0,0,0,7,11,13,11,5,43,0,0,10,29,6,4,5,3,0,49,0,4,15,55,17,16,14,6,4,125,11,131,500,3412,31,13,7,0,0,4107,0,10,12,73,56,81,257,209,78,778,15,80,117,573,398,411,343,132,35,2108,0,0,0,4,0,3,0,0,0,17
