GCCSA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
1GSYD,86,383,704,4516,2412,2039,3458,3149,1116,17857,29,269,522,1462,1324,3257,6496,9434,4195,26986,350,2273,3528,14795,6163,9397,7644,1523,497,46182,2313,14201,14933,112001,20649,11531,7562,3481,1143,187810,115,680,4340,16458,5561,3497,3146,1277,344,35413,68,953,1601,13332,3652,3119,2120,882,313,26044,83,3724,5989,19462,9226,7436,4227,1855,605,52604,64,677,761,11181,3452,2554,1946,1318,440,22399,46,266,549,5984,2453,5206,9078,9369,5819,38762,154,758,961,5103,3114,1665,754,328,108,12945,198,1658,3872,21831,10236,6737,3731,1898,549,50702,278,1050,1869,14250,12745,14372,10508,5115,1429,61620,126,941,2819,13417,5386,4820,5009,2030,451,35002,0,15,37,345,426,1610,4390,3421,1085,11336,5,33,194,1269,677,1183,1071,554,238,5230,13,91,484,2550,1178,973,696,298,118,6400,97,672,17995,37065,2118,719,317,67,0,59055,44,261,320,1582,1021,1053,1947,1675,800,8698,584,4546,9537,28851,16058,13661,8163,3239,861,85493,7,78,175,1889,1680,2706,3123,1579,506,11743
1RNSW,21,120,201,1269,878,1601,3572,2511,856,11034,3,21,36,92,115,354,684,711,384,2401,16,144,204,595,244,362,266,63,23,1910,252,1243,1678,13102,1978,1222,893,507,193,21078,29,131,224,1038,404,239,250,95,51,2459,7,79,81,802,210,141,76,35,12,1440,55,633,550,893,268,187,107,31,4,2737,5,268,191,1205,728,670,753,564,182,4568,13,85,95,767,400,1071,2398,2095,1480,8396,37,149,158,805,385,183,164,41,21,1928,18,85,206,1411,329,178,70,29,8,2325,3,28,47,390,341,376,291,139,38,1645,58,241,379,1634,783,762,430,151,47,4489,3,3,12,53,65,312,936,585,174,2143,0,6,25,132,59,132,140,56,21,565,0,55,152,728,182,99,70,34,18,1342,21,165,742,4720,139,55,22,10,0,5873,15,59,109,546,449,762,2493,1968,641,7038,144,1076,1772,7708,6227,6874,5859,2572,608,32840,4,16,41,483,718,1309,1736,949,299,5553
19499,0,0,3,14,0,3,4,3,0,30,0,0,0,3,0,0,0,3,0,10,0,3,6,19,3,8,0,0,0,32,0,0,7,55,4,7,0,0,0,78,0,0,3,28,5,3,0,0,0,32,0,0,7,11,7,5,0,0,0,28,0,0,3,8,0,0,0,0,0,10,0,0,0,17,7,5,0,4,0,29,0,0,0,17,0,6,9,0,0,31,3,0,4,8,0,0,0,0,0,14,0,0,3,11,3,0,0,0,0,21,0,0,0,5,4,3,5,0,0,20,0,0,11,37,8,6,3,0,0,67,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,17,0,0,0,13,0,8,8,5,0,37,0,7,10,60,38,48,34,3,0,194,0,0,0,0,3,0,0,0,0,4
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,71,294,697,3757,2157,2077,4526,3941,1601,19125,28,431,888,2201,2539,6437,10793,15357,6281,44956,221,1592,2327,9624,3150,3723,2933,648,199,24428,2134,14036,24795,154543,21133,12396,8799,3652,1147,242635,98,590,3008,9725,2736,1217,1309,477,129,19294,87,1431,2191,11619,2794,1528,832,345,99,20922,61,2244,2959,9766,4478,3091,1593,670,176,25041,57,562,575,6819,1884,1702,1573,1071,508,14742,26,357,630,4734,2471,8101,16035,15956,9767,58081,118,566,830,3827,1846,652,444,133,63,8476,97,668,1566,8311,2507,979,410,172,34,14730,105,380,717,4906,3944,4014,2784,1177,304,18333,271,2706,6605,24338,7547,6999,6217,2177,492,57345,0,30,79,508,679,2327,5920,4230,1352,15128,12,124,720,4045,1452,2250,1825,883,393,11700,26,440,1930,6365,1845,944,528,220,96,12392,45,330,4951,12135,629,261,131,27,0,18510,28,220,346,1324,996,1187,3352,2800,1296,11558,945,7419,10529,32413,13204,10228,5523,2092,572,82939,11,112,274,3099,2771,3981,4881,2230,680,18028
2RVIC,18,63,93,664,442,708,2258,1423,552,6209,5,17,18,69,92,259,519,483,207,1664,13,82,116,366,90,110,94,14,3,884,127,829,1763,10238,1095,609,499,232,67,15463,13,73,119,615,245,88,116,45,17,1332,6,114,159,457,112,76,32,17,4,978,0,101,110,451,199,115,40,14,8,1036,4,133,119,750,371,403,462,308,137,2689,5,29,51,352,231,829,2189,1891,1131,6700,7,53,54,325,172,80,50,14,15,766,10,45,65,461,60,39,13,8,3,696,4,10,16,96,58,84,46,25,11,351,20,265,534,2787,753,536,248,73,16,5243,0,4,11,48,61,299,760,426,103,1712,0,11,59,228,89,109,95,32,9,642,4,32,168,959,307,175,113,44,13,1823,9,53,265,1248,49,11,6,0,0,1632,9,42,63,353,347,692,2705,2044,655,6901,82,739,1088,4277,3118,3342,2473,944,190,16247,0,3,0,97,107,223,320,169,64,986
29499,0,0,0,9,0,11,3,0,0,33,0,0,0,5,0,0,0,0,0,10,0,3,5,0,0,0,5,0,0,9,0,4,9,71,4,0,0,0,0,90,0,0,0,11,3,0,0,0,0,15,0,3,0,12,5,0,0,0,0,24,0,4,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,27,0,0,0,3,0,0,5,0,0,13,0,0,0,7,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,10,0,4,0,6,5,0,0,0,0,14,0,0,12,43,13,6,0,0,0,74,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,3,8,3,0,22,0,0,17,64,27,23,14,6,0,157,0,0,0,4,0,0,0,0,0,3
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,44,174,375,2181,1339,1244,2182,1493,453,9477,0,43,71,182,146,251,539,656,370,2261,107,647,1418,3720,1073,1449,1056,235,93,9799,425,3163,5073,32282,5258,2566,1763,844,274,51650,45,263,587,2136,870,453,524,290,96,5261,22,411,634,3535,905,399,256,107,27,6288,6,304,384,1021,488,268,139,41,5,2673,40,450,411,3177,1201,838,767,553,221,7654,14,125,197,1376,525,679,1361,1339,910,6540,77,372,644,2501,1263,415,237,92,45,5646,81,795,1368,7597,2217,774,322,128,23,13305,10,38,56,309,233,238,168,83,25,1158,68,560,1304,4418,1862,1694,1260,550,116,11826,0,13,16,44,50,155,328,250,70,932,0,4,52,274,128,168,183,94,27,934,3,111,427,1670,491,328,231,101,35,3410,14,143,1573,4354,210,119,34,9,0,6459,23,137,177,740,689,831,1913,1414,488,6402,841,7693,13638,37278,20682,16293,10334,4010,885,111649,0,4,14,178,129,161,131,64,22,709
3RQLD,30,130,339,2043,1189,1803,2744,2366,751,11402,0,21,24,106,85,181,276,262,135,1094,38,263,368,1099,339,478,323,77,19,3019,193,1101,2114,12607,1887,968,648,466,146,20124,38,189,339,1257,609,311,431,151,88,3403,12,69,120,846,240,189,165,64,17,1724,85,727,579,729,268,131,83,33,14,2649,13,300,267,1553,762,642,670,514,183,4901,10,106,161,1295,405,712,1534,1432,968,6624,58,423,643,2906,2057,856,423,141,47,7568,46,408,545,3642,972,464,164,64,12,6325,0,13,8,99,103,128,74,57,19,498,22,159,381,1596,821,997,551,176,54,4767,3,4,4,46,57,226,563,494,137,1539,0,15,48,258,92,177,161,79,33,866,0,17,55,503,134,90,49,32,15,883,22,197,913,3028,107,53,23,0,0,4341,10,70,161,713,667,980,2349,1706,613,7273,498,4127,8025,25586,18305,17997,14226,6172,1414,96351,0,0,11,106,67,104,82,35,15,429
