GCCSA_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
1GSYD,118108,9638,141,21,9800,146,128055,15472,98048,4990,96,103139,124,118736,260,7619,4487,16,12120,27,12404,20,71,18,29,114,3,141,15757,105741,9498,132,115369,158,131277,164,280,29,3,316,255,734,134018,115660,9668,161,125490,557,260067,119532,7561,127,17,7700,124,127353,13224,98196,5425,83,103695,120,117039,297,8315,5973,20,14307,24,14629,19,75,23,35,129,6,149,13537,106584,11414,135,118131,151,131826,156,271,32,7,315,291,757,133225,114413,11579,153,126147,563,259935,75210,3943,85,8,4043,67,79319,6533,50191,3210,40,53438,47,60014,174,4749,3898,10,8655,11,8833,7,36,13,19,66,0,80,6712,54975,7118,64,62159,51,68927,67,108,13,0,116,128,316,81999,59031,7212,79,66323,250,148565,50296,2380,57,5,2438,53,52793,4012,29191,2089,21,31307,29,35351,84,2982,2860,4,5850,9,5945,5,15,3,9,26,0,34,4109,32189,4957,42,37185,34,41329,39,51,6,0,57,73,166,54444,34619,5018,44,39686,161,94284,64258,2823,59,5
1RNSW,97324,2188,42,11,2242,114,99673,3470,9151,320,12,9478,11,12957,61,625,412,0,1035,0,1104,8,10,0,6,17,0,22,3537,9784,736,16,10535,14,14082,105,25,3,0,33,148,284,100962,11997,780,27,12802,272,114046,101649,1872,41,8,1929,134,103701,3276,8112,332,4,8449,8,11735,67,667,587,5,1255,3,1324,5,12,0,10,20,0,30,3352,8785,920,16,9725,9,13087,111,29,0,0,29,185,326,105109,10691,968,27,11678,328,117111,62842,1020,16,5,1035,76,63956,1728,4034,165,5,4204,6,5939,40,307,340,0,649,5,692,9,0,0,3,3,0,11,1776,4350,501,13,4855,11,6643,56,11,0,0,11,74,138,64675,5372,514,18,5897,165,70742,41567,627,12,6,644,46,42261,1028,2243,101,0,2348,3,3380,28,167,208,0,375,0,402,4,0,0,0,0,0,6,1059,2409,307,3,2725,7,3786,45,8,0,0,8,56,108,42675,3045,320,7,3378,115,46158,48090,717,21,4
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,119470,8000,113,18,8125,116,127719,12851,89397,3814,93,93309,120,106277,219,7447,4038,28,11512,12,11742,19,86,6,32,123,0,144,13089,96931,7857,156,104945,134,118168,198,254,25,6,283,249,730,132753,105186,7996,175,113357,499,246609,120784,6435,91,14,6538,103,127429,10966,89026,4084,87,93198,95,104256,259,7784,5161,22,12970,17,13245,24,93,11,27,133,4,155,11246,96902,9263,136,106303,110,117661,163,236,22,11,264,213,646,132192,103572,9377,158,113108,431,245732,73665,3219,48,7,3271,55,76997,5396,42816,2193,42,45056,40,50489,117,4315,3414,16,7743,11,7868,10,56,15,11,80,0,92,5524,47189,5621,71,52884,43,58454,83,81,7,3,101,103,286,79278,50491,5676,78,56250,206,135728,49426,1960,37,4,2008,42,51469,3381,24235,1476,32,25739,25,29153,64,2775,2531,5,5316,4,5389,10,26,4,6,33,0,48,3460,27042,4006,42,31092,30,34584,39,39,8,0,50,44,134,52926,29045,4053,55,33150,114,86190,65017,2427,39,0
2RVIC,55575,985,16,4,1008,83,56670,1742,5439,280,11,5737,7,7492,25,492,408,0,904,0,933,14,3,3,14,26,0,39,1787,5939,695,28,6660,12,8456,56,15,0,0,21,87,166,57420,6943,713,31,7689,180,65292,57594,868,12,0,886,103,58586,1599,5024,285,3,5317,18,6928,39,491,482,0,975,4,1013,8,8,4,12,14,0,24,1641,5523,772,13,6310,22,7962,73,18,5,0,23,103,202,59312,6413,790,17,7217,223,66754,35222,444,10,3,459,47,35728,800,2235,124,6,2361,9,3168,20,260,313,0,570,4,591,3,0,0,3,5,0,10,826,2493,433,11,2934,11,3770,48,8,0,0,8,55,110,36094,2943,444,13,3404,114,39609,23613,277,9,3,294,46,23948,516,1259,77,0,1341,3,1856,13,183,245,0,435,0,443,0,3,4,0,7,0,6,527,1447,325,5,1774,8,2308,28,9,0,0,9,46,75,24161,1731,334,3,2072,94,26332,28529,303,5,5
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,78891,3354,29,8,3396,102,82391,5971,24463,1059,29,25544,24,31542,114,2216,1081,3,3307,0,3423,8,19,3,15,37,0,42,6096,26692,2142,49,28884,25,35005,133,75,14,0,87,110,327,85112,30126,2182,56,32369,236,117725,83073,2795,39,0,2836,95,86007,5425,24484,1130,22,25638,26,31090,130,2300,1501,0,3803,5,3936,6,19,3,15,35,0,48,5569,26804,2631,39,29472,36,35075,113,74,7,3,90,113,310,88754,29673,2677,44,32398,242,121397,52304,1537,26,0,1566,53,53924,2782,11935,578,9,12522,10,15315,81,1203,926,0,2130,0,2207,0,6,4,12,17,0,21,2866,13142,1506,17,14668,11,17548,52,41,6,0,54,40,151,55228,14729,1543,19,16289,105,71620,34565,938,16,4,958,32,35557,1576,6664,415,3,7082,4,8665,46,706,678,0,1382,0,1430,3,4,0,3,15,0,15,1627,7377,1095,13,8485,6,10109,35,10,3,0,17,34,81,36227,8325,1121,13,9458,71,45754,43818,973,14,3
3RQLD,82549,2113,30,3,2145,113,84807,4129,10458,344,11,10816,14,14957,88,751,500,0,1254,0,1347,17,18,0,24,44,0,61,4232,11229,845,33,12114,15,16364,129,35,3,0,42,133,305,86912,13377,883,36,14301,261,101477,89874,1863,45,4,1906,104,91884,3885,10465,442,12,10915,12,14819,110,823,724,0,1548,7,1657,6,24,0,16,41,0,49,4005,11310,1161,28,12507,20,16526,144,27,4,0,33,123,294,94021,13207,1206,35,14446,246,108706,56754,1033,18,5,1058,50,57856,2112,5267,231,4,5500,9,7624,60,426,444,4,877,0,932,11,13,3,23,35,0,42,2182,5698,679,29,6409,9,8602,75,15,4,3,20,82,173,59008,6744,701,37,7481,142,66635,37428,613,14,7,632,44,38096,1227,3045,133,4,3187,9,4426,37,263,286,0,541,0,581,8,0,4,14,22,0,25,1275,3314,422,17,3747,9,5031,46,6,0,0,6,52,101,38745,3932,434,21,4387,101,43230,44729,663,13,7
