GCCSA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4GADE,145106,290324,2461,14232,15546,71364,3248,14740,85361,326733,106617,427074,8669,36678,14856,51474,29522,95137,53043,183292,159659,610364,793,3722,4404,14916,2016,7051,22784,58580,29999,84266,2761,8829,6812,15108,24303,52928,33875,76874,63878,161138,6497,13604,375146,1075432
4RSAU,51517,101875,731,3974,3807,17359,1190,5458,19359,76591,25081,103390,1438,5781,2418,7490,7148,22171,10998,35437,36077,138825,215,988,1072,3746,675,2403,6553,17791,8513,24926,477,1487,1205,2577,5507,11693,7191,15754,15706,40686,1324,2820,104627,284209
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,214131,422113,4270,24200,25267,115195,6413,28827,145755,555348,181707,723570,13392,55784,22575,77416,43044,135713,79007,268905,260717,992473,1218,5668,6122,20863,2981,10678,33199,86813,43525,124021,3836,12134,8645,19526,30089,64969,42567,96619,86096,220646,9180,19279,570121,1654508
5RWAU,58359,114222,973,5269,5091,22450,2032,9262,31591,123228,39693,160207,1793,6994,3090,9153,8380,25622,13258,41771,52952,201972,287,1371,1471,5026,1082,4076,8802,24285,11643,34759,537,1651,1386,2897,6374,13665,8306,18209,19947,52967,1751,3769,133003,372932
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,27505,55031,401,2228,2441,11153,683,3104,14341,54121,17868,70600,1154,4740,2070,6797,4593,14554,7816,26091,25680,96690,161,692,907,3015,429,1525,4784,12269,6279,17506,432,1333,1169,2515,4067,8792,5668,12643,11945,30143,1052,2206,66185,184072
6RTAS,39512,78492,563,3171,2875,13257,1008,4589,15814,61001,20264,82023,1249,5089,2187,6991,6068,18958,9502,31040,29765,113065,180,839,1024,3486,535,1896,5801,15312,7536,21538,435,1312,1175,2509,4896,10457,6504,14275,14043,35810,1070,2229,84387,229591
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,12828,25135,277,1568,1436,6574,507,2292,9762,36850,11974,47292,500,2052,978,3121,2212,7016,3693,12193,15671,59485,81,391,368,1298,243,902,2584,6873,3278,9469,177,548,430,928,1725,3780,2333,5260,5609,14728,578,1219,34687,100563
7RNTE,6120,12585,240,1635,603,3062,869,5237,5428,22047,7141,31981,157,660,301,931,1100,4004,1557,5597,8698,37573,82,482,214,870,508,2644,2131,6414,2937,10409,66,240,161,359,1299,3456,1525,4053,4464,14458,539,1391,19823,66002
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,47064,94430,660,3677,5278,23930,940,4239,32746,125143,39629,156987,2380,9980,4816,16528,7448,23995,14646,50505,54271,207494,224,1037,1283,4083,410,1412,6535,16120,8451,22649,715,2240,1893,4127,5582,12157,8194,18523,16650,41174,1773,3726,119752,346821
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,496,985,5,23,36,149,21,86,259,1021,312,1278,10,48,19,56,67,211,99,317,413,1594,0,6,14,46,5,37,56,138,84,223,4,8,9,21,44,107,60,130,135,350,22,46,1064,2979
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
