GCCSA_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
1GSYD,77127,19230,16666,11022,11499,17592,18979,8800,3055,183961,22006,6167,2448,1880,2287,4109,5715,2859,965,48434,14040,12567,6910,5387,6219,9545,11597,7304,2486,76046,6170,11555,11249,8776,10190,15452,29855,24345,7912,125503,5871,11549,11179,8275,9362,13070,21938,16103,6945,104288,8140,17749,17529,11131,10867,13608,17520,11132,3484,111163,5068,20215,23362,14932,13537,15010,13989,8385,2381,116885,2845,21437,38020,24749,21570,21703,13948,6236,1684,152193,1403,19425,53034,36870,30711,28293,15807,5797,1175,192524,433,11687,45450,33626,26292,21942,10939,3434,736,154543,220,6123,40003,33976,26667,20621,8904,2733,635,139882,113,2811,29263,30051,23141,16885,6237,1846,408,110763,90,2723,51913,73214,51901,32898,10039,2710,589,226075,40,418,10318,22566,16892,9753,2952,883,216,64039,47,454,13718,44486,46808,26676,8150,2476,650,143467,8627,12384,30056,24559,18837,15516,12303,10464,7495,140236,152229,176492,401126,385497,326780,282673,208867,115498,40821,2089990,67146,16147,33383,35429,28514,37706,27642,11330,4756,262055,26391,6423,5468,7468,6812,9224,8819,3848,1274,75733,17116,13905,11491,12697,11570,15474,15964,9074,2951,110249
1RNSW,30213,4561,4186,3559,4647,9108,8709,3515,1176,69679,15427,1917,960,943,1441,3012,4205,1824,547,30288,8467,5505,4208,3344,4229,7063,9451,5215,1470,48960,3596,5205,5924,4959,7200,12771,28235,22444,6496,96828,4648,4813,5621,5051,7341,12776,24479,16992,6701,88420,6236,7269,6998,5690,7173,11619,18714,10902,2835,77434,3862,9952,10200,7131,7923,11109,13795,7884,1994,73854,2331,12102,18638,12907,13857,16411,12279,5216,1241,94980,1100,9315,23965,18549,18858,20499,13369,4540,756,110947,356,4848,18138,15459,15055,14711,7637,2225,375,78809,143,2535,15302,14785,14301,13152,5590,1830,461,68097,52,1230,10918,12742,12640,10223,3336,918,212,52267,41,1195,16257,25370,25162,17401,4602,1082,218,91316,12,136,2635,5476,5802,3995,1200,340,62,19654,76,192,2665,7694,9871,7524,2872,960,241,32098,7112,7120,15286,13919,13865,13684,13037,9744,5449,99225,83664,77907,161894,157579,169368,185056,171497,95647,30234,1132855,24988,3488,8140,8192,8984,18409,11359,4227,1823,89610,19223,2075,2635,2927,3188,6031,5836,2293,832,45041,10636,5749,5960,5673,6231,10952,12503,6373,1939,66003
19499,56,28,59,51,51,75,40,7,0,367,16,4,12,14,13,23,11,0,0,104,41,38,61,57,76,57,26,8,0,368,11,49,77,111,103,105,102,26,0,588,9,19,49,45,74,84,167,40,3,492,12,24,48,39,38,51,59,12,0,287,13,37,59,30,27,54,33,17,0,270,7,39,82,47,34,42,18,9,0,275,0,19,90,44,48,43,30,5,0,275,0,8,59,44,35,19,12,0,0,185,0,0,46,33,18,25,9,0,0,135,0,3,35,29,14,17,7,0,0,104,0,4,57,46,29,20,6,5,0,174,0,0,11,15,6,7,0,4,0,42,0,0,19,21,21,14,0,3,0,79,89,138,397,466,415,309,124,36,6,1992,253,411,1164,1108,1010,949,648,166,19,5734,55,36,59,46,52,88,26,7,5,372,29,12,21,16,14,25,6,6,0,123,55,38,53,37,47,62,23,4,0,323
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,71440,18658,15088,10706,11056,15601,16465,7240,2526,168786,25849,7585,2707,1944,2475,3883,5220,2603,905,53161,14039,14978,7734,5530,6036,8640,11008,6808,2413,77182,5087,13255,12215,8437,9540,13188,26563,23498,7887,119669,4421,12466,11658,8012,9058,11520,20919,15850,7458,101370,5443,16883,17418,10642,10181,12179,17264,11173,3508,104683,3108,18228,24155,14683,12660,13272,14087,8596,2520,111302,2125,20518,42412,26915,22421,20944,13771,5991,1584,156678,1069,16895,55706,38720,31112,26999,14268,4988,1140,190904,310,8958,46423,34457,26464,21061,9535,2955,654,150820,159,4468,40352,35216,26870,19908,7586,2377,611,137538,60,1944,27379,29875,22555,15790,5251,1490,326,104673,68,1628,43780,66990,48629,30570,8535,2082,479,202773,28,279,7839,18801,14856,8920,2414,632,160,53929,66,441,8488,31773,35182,20404,6247,1821,503,104933,7591,11271,27255,21204,17233,13742,11060,9297,5805,124456,140865,168453,390596,363898,306343,256625,190191,107396,38491,1962857,60798,15856,33193,34084,26184,34780,24052,9550,4339,242840,30878,8469,6784,8370,7266,9030,8118,3539,1263,83712,17695,17373,13479,13783,12140,14675,15175,8603,3049,115965
2RVIC,16887,2501,2559,2138,2709,5136,4933,1872,631,39374,9385,1083,575,562,824,1590,2374,1001,309,17713,4807,2966,2328,1874,2363,4001,5486,2978,841,27647,1679,2719,3296,2760,3773,6572,15661,11868,3269,51599,2317,2691,3190,2753,4034,6606,14090,9255,3618,48559,2929,4090,3951,3185,3987,6264,10884,6185,1668,43138,1643,5587,5862,4159,4709,6549,8499,4667,1117,42792,1051,6704,11407,7751,8288,9762,7446,2900,700,56004,562,5079,14835,11059,11311,12256,7103,2166,376,64753,148,2454,10826,9221,9112,8794,4169,1125,212,46069,68,1216,9013,8916,8473,7613,3033,863,243,39438,27,533,5653,7001,6981,5539,1836,447,94,28118,29,430,7432,12413,12503,9229,2533,570,133,45268,8,73,1156,2603,2936,2114,658,192,46,9782,37,122,1326,3852,5138,3904,1550,527,173,16623,3840,3474,8041,7555,7929,8023,8176,5819,3094,55952,45414,41733,91461,87790,95064,103961,98445,52439,16515,632831,14105,1921,4890,4944,5102,10428,6591,2216,908,51099,11582,1239,1758,1988,1918,3389,3165,1220,396,26655,5745,3407,3678,3689,3802,6324,7176,3378,1026,38241
29499,56,23,53,63,54,39,24,0,0,310,11,6,12,13,16,13,10,5,0,77,36,49,56,60,58,23,16,9,0,304,9,27,83,87,77,67,56,15,0,422,4,21,32,44,59,50,69,23,4,308,6,18,34,35,34,21,20,10,0,184,0,21,42,26,28,20,16,4,0,147,5,24,64,28,25,23,12,5,0,190,9,23,72,39,27,22,12,0,0,206,0,11,31,23,22,24,14,0,0,117,0,4,42,28,21,19,3,0,0,114,0,5,22,12,11,14,3,0,0,67,0,0,35,25,16,8,5,0,0,88,0,0,6,9,5,7,3,0,0,31,0,0,11,29,19,4,0,0,0,60,89,120,360,487,440,283,133,26,8,1949,234,345,939,1008,912,644,392,90,15,4576,53,25,53,42,33,44,16,7,0,266,16,12,9,12,13,13,5,0,0,82,41,41,43,36,38,31,7,0,0,239
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,0,24,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,35100,7447,6189,4295,4663,7209,6494,2627,715,74740,14965,2802,1163,934,1239,2002,2736,1156,312,27304,8785,6774,4173,2824,3018,4259,5817,3085,831,39567,3807,6483,6584,4497,4984,7208,15864,12151,3169,64748,3084,5665,5518,4034,4741,6526,13226,9255,3449,55501,3950,8117,8227,5138,5148,6409,11023,6535,1696,56251,2786,10275,11431,6880,5772,6656,7907,4486,1107,57290,1955,12617,21034,13351,11420,10387,7282,2976,703,81739,920,10245,26733,19917,16782,14587,7682,2479,448,99794,279,5796,21690,17497,14486,11316,4852,1337,244,77501,122,2811,18724,16997,14234,10459,3746,1038,263,68393,41,1130,12483,14910,12617,8368,2419,589,112,52663,37,1024,18635,31523,27459,16286,3662,774,156,99553,15,154,3317,8078,7560,4225,966,246,47,24611,43,220,3412,13544,16755,9467,2519,703,176,46843,4442,6326,14536,11708,9671,7273,5839,4506,2692,67011,80337,87883,183841,176133,160551,132656,102051,53955,16110,993517,28266,6112,11795,12735,11299,15708,9473,3160,1323,99870,17984,2951,2954,3762,3351,4577,4075,1531,453,41638,11093,7317,6103,5682,5318,6852,7726,3865,1098,55058
3RQLD,29153,4387,4347,3615,4810,8596,8100,3082,862,66961,15331,1689,948,898,1270,2571,3602,1589,440,28342,8776,4929,4099,3303,3949,6297,8225,4441,1186,45211,3471,4443,5498,4505,6205,10307,23860,18043,4543,80873,3529,4181,4750,4206,5789,9477,20066,13372,4774,70149,4812,6548,6755,5399,6430,9501,15511,9032,2242,66217,3534,8978,9858,6667,7313,9067,10779,6083,1389,63677,2347,11133,18350,12636,13092,13754,9509,3883,868,85578,1134,8714,22707,18505,18263,18259,9932,3311,530,101361,407,5022,17008,15371,15151,13167,5625,1635,280,73667,219,2713,14401,15199,14971,12165,4427,1352,321,65757,94,1418,10141,12395,12472,9384,2876,741,140,49655,68,1649,15565,23926,24546,16363,4095,975,172,87352,13,190,2915,5919,6211,4277,1137,280,75,21022,60,224,2830,8005,9961,7130,2528,856,186,31793,6955,8338,18709,16458,16767,14874,11827,8161,3877,105965,79911,74553,158891,157012,167212,165201,142094,76828,21880,1043585,23398,4033,9474,9867,10301,17642,10406,3521,1283,89914,18866,2055,2852,3326,3249,5230,4607,1811,628,42626,10760,5241,6160,6011,6236,9774,10256,4906,1354,60698
