GCCSA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
6GHOB,5872,42,7,0,0,0,3,529,6453,6170,430,165,32,3,0,0,546,7341,6983,1235,712,206,61,20,8,653,9877,4616,2224,1735,635,178,47,18,503,9956,2175,1706,2787,1121,342,119,71,426,8753,1371,1270,2731,1167,416,135,105,316,7499,1357,1164,2810,1321,456,151,98,290,7649,1312,1155,2856,1387,495,163,103,315,7782,1208,1059,2887,1444,493,177,110,323,7709,1172,983,2844,1702,606,194,97,351,7959,934,852,2637,1637,612,163,95,370,7301,724,611,2392,1577,544,175,85,395,6506,426,389,1541,1177,507,152,98,368,4667,244,224,924,872,459,198,147,304,3362,263,223,782,804,549,265,235,396,3516,34836,13571,27811,15089,5720,1954,1279,6081,106333
6RTAS,7179,78,4,0,0,0,0,781,8039,6070,759,282,67,12,0,7,631,7822,5194,1635,1220,439,109,31,9,615,9243,2941,1892,2259,944,341,113,54,576,9116,1762,1376,2951,1564,581,185,115,522,9048,1357,1163,3058,1599,618,230,162,457,8656,1479,1241,3246,1834,691,289,181,489,9451,1679,1431,3773,2183,784,261,169,627,10899,1689,1312,3940,2349,926,312,186,633,11351,1650,1200,4034,2682,1066,344,204,736,11910,1304,1046,3686,2460,1048,305,142,696,10684,989,851,3256,2386,1011,338,141,803,9780,605,454,1982,1740,859,331,181,671,6823,333,266,946,1118,742,349,251,542,4543,324,289,835,966,704,362,357,590,4415,34545,14990,35465,22330,9500,3425,2177,9357,131795
69499,44,3,0,0,0,0,0,10,48,36,4,0,0,0,0,0,7,53,24,11,4,0,0,0,0,8,45,19,5,6,5,3,0,0,8,43,13,5,8,7,0,0,0,10,42,10,11,9,9,4,0,0,15,56,12,4,4,3,3,0,0,6,26,13,11,4,9,0,0,3,7,47,9,3,12,3,8,0,0,11,57,7,4,12,0,3,0,0,10,42,8,0,5,10,0,0,0,14,34,3,5,6,3,0,0,0,14,36,0,0,6,3,0,0,0,5,8,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,199,62,74,53,24,13,5,125,561
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,3239,34,5,0,0,0,0,458,3735,3199,312,93,19,10,0,0,512,4144,4074,871,532,161,51,6,6,683,6377,2911,1455,1185,473,131,45,29,593,6821,1504,1117,1773,740,248,69,57,535,6052,962,806,1701,812,306,97,65,484,5230,783,696,1489,759,313,90,92,404,4615,707,590,1417,820,335,107,74,378,4428,645,461,1172,782,297,106,57,319,3842,427,399,1020,710,310,93,59,280,3301,284,263,798,568,251,94,53,218,2525,187,205,588,445,226,90,56,196,1993,112,83,328,243,139,38,50,102,1086,60,48,153,146,93,47,53,98,692,28,30,80,80,63,47,55,78,465,19112,7370,12327,6744,2773,928,702,5341,55301
7RNTE,2080,157,15,0,0,4,0,806,3057,1730,609,197,41,10,0,3,633,3225,1863,674,568,269,66,14,13,644,4104,1368,740,813,451,193,77,30,606,4287,757,541,852,530,298,122,77,511,3696,469,354,624,460,287,144,121,451,2910,477,301,561,452,282,133,118,385,2711,432,346,642,500,295,153,118,399,2888,364,252,541,416,243,109,119,373,2426,261,197,493,386,223,123,107,299,2086,186,133,310,255,159,83,72,247,1446,96,74,185,157,94,52,65,133,858,41,30,87,83,49,36,48,65,445,31,18,56,36,37,24,38,40,279,27,10,24,30,24,17,27,42,198,10181,4440,5968,4081,2255,1101,958,5630,34608
79499,31,4,0,0,0,0,0,30,64,39,13,9,0,0,0,0,36,99,94,10,13,0,0,0,0,70,185,58,15,10,12,4,0,0,72,175,26,7,30,12,8,6,0,62,145,14,6,27,15,6,0,3,45,122,18,8,4,12,5,3,0,84,139,21,5,27,10,8,5,0,67,142,18,9,23,18,8,3,3,61,138,7,14,25,17,11,6,0,54,139,6,5,28,10,4,3,3,24,89,0,0,7,0,0,3,0,8,25,0,0,8,4,0,0,0,4,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,325,103,211,110,63,25,15,629,1486
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11
8ACTE,11847,36,3,3,0,0,0,1009,12899,15142,439,134,18,7,0,0,1391,17132,15096,1968,905,257,64,16,8,1197,19514,9522,4286,3477,919,231,63,35,941,19487,4981,3851,6546,2093,498,117,74,739,18905,3166,2643,6351,2498,613,178,100,559,16102,2582,2238,5903,2525,737,190,113,498,14789,2340,2030,5294,2397,739,172,118,463,13559,2003,1707,4645,2415,802,192,99,382,12249,1606,1533,4170,2374,825,203,127,381,11212,1174,1180,3677,2267,844,215,100,404,9866,976,991,3445,2191,833,214,133,375,9154,542,559,2253,1580,670,228,129,323,6287,288,323,1196,1169,608,220,170,292,4267,285,311,1063,998,662,276,289,428,4315,71557,24101,49070,23703,8132,2289,1498,9387,189730
89499,32,0,0,0,0,0,0,4,37,34,5,4,0,0,0,0,4,40,18,5,4,0,0,0,0,9,33,10,0,0,0,0,0,0,0,19,5,0,7,0,4,0,0,0,15,11,5,3,0,0,0,0,4,26,5,0,0,6,0,0,0,0,12,6,0,4,0,0,0,0,0,14,6,0,0,7,0,0,0,0,15,3,4,8,4,4,0,0,3,21,0,0,0,5,0,0,0,4,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,120,22,37,22,8,0,0,38,249
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,81,0,0,0,0,0,0,24,103,71,13,0,0,0,0,0,21,108,64,16,8,3,0,0,0,24,113,33,12,25,26,3,0,0,29,126,35,21,57,23,10,0,0,25,166,13,15,40,37,6,0,0,28,140,24,21,45,23,6,3,4,15,140,30,17,49,16,19,4,3,26,171,36,14,60,30,13,7,3,31,193,23,23,61,43,15,0,6,27,187,31,14,44,18,21,7,6,17,155,14,12,24,18,6,4,5,16,108,10,5,20,15,9,10,4,17,80,5,3,9,11,3,10,0,9,56,3,3,3,11,0,8,5,7,34,480,182,452,280,114,39,34,309,1887
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
