GCCSA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
1GSYD,20268,3423,4953,66,26,28735,4926,841,1145,16,0,6924,4296,775,1083,9,9,6170,6971,1202,1957,19,5,10153,9661,1650,2776,33,10,14126,29008,5037,9367,74,30,43506,35987,6835,13554,100,52,56528,70942,13015,27411,175,119,111666,58031,9316,18331,99,122,85899,69806,11439,16446,113,101,97908,80084,14514,12237,144,100,107077,28876,4461,6598,62,50,40046,418869,72484,115848,905,629,608735
1RNSW,14683,885,397,61,47,16065,6762,451,200,28,13,7447,6272,479,204,35,5,6996,12272,743,340,72,22,13447,17294,963,565,55,36,18912,48380,2699,1524,134,46,52784,52034,3205,1389,103,53,56786,64069,3149,1447,107,79,68853,31092,1181,547,53,35,32906,23844,823,417,36,31,25148,14996,465,318,46,40,15860,17455,904,421,69,30,18881,309146,15931,7771,791,430,334073
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,25370,4043,2223,33,20,31687,7925,1256,655,11,3,9856,6859,1085,657,3,4,8608,11638,1896,1186,20,9,14749,16048,2690,2052,21,6,20818,51794,9206,8651,102,35,69784,72861,12474,11526,106,61,97031,121119,17880,13600,144,77,152824,61626,9953,5594,66,40,77274,56001,10218,4481,67,45,70813,50690,9539,3180,53,38,63500,35214,5225,2807,46,29,43311,517148,85466,56615,660,364,660251
2RVIC,9466,316,64,26,23,9888,5743,201,44,14,5,6013,5477,175,38,17,5,5716,11133,454,90,31,8,11717,15435,603,154,29,12,16240,40647,1275,259,60,39,42277,37272,839,130,47,42,38326,32737,586,103,48,48,33527,11698,190,18,25,15,11943,8653,138,23,13,12,8840,5902,89,12,19,16,6045,11485,290,56,25,14,11870,195651,5155,1021,349,234,202404
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,11761,704,852,8,3,13333,4265,353,260,0,0,4875,3652,389,326,3,4,4372,6613,801,645,20,5,8077,9996,1282,1083,11,10,12384,34922,4475,4212,21,36,43676,50407,4658,4889,18,38,60017,69831,3707,4297,33,43,77916,34176,1260,1551,11,12,37015,27477,810,1188,16,21,29507,18838,461,978,9,18,20296,16001,940,933,16,16,17916,287945,19843,21206,167,216,329373
3RQLD,12239,973,784,72,73,14135,5514,613,352,17,9,6510,5241,567,358,27,15,6212,10609,992,785,68,21,12463,15518,1468,1215,56,40,18289,45525,4535,2934,120,63,53193,50871,4726,2812,82,77,58563,59349,3627,2384,94,90,65552,24996,1116,796,45,31,26978,18220,772,686,24,37,19739,11837,508,486,45,62,12931,17291,1219,908,62,51,19522,277206,21112,14498,701,571,314086
