GCCSA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,44,480,826,2127,1157,1023,898,335,86,6970,83,1035,2702,6084,4029,2767,1489,565,125,18883,21,252,483,1857,773,432,388,188,49,4448,20,65,58,803,96,46,55,11,0,1157,38,489,636,771,163,61,47,13,3,2227,7,36,44,302,152,118,51,27,6,736,117,470,555,1223,585,644,494,207,45,4343,46,329,525,2134,1648,1490,849,241,101,7368,9,92,210,711,547,566,492,320,89,3037,4,156,628,1740,1143,926,424,142,37,5205,235,2422,3681,14179,5585,4828,3577,2126,602,37234,2140,4732,5460,18297,7819,6191,4100,2895,1648,53279,66701,139523,130425,301114,135822,117039,90651,48100,15791,1045169,10,146,370,1185,309,167,83,35,0,2304,59053,109813,87305,159066,71160,59902,49468,25819,11669,633260,5,120,102,774,137,67,54,11,0,1270,0,8,24,521,254,390,206,75,28,1516,16,94,113,1821,245,106,57,24,4,2485,7,43,47,367,158,117,74,14,10,838,35,162,239,1244,496,423,248,84,35,2970
5RWAU,4,23,14,61,59,39,33,14,3,247,24,198,355,898,670,467,224,89,29,2953,5,25,15,143,53,28,14,13,0,292,3,4,3,166,4,0,0,0,0,184,11,99,108,89,18,13,4,0,0,338,0,0,0,25,8,7,0,3,0,45,6,47,41,150,108,138,137,51,8,692,4,25,27,161,85,48,26,4,4,387,0,0,9,75,68,109,98,44,5,413,0,36,84,294,249,210,124,22,5,1026,33,162,233,1478,569,569,491,294,74,3902,1270,3200,2939,9217,4762,4281,2823,1437,480,30395,16402,36983,28933,69567,36989,36850,29161,13867,3843,272586,0,8,15,57,11,4,0,0,0,94,14058,29934,21187,45890,24135,23278,18460,8873,3484,189302,0,4,6,32,7,4,0,0,0,61,0,0,0,19,5,7,4,3,0,36,0,8,10,119,29,10,4,0,0,174,0,3,4,44,5,4,0,0,0,66,6,24,31,266,93,106,43,17,3,593
59499,0,0,0,0,0,0,0,0,0,3,0,3,0,14,8,4,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,4,0,0,21,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,0,3,6,0,0,0,0,6,3,0,10,49,9,15,7,3,0,102,31,31,87,456,250,169,93,35,9,1156,149,244,414,1753,842,667,444,118,14,4639,5,0,0,0,0,0,0,0,0,13,119,194,247,755,298,267,167,20,4,2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,13
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,14,0,0,14,110,46,25,4,0,0,197,0,0,30,262,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,14,28,52,20,17,9,0,0,145,0,34,55,189,95,60,58,39,13,540,0,14,27,341,30,10,12,8,0,451,4,9,8,139,5,7,0,0,0,170,0,30,33,65,11,4,5,0,0,141,0,0,0,10,7,3,0,0,0,29,13,45,38,144,74,83,80,31,7,514,0,28,66,298,22,14,8,0,0,443,0,3,5,16,21,29,28,26,6,132,0,6,14,30,25,19,10,6,3,112,17,147,162,866,282,267,231,173,64,2205,220,565,574,1493,657,708,646,450,178,5501,6632,14715,14350,35329,14213,14272,12337,6566,2116,120521,0,0,14,20,17,0,5,0,0,58,5854,12548,11446,23765,12433,12425,10490,5716,2431,97107,0,8,16,148,5,0,0,0,0,177,0,0,0,10,5,6,8,4,3,31,0,3,4,171,5,0,0,0,0,190,0,0,0,24,4,0,0,0,0,31,0,7,12,107,62,42,38,14,0,276
6RTAS,0,6,11,36,19,13,9,4,0,99,0,17,40,120,101,90,71,18,5,462,3,20,27,172,31,15,5,0,0,274,0,9,0,97,3,0,0,0,0,114,5,23,11,27,9,4,0,0,0,77,0,0,0,12,4,5,4,0,0,26,4,25,34,101,76,78,92,45,7,461,0,18,18,95,10,4,3,0,0,148,0,0,0,18,14,34,42,33,14,158,0,0,5,15,26,20,16,10,0,92,21,89,118,658,258,270,303,227,72,2023,356,867,939,2177,1309,1555,1582,954,332,10065,7871,18231,16869,34690,18985,21995,20225,10656,2948,152471,0,6,16,45,15,9,4,0,0,88,7057,15833,13970,28345,16791,18480,15474,8060,3291,127308,0,4,11,39,3,3,0,0,0,50,0,0,0,3,5,0,0,3,0,16,0,4,0,36,4,0,9,0,0,49,0,0,0,12,0,0,0,0,0,11,0,11,17,93,46,51,44,20,3,278
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,15,0,8,11,24,14,26,40,4,0,131,21,50,108,234,130,104,90,18,0,758,0,0,0,0,0,0,0,0,0,0,19,33,76,135,56,60,32,10,4,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,0,16,0,38,15,15,14,4,0,105,5,37,48,128,64,40,15,9,0,343,5,43,37,318,64,38,25,19,3,553,5,17,0,92,4,4,0,0,0,129,4,39,51,90,24,24,3,0,0,239,0,0,0,3,7,9,0,0,0,23,6,17,12,67,32,29,21,12,4,203,7,41,54,196,57,61,38,7,0,464,0,0,7,25,11,4,12,0,5,61,0,12,22,91,42,24,13,0,0,193,20,170,168,711,370,306,249,146,42,2190,318,744,752,2191,931,705,446,147,48,6271,4900,9532,8819,23575,9359,7494,4858,1830,370,70739,0,0,0,7,0,0,0,0,0,6,4187,7350,5523,12997,5386,4258,2506,862,195,43262,0,14,39,162,16,7,6,3,0,250,0,0,0,9,5,6,3,0,0,20,0,5,3,79,6,3,0,0,0,94,0,14,7,57,26,15,11,5,0,129,3,0,0,73,22,15,20,7,0,139
