GCCSA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
1GSYD,7,77,148,1713,1115,1201,1203,701,172,6336,324,3154,9063,55335,20645,22219,13638,5749,3117,133242,0,10,37,806,682,1304,1840,1524,564,6767,47,529,493,2305,983,1478,1876,1239,575,9523,362,3123,3978,18417,11584,12836,10589,7847,3270,72013,22,234,724,6272,3940,3779,2208,1026,236,18449,37,255,345,2750,715,435,342,186,116,5187,47,181,370,2568,1199,998,1853,1544,709,9465,13,123,267,664,615,1586,3671,5376,2135,14440,185,1125,1734,7663,3356,5318,4114,750,286,24530,1151,7115,6192,52233,8880,5663,3862,1750,640,87480,54,353,2241,9103,3308,2105,1667,694,200,19722,34,428,772,6284,1682,1545,1053,409,172,12381,46,1817,2955,9922,4408,3540,2173,980,375,26216,36,346,389,5124,1476,1178,940,648,270,10403,18,121,264,2311,1007,2514,4545,4779,3136,18701,75,373,507,3697,2225,1179,468,215,87,8825,91,761,1942,12056,5837,3679,2037,945,320,27670,139,502,891,6679,6184,7394,5063,2234,765,29861,49,460,1325,6505,2832,2709,2890,1076,270,18115
1RNSW,4,4,12,234,180,174,202,135,19,967,24,169,314,2250,915,736,424,149,77,5054,0,3,5,114,141,268,321,309,118,1276,14,65,21,181,38,66,134,83,29,627,89,762,1135,4515,4797,8736,9392,7364,2761,39549,12,52,69,500,273,277,185,77,22,1469,5,31,63,473,179,202,154,93,39,1238,10,43,117,853,488,871,1879,1231,513,6008,0,12,17,38,54,169,319,376,216,1196,5,72,106,328,134,208,138,36,12,1039,109,627,672,5904,849,630,435,244,106,9569,12,69,116,629,304,174,148,58,24,1527,4,32,50,363,69,70,35,22,0,654,30,315,291,458,131,95,59,15,7,1395,3,130,107,527,321,353,353,250,95,2138,4,36,43,320,176,500,1047,995,777,3900,22,61,74,576,314,148,96,34,20,1348,0,44,100,788,192,102,42,12,4,1277,0,9,30,172,142,180,128,47,22,730,33,107,165,827,431,392,266,94,30,2352
19499,0,0,0,7,0,0,5,0,0,9,0,0,0,29,8,6,0,0,0,53,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,12,43,7,37,19,9,0,131,0,0,3,10,3,0,0,0,0,14,0,0,8,11,8,0,0,0,0,23,0,0,5,4,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,4,0,0,0,16,0,0,5,17,3,0,4,0,0,25,0,0,0,9,0,0,0,0,0,16,0,0,3,5,5,0,0,0,0,16,0,0,3,5,0,0,0,0,0,5,0,0,0,11,0,4,0,0,0,20,0,0,0,8,4,0,0,0,0,16,3,0,0,6,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,9,0,0,7,18,3,5,0,0,0,41
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,18,54,80,1213,823,757,724,383,70,4122,292,3533,10303,42466,13852,12152,7016,2624,1298,93531,3,10,31,731,657,1467,1778,1506,558,6739,20,346,516,1468,629,1012,1381,925,435,6734,275,2592,3711,12946,9677,12275,11065,8415,3762,64716,10,107,325,2376,1331,1126,628,263,84,6249,19,135,210,1576,486,346,302,153,108,3337,28,132,357,2092,1068,1028,2436,1974,989,10104,15,217,462,1022,1211,3056,6106,8573,3390,24059,108,732,1123,5093,1747,2106,1557,294,110,12876,1041,6849,9970,70775,9049,6562,4518,1917,709,111393,52,293,1655,5710,1624,729,755,230,71,11120,43,688,1048,5516,1176,729,399,172,51,9825,28,1057,1453,5060,2089,1418,797,392,103,12402,19,284,281,3154,824,836,813,548,288,7051,15,179,316,1840,1047,3897,8230,8679,5490,29689,55,277,433,2908,1402,451,289,95,52,5968,49,321,815,4810,1421,555,234,88,18,8298,47,184,361,2253,2011,2056,1335,505,165,8923,143,1351,3200,12619,4140,4021,3542,1165,300,30478
2RVIC,0,6,3,61,49,48,33,21,0,224,13,129,248,1506,488,368,201,67,16,3026,0,0,4,78,103,208,335,322,133,1184,3,32,32,103,6,31,61,25,5,312,51,498,566,2215,2376,4859,5474,3811,1473,21325,3,14,37,196,123,85,57,14,0,521,0,22,21,204,60,81,66,28,10,501,7,27,53,437,225,393,1151,674,333,3313,5,8,5,34,38,102,217,244,111,759,5,41,46,209,45,72,41,6,3,470,66,408,706,4456,430,322,246,103,33,6778,5,41,61,388,171,61,75,21,11,836,0,56,71,210,43,32,16,9,0,442,3,41,44,228,93,39,17,12,0,474,4,74,47,345,160,180,214,146,70,1238,5,13,20,122,98,385,953,925,601,3122,3,33,30,252,131,59,34,11,10,560,4,19,28,272,45,23,9,0,0,406,0,6,5,35,24,45,20,12,0,142,9,130,229,1269,399,329,134,37,7,2550
29499,0,0,0,6,6,0,0,0,0,8,0,0,3,15,8,0,3,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,3,0,3,22,6,12,8,9,0,75,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,10,0,0,0,5,0,4,0,6,0,16,0,0,0,5,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,3,3,20,4,0,0,0,0,29,0,0,0,4,3,0,0,0,0,14,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,7,0,0,0,0,0,0,5,3,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,6,25,5,0,0,0,0,34
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,13,41,59,385,161,160,121,59,13,1002,91,922,2928,11590,3216,2687,1651,583,276,23947,0,5,8,182,151,235,200,160,65,1013,9,82,100,231,50,67,95,65,27,730,183,1915,3467,8349,7631,9091,7590,5779,2078,46094,12,94,315,2144,1202,1043,713,270,64,5854,21,85,136,751,247,226,135,103,39,1744,29,80,207,1209,678,628,1134,679,262,4911,0,18,33,87,60,99,267,324,191,1077,42,308,695,1935,592,848,570,107,49,5139,204,1523,2098,15039,2222,1296,915,411,155,23868,17,130,325,1329,617,299,296,170,51,3238,6,195,305,1752,359,191,129,45,21,2998,4,131,202,525,206,94,69,21,3,1253,13,211,199,1338,538,369,369,261,136,3436,6,54,90,576,212,317,630,672,476,3032,34,183,327,1910,985,314,149,60,37,3996,43,378,713,4238,1257,416,176,64,8,7295,8,22,29,138,118,125,76,25,17,548,28,288,687,2410,1017,964,740,273,64,6481
3RQLD,3,9,19,449,104,70,65,52,10,783,46,365,649,3903,1404,1097,493,189,79,8212,0,5,4,90,90,181,212,171,67,822,7,47,49,134,46,58,114,78,45,580,130,1493,2584,7769,7456,10014,9430,6938,2443,48244,4,48,141,656,382,387,226,96,33,1973,11,59,104,709,211,236,200,144,49,1724,11,64,194,1319,660,967,1399,1129,418,6158,0,9,12,55,40,73,111,131,67,497,15,125,180,589,201,281,172,32,8,1609,92,534,961,5707,790,484,331,224,76,9189,21,96,173,845,485,224,234,92,46,2216,0,39,65,405,91,104,67,30,10,812,42,339,302,402,101,63,43,18,6,1324,6,139,121,753,359,311,335,259,101,2388,4,52,78,525,172,311,686,636,480,2936,28,180,336,2244,1577,610,249,92,34,5339,22,179,288,2038,572,251,87,35,10,3488,0,10,3,45,52,48,32,25,11,229,8,76,188,865,483,577,336,110,37,2683
