GCCSA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
39499,0,0,0,26,0,0,0,0,0,28,0,0,7,33,4,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,89,35,86,78,14,0,333,0,0,0,0,4,5,0,0,0,7,0,0,11,28,0,6,4,0,0,43,0,0,6,26,6,0,6,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,9,0,0,0,16,0,0,3,0,0,21,0,0,0,13,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,19,0,0,5,3,0,26,0,0,0,12,0,3,0,0,0,21,0,0,4,6,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,23
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,0,10,14,135,74,84,51,33,9,420,57,539,1849,7267,1794,1360,867,277,117,14127,0,4,11,167,130,273,329,270,138,1312,12,81,61,232,57,61,107,98,45,755,73,868,1937,4106,5426,10088,8241,6310,3051,40096,0,19,30,201,114,122,78,36,11,620,9,48,26,254,114,126,71,46,39,728,17,35,78,494,340,513,1211,938,579,4185,3,21,58,124,114,420,1076,1450,764,4022,30,108,382,867,181,218,207,32,11,2035,197,1476,2387,12370,1594,760,570,265,115,19724,3,67,136,614,201,102,94,33,16,1273,18,178,348,1229,309,210,126,61,26,2494,0,45,90,320,130,86,34,14,5,729,0,68,66,275,195,228,222,196,140,1396,3,43,80,322,252,865,2316,2465,1737,8091,12,42,83,485,291,90,48,23,20,1097,6,108,281,1094,398,99,24,5,6,2019,10,26,41,230,137,180,156,89,33,894,34,301,655,1862,622,500,492,200,41,4701
4RSAU,0,3,0,4,3,0,5,0,0,22,5,26,24,238,73,58,20,5,0,447,0,0,0,4,7,8,37,41,15,114,0,6,4,15,0,0,5,3,0,37,3,73,139,485,876,2498,2388,1699,613,8771,0,0,3,35,11,20,9,0,4,72,0,0,4,33,15,16,24,12,8,109,0,0,8,92,56,157,298,218,104,932,0,0,3,10,3,26,62,113,44,264,0,7,4,34,12,3,6,0,0,68,14,45,84,478,76,66,47,20,12,852,0,7,14,86,34,10,13,3,6,169,0,0,0,12,9,6,0,0,0,23,4,0,4,3,0,5,0,0,0,19,0,3,6,54,21,33,42,37,13,208,0,6,0,21,9,58,108,133,95,437,0,0,7,35,21,12,10,0,0,85,0,0,3,59,5,4,4,0,0,77,0,0,0,5,5,4,0,0,4,18,0,15,26,142,42,32,24,9,0,297
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,11,6,18,11,6,0,64,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,11,0,0,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,6,25,56,343,177,167,116,63,14,965,53,581,1359,7269,2690,2048,1053,317,175,15545,0,19,25,332,214,436,591,354,226,2198,8,122,136,301,88,123,164,118,59,1121,181,2628,5820,15988,14492,18324,13799,9963,3760,84953,0,19,33,205,97,118,52,28,5,570,12,63,109,948,263,197,116,75,30,1808,9,97,207,1394,703,669,1009,656,211,4961,3,12,38,82,57,119,232,291,223,1038,34,163,365,1427,418,453,365,82,36,3348,241,1616,2219,15515,2765,2245,1815,1123,448,27993,62,339,703,3674,1534,805,655,220,65,8052,12,145,265,1581,396,310,191,71,36,3009,7,115,182,791,313,151,83,29,0,1676,39,405,453,3580,935,926,786,516,209,7860,11,95,156,1040,401,814,2147,1945,1407,8010,46,137,201,1374,824,307,153,63,18,3125,33,182,198,2071,519,228,99,26,3,3350,3,23,26,158,100,125,73,23,6,543,65,638,1562,6013,2673,2569,2480,900,255,17165
5RWAU,0,4,0,61,13,14,8,0,0,105,0,18,38,374,127,74,25,9,0,663,0,0,0,14,7,20,26,14,7,85,4,8,0,17,0,4,13,0,5,54,14,202,390,2011,2076,3531,2894,1984,670,13782,0,11,17,68,37,24,8,5,0,168,0,9,28,219,39,38,27,14,3,379,7,11,56,412,168,176,301,161,49,1340,0,3,0,14,6,8,8,16,5,52,3,4,5,75,14,27,13,0,0,143,13,100,52,738,108,92,76,71,20,1265,4,54,43,361,139,47,42,9,8,700,0,0,3,46,7,4,0,5,0,71,0,4,3,16,3,3,0,0,0,36,5,33,45,372,95,101,99,66,18,826,4,5,13,139,27,64,182,162,114,715,6,3,10,133,59,18,10,5,0,246,0,5,9,163,14,3,0,0,0,199,0,0,0,13,0,6,7,3,0,33,4,7,31,218,90,94,53,27,3,529
59499,0,0,4,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,44,18,45,31,4,0,155,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,15,0,0,4,7,3,3,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,20,0,0,0,12,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,0,0,32,18,15,11,5,5,85,14,97,273,2404,112,114,69,30,9,3109,0,0,3,7,8,12,29,21,9,81,9,3,8,7,3,7,3,3,3,49,13,96,110,412,521,892,932,761,316,4061,0,3,3,25,15,19,20,13,0,94,0,6,4,55,15,17,11,3,3,122,0,7,15,96,52,74,116,119,60,550,0,0,4,13,13,23,41,77,31,193,5,18,40,182,34,17,20,0,5,322,24,94,174,1228,73,48,32,25,16,1712,0,12,35,104,27,15,17,5,0,220,0,18,22,65,14,9,0,4,0,129,0,9,10,10,3,7,3,0,0,41,0,3,12,29,30,39,39,31,10,201,0,0,0,35,14,26,45,64,36,223,0,6,23,100,50,23,14,3,3,225,0,14,18,180,33,25,12,5,0,285,0,0,7,5,9,8,3,0,0,27,3,15,80,235,63,58,51,10,3,518
6RTAS,0,5,4,21,13,12,5,4,0,65,7,19,62,502,71,54,32,7,4,757,0,0,0,0,0,6,9,9,0,23,0,11,3,16,4,3,6,0,0,39,0,51,86,375,531,1305,1569,1124,383,5438,0,0,0,23,19,14,4,0,0,64,0,6,0,40,9,20,17,6,8,101,0,0,17,69,54,114,131,110,37,528,0,0,0,3,0,8,12,9,3,33,0,11,8,71,8,14,10,0,0,130,7,44,69,552,52,48,23,18,11,826,0,8,8,68,25,14,16,6,0,151,0,52,37,31,10,5,6,0,0,138,0,4,3,12,0,0,0,0,0,24,0,6,5,36,24,33,40,34,8,184,0,4,0,15,9,19,46,34,27,155,0,7,6,51,28,9,10,6,0,116,0,5,10,89,15,10,0,0,0,134,0,4,0,7,3,4,0,0,0,16,3,18,44,130,36,46,28,9,0,320
