GCCSA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
1GSYD,0,9,17,159,207,842,2182,1724,602,5732,0,20,108,654,334,635,560,298,162,2779,7,42,246,1125,609,485,361,146,63,3075,43,314,7632,16988,674,425,170,32,0,26284,23,121,162,813,462,468,933,827,443,4256,287,2160,4667,13931,7772,6652,4063,1735,525,41792,7,37,89,993,849,1404,1570,787,289,6023,160,1581,1278,7328,1468,787,418,103,29,13145,0,18,72,336,602,453,269,121,49,1928,149,1605,3529,22072,9197,9026,6246,1582,545,53938,11,61,91,2108,881,1046,1375,583,488,6646,7,225,468,1198,1094,977,534,173,29,4708,14,137,265,1581,1255,1722,1704,1230,485,8391,120,872,881,2075,996,916,826,284,93,7059,100,910,1559,6332,4272,2995,2222,1193,404,19989,52,427,820,4994,2470,2559,1683,833,342,14188,47,214,342,4057,1040,743,794,116,21,7380,58,430,1053,11028,2774,1483,734,148,25,17732,24,176,173,1773,1595,1372,966,501,117,6709,428,1550,1580,5347,1708,1345,921,368,100,13349
1RNSW,3,0,9,27,40,140,443,260,78,999,0,4,13,67,29,76,59,22,9,273,0,29,77,388,89,56,44,17,8,707,11,92,359,2227,50,34,15,6,0,2786,8,26,66,330,248,409,1263,945,345,3640,75,526,841,3771,3102,3541,2959,1295,348,16459,0,13,27,290,371,644,828,486,161,2811,30,119,84,626,59,49,43,6,0,1021,0,27,52,196,343,285,144,28,7,1100,62,563,701,4187,1720,1823,1242,292,45,10632,3,7,13,266,147,196,327,173,142,1265,0,20,47,113,79,73,35,12,5,389,6,72,117,432,510,1128,1400,1086,395,5138,13,83,72,184,163,138,117,45,3,824,31,283,420,1607,1023,722,677,319,79,5158,5,97,87,571,197,136,112,48,18,1266,9,35,42,690,75,52,24,8,0,934,25,218,321,1810,930,462,166,31,3,3959,13,20,10,123,167,122,82,64,10,615,84,340,397,1609,639,710,737,249,49,4823
19499,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,7,0,3,5,0,0,17,0,0,3,29,16,29,15,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,11,0,0,3,19,0,5,3,0,0,32,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,7,5,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,3,10,4,5,3,0,0,28,0,0,0,8,0,0,0,0,0,7,0,0,0,30,0,0,0,0,0,34,0,0,0,6,6,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,16,5,0,0,0,0,30
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,0,11,40,259,329,1167,3036,2158,782,7785,10,61,360,2008,744,1170,949,466,250,6016,8,225,912,3137,862,480,280,129,54,6088,25,177,2111,5574,225,145,61,16,0,8339,13,105,174,647,463,557,1649,1422,731,5761,475,3571,5212,16251,6494,5128,2865,1051,347,41397,4,47,134,1598,1427,2103,2386,1126,389,9210,204,1665,1345,7012,882,458,297,64,16,11945,5,23,60,302,412,228,91,9,7,1132,122,1376,3019,15457,6059,4989,3070,799,223,35125,3,25,77,1563,913,1352,1906,899,803,7549,6,227,490,1084,815,636,285,92,24,3665,17,149,349,1723,1216,1987,2081,1615,749,9879,84,911,1351,3372,1433,1078,805,241,63,9340,84,646,1225,4541,2937,1932,1453,709,279,13813,102,1179,2569,13247,5013,4239,3136,1451,590,31529,35,163,318,3470,661,473,422,42,10,5600,81,641,1341,6784,1857,798,308,83,19,11920,26,164,226,2094,2325,1990,1221,603,151,8808,306,1175,1307,4281,1337,1037,791,261,55,10551
2RVIC,0,0,6,31,33,127,317,190,58,753,0,4,26,116,46,69,45,13,3,332,0,21,83,494,149,90,62,19,3,923,0,20,149,575,19,8,3,0,0,773,7,25,35,198,176,343,1343,963,368,3451,42,377,540,2180,1566,1734,1233,467,110,8243,0,0,0,57,53,105,145,82,39,486,12,124,122,379,42,18,13,6,0,708,0,12,14,82,162,78,47,9,0,401,43,322,437,2722,1040,930,605,128,15,6245,0,3,3,129,82,94,159,75,95,643,3,3,21,78,31,19,13,5,0,179,5,44,53,313,293,698,883,719,219,3220,9,31,48,138,111,77,59,5,5,476,21,121,205,682,423,338,219,107,28,2148,9,79,95,670,166,128,114,40,20,1323,7,8,41,721,34,19,7,5,0,836,20,271,391,1052,396,215,60,4,0,2414,0,14,8,85,118,98,58,41,9,425,29,131,160,626,294,302,365,90,9,2004
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,6,4,0,13,0,0,11,28,9,13,5,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,10,0,0,0,0,0,10,0,0,0,4,0,5,0,0,0,11,0,0,0,6,3,3,0,0,0,17,0,0,0,8,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,5,0,0,0,9,3,0,0,0,0,11
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,0,5,5,22,28,66,155,118,42,451,0,3,16,133,63,102,89,52,16,474,6,55,196,824,242,183,119,53,24,1698,7,63,827,2122,72,76,15,6,0,3188,10,56,90,384,311,414,930,667,265,3125,383,3754,6621,18749,10514,8240,5113,2047,493,55912,0,3,8,100,74,87,70,30,11,387,29,293,271,1252,180,100,79,16,0,2223,8,174,492,1314,1378,922,536,192,85,5095,62,761,1696,7312,3259,2764,1659,463,105,18084,3,13,31,619,262,290,367,161,128,1878,10,169,371,1078,903,842,486,178,27,4066,9,159,295,1024,912,1228,1174,775,336,5919,29,214,415,970,470,357,284,72,20,2834,59,762,1620,4723,2893,1761,1087,458,146,13513,13,203,407,1647,721,610,448,205,77,4339,58,260,495,4204,881,765,630,117,23,7432,26,337,637,2743,904,407,190,38,7,5296,0,29,26,247,105,65,24,22,6,524,136,523,702,2027,676,603,510,161,30,5370
3RQLD,3,0,0,19,26,103,276,234,69,742,0,4,27,126,53,81,79,40,22,439,0,9,22,224,62,44,31,15,7,407,9,92,520,1434,35,26,7,0,0,2121,5,41,88,414,346,491,1116,768,303,3566,241,2050,3953,12835,9430,9473,7063,3048,828,48920,0,0,4,52,39,59,32,15,12,209,12,74,62,331,62,37,17,8,3,609,23,192,467,1180,1280,852,503,103,28,4629,82,885,1346,6294,2958,2730,1645,361,54,16355,6,26,21,445,207,192,343,147,68,1447,0,15,32,119,103,84,83,31,3,471,3,126,199,775,727,1171,1292,872,281,5450,18,111,112,337,264,245,189,31,11,1321,79,698,1314,3661,2439,1718,1010,477,134,11522,24,111,163,616,227,172,155,68,24,1551,16,78,132,1613,218,131,101,24,12,2322,36,268,371,2221,1186,529,171,37,4,4828,11,16,9,105,89,59,48,29,5,371,64,379,469,1770,652,729,710,258,55,5091
