GCCSA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1GSYD,1678,10624,71321,369347,399278,127330,29469,11587,1020631,741,5781,29363,34687,6344,997,237,1261,79402,598,8444,32559,77608,28571,4080,757,1983,154597,1337,14220,61926,112291,34916,5071,998,3239,234000,2463,20089,51032,16033,1793,373,212,1818,93811,2641,23191,104295,21178,978,114,122,2224,154743,3964,40932,110525,27317,1017,141,79,2414,186397,3344,34569,63043,15371,600,43,50,1594,118617,144,1229,3470,1676,1002,485,191,228,8420,12549,120016,332369,81578,5391,1161,652,8273,561988,395,2101,3379,1622,346,99,51,214,8216,232,892,1212,632,419,163,73,393,4023,16194,147857,470207,565467,440351,133837,31239,23713,1828859
1RNSW,2490,14612,94760,387751,297093,59165,13509,12720,882102,293,6848,36716,21282,1977,238,106,1770,69231,104,3259,12946,17663,2368,300,101,598,37349,403,10107,49657,38945,4352,544,211,2366,106581,600,9313,21668,5882,661,118,107,1117,39466,98,1611,7263,1713,68,22,12,211,10994,102,1699,6216,2460,107,11,16,169,10772,46,795,2450,1265,67,8,3,46,4681,56,519,699,421,275,87,37,43,2129,898,13939,38294,11745,1180,242,166,1582,68041,894,3536,3775,1419,522,151,93,766,11158,170,736,883,793,415,135,117,476,3733,4851,42938,187372,440653,303562,60237,14088,17909,1071609
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1127,7142,90970,548257,447873,84164,14125,14245,1207906,346,11211,80073,54872,10690,1063,241,2525,161025,193,3540,35724,64322,19744,2279,352,1350,127502,540,14750,115797,119190,30438,3340,591,3873,288524,959,19045,46768,16293,1878,202,125,1373,86637,855,15926,30282,4705,277,48,34,669,52803,1014,20343,35429,4960,251,24,26,696,62741,1306,24154,40356,7254,254,23,38,939,74322,26,281,308,174,123,51,22,26,1008,4153,79751,153141,33380,2777,351,248,3703,277512,209,1819,2202,897,218,50,20,141,5565,60,354,501,455,247,45,34,141,1837,6095,103819,362606,702182,481561,87952,15022,22106,1781346
2RVIC,933,6841,62130,278317,163818,22657,4495,8325,547518,200,6726,21857,7292,989,98,47,1229,38437,28,427,1750,2383,527,63,24,86,5284,228,7154,23609,9671,1521,158,75,1314,43726,87,2653,5903,1358,103,13,21,313,10448,17,139,253,58,10,3,0,7,489,3,92,199,40,7,0,0,4,346,0,26,68,44,9,0,3,0,149,3,64,42,29,19,6,0,7,166,103,2975,6468,1533,144,28,24,330,11604,397,1614,1572,643,268,42,41,322,4898,42,186,239,314,183,39,50,88,1142,1705,18770,94018,290474,165922,22924,4679,10385,608887
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,825,5479,38338,251669,282728,67735,14899,7562,669242,247,4003,14325,11273,1409,79,35,812,32191,183,3182,17036,44782,4780,245,95,1052,71362,424,7188,31365,56058,6191,324,138,1865,103557,637,9669,17172,6328,705,127,93,778,35505,420,4479,24234,4892,256,33,45,547,34907,460,6280,17970,5546,287,29,16,459,31050,399,9773,15603,4344,262,14,16,327,30739,34,394,728,244,126,77,44,38,1690,1956,30592,75699,21358,1635,286,216,2154,133894,405,1709,844,227,109,22,13,328,3665,87,388,393,351,198,45,34,194,1686,3703,45366,146636,329657,290869,68410,15293,12106,912040
3RQLD,2312,11747,61538,301444,278245,50231,12174,10989,728682,368,4960,31203,19104,1861,197,91,1437,59220,228,3367,17644,28970,4141,309,120,993,55778,598,8327,48848,48075,5995,506,210,2428,114991,569,6462,21249,6828,686,102,68,1050,37020,151,3611,15211,3919,215,25,24,419,23575,132,2788,10605,4602,290,17,15,242,18694,304,3817,10610,4125,236,16,6,329,19433,28,218,296,155,97,53,29,33,912,1194,16893,57970,19623,1528,222,133,2072,99634,1492,4003,1795,931,470,78,92,984,9851,264,981,954,937,469,123,120,421,4262,5855,41954,171104,371012,286710,51152,12735,16891,957416
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4GADE,288,2764,32806,232295,108860,18123,3268,3733,402136,178,5258,30663,23861,2373,248,80,1135,63801,28,902,7240,13100,1962,234,36,241,23740,208,6158,37902,36956,4333,486,118,1374,87535,171,5378,20309,3306,173,28,27,458,29848,58,605,3095,512,22,0,5,55,4352,74,1096,3596,732,38,0,0,63,5599,65,1149,1940,471,10,4,0,37,3677,5,72,86,66,29,14,5,7,289,373,8291,29023,5089,275,54,38,622,43766,135,492,363,210,60,13,9,69,1356,59,230,298,382,149,18,27,82,1252,1061,17932,100401,274934,113686,18697,3458,5876,536048
4RSAU,337,2458,17441,73730,35065,4852,949,2039,136865,35,1177,4563,5845,436,86,60,367,12586,0,24,104,279,94,18,3,4,522,39,1205,4668,6121,527,102,64,373,13105,30,651,1790,445,42,4,6,94,3059,0,35,54,14,6,0,0,0,109,0,0,20,10,0,0,0,0,35,0,0,0,0,0,0,0,0,3,0,7,12,26,9,0,0,6,54,34,691,1883,498,47,6,6,98,3262,145,501,255,268,101,26,10,103,1408,29,111,132,188,81,13,11,62,627,578,4960,24376,80806,35811,5005,1047,2685,155264
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,446,3635,28866,219565,297348,42065,7258,6271,605453,119,5582,26437,41374,3920,336,148,1433,79348,79,2165,9094,15573,3247,335,108,377,30979,199,7746,35536,56950,7166,672,255,1804,110325,120,4091,10886,3125,243,24,35,370,18894,194,4028,8062,1794,74,6,8,211,14370,222,4971,8220,2403,92,4,10,194,16121,128,2201,5201,1595,60,3,6,97,9300,16,208,262,118,107,42,33,19,808,678,15501,32628,9040,573,81,95,897,59492,204,883,905,252,109,27,14,138,2537,21,109,165,202,137,23,19,138,820,1552,27874,98096,286008,305335,42868,7640,9246,778620
5RWAU,406,2918,15044,68920,63545,8214,1871,2667,163583,63,1894,5522,4272,579,49,28,436,12837,14,203,625,987,350,51,5,47,2285,76,2095,6146,5257,925,98,36,484,15123,23,629,941,404,47,5,14,81,2147,0,67,174,49,5,0,0,0,293,0,38,83,35,0,0,0,3,155,0,67,71,27,4,0,0,0,169,3,26,30,16,11,4,4,3,108,27,823,1306,531,64,10,21,94,2871,439,1296,646,360,228,44,33,278,3325,54,232,221,239,181,53,73,148,1207,1003,7357,23360,75316,64948,8415,2032,3669,186111
