GCCSA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
1GSYD,348,3914,29,4298,139889,8052,152229,2535,3228,68,5830,158961,11704,176492,66886,4878,761,72534,299300,29293,401126,193395,3546,1736,198678,163100,23719,385497,121167,3951,1111,126228,183459,17099,326780,24103,11065,347,35520,233357,13800,282673,3943,17603,170,21712,176707,10449,208867,584,4208,38,4825,102227,8451,115498,78,224,0,301,34667,5857,40821,413041,52620,4263,469924,1491654,128413,2089990,522,6764,51,7338,128025,7164,142533,6443,5787,200,12430,144522,9615,166569,115187,7971,1972,125129,259500,25560,410190,237205,5557,3211,245973,125845,20433,392253,119670,9333,1562,130562,194990,14837,340388,11749,30818,596,43162,241038,12296,296496,2833,30372,401,33606,186066,10927,230601,588,5175,77,5835,117481,10697,134013,88,301,8,395,52710,11803,64908,494286,102078,8071,604430,1450186,123331,2177951,873,10685,78,11638,267914,15216,294764,8976,9014,274,18264,303482,21320,343064,182075,12846,2735,197663,558803,54850,811314,430602,9107,4942,444654,288942,44151,777748,240829,13286,2673,256789,378448,31936,667167,35852,41884,942,78683,474393,26094,579166,6778,47977,571,55321,362773,21374,439467,1170,9379,109,10662,219709,19146,249517,163,519,11,692
1RNSW,307,3201,23,3530,72994,7138,83664,3171,2187,98,5453,65699,6753,77907,44436,3817,1239,49497,97697,14702,161894,82163,3112,2534,87808,56578,13187,157579,50075,5180,1377,56638,100167,12568,169368,9524,14505,304,24330,148460,12265,185056,1655,16958,100,18710,141669,11117,171497,324,3458,21,3810,83959,7876,95647,39,196,0,240,25882,4109,30234,191709,52615,5695,250018,793114,89725,1132855,675,5815,58,6551,66080,6305,78934,6915,4515,375,11807,57375,5206,74384,68045,6528,3631,78203,77221,11204,166628,101195,4895,5199,111294,44128,10563,165984,48585,12842,2005,63434,105086,10218,178733,4297,35122,366,39782,145539,10580,195902,1111,26704,156,27969,138412,10326,176704,279,4504,28,4816,91733,9543,106086,58,283,9,349,40101,7428,47884,231165,101211,11822,344201,765674,81368,1191247,984,9014,81,10085,139077,13438,162601,10087,6700,469,17258,123074,11964,152295,112479,10350,4867,127696,174918,25903,328523,183361,8008,7738,199103,100711,23750,323565,98667,18021,3382,120074,205248,22782,348104,13818,49632,667,64114,294003,22845,380961,2762,43656,254,46673,280090,21442,348204,612,7959,46,8623,175686,17421,201734,98,481,12,591
19499,0,3,0,4,151,94,253,15,10,0,22,252,135,411,117,17,5,138,605,415,1164,147,15,11,178,443,495,1108,94,23,0,121,451,439,1010,8,24,0,29,600,311,949,5,27,0,29,485,137,648,0,7,0,7,129,32,166,0,0,0,0,10,4,19,388,118,20,532,3126,2068,5734,8,22,0,24,164,89,279,44,9,0,58,229,134,418,152,32,7,191,505,334,1022,151,11,11,171,291,286,749,70,33,0,101,359,206,666,4,64,0,73,480,147,698,0,39,0,36,306,61,404,0,3,0,3,78,24,104,0,0,0,0,19,12,32,430,210,19,658,2430,1295,4381,5,24,0,31,317,182,532,57,24,0,83,480,269,829,270,46,11,332,1109,751,2187,300,23,18,345,731,781,1859,170,56,0,221,812,646,1678,10,91,3,100,1085,464,1648,5,62,0,67,789,194,1055,0,8,0,10,206,59,277,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,344,4233,40,4619,129150,7101,140865,1904,3445,64,5411,152676,10365,168453,63032,6145,929,70102,293717,26776,390596,183339,4185,2521,190042,153333,20521,363898,112812,4273,1457,118544,172756,15045,306343,20642,13991,339,34975,210062,11590,256625,3392,25629,171,29190,152021,8982,190191,577,6530,39,7144,93225,7022,107396,67,322,7,397,34131,3962,38491,386100,68751,5574,460428,1391069,111367,1962857,469,7158,43,7674,119630,6532,133838,4740,6828,229,11796,139774,8517,160090,106084,11706,2857,120648,254700,22752,398093,219711,7807,6035,233551,120172,17483,371203,111442,11473,2515,125426,184025,13313,322760,10649,41435,660,52746,209738,10872,273358,2848,44601,353,47800,157236,9793,214827,652,7566,84,8305,110689,8614,127601,113,364,8,482,53653,7400,61530,456711,138931,12779,608418,1349610,105277,2063309,815,11396,87,12292,248776,13628,274698,6646,10274,290,17210,292444,18887,328543,169117,17851,3786,190751,548419,49524,788689,403051,11993,8554,423593,273501,38009,735102,224254,15747,3971,243971,356779,28360,629107,31291,55422,1004,87711,419805,22461,529975,6238,70229,527,76995,309260,18775,405027,1229,14095,120,15448,203914,15633,234998,180,689,11,878
2RVIC,160,1661,10,1830,39853,3729,45414,1440,1212,34,2688,35858,3192,41733,24405,2156,603,27168,56644,7642,91461,47042,1527,1197,49772,30932,7093,87790,29383,2557,556,32498,55604,6964,95064,5286,7743,125,13155,83841,6960,103961,970,9894,39,10901,80629,6911,98445,169,1956,9,2136,45637,4666,52439,8,96,0,108,14102,2305,16515,108865,28805,2588,140259,443106,49466,632831,288,3005,18,3313,35856,3449,42621,3068,2417,172,5655,31151,2581,39392,36443,3879,1969,42292,45231,5996,93516,57174,2691,2824,62690,25510,5897,94090,28530,6588,1031,36144,59351,5814,101314,2594,20079,235,22906,82492,6125,111524,651,16270,81,17005,78156,6315,101472,170,2462,10,2644,49128,5444,57215,28,147,0,176,21808,3916,25907,128944,57542,6348,192831,428684,45539,667057,444,4662,33,5149,75713,7187,88042,4508,3632,205,8344,67010,5769,81124,60849,6039,2575,69461,101875,13644,184984,104217,4222,4018,112457,56437,12985,181883,57916,9143,1586,68642,114955,12781,196379,7880,27825,362,36058,166335,13088,215485,1618,26166,124,27908,158784,13227,199919,344,4416,20,4782,94767,10108,109653,39,240,6,286
29499,0,8,0,10,133,94,234,12,7,0,20,199,128,345,99,15,7,118,433,385,939,132,16,4,158,324,523,1008,64,11,0,77,374,463,912,11,12,0,23,327,294,644,0,26,0,27,231,135,392,0,0,0,0,61,29,90,0,0,0,0,4,11,15,319,104,16,432,2082,2059,4576,3,14,0,19,125,84,229,28,17,5,46,187,91,321,157,34,10,202,372,306,878,135,25,3,166,219,345,730,52,18,0,74,227,181,479,6,45,0,51,262,117,429,0,23,0,24,128,62,224,0,3,0,3,42,7,58,0,0,0,0,12,10,19,376,181,25,583,1582,1205,3373,9,28,0,33,251,174,459,38,25,5,63,389,216,671,252,49,16,315,806,691,1819,261,43,12,321,545,870,1736,115,31,9,152,600,644,1393,15,58,0,74,591,403,1074,3,48,0,49,364,196,613,0,10,0,10,107,40,152,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,3,7,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,6,9,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3GBRI,308,3229,20,3551,72591,4192,80337,2778,2392,92,5260,76626,6000,87883,40146,3748,1030,44922,124764,14160,183841,89507,2951,2120,94586,70239,11306,176133,53958,3945,1040,58942,92661,8947,160551,8988,9100,173,18265,107898,6495,132656,1524,12326,74,13925,83208,4912,102051,215,2936,21,3173,47366,3410,53955,18,127,0,142,14129,1843,16110,197440,40749,4568,242762,689485,61270,993517,529,5646,48,6228,66638,3917,76779,5622,4439,312,10371,71433,4951,86761,62625,6619,2648,71892,107230,11109,190232,110357,4908,4184,119449,56012,8748,184205,51806,9494,1742,63040,98574,6893,168506,4064,23388,326,27776,107913,5461,141143,992,21013,145,22152,85137,4831,112118,217,3577,28,3827,53895,4345,62066,38,181,3,222,22752,3795,26771,236238,79265,9430,324943,669585,54055,1048582,842,8875,67,9779,139229,8111,157117,8400,6829,403,15627,148058,10954,174643,102766,10372,3672,116811,231991,25267,374070,199868,7856,6308,214031,126252,20054,360339,105768,13439,2778,121977,191233,15839,329053,13050,32489,497,46039,215804,11959,273801,2517,33338,225,36075,168348,9743,214163,431,6518,45,6998,101264,7756,116022,49,303,7,359
3RQLD,345,3372,35,3758,69418,6737,79911,3106,2129,105,5341,61247,7967,74553,39703,3661,1198,44569,96168,18156,158891,77197,3139,2291,82629,58652,15732,157012,47426,4916,1288,53628,98133,15456,167212,9078,10697,261,20032,131733,13435,165201,1620,11871,63,13556,118292,10251,142094,300,2665,12,2980,67339,6513,76828,23,126,0,155,18746,2976,21880,178808,42579,5257,226647,719727,97213,1043585,697,5884,70,6656,63346,5910,75915,6734,4216,383,11331,56013,6251,73598,62692,6389,3489,72568,79518,13978,166061,98186,5084,5014,108283,48167,11876,168330,46768,11683,1904,60352,104020,11522,175891,3948,27468,284,31701,131516,10606,173823,913,20372,127,21410,114664,8992,145075,257,3346,26,3634,70639,7428,81697,43,205,4,252,26983,5093,32328,220244,84640,11303,316186,694872,81666,1092718,1045,9258,111,10414,132763,12649,155824,9842,6341,486,16669,117260,14220,148151,102396,10050,4688,117137,175684,32132,324954,175381,8220,7308,190912,106820,27614,325336,94193,16599,3192,113979,202150,26971,343100,13024,38165,540,51736,263251,24038,339019,2534,32237,192,34966,232961,19243,287170,558,6010,39,6615,137980,13936,158531,67,331,0,408
