GCCSA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
1GSYD,2585238,2645912,5231147,160794,151568,312364,334457,316384,650843,152229,142533,294764,176492,166569,343064,401126,410190,811314,385497,392253,777748,326780,340388,667167,282673,296496,579166,208867,230601,439467,115498,134013,249517,40821,64908,105729,2518026,2579898,5097920,67214,66011,133224,43085,44049,87140,1013,965,1979,877,943,1821,44979,45959,90939,1482743,1488045,2970785,981239,1039847,2021079,1499054,1496187,2995240,945213,1012194,1957409,2085655,2141033,4226691,47988,45080,93070,313610,297343,610955,123343,120898,244240,81338,82726,164062,102259,144603,246866,1338608,1414671,2753279,109984,100181,210168,328674,328639,657316,89217,92372,181586,68259,78992,147253,27247,36218,63459,2428194,2492251,4920442,146871,142913,289789
1RNSW,1392556,1437081,2829637,79655,75571,155229,180036,170267,350305,83664,78934,162601,77907,74384,152295,161894,166628,328523,157579,165984,323565,169368,178733,348104,185056,195902,380961,171497,176704,348204,95647,106086,201734,30234,47884,78115,1329698,1381717,2711414,62853,55368,118221,88863,89886,178748,1626,1500,3127,2000,1990,3995,92491,93386,185873,1134051,1166840,2300890,165367,178586,343955,1205367,1250953,2456315,89750,97775,187528,1236274,1286495,2522771,24201,23234,47437,165789,156899,322684,56714,57159,113871,21067,26487,47557,32873,61226,94098,459361,541085,1000447,87877,84159,172031,335935,329625,665563,94775,93883,188657,55320,49345,104663,5155,5140,10299,1270615,1325379,2595993,128673,117597,246273
19499,6375,4997,11371,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,0,0,0,6375,4997,11371,670,510,1175,11,7,20,24,11,35,712,527,1236,3314,2601,5912,971,936,1908,3530,2889,6417,576,579,1150,3621,2947,6569,33,29,65,210,218,425,78,108,188,59,75,130,121,208,337,1648,1674,3320,293,234,526,1083,798,1883,351,226,576,225,103,332,41,28,75,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,32
2GMEL,2420718,2497033,4917750,149255,141400,290649,308606,292330,600934,140865,133838,274698,168453,160090,328543,390596,398093,788689,363898,371203,735102,306343,322760,629107,256625,273358,529975,190191,214827,405027,107396,127601,234998,38491,61530,100021,2356096,2431254,4787350,64627,65776,130400,15603,15303,30908,609,518,1128,460,456,915,16672,16281,32952,1460481,1486667,2947151,851357,904272,1755627,1488434,1514580,3003007,812250,866235,1678483,1960768,2026896,3987668,44764,42252,87014,290254,275258,565517,116824,115560,232392,80141,82904,163044,96460,137840,234306,1240032,1350676,2590704,195925,184721,380643,221425,196823,418249,92832,88014,180848,78299,99410,177704,25616,34052,59666,2276623,2351077,4627697,131136,131153,262286
2RVIC,775038,801575,1576613,43195,41636,84837,99014,92883,191896,45414,42621,88042,41733,39392,81124,91461,93516,184984,87790,94090,181883,95064,101314,196379,103961,111524,215485,98445,101472,199919,52439,57215,109653,16515,25907,42424,739500,769260,1508761,35541,32311,67854,15054,15460,30516,498,451,943,385,386,779,15946,16293,32234,627308,649939,1277245,94924,99885,194810,667054,695240,1362298,54708,57609,112318,683698,713752,1397449,12412,11938,24346,91187,85870,177053,32286,32500,64792,10809,13774,24582,16350,31721,48071,257263,321487,578750,102309,99833,202138,128585,109227,237814,54899,47735,102635,35777,34477,70257,3966,3731,7692,704134,734721,1438858,66717,63869,130588
29499,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
29799,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
3GBRI,1242349,1283890,2526238,77426,73074,150503,171405,162237,333644,80337,76779,157117,87883,86761,174643,183841,190232,374070,176133,184205,360339,160551,168506,329053,132656,141143,273801,102051,112118,214163,53955,62066,116022,16110,26771,42879,1197815,1246454,2444265,44537,37443,81972,33591,34841,68437,1995,1957,3957,2246,2298,4549,37841,39103,76942,854070,872591,1726655,330356,356368,686727,963635,988890,1952518,211937,235737,447672,1037135,1074954,2112082,21958,20677,42631,160765,152625,313392,59579,61220,120800,30642,36711,67350,43750,70390,114141,602189,651662,1253849,70070,66013,136078,181223,189104,370325,43937,41131,85073,32610,37129,69741,6496,7675,14171,1158609,1209886,2368502,74008,70608,144615
3RQLD,1290035,1325000,2615036,73003,68446,141447,173452,163840,337289,79911,75915,155824,74553,73598,148151,158891,166061,324954,157012,168330,325336,167212,175891,343100,165201,173823,339019,142094,145075,287170,76828,81697,158531,21880,32328,54209,1215996,1269784,2485781,74039,55216,129255,61121,62825,123942,8795,8944,17743,8693,8797,17488,78608,80571,159179,962408,981906,1944312,226177,254491,480666,1077651,1111035,2188689,107600,125401,232997,1090166,1130060,2220228,19450,18345,37801,158848,150658,309501,52113,54490,106604,16315,22978,39292,30671,59752,90426,485397,561129,1046527,88662,86417,175077,259583,256504,516085,61294,54687,115982,47938,44139,92076,4760,4774,9533,1152496,1212993,2365486,172794,143994,316787
