GCCSA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1GSYD,388,3263,3530,17106,3473,2045,942,219,48,31025,6,41,145,647,1110,822,475,202,94,3536,337,3242,6789,38102,15566,14354,9785,2465,701,91339,21,130,161,3581,1599,1845,2626,993,719,11669,24,436,902,2463,2035,2018,1050,304,49,9288,25,309,536,3412,2816,3588,3433,2420,843,17387,257,1841,1732,3836,1866,1567,1455,505,144,13204,204,1918,3017,12608,8540,5989,4420,2190,677,39564,105,843,1671,10385,5050,5024,3532,1593,582,28787,107,429,721,7427,1688,1074,1292,273,39,13051,142,863,1922,16364,3776,2001,1012,210,38,26330,50,346,378,3920,3144,2958,1756,1054,211,13826,891,3221,3018,9488,3590,2894,1844,805,162,25903,268,2034,6451,27756,20783,19929,11533,3474,1556,93778,11,103,145,1345,926,847,684,516,143,4708,13,125,605,1948,1191,817,342,122,31,5191,1387,10372,13672,77299,34500,31474,25973,16915,6809,218397,12339,27089,28230,79025,27353,23178,18807,14297,8957,239286,312364,650843,637826,1589063,667167,579166,439467,249517,105729,5231147
1RNSW,62,261,295,1813,203,106,94,21,4,2863,9,47,91,359,656,510,248,44,14,1983,147,1207,1421,6439,2476,2091,1374,324,59,15537,3,14,20,424,231,318,627,303,199,2150,0,35,97,316,162,132,78,30,10,853,17,159,243,859,1052,2254,2835,2140,690,10240,29,172,138,309,295,235,188,72,6,1453,76,602,860,3058,2003,1442,1316,616,142,10124,20,194,189,1151,402,295,225,117,34,2627,15,55,73,1074,101,75,40,8,0,1452,53,445,595,2356,1068,529,190,39,9,5286,23,41,31,289,326,310,148,133,20,1318,173,687,756,2615,1208,1330,1444,552,93,8856,39,284,441,1889,711,461,264,71,25,4183,4,45,90,331,407,651,668,460,194,2851,6,96,217,717,486,335,250,59,11,2189,331,1965,2342,10810,5195,5809,6091,4593,1832,38970,7871,20706,19380,41611,21795,24701,23530,16801,8403,184790,155229,350305,314893,652089,348104,380961,348204,201734,78115,2829637
19499,0,0,0,10,0,0,0,0,0,14,0,0,0,6,3,3,0,0,0,16,0,6,8,32,6,6,3,3,0,50,0,0,0,7,4,0,3,0,0,14,0,0,0,0,0,0,3,0,0,4,0,0,0,3,9,9,7,0,0,35,0,0,0,4,0,0,3,0,0,10,0,0,9,19,10,13,11,0,0,55,0,0,0,7,0,0,0,0,0,12,0,0,0,38,0,0,0,0,0,43,0,0,0,10,6,6,0,0,0,12,0,0,0,0,0,0,3,0,0,10,7,6,6,27,15,0,4,0,0,64,0,0,3,16,11,5,3,0,0,34,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,14,28,117,37,26,24,13,3,260,172,340,422,1386,559,435,176,54,13,3545,460,798,1357,4044,1678,1648,1055,277,49,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,441,3450,3753,17173,2379,1089,605,141,29,29067,4,49,118,539,750,384,139,30,9,2023,262,2762,5942,26134,10194,7644,4553,1151,289,58935,13,72,147,2660,1575,2404,3486,1548,1154,13052,22,438,880,2200,1568,1328,581,152,28,7200,28,328,688,3591,2687,4002,4060,2999,1153,19539,201,1885,2569,6025,2566,1900,1406,424,112,17087,138,1317,2506,8977,5828,3815,2733,1341,403,27056,225,2439,5839,27976,10300,8440,6187,2774,975,65152,79,333,588,5825,1030,697,676,107,21,9362,161,1346,2561,9538,2268,941,406,112,24,17360,50,341,505,4603,4342,4177,2205,1243,262,17716,627,2418,2549,7615,2778,2094,1488,552,111,20231,270,2123,6639,29347,19755,17978,10177,2979,1272,90552,3,79,149,895,632,695,598,399,170,3623,17,138,624,2418,984,564,251,72,9,5075,1212,8960,14873,68289,29461,25810,21722,14300,6207,190830,10666,23360,24599,70184,25441,21259,17982,13602,7877,214972,290649,600934,603243,1523791,629107,529975,405027,234998,100021,4917750
2RVIC,28,261,277,1070,133,46,30,6,0,1854,0,19,31,134,283,133,71,14,3,688,90,697,907,4361,1490,1084,688,141,15,9480,0,6,13,217,145,165,324,149,124,1140,3,15,66,282,64,46,30,12,0,512,3,79,108,617,598,1333,1768,1319,377,6208,8,73,89,243,175,143,104,16,3,853,43,262,419,1272,843,655,459,197,44,4186,25,146,260,1495,368,239,222,100,28,2883,19,29,75,1130,46,28,13,8,0,1348,38,538,806,1511,473,238,76,11,0,3690,0,25,22,208,243,218,123,92,12,946,58,277,307,1035,558,532,693,207,21,3691,28,198,257,1441,504,384,156,32,10,3011,0,31,30,147,171,272,320,200,54,1229,0,36,88,389,198,126,95,23,8,967,160,1019,1321,5374,2532,2948,3131,2348,924,19762,4074,11056,9815,23215,12957,14737,14204,9775,4709,104552,84837,191896,169167,366862,196379,215485,199919,109653,42424,1576613
29499,0,0,3,9,5,0,0,0,0,22,0,0,0,4,0,0,0,0,0,4,0,6,3,24,11,3,0,0,0,46,0,0,0,4,0,0,3,0,0,10,0,0,0,0,0,3,0,0,0,6,0,0,0,5,10,7,3,0,0,26,0,3,0,9,3,0,0,0,0,12,0,0,5,12,8,9,0,0,0,28,0,0,0,14,8,4,0,0,0,33,0,0,3,16,0,0,0,0,0,15,0,0,6,8,0,0,0,0,0,13,0,0,0,8,3,3,4,0,0,25,3,6,4,18,9,0,0,0,0,36,0,0,6,13,5,10,3,0,0,38,0,0,0,5,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,5,3,18,32,105,31,18,17,3,3,233,146,300,363,1421,586,371,178,34,11,3416,414,730,1131,3553,1393,1074,613,152,29,9089
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,9,0,0,0,27,0,0,0,17,3,14,4,0,0,38
3GBRI,57,612,596,2723,479,242,146,29,9,4897,26,315,981,2268,2406,1677,926,323,128,9044,140,1552,3172,11600,5039,3664,2056,554,138,27907,9,33,57,1047,458,527,672,281,175,3261,21,353,690,2287,1684,1665,971,314,41,8032,24,330,604,2062,1950,2511,2349,1565,556,11956,75,476,738,1805,852,595,465,129,26,5171,125,1586,3320,9481,5597,3618,2079,889,229,26918,41,407,842,3330,1454,1237,887,426,129,8748,123,534,920,7149,1457,1167,1157,272,42,12826,57,639,1202,3783,1074,484,229,46,8,7521,4,56,59,583,256,182,53,42,5,1247,266,1079,1427,3649,1450,1250,985,365,64,10530,87,693,1734,6499,4534,3588,2208,689,279,20308,7,113,239,662,604,543,475,331,93,3065,5,94,501,2007,1117,969,506,123,30,5348,607,4742,7961,30014,11169,9139,7007,3949,1426,76014,5738,13258,14339,35122,13474,11145,9323,6600,3854,112860,150503,333644,331761,734411,329053,273801,214163,116022,42879,2526238
3RQLD,17,162,184,845,147,104,40,15,4,1517,25,406,903,1999,2177,1500,796,149,45,8003,165,1749,2561,9251,4248,3242,1841,414,78,23549,3,49,50,699,341,336,609,259,118,2466,0,24,75,381,192,163,133,55,12,1027,16,265,386,1519,1454,2280,2570,1722,525,10742,38,225,215,633,471,391,296,74,17,2361,157,1469,2585,7138,4750,3447,2065,872,219,22699,34,229,319,1299,509,363,305,157,43,3252,39,176,272,2469,334,204,171,49,10,3732,68,551,699,2829,1326,596,204,39,9,6334,21,33,25,255,195,168,100,59,10,876,152,756,898,2981,1279,1433,1469,579,128,9680,23,291,537,1840,755,384,221,44,11,4119,3,101,179,656,503,573,572,406,112,3095,5,97,423,1410,1061,951,565,174,42,4735,366,2473,3631,16717,6971,6843,6274,4271,1433,48972,7648,19733,21438,52580,25692,24585,19672,12843,5871,190060,141447,337289,303971,650291,343100,339019,287170,158531,54209,2615036
