GCCSA_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
1GSYD,38492,139738,309282,294950,216469,160232,110547,47248,12922,1329874,5666,9261,16195,14577,14326,12161,7289,3943,1155,84564,11087,12985,36106,38485,59516,68511,43461,24743,7387,302271,2114,2052,5467,6866,9213,11397,14510,10644,3742,66013,440,676,3271,4750,6454,10289,15240,14088,6710,61911,130,703,3326,3358,3817,5297,4874,3701,2018,27214,6560,10504,26895,22109,16547,14389,12616,10993,6837,127454,64494,175918,400539,385088,326341,282268,208537,115351,40763,1999298,41658,141490,340328,320603,238575,165896,101638,41556,13682,1405425,3816,6264,12603,12014,13776,11792,7859,4634,1682,74435,5774,7712,24170,27628,54176,73487,60885,35638,13689,303162,1089,1098,3909,5247,7866,12297,18737,13722,7127,71090,259,430,2199,3778,6257,12135,19917,18252,11126,74353,91,459,2660,3081,4726,7111,7373,6370,4325,36193,5824,8685,23909,19511,14578,13274,13759,13622,13205,126365,58516,166132,409772,391843,339960,295992,230177,133799,64836,2091023,80152,281229,649610,615550,455042,326128,212184,88806,26602,2735296,9475,15531,28794,26585,28103,23951,15145,8578,2842,159000,16859,20692,60274,66109,113690,141996,104352,60387,21074,605430,3204,3144,9377,12115,17082,23695,33248,24371,10861,137101
1RNSW,14189,46945,90903,85391,73035,57602,57289,24958,6198,456513,5910,8650,13214,12546,12520,11166,8540,4248,1076,77862,11229,12929,35977,37392,57523,79587,55022,27576,6668,323898,2644,2197,4922,5952,8886,14637,21908,15321,4680,81144,648,532,1890,2566,3846,7961,14612,12435,6044,50536,81,150,568,591,692,852,975,824,416,5137,5375,6394,14332,13074,12760,13155,13086,10226,5137,93549,40076,77801,161799,157504,169264,184964,171426,95592,30218,1088641,17334,52987,113841,110291,92928,70329,50880,22412,6720,537721,4055,6225,10914,10992,12860,12709,8800,4877,1488,72915,7003,8458,25308,27475,51810,79891,67680,37164,12327,317120,1658,1283,3915,4554,7590,14243,23252,16524,8264,81283,367,328,1207,1662,2544,6356,12358,11708,9115,45653,61,113,468,529,634,778,912,924,717,5131,4812,4875,10895,10402,10271,11521,12728,12433,9227,87164,35299,74267,166545,165903,178637,195825,176609,106036,47860,1146984,31526,99931,204744,195678,165970,127927,108169,47369,12915,994237,9961,14875,24119,23537,25382,23875,17335,9125,2561,150774,18227,21381,61285,64862,109330,159479,122693,64743,18997,641012,4301,3477,8836,10505,16474,28881,45155,31850,12943,162425
19499,38,163,445,306,253,207,183,36,4,1641,13,30,56,38,47,44,37,10,0,278,35,45,155,167,162,276,168,44,4,1064,12,9,51,54,53,60,68,13,0,332,5,10,27,34,39,33,56,19,0,220,0,0,7,11,3,10,3,3,0,41,89,140,414,489,449,313,141,44,10,2093,198,407,1164,1108,1009,947,648,166,19,5674,50,203,504,286,247,230,115,27,4,1665,14,30,35,37,37,46,14,3,0,220,37,42,92,84,123,216,128,28,12,771,22,10,35,26,25,40,42,5,0,208,6,0,8,12,21,11,24,11,0,103,0,0,4,3,9,3,7,0,4,28,88,129,337,295,206,153,72,22,14,1314,213,417,1025,748,666,698,404,104,32,4305,81,369,954,594,503,437,296,65,11,3309,30,58,91,81,78,92,49,16,0,503,74,90,252,254,284,493,298,79,14,1835,32,19,87,81,83,101,110,21,0,542
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,34031,136608,304967,280526,196961,134832,94241,40205,11107,1233484,5457,9997,22750,21060,37971,41291,22451,8681,2326,171979,5974,8688,25447,27257,36170,41219,29455,16745,4924,195880,1835,1933,6524,7637,10753,13565,13960,9922,3278,69412,809,1038,3892,5268,6004,8927,14883,18773,9664,69257,186,849,3387,3553,3737,4319,4062,3585,1903,25583,5624,8930,23202,18220,14424,12210,10916,9388,5256,108166,53923,168048,390163,363529,306011,256364,189975,107299,38459,1873773,37078,138827,336647,309873,230268,151143,91745,35844,12483,1343920,3200,6191,15439,14510,33074,43669,27704,12137,4010,159934,3032,4863,15144,16569,26706,37036,37754,22339,8535,171987,953,1082,3750,5007,8181,12896,16841,11899,5828,66432,436,669,2928,4600,6499,10666,22085,27495,16696,92076,126,570,2859,3699,4643,5939,6087,6057,4041,34019,5113,7534,21010,16644,13068,11678,12351,11714,9898,109008,49943,159737,397778,370889,322444,273030,214572,127496,61486,1977375,71113,275443,641610,590401,427235,285981,185987,76046,23592,2577404,8661,16189,38182,35568,71043,84962,50155,20816,6331,331913,9003,13557,40595,43830,62877,78260,67205,39085,13454,367865,2790,3016,10278,12642,18929,26454,30800,21823,9108,135847
2RVIC,7666,26596,53989,49474,40562,30737,31295,12527,2921,255774,3325,5597,11397,10738,18962,23984,16245,5001,1101,96348,3965,4835,13839,14718,19540,27354,23203,11181,2585,121224,1246,1114,3522,4170,6168,9708,11480,7916,2119,47440,554,480,1584,1881,2277,3963,7709,9311,4598,32353,61,170,580,573,675,653,535,472,235,3961,2676,2848,6478,6186,6835,7505,7936,5999,2943,49417,19495,41642,91382,87741,95014,103909,98409,52411,16508,606513,9004,29532,67958,67115,56614,43134,31206,11573,3707,319848,1846,3318,7851,7927,17708,26533,18716,7187,1849,92932,2068,2912,8459,9147,14380,22588,24434,13433,4339,101750,689,637,2030,2341,4313,8459,11265,7574,3368,40668,304,292,948,1105,1612,3299,7423,9655,6931,31575,36,126,425,501,602,588,554,536,361,3723,2506,2467,5805,5904,6019,6866,7843,7237,5339,49991,16451,39290,93484,94030,101250,111474,101435,57187,25888,640489,16672,56133,121949,116589,97181,73878,62503,24100,6626,575622,5175,8916,19247,18670,36667,50517,34960,12188,2950,189276,6031,7748,22293,23863,33915,49942,47642,24609,6928,222975,1934,1751,5554,6504,10478,18168,22743,15494,5489,88114
29499,32,135,358,251,199,119,102,19,4,1217,9,32,63,55,76,76,32,0,0,352,34,29,78,108,89,97,65,17,0,516,11,14,37,38,55,38,29,9,0,224,13,12,17,19,27,17,25,13,3,143,0,4,3,3,7,5,3,0,0,37,91,118,390,525,458,289,130,25,6,2043,189,346,939,1008,912,644,392,90,15,4534,44,164,419,238,166,144,42,18,0,1228,12,25,53,39,46,53,27,9,0,266,26,26,65,63,58,84,44,12,0,370,15,16,20,30,14,23,17,7,5,142,3,5,12,13,9,10,16,11,9,83,3,0,5,4,4,4,0,0,0,18,84,89,306,347,180,117,69,7,10,1202,177,321,878,727,479,429,224,58,19,3317,75,301,773,489,364,261,147,38,4,2446,22,64,123,94,120,128,66,10,5,618,54,57,142,171,145,179,113,28,3,883,26,23,56,69,71,61,47,21,5,368
29799,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,30,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,7,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,24181,72430,138595,129741,101299,64083,44717,19496,4526,599059,2573,3850,9947,9943,11539,10360,5858,2351,533,56951,4146,5055,18342,20114,30612,39949,31347,14082,3377,167020,1284,932,3043,3839,5127,6670,6173,3625,1194,31891,425,352,1396,1897,2579,3751,7198,9197,3656,30452,79,227,1061,1025,1105,1177,933,585,302,6488,3254,4891,11335,9489,8192,6597,5762,4584,2519,56619,35933,87734,183725,176048,160454,132580,101982,53919,16104,948479,25253,74532,153671,147178,114607,69626,41450,16992,5109,648422,1876,2906,8622,8497,11235,10087,6252,2803,763,53045,2813,3757,13332,14601,27956,44614,41832,19834,6672,175402,796,620,2203,2813,4119,5996,6870,4423,1876,29706,242,250,1086,1584,2341,3465,8416,11316,6746,35455,50,187,898,1144,1388,1393,1143,847,590,7653,3110,4377,10297,8294,6767,5872,6061,5809,4995,55583,34139,86631,190114,184110,168410,141051,112035,62026,26753,1005268,49433,146957,292261,276920,215906,133709,86165,36489,9636,1247480,4445,6759,18563,18440,22768,20448,12119,5157,1297,109999,6957,8813,31674,34713,58564,84560,73182,33906,10048,342422,2084,1552,5245,6646,9247,12662,13042,8043,3071,61598
3RQLD,19181,53834,101649,94773,81908,56046,47843,22139,4942,482315,3633,4767,11636,12360,15191,15059,9460,3936,843,76894,6626,6914,23478,27561,43946,62837,49380,20908,4521,246172,1935,1243,3679,5039,7210,10790,11215,6376,1828,49311,592,515,1405,2053,3131,5715,11977,14612,5670,45672,92,189,661,611,710,771,769,628,315,4740,5190,7002,16276,14511,15027,13896,11379,8181,3752,95219,37246,74463,158786,156914,167126,165114,142030,76787,21869,1000324,20496,57929,122144,119168,102303,67423,43696,19338,5278,557780,2453,3473,9698,11103,15399,16341,10153,4425,1116,74162,4377,5021,16676,20856,38547,64696,58639,26552,7837,243193,1262,860,2646,3471,5308,9155,10902,6824,2768,43193,334,306,909,1383,2125,4156,10349,14431,8408,42406,78,165,597,670,708,759,769,613,400,4761,4681,5762,13315,11576,11409,11202,10470,9462,6502,84389,33682,73510,165981,168232,175793,173738,144986,81644,32312,1049876,39677,111764,223788,213942,184212,123474,91539,41476,10219,1040088,6084,8242,21332,23462,30588,31402,19619,8363,1964,151056,11000,11938,40154,48414,82489,127534,108016,47459,12364,489365,3197,2098,6321,8506,12521,19947,22119,13198,4594,92505
39499,46,181,576,382,272,323,333,77,3,2203,25,27,71,80,81,118,101,21,0,515,38,51,168,183,207,384,397,62,0,1493,23,23,48,46,54,90,105,33,3,427,4,7,23,22,23,51,89,34,4,263,0,0,7,5,5,8,4,0,0,36,73,152,398,461,407,316,228,51,3,2092,209,444,1297,1188,1042,1297,1253,281,23,7039,59,281,760,422,355,363,205,35,6,2482,25,23,64,61,80,144,83,4,0,477,45,37,113,96,187,365,336,52,4,1241,21,10,32,18,38,75,76,15,0,290,8,9,9,16,5,22,46,22,0,138,0,0,8,3,4,0,7,0,0,27,57,130,362,265,225,197,115,35,3,1396,212,486,1345,885,884,1170,870,160,25,6046,102,466,1333,802,630,688,536,113,11,4684,45,44,134,142,153,258,183,23,0,990,84,91,282,284,390,749,733,120,9,2733,43,28,86,66,89,170,188,46,8,718
