GCCSA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
1GSYD,0,0,7,95,908,2834,4349,3133,516,485,477,494,219,175,258,13950,0,0,16,171,809,4056,11009,5696,1211,1323,1235,1159,563,226,391,27864,37,119,590,1074,1143,1494,2358,1507,359,338,431,505,294,87,158,10493,398,1215,1433,2940,27118,37999,74266,41151,10036,11092,9617,11188,3848,662,5355,238316,78,1098,5562,1794,788,2134,683,205,43,28,38,24,9,9,413,12904,402,1177,2943,1905,2755,2569,3012,2216,495,562,466,391,189,69,548,19680,55,152,423,2026,9043,8727,7480,2684,575,502,665,752,324,57,744,34197,2163,2548,1897,1340,1559,1592,2911,1507,341,346,360,478,218,75,517,17857,344,5195,13273,3162,928,575,465,1136,164,127,103,88,47,17,1362,26986,98,336,974,4157,12200,12888,5714,3448,1023,1067,954,1098,1060,431,736,46182,205,228,1716,2754,6345,16235,53770,36900,12137,13423,16106,17588,6102,1631,2661,187810,72,212,330,1692,4157,7434,8694,4822,1390,1390,1612,1954,816,92,740,35413,9,14,282,1020,3412,3388,5610,7442
1RNSW,0,0,0,3,14,24,79,325,45,50,28,60,5,9,25,667,0,0,0,11,18,82,413,501,123,213,147,152,37,16,22,1735,25,64,385,602,546,577,1056,639,111,138,131,172,117,25,95,4692,66,136,123,190,601,813,2375,1634,471,640,646,901,192,57,343,9195,33,371,1125,345,106,305,154,22,0,10,4,4,4,0,87,2578,68,202,228,96,60,89,215,167,30,50,50,83,27,26,59,1447,36,76,133,267,473,414,502,318,71,89,120,157,156,178,157,3149,1766,3085,1427,754,1066,658,936,463,88,110,90,98,75,12,401,11034,67,647,1032,249,85,48,43,66,3,11,4,3,4,6,130,2401,25,38,134,243,351,244,247,191,72,90,61,58,66,10,78,1910,138,128,429,479,464,863,5008,4946,1494,1547,1918,2131,910,180,441,21078,42,144,89,91,153,287,516,378,92,143,126,202,107,11,75,2459,9,0,16,33,156,115,252,408
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3,0,0,0,0,5,6,4,6,0,26,0,0,0,0,4,5,11,17,3,8,11,17,8,0,0,86,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,4,0,4,4,0,0,0,23,3,0,0,0,6,0,4,0,0,0,0,8,0,0,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,5,0,7,6,0,5,0,3,5,0,32,0,0,0,3,0,5,12,9,9,3,4,12,0,16,5,78,0,0,0,0,3,0,4,3,0,0,6,11,5,0,0,32,0,0,0,0,0,3,4,13
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,0,0,3,29,535,2455,7035,7177,1170,1345,975,1391,531,453,411,23525,0,3,12,96,252,915,3767,2273,483,532,506,466,247,59,97,9693,16,94,379,836,901,1112,1871,1435,311,312,379,413,193,73,119,8449,129,427,728,1074,11508,17148,52134,35444,9184,9971,9499,11416,3774,775,2817,166023,50,1043,5754,1980,813,1927,659,192,32,17,16,31,7,3,357,12902,228,1364,2243,1055,1453,1386,2337,1688,246,275,331,215,111,44,334,13312,20,62,135,546,2670,2333,2950,1266,248,271,277,325,131,38,179,11450,2672,4411,2286,1220,1608,1426,2350,1257,260,277,285,337,152,72,517,19125,406,7866,23398,5787,1652,706,576,2094,254,212,152,161,59,18,1608,44956,46,155,470,1561,5334,5372,4189,2696,733,770,826,887,713,268,416,24428,251,199,2410,3464,6185,12040,81366,48527,13976,15835,21139,24195,7786,1706,3562,242635,48,156,213,500,1323,3838,5528,2630,787,938,974,1260,715,86,305,19294,12,15,72,238,1393,1225,4089,8816
2RVIC,0,0,0,0,10,62,402,871,117,112,79,120,48,29,47,1898,0,0,5,8,8,40,213,160,23,46,28,38,16,0,4,591,10,38,153,237,219,231,465,268,75,54,46,72,28,16,40,1967,24,27,123,41,172,297,1549,1028,326,376,499,609,115,16,171,5373,30,386,1060,334,106,239,63,16,3,0,0,6,0,0,97,2349,33,94,111,36,28,39,145,68,27,20,47,42,29,24,35,767,5,9,32,57,154,141,223,140,19,24,30,63,39,9,31,975,1081,2107,781,410,479,258,428,198,50,48,33,61,35,11,234,6209,43,424,719,204,45,39,23,25,16,3,3,6,0,0,115,1664,3,13,35,60,105,97,146,148,26,32,46,61,48,10,37,884,72,55,214,198,198,342,4380,3312,981,1116,1495,1871,750,104,382,15463,20,62,29,35,76,149,276,226,47,77,90,120,78,9,40,1332,6,0,7,8,57,49,166,422
29499,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,6,0,0,0,21,0,0,0,0,4,5,13,6,0,4,7,8,0,4,5,57,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,10,0,0,3,0,0,0,0,0,9,0,0,6,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,6,20,12,0,11,6,4,4,24,3,90,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,15,0,0,0,0,0,0,0,12
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,0,0,0,7,85,294,1070,1651,239,229,152,212,138,115,98,4293,0,0,5,25,43,208,929,527,117,121,146,92,49,33,23,2325,15,49,294,586,689,740,1484,1012,180,205,278,238,142,77,94,6093,78,287,278,307,1945,3031,13468,8495,2462,2767,2714,3835,1318,213,783,41978,12,139,648,240,128,518,149,54,7,9,8,6,7,4,47,1972,37,119,137,66,105,116,408,243,59,64,54,92,67,19,41,1641,18,51,207,552,2415,2430,2771,1137,197,200,212,231,114,59,219,10800,1093,1361,908,732,1269,820,1616,641,147,130,144,220,109,53,237,9477,107,593,704,234,135,82,77,121,14,19,20,15,3,5,133,2261,22,73,173,480,1670,2150,1694,1217,357,304,383,518,399,145,214,9799,100,101,532,616,1095,2087,18544,11715,2650,2894,3886,4611,1606,376,828,51650,55,205,174,236,482,865,1392,672,171,195,215,275,183,25,101,5261,4,16,18,64,356,373,1532,2447
3RQLD,0,0,0,11,18,45,107,155,20,27,18,8,3,12,16,437,0,0,5,9,14,76,378,213,35,59,64,81,36,7,10,984,21,81,370,706,712,799,1495,1096,209,258,273,329,214,78,111,6741,60,113,106,117,673,951,3931,2862,831,931,1043,1331,446,53,274,13713,26,230,661,199,88,245,79,29,8,3,3,0,5,0,66,1654,62,152,203,99,97,84,185,136,34,29,44,93,18,11,49,1313,18,68,156,279,611,562,913,447,67,103,95,122,75,20,113,3644,917,2191,1446,959,1601,924,1605,679,120,145,157,207,105,25,320,11402,40,250,384,116,59,41,44,66,8,10,8,5,0,5,54,1094,30,31,107,211,421,455,488,470,124,104,152,177,139,51,52,3019,92,95,350,289,335,588,6012,4695,1268,1289,1609,2025,812,228,443,20124,48,188,156,168,239,431,709,506,144,129,191,239,125,30,100,3403,0,4,24,63,195,149,392,484
